,close,high,low,open,volume
2018. 03. 21.,0.582054,0.617998,0.537362,0.537362,"7,988,280"
2018. 03. 20.,0.534654,0.558981,0.460619,0.468713,"6,190,060"
2018. 03. 19.,0.464974,0.464974,0.435120,0.442396,"3,859,170"
2018. 03. 18.,0.441154,0.443938,0.354991,0.443938,"5,900,160"
2018. 03. 17.,0.444696,0.503508,0.442287,0.503508,"3,134,240"
2018. 03. 16.,0.503941,0.529674,0.468640,0.484890,"4,675,690"
2018. 03. 15.,0.486085,0.520949,0.460781,0.517678,"4,601,280"
2018. 03. 14.,0.518390,0.608643,0.514046,0.595073,"4,919,120"
2018. 03. 13.,0.595122,0.658558,0.584119,0.626599,"5,484,210"
2018. 03. 12.,0.628817,0.708498,0.617465,0.683034,"4,099,150"
2018. 03. 11.,0.682246,0.684097,0.609048,0.631398,"4,172,970"
2018. 03. 10.,0.635473,0.733354,0.633139,0.646254,"7,654,580"
2018. 03. 09.,0.645375,0.646006,0.567193,0.637627,"5,198,880"
2018. 03. 08.,0.641815,0.735299,0.637734,0.701590,"6,500,550"
2018. 03. 07.,0.696557,0.795471,0.670935,0.783247,"7,856,390"
2018. 03. 06.,0.784441,0.887447,0.778876,0.887447,"6,516,140"
2018. 03. 05.,0.887579,0.930618,0.887097,0.920334,"6,025,120"
2018. 03. 04.,0.921463,0.923982,0.890946,0.915349,"5,709,570"
2018. 03. 03.,0.917723,0.969524,0.909748,0.934461,"6,815,010"
2018. 03. 02.,0.938003,1.01,0.930779,0.961520,"7,594,580"
2018. 03. 01.,0.962535,0.969874,0.880255,0.916661,"8,661,110"
2018. 02. 28.,0.917173,1.01,0.916808,0.992029,"6,891,760"
2018. 02. 27.,0.993080,1.14,0.990280,1.04,"17,494,200"
2018. 02. 26.,1.03,1.07,0.945288,0.977440,"8,738,640"
2018. 02. 25.,0.974205,1.00,0.905002,0.917998,"10,967,400"
2018. 02. 24.,0.920412,1.05,0.880218,0.982682,"8,140,960"
2018. 02. 23.,0.979024,0.984626,0.861228,0.900781,"5,936,610"
2018. 02. 22.,0.903932,1.01,0.862158,0.944015,"6,338,430"
2018. 02. 21.,0.943307,1.04,0.905180,1.01,"10,796,500"
2018. 02. 20.,1.01,1.21,1.00,1.18,"11,695,000"
