,close,high,low,open,volume
2018. 03. 21.,1.75,1.77,1.65,1.66,"2,733,890"
2018. 03. 20.,1.66,1.73,1.54,1.60,"2,604,610"
2018. 03. 19.,1.58,1.64,1.37,1.38,"3,766,160"
2018. 03. 18.,1.39,1.49,1.20,1.49,"3,064,900"
2018. 03. 17.,1.50,1.62,1.48,1.62,"3,615,700"
2018. 03. 16.,1.61,1.66,1.57,1.62,"3,794,970"
2018. 03. 15.,1.62,1.63,1.52,1.58,"3,000,830"
2018. 03. 14.,1.58,1.76,1.55,1.72,"2,764,920"
2018. 03. 13.,1.72,1.81,1.70,1.77,"2,199,740"
2018. 03. 12.,1.77,1.87,1.73,1.84,"1,892,480"
2018. 03. 11.,1.83,1.88,1.73,1.77,"1,742,250"
2018. 03. 10.,1.77,1.92,1.76,1.87,"1,973,150"
2018. 03. 09.,1.87,1.87,1.70,1.85,"4,413,590"
2018. 03. 08.,1.85,1.93,1.73,1.87,"4,135,560"
2018. 03. 07.,1.88,2.16,1.81,2.12,"4,148,770"
2018. 03. 06.,2.12,2.31,2.10,2.31,"3,012,900"
2018. 03. 05.,2.30,2.36,2.29,2.32,"2,081,650"
2018. 03. 04.,2.32,2.33,2.26,2.30,"2,560,440"
2018. 03. 03.,2.30,2.40,2.28,2.35,"2,165,790"
2018. 03. 02.,2.36,2.44,2.29,2.37,"2,379,310"
2018. 03. 01.,2.35,2.48,2.24,2.28,"3,402,770"
2018. 02. 28.,2.28,2.61,2.27,2.43,"6,857,090"
2018. 02. 27.,2.45,2.64,2.18,2.24,"8,332,700"
2018. 02. 26.,2.22,2.25,2.07,2.16,"3,059,990"
2018. 02. 25.,2.16,2.27,2.08,2.22,"3,149,650"
2018. 02. 24.,2.23,2.37,2.18,2.30,"2,518,140"
2018. 02. 23.,2.30,2.41,2.19,2.24,"3,459,750"
2018. 02. 22.,2.26,2.52,2.22,2.34,"4,527,210"
2018. 02. 21.,2.34,2.54,2.27,2.54,"4,012,920"
2018. 02. 20.,2.53,2.76,2.52,2.72,"4,470,310"
2018. 02. 19.,2.69,2.85,2.55,2.56,"3,536,050"
2018. 02. 18.,2.57,2.74,2.50,2.68,"3,565,100"
2018. 02. 17.,2.68,2.73,2.59,2.61,"3,016,070"
2018. 02. 16.,2.61,2.66,2.54,2.56,"2,849,720"
2018. 02. 15.,2.56,2.68,2.51,2.63,"3,817,200"
2018. 02. 14.,2.64,2.64,2.43,2.43,"4,919,220"
2018. 02. 13.,2.42,2.62,2.31,2.62,"7,490,450"
2018. 02. 12.,2.63,2.72,2.51,2.51,"3,573,810"
2018. 02. 11.,2.50,2.76,2.34,2.76,"7,236,360"
2018. 02. 10.,2.76,2.99,2.66,2.91,"6,130,930"
2018. 02. 09.,2.91,3.04,2.73,2.87,"4,705,450"
2018. 02. 08.,2.87,2.95,2.58,2.58,"21,679,800"
2018. 02. 07.,2.55,3.44,2.15,2.38,"29,364,300"
2018. 02. 06.,2.39,2.40,1.75,2.12,"7,492,040"
2018. 02. 05.,2.10,2.57,1.98,2.51,"5,440,170"
2018. 02. 04.,2.54,2.91,2.50,2.86,"4,240,530"
2018. 02. 03.,2.84,2.97,2.41,2.60,"6,101,430"
2018. 02. 02.,2.60,2.72,2.20,2.69,"6,815,050"
2018. 02. 01.,2.70,3.14,2.59,2.99,"7,004,030"
2018. 01. 31.,2.95,2.95,2.33,2.44,"4,352,570"
2018. 01. 30.,2.46,3.05,2.45,3.04,"5,563,420"
2018. 01. 29.,3.03,3.38,2.80,3.23,"5,425,230"
2018. 01. 28.,3.21,3.52,2.87,2.87,"11,368,100"
2018. 01. 27.,2.86,2.98,2.43,2.44,"6,201,390"
2018. 01. 26.,2.44,2.56,2.06,2.16,"6,051,310"
2018. 01. 25.,2.17,2.19,1.85,1.85,"3,965,590"
2018. 01. 24.,1.84,1.84,1.50,1.53,"2,482,720"
2018. 01. 23.,1.53,1.57,1.41,1.49,"2,509,220"
2018. 01. 22.,1.49,1.68,1.43,1.51,"2,368,590"
2018. 01. 21.,1.49,1.80,1.48,1.80,"1,675,180"
2018. 01. 20.,1.80,1.85,1.54,1.54,"2,220,340"
2018. 01. 19.,1.53,1.59,1.41,1.51,"3,265,330"
2018. 01. 18.,1.52,1.63,1.42,1.57,"2,156,320"
2018. 01. 17.,1.55,1.56,1.22,1.45,"2,535,970"
2018. 01. 16.,1.46,1.96,1.34,1.96,"3,547,600"
2018. 01. 15.,1.97,2.14,1.89,2.13,"2,900,980"
2018. 01. 14.,2.13,2.36,1.93,2.36,"2,711,380"
2018. 01. 13.,2.31,2.32,2.19,2.22,"3,114,980"
2018. 01. 12.,2.22,2.33,2.04,2.07,"2,801,560"
2018. 01. 11.,2.06,2.36,2.04,2.28,"3,467,050"
2018. 01. 10.,2.27,2.48,2.14,2.48,"3,117,280"
2018. 01. 09.,2.48,2.62,2.32,2.44,"3,778,640"
2018. 01. 08.,2.44,2.77,2.06,2.66,"5,645,830"
2018. 01. 07.,2.67,2.89,2.45,2.45,"6,197,720"
2018. 01. 06.,2.47,2.51,2.04,2.12,"4,581,780"
2018. 01. 05.,2.13,2.39,1.80,1.80,"5,526,110"
2018. 01. 04.,1.81,1.89,1.51,1.53,"3,454,190"
2018. 01. 03.,1.53,1.53,1.37,1.38,"2,798,770"
2018. 01. 02.,1.38,1.43,1.30,1.30,"2,867,610"
2018. 01. 01.,1.30,1.33,1.25,1.32,"1,312,670"
2017. 12. 31.,1.32,1.33,1.20,1.22,"1,482,490"
2017. 12. 30.,1.23,1.34,1.13,1.33,"1,756,310"
2017. 12. 29.,1.33,1.41,1.31,1.33,"1,858,930"
2017. 12. 28.,1.32,1.49,1.27,1.48,"2,149,510"
2017. 12. 27.,1.49,1.54,1.40,1.45,"2,495,370"
2017. 12. 26.,1.44,1.48,1.38,1.38,"2,346,160"
2017. 12. 25.,1.39,1.40,1.24,1.26,"2,248,590"
2017. 12. 24.,1.26,1.33,1.12,1.33,"1,786,080"
2017. 12. 23.,1.32,1.41,1.21,1.21,"2,108,070"
2017. 12. 22.,1.20,1.50,0.992437,1.49,"3,418,480"
2017. 12. 21.,1.47,1.60,1.40,1.50,"5,377,690"
2017. 12. 20.,1.50,1.59,1.38,1.57,"4,884,380"
2017. 12. 19.,1.55,1.70,1.34,1.34,"6,317,100"
2017. 12. 18.,1.34,1.35,1.18,1.27,"3,815,380"
2017. 12. 17.,1.28,1.36,1.18,1.18,"2,727,140"
2017. 12. 16.,1.19,1.32,1.12,1.26,"4,237,580"
2017. 12. 15.,1.26,1.26,0.788689,0.798690,"6,010,610"
2017. 12. 14.,0.788441,0.788441,0.625890,0.638842,"2,329,860"
2017. 12. 13.,0.638113,0.720033,0.614840,0.659843,"1,619,990"
2017. 12. 12.,0.659490,0.660133,0.594340,0.645472,"1,456,990"
2017. 12. 11.,0.644374,0.644374,0.566355,0.579945,"1,199,350"
2017. 12. 10.,0.579934,0.638255,0.568755,0.625306,"948,690"
2017. 12. 09.,0.623724,0.668934,0.610688,0.638560,"1,249,470"
2017. 12. 08.,0.638163,0.641847,0.576212,0.613507,"1,308,730"
2017. 12. 07.,0.613694,0.656109,0.575865,0.611595,"1,528,110"
