,close,high,low,open,volume
2018. 03. 21.,3.12,3.39,2.84,2.84,"15,123,400"
2018. 03. 20.,2.83,2.97,2.59,2.79,"10,819,600"
2018. 03. 19.,2.73,2.91,2.43,2.52,"12,853,700"
2018. 03. 18.,2.54,2.68,1.92,2.26,"12,385,300"
2018. 03. 17.,2.26,2.61,2.25,2.61,"10,819,600"
2018. 03. 16.,2.60,2.94,2.41,2.70,"23,713,000"
2018. 03. 15.,2.70,3.57,1.99,2.17,"35,087,700"
2018. 03. 14.,2.18,2.59,2.02,2.36,"3,572,270"
2018. 03. 13.,2.36,2.46,2.26,2.33,"1,847,310"
2018. 03. 12.,2.34,2.60,2.25,2.47,"1,714,070"
2018. 03. 11.,2.47,2.53,2.19,2.31,"1,478,910"
2018. 03. 10.,2.32,2.63,2.28,2.45,"1,906,220"
2018. 03. 09.,2.45,2.52,2.13,2.48,"2,096,300"
2018. 03. 08.,2.48,2.98,2.46,2.63,"4,268,540"
2018. 03. 07.,2.63,3.02,2.37,2.91,"3,815,490"
2018. 03. 06.,2.91,3.21,2.84,3.21,"2,337,060"
2018. 03. 05.,3.23,3.30,3.14,3.16,"2,551,950"
2018. 03. 04.,3.16,3.28,2.96,3.15,"3,182,500"
2018. 03. 03.,3.17,3.37,3.01,3.25,"4,288,150"
2018. 03. 02.,3.26,3.37,3.04,3.09,"9,399,520"
2018. 03. 01.,3.09,3.21,2.71,2.77,"5,253,550"
2018. 02. 28.,2.77,3.07,2.76,3.04,"2,374,630"
2018. 02. 27.,3.03,3.17,2.95,3.05,"3,612,460"
2018. 02. 26.,3.04,3.25,3.03,3.25,"4,363,930"
2018. 02. 25.,3.26,3.26,2.85,2.92,"4,143,510"
2018. 02. 24.,2.92,3.14,2.81,3.02,"1,624,660"
2018. 02. 23.,3.01,3.28,2.81,3.04,"3,484,600"
2018. 02. 22.,3.05,3.30,2.82,2.94,"3,738,040"
2018. 02. 21.,2.94,3.69,2.87,3.30,"5,061,120"
2018. 02. 20.,3.31,4.03,3.29,3.84,"8,465,910"
2018. 02. 19.,3.81,3.95,3.32,3.38,"5,406,820"
2018. 02. 18.,3.39,4.35,3.27,3.93,"9,934,800"
2018. 02. 17.,3.92,4.12,3.26,3.38,"12,628,600"
2018. 02. 16.,3.35,3.35,2.90,3.04,"3,644,260"
2018. 02. 15.,3.04,3.25,2.90,2.96,"4,510,460"
2018. 02. 14.,2.96,2.99,2.80,2.80,"4,198,830"
2018. 02. 13.,2.81,3.21,2.77,3.16,"3,371,000"
