,close,high,low,open,volume
2018. 03. 21.,0.300660,0.317255,0.292898,0.302232,"3,049,290"
2018. 03. 20.,0.302219,0.308696,0.279429,0.296619,"3,989,100"
2018. 03. 19.,0.295724,0.296116,0.255949,0.263293,"3,465,250"
2018. 03. 18.,0.263398,0.263398,0.218243,0.259524,"3,282,110"
2018. 03. 17.,0.260369,0.302512,0.260369,0.302017,"2,250,080"
2018. 03. 16.,0.302919,0.319541,0.273097,0.283496,"6,816,270"
2018. 03. 15.,0.284755,0.304713,0.252714,0.298172,"3,338,490"
2018. 03. 14.,0.294968,0.371609,0.289401,0.326235,"12,106,200"
2018. 03. 13.,0.325702,0.332521,0.288121,0.293455,"4,142,030"
2018. 03. 12.,0.294979,0.307745,0.282363,0.290229,"2,513,060"
2018. 03. 11.,0.290103,0.299848,0.266780,0.279589,"1,919,040"
2018. 03. 10.,0.280496,0.304098,0.279903,0.297951,"3,540,630"
2018. 03. 09.,0.299141,0.322595,0.273515,0.319570,"3,582,840"
2018. 03. 08.,0.319630,0.351510,0.319034,0.343896,"3,588,940"
2018. 03. 07.,0.345271,0.390620,0.336281,0.383946,"3,929,620"
2018. 03. 06.,0.384477,0.404047,0.377963,0.404047,"2,719,590"
2018. 03. 05.,0.404630,0.419923,0.403747,0.416307,"3,728,840"
2018. 03. 04.,0.417615,0.424425,0.395180,0.424425,"3,498,680"
2018. 03. 03.,0.424778,0.437467,0.394065,0.399997,"6,434,880"
2018. 03. 02.,0.399095,0.403232,0.374024,0.386817,"4,546,800"
2018. 03. 01.,0.387781,0.396743,0.360280,0.382208,"4,098,460"
2018. 02. 28.,0.381220,0.426642,0.380976,0.421057,"3,342,310"
2018. 02. 27.,0.420280,0.433536,0.413879,0.430072,"2,316,650"
2018. 02. 26.,0.429565,0.435111,0.406188,0.425738,"3,104,810"
2018. 02. 25.,0.425983,0.435228,0.409341,0.416752,"3,331,580"
2018. 02. 24.,0.414860,0.454007,0.406330,0.446386,"3,027,050"
2018. 02. 23.,0.447165,0.448372,0.399948,0.428450,"4,679,230"
2018. 02. 22.,0.431181,0.479602,0.412409,0.470601,"4,937,670"
2018. 02. 21.,0.473254,0.506592,0.464583,0.505086,"7,715,610"
2018. 02. 20.,0.511664,0.579852,0.507663,0.529160,"35,507,500"
2018. 02. 19.,0.532457,0.532457,0.497397,0.509461,"17,020,800"
2018. 02. 18.,0.482763,0.534747,0.471480,0.533301,"8,346,990"
2018. 02. 17.,0.538700,0.540838,0.513642,0.527865,"9,443,350"
2018. 02. 16.,0.532447,0.549904,0.508756,0.532298,"11,193,500"
2018. 02. 15.,0.526230,0.536514,0.507671,0.515639,"12,421,300"
2018. 02. 14.,0.520373,0.522733,0.496206,0.508078,"9,752,520"
2018. 02. 13.,0.510014,0.536922,0.496235,0.533094,"9,173,070"
2018. 02. 12.,0.535045,0.535045,0.499231,0.499231,"10,792,800"
2018. 02. 11.,0.495093,0.530615,0.460592,0.530615,"15,022,500"
2018. 02. 10.,0.545331,0.591368,0.479806,0.555062,"34,929,200"
2018. 02. 09.,0.519577,0.530430,0.435222,0.435222,"74,963,400"
2018. 02. 08.,0.446237,0.450431,0.394069,0.396860,"11,404,600"
2018. 02. 07.,0.396674,0.430479,0.370495,0.409946,"10,472,400"
2018. 02. 06.,0.419122,0.423924,0.301840,0.376892,"16,946,600"
2018. 02. 05.,0.378040,0.450039,0.355955,0.439747,"10,621,100"
2018. 02. 04.,0.440438,0.569492,0.421233,0.537767,"19,600,900"
2018. 02. 03.,0.531518,0.556213,0.444760,0.544795,"15,662,200"
2018. 02. 02.,0.535325,0.601666,0.384688,0.601666,"33,201,500"
2018. 02. 01.,0.607524,0.816407,0.581618,0.798026,"23,818,600"
2018. 01. 31.,0.801575,0.849415,0.693082,0.847491,"28,832,600"
2018. 01. 30.,0.851840,1.01,0.838250,1.01,"28,039,800"
2018. 01. 29.,1.03,1.05,0.932421,1.01,"31,172,300"
