,close,high,low,open,volume
2018. 03. 21.,2.76,2.97,2.71,2.86,"1,867,640"
2018. 03. 20.,2.85,2.92,2.58,2.76,"2,436,060"
2018. 03. 19.,2.75,2.88,2.37,2.42,"3,362,100"
2018. 03. 18.,2.43,2.52,2.02,2.52,"2,976,970"
2018. 03. 17.,2.53,2.84,2.48,2.84,"1,025,370"
2018. 03. 16.,2.83,3.13,2.78,3.13,"3,355,380"
2018. 03. 15.,2.84,2.93,2.63,2.84,"1,529,390"
2018. 03. 14.,2.84,3.57,2.78,3.45,"2,258,130"
2018. 03. 13.,3.45,3.59,3.23,3.26,"2,640,490"
2018. 03. 12.,3.27,3.58,3.13,3.28,"2,119,140"
2018. 03. 11.,3.29,3.30,2.98,3.07,"996,603"
2018. 03. 10.,3.09,3.37,3.06,3.25,"1,060,780"
2018. 03. 09.,3.26,3.29,2.86,3.25,"1,226,940"
2018. 03. 08.,3.28,3.60,3.22,3.49,"1,437,370"
2018. 03. 07.,3.50,3.95,3.22,3.75,"2,534,420"
2018. 03. 06.,3.75,4.25,3.69,4.05,"3,037,090"
2018. 03. 05.,4.07,4.19,3.97,4.17,"2,508,350"
2018. 03. 04.,4.20,4.41,4.05,4.41,"2,644,750"
2018. 03. 03.,4.42,4.73,3.99,3.99,"11,713,200"
2018. 03. 02.,4.01,4.24,3.66,3.70,"4,826,680"
2018. 03. 01.,3.70,3.80,3.50,3.60,"2,309,910"
2018. 02. 28.,3.60,3.86,3.51,3.81,"2,011,650"
2018. 02. 27.,3.81,3.96,3.71,3.78,"2,417,360"
2018. 02. 26.,3.78,3.88,3.67,3.73,"2,098,460"
2018. 02. 25.,3.71,3.76,3.57,3.69,"1,212,330"
2018. 02. 24.,3.66,4.10,3.53,4.00,"1,508,880"
2018. 02. 23.,3.99,4.04,3.70,3.77,"2,478,910"
2018. 02. 22.,3.78,4.23,3.61,4.17,"1,720,080"
2018. 02. 21.,4.21,4.36,4.01,4.25,"3,060,810"
2018. 02. 20.,4.22,4.74,4.19,4.72,"4,660,170"
2018. 02. 19.,4.71,4.80,4.61,4.63,"3,288,740"
2018. 02. 18.,4.67,5.13,4.53,5.09,"3,792,090"
2018. 02. 17.,5.06,5.24,4.86,4.92,"7,697,380"
2018. 02. 16.,4.91,5.03,4.74,5.03,"3,728,800"
2018. 02. 15.,5.07,5.09,4.47,4.49,"11,593,800"
2018. 02. 14.,4.48,4.50,4.08,4.15,"4,680,770"
2018. 02. 13.,4.16,4.17,3.93,4.10,"3,751,020"
2018. 02. 12.,4.09,4.18,3.84,3.85,"1,926,800"
2018. 02. 11.,3.83,4.14,3.61,4.14,"2,183,820"
2018. 02. 10.,4.11,4.72,3.83,4.31,"5,238,780"
2018. 02. 09.,4.33,4.38,3.72,3.86,"8,354,370"
2018. 02. 08.,3.87,4.00,3.53,3.53,"3,197,890"
2018. 02. 07.,3.53,3.99,3.38,3.79,"3,512,190"
2018. 02. 06.,3.80,3.82,2.53,3.20,"4,501,820"
2018. 02. 05.,3.15,4.29,2.98,4.21,"4,496,080"
2018. 02. 04.,4.22,5.07,3.90,4.95,"2,017,790"
2018. 02. 03.,4.95,5.11,4.26,4.56,"3,978,910"
2018. 02. 02.,4.53,4.78,3.71,4.78,"5,250,790"
2018. 02. 01.,4.82,5.74,4.49,5.66,"4,782,920"
2018. 01. 31.,5.68,6.23,5.12,5.44,"10,352,200"
2018. 01. 30.,5.47,6.74,5.32,6.67,"6,822,120"
2018. 01. 29.,6.69,6.71,6.16,6.63,"6,356,180"
2018. 01. 28.,6.64,6.79,6.56,6.60,"4,881,880"
2018. 01. 27.,6.58,6.84,6.43,6.79,"3,968,320"
2018. 01. 26.,6.80,7.40,6.08,7.34,"7,686,920"
2018. 01. 25.,7.38,7.56,6.68,6.69,"17,249,700"
2018. 01. 24.,6.64,6.73,5.82,6.02,"17,489,200"
2018. 01. 23.,6.04,6.63,5.06,5.39,"18,838,800"
2018. 01. 22.,5.44,6.27,5.09,5.99,"6,297,530"
