,close,high,low,open,volume
2018. 03. 21.,36.15,37.07,35.36,35.53,"1,829,720"
2018. 03. 20.,35.44,36.16,32.76,33.39,"2,631,030"
2018. 03. 19.,33.20,38.33,29.38,29.65,"6,772,720"
2018. 03. 18.,29.70,30.48,25.70,30.48,"3,395,650"
2018. 03. 17.,30.60,33.08,30.18,33.08,"2,155,120"
2018. 03. 16.,33.12,34.45,30.92,31.97,"2,816,490"
2018. 03. 15.,32.00,32.91,29.85,31.39,"3,208,130"
2018. 03. 14.,31.22,39.29,30.43,38.06,"5,450,020"
2018. 03. 13.,38.14,38.43,34.34,34.85,"3,316,910"
2018. 03. 12.,34.94,37.51,33.96,36.27,"1,873,620"
2018. 03. 11.,36.18,36.98,32.41,33.34,"3,517,790"
2018. 03. 10.,33.34,37.92,33.20,36.84,"2,601,440"
2018. 03. 09.,36.84,38.74,34.09,38.54,"3,423,080"
2018. 03. 08.,38.52,41.41,37.86,39.18,"2,800,740"
2018. 03. 07.,39.21,43.81,38.32,43.56,"2,803,190"
2018. 03. 06.,43.46,46.15,43.21,46.15,"1,805,870"
2018. 03. 05.,46.42,46.88,46.16,46.60,"2,344,600"
2018. 03. 04.,46.53,47.29,45.13,47.25,"2,616,020"
2018. 03. 03.,47.25,48.76,45.14,45.14,"3,225,040"
2018. 03. 02.,45.19,47.97,45.09,46.98,"3,022,380"
2018. 03. 01.,47.01,47.23,44.27,45.86,"3,919,940"
2018. 02. 28.,45.85,50.29,45.47,48.51,"4,129,890"
2018. 02. 27.,48.44,52.16,46.31,46.53,"5,643,820"
2018. 02. 26.,46.43,47.03,42.40,44.21,"5,227,830"
2018. 02. 25.,44.04,44.18,42.53,43.28,"1,882,900"
2018. 02. 24.,43.36,46.26,42.32,44.39,"3,139,080"
2018. 02. 23.,44.52,46.56,42.39,43.45,"2,809,910"
2018. 02. 22.,43.54,48.59,43.03,46.93,"3,191,340"
2018. 02. 21.,47.01,50.69,45.84,50.69,"4,529,810"
2018. 02. 20.,50.64,54.72,50.52,54.22,"6,769,600"
2018. 02. 19.,54.27,54.94,53.40,54.09,"4,332,280"
2018. 02. 18.,54.14,59.69,53.44,55.45,"17,414,900"
2018. 02. 17.,55.27,55.74,53.72,54.26,"6,842,890"
2018. 02. 16.,54.44,55.95,51.64,54.51,"5,974,500"
2018. 02. 15.,54.55,55.17,52.18,52.71,"7,991,920"
2018. 02. 14.,52.79,53.33,48.41,49.65,"9,305,520"
2018. 02. 13.,49.89,54.24,49.45,54.24,"5,386,840"
2018. 02. 12.,54.13,57.21,49.34,49.34,"11,200,400"
2018. 02. 11.,49.21,56.79,47.99,55.04,"4,904,270"
2018. 02. 10.,55.03,60.47,52.34,57.27,"5,349,320"
2018. 02. 09.,57.57,57.57,49.67,52.24,"6,800,400"
2018. 02. 08.,52.00,53.84,46.89,47.27,"4,719,340"
2018. 02. 07.,47.37,51.86,43.01,47.12,"6,312,240"
2018. 02. 06.,47.70,47.90,34.48,43.11,"10,009,800"
2018. 02. 05.,42.80,53.03,41.83,50.40,"9,728,740"
2018. 02. 04.,51.08,60.78,48.45,60.78,"6,639,070"
2018. 02. 03.,61.00,61.97,50.90,58.67,"5,481,660"
2018. 02. 02.,58.40,64.92,43.69,64.92,"14,427,000"
2018. 02. 01.,65.02,70.59,60.37,68.38,"10,500,800"
2018. 01. 31.,68.34,70.64,64.23,68.03,"8,319,600"
2018. 01. 30.,68.16,79.75,66.75,79.65,"10,547,800"
2018. 01. 29.,79.45,85.45,78.27,85.07,"12,013,200"
2018. 01. 28.,85.13,86.73,83.42,84.04,"7,570,840"
2018. 01. 27.,83.68,85.93,81.12,84.24,"10,225,900"
2018. 01. 26.,84.08,90.64,77.44,87.74,"13,756,300"
2018. 01. 25.,88.24,93.82,85.26,90.83,"12,081,300"
2018. 01. 24.,89.64,95.17,84.82,87.86,"20,910,000"
2018. 01. 23.,88.25,93.20,77.45,84.88,"25,923,200"
2018. 01. 22.,84.76,91.03,77.36,88.24,"16,467,100"
2018. 01. 21.,87.82,104.43,83.40,96.49,"46,791,400"
2018. 01. 20.,96.40,98.34,77.54,77.81,"52,915,200"
2018. 01. 19.,77.58,81.92,63.16,64.11,"36,063,000"
2018. 01. 18.,64.67,69.36,60.43,64.92,"25,775,100"
2018. 01. 17.,64.45,70.35,46.72,66.35,"26,860,300"
2018. 01. 16.,67.62,91.00,54.13,91.00,"28,664,800"
2018. 01. 15.,90.88,103.35,90.19,94.47,"23,443,000"
2018. 01. 14.,94.86,106.36,91.99,106.36,"13,455,800"
2018. 01. 13.,106.15,111.56,102.25,105.38,"15,664,000"
2018. 01. 12.,105.46,115.74,99.92,103.38,"14,822,500"
2018. 01. 11.,101.93,123.24,81.59,101.90,"74,019,300"
2018. 01. 10.,102.98,117.92,77.28,92.31,"56,818,400"
2018. 01. 09.,91.86,109.95,90.20,98.47,"39,081,800"
2018. 01. 08.,98.12,98.12,75.76,80.21,"45,292,400"
2018. 01. 07.,80.21,81.74,76.61,78.48,"10,406,400"
2018. 01. 06.,77.53,78.88,69.30,71.89,"13,080,900"
2018. 01. 05.,72.81,88.14,70.42,73.73,"28,863,300"
2018. 01. 04.,73.70,77.79,72.44,77.72,"14,502,500"
2018. 01. 03.,77.47,81.03,74.24,79.99,"14,320,100"
2018. 01. 02.,79.47,83.60,74.50,74.50,"20,448,000"
2018. 01. 01.,74.48,75.46,66.90,70.35,"11,556,700"
2017. 12. 31.,70.07,71.39,63.76,64.74,"5,779,320"
2017. 12. 30.,65.83,76.20,62.46,76.20,"11,058,300"
2017. 12. 29.,76.52,78.12,71.32,74.35,"12,299,500"
2017. 12. 28.,74.24,80.23,67.27,80.23,"11,699,200"
2017. 12. 27.,80.54,85.59,76.63,85.59,"14,184,900"
2017. 12. 26.,86.21,87.89,74.90,76.48,"47,416,600"
2017. 12. 25.,71.35,72.02,65.49,70.15,"10,936,900"
2017. 12. 24.,69.52,74.23,61.30,74.23,"11,342,000"
2017. 12. 23.,73.50,85.61,61.18,63.31,"31,415,000"
2017. 12. 22.,61.49,88.90,46.18,88.90,"30,124,100"
2017. 12. 21.,83.99,101.37,78.12,93.03,"36,890,200"
2017. 12. 20.,88.71,107.48,79.63,107.48,"53,708,400"
2017. 12. 19.,108.47,108.47,53.49,56.02,"186,429,000"
2017. 12. 18.,56.43,56.43,41.40,42.96,"15,746,500"
2017. 12. 17.,42.93,43.97,41.59,41.95,"8,806,310"
2017. 12. 16.,41.68,44.77,36.21,36.21,"16,212,900"
2017. 12. 15.,36.40,37.63,32.76,36.86,"6,285,640"
2017. 12. 14.,36.84,37.74,34.76,35.00,"7,700,940"
2017. 12. 13.,34.97,37.89,31.02,34.25,"8,921,600"
2017. 12. 12.,34.23,37.86,30.11,30.72,"7,942,200"
2017. 12. 11.,30.81,31.20,27.61,27.61,"4,222,320"
2017. 12. 10.,28.07,33.61,25.62,28.92,"6,284,200"
2017. 12. 09.,29.09,31.06,27.58,30.05,"4,137,840"
2017. 12. 08.,29.97,30.52,25.33,27.76,"6,533,500"
2017. 12. 07.,27.72,31.43,27.37,31.13,"6,730,870"
2017. 12. 06.,30.89,35.37,30.76,35.37,"7,273,160"
2017. 12. 05.,35.58,36.99,34.94,36.97,"6,389,870"
2017. 12. 04.,37.22,39.56,34.01,35.75,"11,056,200"
2017. 12. 03.,35.46,45.87,28.34,29.35,"28,187,500"
2017. 12. 02.,29.32,29.32,26.40,26.65,"8,999,810"
2017. 12. 01.,26.67,27.50,24.84,26.03,"2,904,280"
2017. 11. 30.,26.01,26.77,23.08,24.61,"2,354,800"
2017. 11. 29.,24.28,30.80,24.24,28.48,"5,518,380"
2017. 11. 28.,28.56,29.28,27.90,28.88,"2,991,360"
2017. 11. 27.,28.78,29.75,27.22,27.28,"3,464,660"
2017. 11. 26.,27.21,28.41,26.67,28.33,"2,298,210"
2017. 11. 25.,28.34,28.74,27.50,28.54,"3,557,430"
2017. 11. 24.,28.55,28.67,24.67,25.75,"5,688,400"
2017. 11. 23.,25.77,35.63,24.95,25.11,"20,368,900"
2017. 11. 22.,25.12,27.16,21.04,21.14,"7,935,880"
2017. 11. 21.,21.13,21.38,20.17,20.94,"1,387,670"
2017. 11. 20.,20.99,21.10,19.85,20.23,"1,176,890"
2017. 11. 19.,20.20,20.49,19.72,19.73,"1,138,730"
2017. 11. 18.,19.74,19.86,18.88,19.22,"815,249"
2017. 11. 17.,19.26,20.00,19.10,19.79,"1,267,730"
2017. 11. 16.,19.78,20.18,19.05,19.37,"1,432,180"
2017. 11. 15.,19.22,19.37,18.66,18.93,"1,250,130"
2017. 11. 14.,18.86,19.02,18.07,18.29,"1,003,900"
2017. 11. 13.,18.23,18.44,17.32,17.39,"870,775"
2017. 11. 12.,17.45,18.41,16.88,18.22,"1,919,200"
2017. 11. 11.,18.21,18.68,17.56,17.61,"1,330,620"
2017. 11. 10.,17.69,19.86,17.39,19.08,"1,754,170"
2017. 11. 09.,19.12,19.35,18.06,18.40,"1,837,380"
2017. 11. 08.,18.38,19.54,16.93,17.06,"2,138,860"
2017. 11. 07.,17.04,18.76,16.85,16.89,"1,457,810"
