,close,high,low,open,volume
2018. 03. 21.,3.10,3.21,3.01,3.05,"9,267,060"
2018. 03. 20.,3.03,3.08,2.82,3.02,"7,161,360"
2018. 03. 19.,3.00,3.01,2.77,2.88,"6,970,000"
2018. 03. 18.,2.90,3.00,2.47,2.99,"5,820,200"
2018. 03. 17.,2.99,3.28,2.97,3.23,"3,134,330"
2018. 03. 16.,3.24,3.36,3.15,3.28,"4,696,370"
2018. 03. 15.,3.29,3.36,3.12,3.34,"4,492,260"
2018. 03. 14.,3.33,3.83,3.25,3.76,"4,115,390"
2018. 03. 13.,3.76,3.93,3.72,3.84,"4,927,140"
2018. 03. 12.,3.83,4.12,3.73,3.98,"6,402,490"
2018. 03. 11.,3.98,4.06,3.71,3.80,"5,110,830"
2018. 03. 10.,3.80,4.15,3.78,4.04,"3,019,420"
2018. 03. 09.,4.05,4.06,3.61,3.95,"5,327,570"
2018. 03. 08.,3.96,4.32,3.93,4.22,"5,435,600"
2018. 03. 07.,4.22,4.75,4.14,4.70,"6,757,670"
2018. 03. 06.,4.70,4.89,4.62,4.89,"5,732,700"
2018. 03. 05.,4.90,5.05,4.90,5.00,"6,577,140"
2018. 03. 04.,5.00,5.01,4.86,4.96,"5,103,170"
2018. 03. 03.,4.96,5.07,4.93,4.99,"7,420,780"
2018. 03. 02.,4.98,5.09,4.94,5.06,"7,102,660"
2018. 03. 01.,5.06,5.13,4.81,4.84,"7,657,490"
2018. 02. 28.,4.84,5.20,4.82,5.09,"7,993,500"
2018. 02. 27.,5.09,5.22,5.00,5.05,"5,586,980"
2018. 02. 26.,5.05,5.07,4.84,4.90,"5,681,650"
2018. 02. 25.,4.89,4.95,4.75,4.83,"3,705,220"
2018. 02. 24.,4.84,5.13,4.72,5.03,"4,331,290"
2018. 02. 23.,5.05,5.19,4.67,4.77,"4,480,830"
2018. 02. 22.,4.78,5.21,4.70,5.02,"4,642,030"
2018. 02. 21.,5.01,5.42,4.90,5.30,"6,416,960"
2018. 02. 20.,5.30,5.75,5.25,5.64,"8,803,870"
2018. 02. 19.,5.63,5.74,5.44,5.44,"5,679,900"
2018. 02. 18.,5.47,6.53,5.44,5.90,"22,189,100"
2018. 02. 17.,5.90,5.90,5.55,5.59,"7,018,130"
2018. 02. 16.,5.59,5.63,5.38,5.54,"4,204,030"
2018. 02. 15.,5.54,5.67,5.40,5.48,"4,539,380"
2018. 02. 14.,5.47,5.49,4.98,4.99,"6,093,060"
2018. 02. 13.,5.00,5.22,4.91,5.17,"9,288,810"
2018. 02. 12.,5.16,5.24,4.91,4.91,"4,348,820"
2018. 02. 11.,4.89,5.16,4.69,5.16,"4,394,220"
2018. 02. 10.,5.16,5.56,4.98,5.34,"7,705,840"
