,close,high,low,open,volume
2018. 03. 21.,8929.28,9177.37,8846.33,8937.48,"6,043,130,000"
2018. 03. 20.,8913.47,9051.02,8389.89,8619.67,"6,361,790,000"
2018. 03. 19.,8630.65,8675.87,8182.40,8344.12,"6,729,110,000"
2018. 03. 18.,8223.68,8245.51,7397.99,7890.52,"6,639,190,000"
2018. 03. 17.,7916.88,8346.53,7812.82,8321.91,"4,426,150,000"
2018. 03. 16.,8338.35,8585.15,8005.31,8322.91,"5,289,380,000"
2018. 03. 15.,8300.86,8428.35,7783.05,8290.76,"6,834,430,000"
2018. 03. 14.,8269.81,9355.85,8068.59,9214.65,"6,438,230,000"
2018. 03. 13.,9194.85,9470.38,8958.19,9173.04,"5,991,140,000"
2018. 03. 12.,9205.12,9937.50,8956.43,9602.93,"6,457,400,000"
2018. 03. 11.,9578.63,9711.89,8607.12,8852.78,"6,296,370,000"
2018. 03. 10.,8866.00,9531.32,8828.47,9350.59,"5,386,320,000"
2018. 03. 09.,9337.55,9466.35,8513.03,9414.69,"8,704,190,000"
2018. 03. 08.,9395.01,10147.40,9335.87,9951.44,"7,186,090,000"
2018. 03. 07.,9965.57,10929.50,9692.12,10803.90,"8,797,910,000"
2018. 03. 06.,10779.90,11500.10,10694.30,11500.10,"6,832,170,000"
2018. 03. 05.,11573.30,11704.10,11443.90,11532.40,"6,468,540,000"
2018. 03. 04.,11512.60,11512.60,11136.10,11497.40,"6,084,150,000"
2018. 03. 03.,11489.70,11528.20,11002.40,11101.90,"6,690,570,000"
2018. 03. 02.,11086.40,11189.00,10850.10,10977.40,"7,620,590,000"
2018. 03. 01.,10951.00,11052.30,10352.70,10385.00,"7,317,280,000"
2018. 02. 28.,10397.90,11089.80,10393.10,10687.20,"6,936,190,000"
2018. 02. 27.,10725.60,10878.50,10246.10,10393.90,"6,966,180,000"
2018. 02. 26.,10366.70,10475.00,9501.73,9669.43,"7,287,690,000"
2018. 02. 25.,9664.73,9923.22,9407.06,9796.42,"5,706,940,000"
2018. 02. 24.,9813.07,10597.20,9546.97,10287.70,"6,917,930,000"
2018. 02. 23.,10301.10,10487.30,9734.56,9937.07,"7,739,500,000"
2018. 02. 22.,10005.00,11039.10,9939.09,10660.40,"8,040,080,000"
2018. 02. 21.,10690.40,11418.50,10479.10,11372.20,"9,405,340,000"
2018. 02. 20.,11403.70,11958.50,11231.80,11231.80,"9,926,540,000"
2018. 02. 19.,11225.30,11273.80,10513.20,10552.60,"7,652,090,000"
2018. 02. 18.,10551.80,11349.80,10326.00,11123.40,"8,744,010,000"
2018. 02. 17.,11112.70,11139.50,10149.40,10207.50,"8,660,880,000"
2018. 02. 16.,10233.90,10324.10,9824.82,10135.70,"7,296,160,000"
2018. 02. 15.,10166.40,10234.80,9395.58,9488.32,"9,062,540,000"
2018. 02. 14.,9494.63,9518.54,8599.92,8599.92,"7,909,820,000"
