,close,high,low,open,volume
2018. 03. 21.,0.160093,0.171167,0.154830,0.161575,"9,552,080"
2018. 03. 20.,0.161816,0.167699,0.146384,0.149640,"11,605,300"
2018. 03. 19.,0.148881,0.149148,0.130287,0.132717,"9,026,640"
2018. 03. 18.,0.132417,0.136521,0.113737,0.136521,"10,667,800"
2018. 03. 17.,0.137167,0.154514,0.135231,0.148256,"4,655,430"
2018. 03. 16.,0.148263,0.157907,0.145459,0.149341,"7,742,360"
2018. 03. 15.,0.149526,0.154313,0.134489,0.144808,"11,560,000"
2018. 03. 14.,0.145028,0.167048,0.136855,0.163615,"7,881,060"
2018. 03. 13.,0.164237,0.170901,0.159276,0.163392,"5,362,620"
2018. 03. 12.,0.163777,0.176811,0.157579,0.169893,"6,631,400"
2018. 03. 11.,0.169669,0.179255,0.153101,0.161120,"8,714,740"
2018. 03. 10.,0.160923,0.177056,0.160923,0.168647,"8,245,420"
2018. 03. 09.,0.168227,0.168923,0.150714,0.164652,"11,478,600"
2018. 03. 08.,0.164952,0.185804,0.162967,0.176580,"12,021,900"
2018. 03. 07.,0.176598,0.199253,0.165035,0.190250,"18,907,400"
2018. 03. 06.,0.189021,0.215692,0.188590,0.213351,"18,815,600"
2018. 03. 05.,0.214232,0.230372,0.214232,0.227786,"9,874,860"
2018. 03. 04.,0.227727,0.227727,0.209579,0.216346,"8,802,090"
2018. 03. 03.,0.216669,0.234551,0.207741,0.229867,"17,722,500"
2018. 03. 02.,0.229927,0.240513,0.227286,0.238805,"10,685,700"
2018. 03. 01.,0.239448,0.245840,0.220598,0.220915,"20,483,300"
2018. 02. 28.,0.221125,0.234316,0.213312,0.220248,"15,923,400"
2018. 02. 27.,0.220290,0.226355,0.217080,0.220645,"10,929,600"
2018. 02. 26.,0.221245,0.223617,0.209016,0.214863,"6,292,130"
2018. 02. 25.,0.215301,0.218646,0.208655,0.215973,"6,867,630"
2018. 02. 24.,0.215549,0.233130,0.213508,0.226998,"11,762,500"
2018. 02. 23.,0.227106,0.235394,0.216613,0.224579,"12,785,300"
2018. 02. 22.,0.224641,0.252661,0.209641,0.218098,"23,681,500"
2018. 02. 21.,0.218266,0.247516,0.216793,0.247516,"19,621,600"
2018. 02. 20.,0.246748,0.270194,0.244952,0.268055,"20,455,000"
