,close,high,low,open,volume
2018. 03. 21.,0.213189,0.227502,0.201448,0.205315,"257,686,000"
2018. 03. 20.,0.204947,0.212004,0.180294,0.193447,"249,683,000"
2018. 03. 19.,0.197648,0.197648,0.156935,0.160749,"321,964,000"
2018. 03. 18.,0.156155,0.161959,0.127046,0.153931,"189,689,000"
2018. 03. 17.,0.154763,0.179160,0.153132,0.178770,"81,096,600"
2018. 03. 16.,0.178878,0.186788,0.175057,0.186788,"97,455,300"
2018. 03. 15.,0.185709,0.201611,0.172485,0.198755,"204,233,000"
2018. 03. 14.,0.199562,0.233147,0.196005,0.223430,"144,156,000"
2018. 03. 13.,0.223026,0.229146,0.215402,0.223110,"98,868,700"
2018. 03. 12.,0.223722,0.237342,0.219654,0.224104,"184,250,000"
2018. 03. 11.,0.223498,0.227322,0.198153,0.209721,"161,362,000"
2018. 03. 10.,0.209873,0.226558,0.208859,0.225216,"129,138,000"
2018. 03. 09.,0.222207,0.225115,0.191804,0.221286,"246,849,000"
2018. 03. 08.,0.221743,0.254354,0.221131,0.248160,"167,809,000"
2018. 03. 07.,0.247281,0.287598,0.236256,0.284674,"190,793,000"
2018. 03. 06.,0.285357,0.303019,0.283993,0.295947,"110,305,000"
2018. 03. 05.,0.297622,0.317723,0.291055,0.299897,"202,675,000"
2018. 03. 04.,0.300787,0.303588,0.286193,0.296285,"94,436,000"
2018. 03. 03.,0.297106,0.309129,0.292507,0.292952,"115,320,000"
2018. 03. 02.,0.293504,0.307058,0.288875,0.304424,"107,240,000"
2018. 03. 01.,0.304397,0.311973,0.288392,0.311973,"184,691,000"
2018. 02. 28.,0.312581,0.336163,0.312563,0.334486,"114,757,000"
2018. 02. 27.,0.335536,0.341189,0.330971,0.339132,"106,757,000"
2018. 02. 26.,0.338335,0.346955,0.322210,0.345272,"201,813,000"
2018. 02. 25.,0.344033,0.354572,0.314411,0.322152,"247,808,000"
2018. 02. 24.,0.322966,0.352488,0.316064,0.343668,"133,524,000"
2018. 02. 23.,0.345258,0.351240,0.322811,0.334758,"222,509,000"
2018. 02. 22.,0.337871,0.372116,0.330518,0.362651,"208,342,000"
2018. 02. 21.,0.364441,0.383513,0.363394,0.375593,"242,378,000"
2018. 02. 20.,0.378779,0.404329,0.377539,0.390942,"281,250,000"
2018. 02. 19.,0.391472,0.396608,0.386224,0.386930,"169,966,000"
2018. 02. 18.,0.385618,0.420010,0.380787,0.418355,"251,314,000"
2018. 02. 17.,0.419883,0.428074,0.401056,0.402403,"341,415,000"
2018. 02. 16.,0.403810,0.412404,0.392676,0.410142,"192,420,000"
2018. 02. 15.,0.409368,0.416687,0.389937,0.394671,"348,342,000"
2018. 02. 14.,0.396908,0.401321,0.370393,0.373766,"299,009,000"
2018. 02. 13.,0.373314,0.387018,0.359920,0.383436,"225,695,000"
2018. 02. 12.,0.384315,0.393307,0.372595,0.372595,"243,039,000"
2018. 02. 11.,0.369769,0.405196,0.363624,0.405104,"331,944,000"
2018. 02. 10.,0.405872,0.462766,0.385368,0.386671,"951,824,000"
2018. 02. 09.,0.391602,0.394133,0.342911,0.352848,"401,271,000"
