,close,high,low,open,volume
2018. 03. 21.,0.445421,0.455803,0.390060,0.392459,"12,823,600"
2018. 03. 20.,0.391713,0.401789,0.361059,0.387416,"8,897,510"
2018. 03. 19.,0.381644,0.386310,0.353199,0.371102,"8,994,920"
2018. 03. 18.,0.373338,0.380326,0.284184,0.372332,"9,742,300"
2018. 03. 17.,0.373861,0.423994,0.366734,0.423994,"9,340,520"
2018. 03. 16.,0.424420,0.442162,0.416015,0.417999,"10,271,100"
2018. 03. 15.,0.419737,0.444595,0.396093,0.442636,"8,460,960"
2018. 03. 14.,0.443609,0.577406,0.431777,0.566199,"5,288,160"
2018. 03. 13.,0.563841,0.565642,0.504771,0.507505,"4,227,540"
2018. 03. 12.,0.510198,0.563421,0.496240,0.510991,"5,513,180"
2018. 03. 11.,0.513524,0.516688,0.446866,0.465669,"2,527,380"
2018. 03. 10.,0.467710,0.511314,0.466054,0.478701,"2,491,710"
2018. 03. 09.,0.480877,0.492362,0.431485,0.485427,"3,412,130"
2018. 03. 08.,0.486422,0.523540,0.461371,0.517473,"3,397,200"
2018. 03. 07.,0.521148,0.567519,0.455621,0.533835,"5,364,650"
2018. 03. 06.,0.533870,0.583690,0.529083,0.583690,"3,218,950"
2018. 03. 05.,0.586738,0.608093,0.576373,0.594186,"4,530,590"
2018. 03. 04.,0.592818,0.640109,0.574630,0.629218,"4,243,320"
2018. 03. 03.,0.628706,0.669431,0.615337,0.652153,"3,547,810"
2018. 03. 02.,0.652742,0.673799,0.646619,0.661663,"3,763,040"
2018. 03. 01.,0.663065,0.680856,0.649849,0.662293,"3,992,240"
2018. 02. 28.,0.661447,0.740327,0.661052,0.724143,"4,943,770"
2018. 02. 27.,0.723957,0.735180,0.676655,0.691860,"5,426,840"
2018. 02. 26.,0.691446,0.698348,0.641757,0.672751,"4,113,690"
2018. 02. 25.,0.675715,0.699827,0.636775,0.646013,"5,793,540"
2018. 02. 24.,0.650958,0.718403,0.618498,0.676026,"5,582,380"
2018. 02. 23.,0.674791,0.676693,0.572225,0.601214,"6,902,820"
2018. 02. 22.,0.601923,0.713841,0.584273,0.654794,"5,678,200"
2018. 02. 21.,0.653669,0.734271,0.623681,0.695364,"7,049,450"
2018. 02. 20.,0.699926,0.820339,0.698196,0.771259,"11,664,800"
2018. 02. 19.,0.774362,0.875907,0.710500,0.760064,"29,965,000"
2018. 02. 18.,0.761761,0.781357,0.587149,0.676664,"15,946,800"
2018. 02. 17.,0.672487,0.683901,0.636546,0.644339,"8,038,940"
2018. 02. 16.,0.639628,0.666601,0.557657,0.561803,"9,385,160"
2018. 02. 15.,0.565251,0.579358,0.529747,0.568245,"7,288,970"
2018. 02. 14.,0.568253,0.587916,0.532434,0.564205,"11,953,100"
2018. 02. 13.,0.570759,0.624750,0.482524,0.488930,"30,283,200"
2018. 02. 12.,0.490282,0.519708,0.414619,0.417541,"7,646,360"
2018. 02. 11.,0.416157,0.435649,0.378313,0.419716,"2,544,010"
2018. 02. 10.,0.419874,0.480114,0.400166,0.435503,"3,474,900"
2018. 02. 09.,0.435194,0.440020,0.391976,0.412028,"3,047,610"
2018. 02. 08.,0.411080,0.433127,0.375524,0.375524,"5,285,960"
2018. 02. 07.,0.376771,0.443644,0.373128,0.425813,"5,201,810"
2018. 02. 06.,0.425248,0.438514,0.272057,0.343707,"6,105,750"
2018. 02. 05.,0.341506,0.437098,0.307245,0.430158,"4,347,320"
2018. 02. 04.,0.434371,0.525754,0.403487,0.518612,"5,171,480"
2018. 02. 03.,0.518558,0.544792,0.453403,0.500117,"5,826,330"
2018. 02. 02.,0.494574,0.523837,0.351950,0.518440,"7,123,780"
2018. 02. 01.,0.520347,0.623401,0.480307,0.619959,"6,605,630"
2018. 01. 31.,0.620146,0.624020,0.565813,0.598872,"6,957,010"
2018. 01. 30.,0.596778,0.700005,0.562775,0.700005,"5,598,540"
2018. 01. 29.,0.697712,0.761525,0.685925,0.756799,"5,220,320"
2018. 01. 28.,0.760601,0.855933,0.751998,0.789529,"9,034,380"
2018. 01. 27.,0.780675,0.846373,0.689705,0.710961,"14,915,400"
2018. 01. 26.,0.709853,0.787677,0.678423,0.756811,"5,618,280"
2018. 01. 25.,0.760437,0.832663,0.720689,0.800383,"6,271,900"
2018. 01. 24.,0.792863,0.834116,0.766961,0.798848,"6,451,640"
2018. 01. 23.,0.801917,0.862839,0.718654,0.802235,"7,552,930"
2018. 01. 22.,0.802858,1.02,0.734843,0.905794,"12,408,600"
2018. 01. 21.,0.887828,1.20,0.840487,1.20,"22,703,900"
2018. 01. 20.,1.22,1.22,0.805499,0.820674,"13,848,900"
2018. 01. 19.,0.812905,0.908227,0.703131,0.739170,"7,383,730"
2018. 01. 18.,0.744230,0.819820,0.691333,0.702454,"5,953,820"
2018. 01. 17.,0.698634,0.768202,0.479321,0.751847,"7,658,770"
2018. 01. 16.,0.756453,0.881772,0.524756,0.881772,"8,988,860"
2018. 01. 15.,0.877688,1.04,0.848422,1.01,"8,351,260"
2018. 01. 14.,1.01,1.15,0.941085,1.11,"5,844,480"
2018. 01. 13.,1.10,1.28,1.05,1.05,"12,319,900"
2018. 01. 12.,1.05,1.14,0.989549,1.03,"9,231,200"
2018. 01. 11.,1.01,1.29,0.972191,1.18,"10,009,300"
2018. 01. 10.,1.19,1.26,1.09,1.24,"11,260,700"
2018. 01. 09.,1.23,1.42,1.18,1.38,"14,301,200"
2018. 01. 08.,1.38,1.44,1.05,1.27,"25,545,400"
2018. 01. 07.,1.27,1.32,1.01,1.09,"23,308,800"
2018. 01. 06.,1.06,1.19,0.938462,0.964796,"16,319,300"
2018. 01. 05.,0.907486,1.26,0.851669,0.958734,"23,599,300"
2018. 01. 04.,0.984368,1.02,0.680094,0.680094,"24,679,000"
2018. 01. 03.,0.681167,0.704250,0.629135,0.669799,"8,620,400"
2018. 01. 02.,0.673712,0.764335,0.585715,0.729082,"12,671,100"
2018. 01. 01.,0.733563,0.736103,0.574218,0.600415,"11,506,300"
2017. 12. 31.,0.601552,0.613538,0.524516,0.558809,"9,962,080"
2017. 12. 30.,0.586128,0.586128,0.433333,0.488004,"9,126,190"
2017. 12. 29.,0.486348,0.518447,0.461160,0.508161,"5,757,530"
2017. 12. 28.,0.506697,0.513637,0.436507,0.502782,"5,458,410"
2017. 12. 27.,0.505501,0.530669,0.460536,0.515710,"6,065,390"
2017. 12. 26.,0.521421,0.549637,0.435954,0.506289,"10,452,900"
2017. 12. 25.,0.501933,0.584542,0.488990,0.549337,"7,740,550"
2017. 12. 24.,0.544162,0.604374,0.443830,0.584562,"15,183,200"
2017. 12. 23.,0.577680,0.723386,0.439272,0.439272,"24,055,000"
2017. 12. 22.,0.426878,0.456331,0.283609,0.427648,"14,979,800"
2017. 12. 21.,0.424287,0.466434,0.368811,0.378562,"12,030,600"
2017. 12. 20.,0.372796,0.438729,0.352756,0.438729,"10,481,200"
2017. 12. 19.,0.439356,0.508603,0.415128,0.431075,"13,254,800"
2017. 12. 18.,0.434907,0.434907,0.362783,0.418269,"18,220,400"
2017. 12. 17.,0.417596,0.444421,0.339906,0.341848,"20,035,600"
2017. 12. 16.,0.341393,0.352860,0.293005,0.318199,"13,859,700"
2017. 12. 15.,0.320793,0.354452,0.258224,0.312604,"13,211,800"
2017. 12. 14.,0.308503,0.366843,0.253102,0.261320,"16,021,700"
2017. 12. 13.,0.261878,0.288013,0.224191,0.231428,"10,439,800"
2017. 12. 12.,0.231424,0.270264,0.209596,0.254114,"10,320,200"
