,close,high,low,open,volume
2018. 03. 21.,0.085072,0.095202,0.082141,0.083276,"18,044,800"
2018. 03. 20.,0.082821,0.085295,0.074977,0.082327,"15,575,800"
2018. 03. 19.,0.081946,0.082434,0.073905,0.075261,"15,042,600"
2018. 03. 18.,0.075235,0.083827,0.061649,0.083827,"15,323,400"
2018. 03. 17.,0.083596,0.096932,0.078594,0.078594,"20,818,900"
2018. 03. 16.,0.078892,0.086702,0.065241,0.072808,"12,912,000"
2018. 03. 15.,0.072425,0.079105,0.062513,0.071657,"11,052,400"
2018. 03. 14.,0.071784,0.085618,0.068320,0.083925,"1,425,200"
2018. 03. 13.,0.083375,0.089082,0.079635,0.082745,"1,626,300"
2018. 03. 12.,0.083083,0.094532,0.080215,0.090391,"2,061,750"
2018. 03. 11.,0.090780,0.093067,0.083789,0.086432,"1,289,810"
2018. 03. 10.,0.086882,0.101671,0.085049,0.088345,"2,145,170"
2018. 03. 09.,0.088368,0.095900,0.076111,0.093166,"2,710,110"
2018. 03. 08.,0.093688,0.111534,0.093147,0.104108,"2,473,430"
2018. 03. 07.,0.104434,0.117231,0.092622,0.113192,"3,095,550"
2018. 03. 06.,0.114237,0.129210,0.112229,0.129210,"2,752,970"
2018. 03. 05.,0.129198,0.143546,0.128628,0.143546,"3,524,160"
2018. 03. 04.,0.144745,0.144745,0.122193,0.130232,"5,604,570"
2018. 03. 03.,0.129646,0.152416,0.125632,0.135001,"18,291,800"
2018. 03. 02.,0.134284,0.145727,0.112172,0.119074,"9,199,380"
2018. 03. 01.,0.119143,0.127978,0.108878,0.121377,"4,959,020"
2018. 02. 28.,0.121067,0.137762,0.121067,0.137147,"2,771,260"
2018. 02. 27.,0.137496,0.145218,0.134663,0.138280,"2,024,610"
2018. 02. 26.,0.137750,0.146009,0.128754,0.133387,"2,453,220"
2018. 02. 25.,0.132927,0.139130,0.129248,0.138600,"2,239,880"
2018. 02. 24.,0.138509,0.152737,0.133910,0.149990,"2,097,460"
2018. 02. 23.,0.150331,0.157566,0.138058,0.143229,"2,955,450"
2018. 02. 22.,0.143726,0.172859,0.136916,0.157253,"8,387,350"
2018. 02. 21.,0.158174,0.169725,0.143922,0.152952,"7,315,490"
2018. 02. 20.,0.152624,0.181542,0.150206,0.171003,"7,388,910"
2018. 02. 19.,0.170757,0.176952,0.168884,0.170155,"3,803,700"
2018. 02. 18.,0.170392,0.191346,0.170392,0.188874,"3,916,680"
2018. 02. 17.,0.188849,0.193908,0.178227,0.180116,"6,067,740"
2018. 02. 16.,0.180127,0.184471,0.171364,0.184471,"6,439,340"
2018. 02. 15.,0.184557,0.189984,0.165466,0.183054,"8,056,040"
