,close,high,low,open,volume
2018. 03. 21.,5.97,6.22,5.92,5.95,"190,811"
2018. 03. 20.,5.94,6.07,5.67,5.82,"207,155"
2018. 03. 19.,5.76,5.90,5.43,5.57,"193,693"
2018. 03. 18.,5.59,5.65,4.90,5.44,"171,410"
2018. 03. 17.,5.45,5.74,5.28,5.56,"163,253"
2018. 03. 16.,5.55,5.92,5.33,5.53,"156,455"
2018. 03. 15.,5.54,5.80,5.30,5.66,"167,793"
2018. 03. 14.,5.67,6.36,5.52,6.31,"179,215"
2018. 03. 13.,6.31,6.54,6.08,6.27,"183,321"
2018. 03. 12.,6.31,6.83,6.08,6.59,"190,167"
2018. 03. 11.,6.61,6.71,5.77,6.14,"202,158"
2018. 03. 10.,6.17,7.19,6.16,6.48,"161,475"
2018. 03. 09.,6.39,6.58,5.87,6.51,"174,264"
2018. 03. 08.,6.55,7.07,6.18,6.74,"219,819"
2018. 03. 07.,6.75,7.57,6.53,7.07,"187,585"
2018. 03. 06.,7.08,7.94,7.03,7.72,"207,085"
2018. 03. 05.,7.74,8.35,7.74,8.07,"203,453"
2018. 03. 04.,8.07,8.07,7.35,7.66,"223,217"
2018. 03. 03.,7.67,8.20,7.61,7.61,"207,375"
2018. 03. 02.,7.62,7.94,6.88,7.72,"236,755"
2018. 03. 01.,7.74,7.86,7.17,7.23,"228,919"
2018. 02. 28.,7.22,7.94,7.21,7.57,"221,555"
2018. 02. 27.,7.58,8.13,7.35,7.55,"197,092"
2018. 02. 26.,7.54,7.70,4.91,5.00,"584,096"
2018. 02. 25.,5.00,5.85,4.94,5.05,"160,178"
2018. 02. 24.,5.06,7.21,4.87,7.00,"246,365"
2018. 02. 23.,7.01,7.48,6.73,6.90,"223,644"
2018. 02. 22.,6.90,8.33,6.90,7.42,"204,170"
2018. 02. 21.,7.44,8.28,7.31,7.87,"246,430"
2018. 02. 20.,7.88,8.43,7.79,7.82,"250,160"
2018. 02. 19.,7.81,8.10,7.25,7.37,"244,694"
2018. 02. 18.,7.41,7.90,7.25,7.77,"220,972"
2018. 02. 17.,7.74,7.84,7.26,7.35,"213,704"
2018. 02. 16.,7.35,7.50,6.94,7.36,"237,226"
2018. 02. 15.,7.40,7.43,6.60,6.73,"291,015"
2018. 02. 14.,6.73,6.99,6.04,6.11,"270,863"
2018. 02. 13.,6.12,6.77,6.09,6.68,"234,572"
2018. 02. 12.,6.67,7.15,6.34,6.34,"242,505"
2018. 02. 11.,6.30,6.80,6.18,6.58,"256,794"
2018. 02. 10.,6.59,6.93,6.30,6.52,"219,768"
2018. 02. 09.,6.52,6.61,5.89,6.20,"233,753"
2018. 02. 08.,6.18,6.62,5.68,5.68,"227,961"
2018. 02. 07.,5.70,6.59,5.48,6.01,"214,807"
2018. 02. 06.,6.07,6.24,4.58,5.19,"232,054"
2018. 02. 05.,5.19,5.96,5.00,5.75,"200,343"
2018. 02. 04.,5.81,6.92,5.55,6.56,"165,875"
2018. 02. 03.,6.56,7.03,5.91,6.52,"241,164"
2018. 02. 02.,6.50,7.19,5.65,7.07,"281,134"
2018. 02. 01.,7.08,7.77,6.47,7.53,"314,148"
2018. 01. 31.,7.51,8.33,7.04,7.51,"302,624"
2018. 01. 30.,7.50,9.18,7.30,9.18,"289,948"
2018. 01. 29.,9.18,9.76,8.26,9.74,"365,889"
2018. 01. 28.,9.75,10.51,9.15,9.91,"322,684"
2018. 01. 27.,9.86,10.01,8.05,8.50,"359,222"
2018. 01. 26.,8.51,8.53,7.44,8.19,"340,294"
2018. 01. 25.,8.21,9.91,7.62,9.29,"500,884"
2018. 01. 24.,9.44,9.90,8.02,8.21,"492,204"
2018. 01. 23.,8.22,10.04,6.00,6.17,"439,884"
2018. 01. 22.,6.19,6.71,5.59,6.02,"309,640"
2018. 01. 21.,5.94,6.87,5.60,6.01,"261,157"
2018. 01. 20.,6.00,6.71,5.46,5.46,"284,248"
2018. 01. 19.,5.40,6.01,5.28,5.53,"243,618"
2018. 01. 18.,5.59,6.00,5.03,5.26,"244,062"
2018. 01. 17.,5.25,5.94,4.75,5.06,"207,634"
2018. 01. 16.,5.08,6.47,4.71,6.27,"260,616"
2018. 01. 15.,6.26,6.45,5.45,5.61,"288,491"
2018. 01. 14.,5.65,5.95,5.25,5.89,"243,345"
2018. 01. 13.,5.89,7.14,5.56,5.84,"223,126"
2018. 01. 12.,5.85,5.95,4.58,4.85,"246,558"
2018. 01. 11.,4.68,5.16,4.53,5.09,"216,173"
2018. 01. 10.,5.10,5.34,4.69,4.82,"233,026"
2018. 01. 09.,5.10,5.55,4.90,5.09,"226,738"
2018. 01. 08.,5.10,6.19,4.91,5.85,"259,155"
2018. 01. 07.,5.86,6.08,5.30,5.68,"279,392"
2018. 01. 06.,5.68,6.21,5.02,5.27,"265,244"
2018. 01. 05.,5.27,5.58,4.64,5.01,"261,749"
2018. 01. 04.,5.01,5.01,4.15,4.57,"238,233"
2018. 01. 03.,4.54,4.94,4.30,4.61,"230,339"
2018. 01. 02.,4.63,5.11,3.87,4.59,"314,199"
2018. 01. 01.,4.59,5.43,4.34,5.03,"244,629"
2017. 12. 31.,5.01,5.74,3.90,3.94,"353,947"
2017. 12. 30.,3.99,4.93,3.78,4.93,"109,532"
2017. 12. 29.,4.94,5.10,4.42,4.92,"243,391"
2017. 12. 28.,4.87,5.12,4.15,4.35,"192,984"
