,close,high,low,open,volume
2018. 03. 21.,434.51,450.64,424.79,429.15,"115,173,000"
2018. 03. 20.,428.88,442.05,399.17,412.49,"109,677,000"
2018. 03. 19.,409.32,409.32,368.52,392.32,"113,994,000"
2018. 03. 18.,394.15,394.15,342.51,388.19,"117,296,000"
2018. 03. 17.,387.28,427.39,383.16,426.30,"95,970,500"
2018. 03. 16.,425.52,432.67,402.88,418.54,"97,572,200"
2018. 03. 15.,418.24,431.43,393.74,425.95,"93,514,000"
2018. 03. 14.,426.25,493.49,419.03,487.36,"96,938,400"
2018. 03. 13.,487.37,514.01,479.87,499.24,"83,317,100"
2018. 03. 12.,501.30,549.33,486.33,531.15,"85,381,400"
2018. 03. 11.,531.80,548.40,469.99,483.60,"100,122,000"
2018. 03. 10.,484.35,528.35,479.01,499.36,"91,266,100"
2018. 03. 09.,499.50,499.86,440.97,492.66,"113,806,000"
2018. 03. 08.,493.82,531.48,484.65,511.74,"104,108,000"
2018. 03. 07.,513.74,586.74,501.81,578.14,"108,981,000"
2018. 03. 06.,578.51,613.68,564.19,613.68,"118,674,000"
2018. 03. 05.,614.58,621.26,608.79,620.88,"121,584,000"
2018. 03. 04.,620.49,621.47,594.71,610.00,"118,065,000"
2018. 03. 03.,610.52,615.06,595.72,602.16,"111,384,000"
2018. 03. 02.,603.63,620.54,597.55,616.47,"102,460,000"
2018. 03. 01.,617.53,622.67,582.31,584.14,"104,167,000"
2018. 02. 28.,584.29,621.40,584.29,615.00,"99,014,400"
2018. 02. 27.,615.85,644.30,608.42,622.41,"93,478,200"
2018. 02. 26.,621.27,629.42,581.29,591.43,"73,748,300"
2018. 02. 25.,591.69,602.26,578.82,594.43,"71,436,300"
2018. 02. 24.,595.01,645.01,579.09,631.36,"85,813,200"
2018. 02. 23.,631.66,650.14,607.84,631.64,"83,578,600"
2018. 02. 22.,632.96,687.65,599.44,669.85,"102,483,000"
2018. 02. 21.,670.38,721.25,667.52,688.38,"132,954,000"
2018. 02. 20.,685.04,738.74,685.04,728.99,"126,208,000"
2018. 02. 19.,728.73,731.11,687.22,687.70,"89,328,600"
2018. 02. 18.,689.28,747.42,673.57,744.09,"96,752,600"
2018. 02. 17.,742.16,748.89,693.64,699.13,"116,106,000"
2018. 02. 16.,698.86,722.02,684.28,702.53,"100,343,000"
2018. 02. 15.,703.86,705.67,667.21,679.79,"116,822,000"
2018. 02. 14.,678.98,685.12,593.59,593.59,"138,992,000"
2018. 02. 13.,595.47,625.75,583.40,622.12,"73,287,300"
2018. 02. 12.,620.56,626.77,582.83,582.83,"76,646,200"
2018. 02. 11.,580.02,633.43,561.91,633.43,"81,111,400"
2018. 02. 10.,634.10,672.16,604.84,639.42,"116,397,000"
2018. 02. 09.,637.82,638.33,577.45,606.76,"93,581,200"
2018. 02. 08.,605.00,609.47,520.91,520.91,"90,716,700"
2018. 02. 07.,521.99,584.48,493.67,524.70,"79,763,600"
2018. 02. 06.,528.50,533.55,383.97,454.17,"114,171,000"
2018. 02. 05.,451.43,553.60,435.42,545.32,"78,015,400"
2018. 02. 04.,549.96,649.37,533.99,637.01,"80,706,600"
2018. 02. 03.,637.37,645.85,533.25,589.17,"83,763,700"
2018. 02. 02.,586.88,616.62,453.43,616.62,"143,263,000"
2018. 02. 01.,617.04,704.55,582.21,698.79,"109,256,000"
2018. 01. 31.,697.46,699.31,654.86,678.93,"97,657,100"
2018. 01. 30.,676.91,781.68,675.32,767.73,"112,419,000"
2018. 01. 29.,767.69,818.31,747.13,811.84,"114,750,000"
2018. 01. 28.,812.24,815.91,767.28,777.05,"122,949,000"
2018. 01. 27.,773.84,788.67,753.37,782.87,"115,618,000"
2018. 01. 26.,782.41,815.83,741.85,793.92,"100,517,000"
2018. 01. 25.,795.65,819.09,782.13,788.77,"114,378,000"
2018. 01. 24.,775.11,797.54,734.41,757.11,"116,898,000"
2018. 01. 23.,757.34,796.99,692.93,763.13,"110,265,000"
2018. 01. 22.,763.20,847.58,710.57,825.69,"100,651,000"
2018. 01. 21.,818.27,930.18,802.41,928.13,"109,775,000"
2018. 01. 20.,926.12,959.04,848.98,853.05,"162,376,000"
2018. 01. 19.,846.16,875.40,805.67,833.30,"126,837,000"
2018. 01. 18.,835.49,892.00,760.48,800.02,"172,729,000"
2018. 01. 17.,793.57,827.18,619.58,758.29,"197,477,000"
2018. 01. 16.,759.62,937.57,644.54,937.57,"273,462,000"
2018. 01. 15.,939.19,1030.90,939.19,1006.43,"179,247,000"
2018. 01. 14.,1014.07,1110.54,996.49,1098.06,"168,878,000"
2018. 01. 13.,1100.26,1125.29,1054.88,1054.88,"174,387,000"
2018. 01. 12.,1054.87,1069.42,982.91,1013.06,"142,442,000"
2018. 01. 11.,1007.88,1110.68,973.07,1103.03,"176,591,000"
2018. 01. 10.,1106.36,1117.33,1041.39,1115.48,"231,944,000"
2018. 01. 09.,1111.86,1134.49,1055.21,1085.75,"220,569,000"
2018. 01. 08.,1087.75,1320.28,1007.55,1283.36,"215,239,000"
2018. 01. 07.,1285.43,1394.28,1266.43,1266.43,"230,576,000"
2018. 01. 06.,1265.03,1279.47,1147.49,1157.09,"215,058,000"
2018. 01. 05.,1152.41,1273.36,1151.11,1221.63,"237,504,000"
2018. 01. 04.,1229.79,1316.86,1097.56,1173.71,"284,845,000"
2018. 01. 03.,1170.74,1216.57,1144.69,1208.84,"175,843,000"
2018. 01. 02.,1217.72,1241.70,1055.14,1055.14,"257,110,000"
2018. 01. 01.,1053.98,1072.42,1016.57,1054.07,"138,567,000"
2017. 12. 31.,1051.68,1093.39,985.10,1002.99,"154,690,000"
2017. 12. 30.,1011.47,1147.48,948.24,1147.48,"184,834,000"
2017. 12. 29.,1147.95,1187.55,1070.62,1165.88,"195,177,000"
2017. 12. 28.,1160.57,1188.67,1063.81,1188.51,"190,296,000"
2017. 12. 27.,1189.89,1255.25,1163.47,1227.95,"211,339,000"
2017. 12. 26.,1222.83,1227.72,1169.34,1173.71,"231,985,000"
2017. 12. 25.,1175.89,1235.22,1162.45,1190.53,"195,124,000"
2017. 12. 24.,1184.69,1286.73,1090.21,1286.73,"230,643,000"
2017. 12. 23.,1275.50,1362.96,1160.04,1198.74,"327,129,000"
2017. 12. 22.,1179.01,1452.45,864.37,1441.90,"510,588,000"
2017. 12. 21.,1434.82,1622.26,1371.39,1555.59,"476,900,000"
2017. 12. 20.,1550.85,1642.22,1167.30,1184.92,"816,872,000"
2017. 12. 19.,1186.63,1254.28,1126.85,1165.03,"302,869,000"
2017. 12. 18.,1167.12,1195.74,1044.76,1110.16,"278,638,000"
2017. 12. 17.,1105.92,1178.18,1014.51,1014.51,"460,594,000"
