,close,high,low,open,volume
2018. 03. 21.,0.010892,0.011466,0.010411,0.010639,"1,118,990"
2018. 03. 20.,0.010592,0.012140,0.009688,0.011240,"1,775,840"
2018. 03. 19.,0.011039,0.011039,0.008661,0.008999,"1,270,370"
2018. 03. 18.,0.009092,0.009680,0.006306,0.009680,"2,327,640"
2018. 03. 17.,0.009743,0.011130,0.009716,0.010993,"646,822"
2018. 03. 16.,0.011012,0.011659,0.010551,0.011276,"653,741"
2018. 03. 15.,0.011343,0.011552,0.009429,0.011349,"1,673,380"
2018. 03. 14.,0.011306,0.014537,0.011249,0.014163,"1,053,150"
2018. 03. 13.,0.014221,0.015148,0.013950,0.014864,"748,634"
2018. 03. 12.,0.015001,0.016379,0.014504,0.015057,"1,324,140"
2018. 03. 11.,0.015215,0.015482,0.013339,0.013915,"708,656"
2018. 03. 10.,0.013933,0.016052,0.013798,0.015666,"856,478"
2018. 03. 09.,0.015706,0.015742,0.011237,0.014446,"2,738,870"
2018. 03. 08.,0.014292,0.017230,0.013965,0.016960,"2,476,480"
2018. 03. 07.,0.017056,0.019686,0.016664,0.019362,"2,859,080"
2018. 03. 06.,0.019231,0.022588,0.018143,0.022588,"2,106,600"
2018. 03. 05.,0.022631,0.024394,0.019520,0.021217,"3,787,730"
2018. 03. 04.,0.021164,0.021700,0.019609,0.021655,"3,063,530"
2018. 03. 03.,0.021755,0.023233,0.021507,0.022490,"2,344,930"
2018. 03. 02.,0.022509,0.024260,0.021993,0.024260,"5,779,060"
2018. 03. 01.,0.024274,0.025025,0.023383,0.024322,"2,129,670"
2018. 02. 28.,0.024156,0.027700,0.024156,0.026676,"2,518,610"
2018. 02. 27.,0.026814,0.029006,0.026302,0.028393,"3,975,200"
2018. 02. 26.,0.028532,0.031645,0.028285,0.030329,"6,166,200"
2018. 02. 25.,0.030229,0.031703,0.026633,0.027311,"5,729,270"
2018. 02. 24.,0.027342,0.030454,0.026525,0.029491,"3,135,090"
2018. 02. 23.,0.029578,0.030258,0.026003,0.027772,"5,305,630"
2018. 02. 22.,0.027806,0.038843,0.026809,0.029472,"19,274,800"
2018. 02. 21.,0.029534,0.032360,0.023412,0.024359,"12,174,300"
2018. 02. 20.,0.024214,0.027134,0.023947,0.027068,"2,757,230"
2018. 02. 19.,0.027041,0.027041,0.024197,0.024372,"1,809,150"
2018. 02. 18.,0.024858,0.026491,0.023581,0.026409,"2,216,380"
2018. 02. 17.,0.026204,0.026999,0.025104,0.026258,"2,686,850"
2018. 02. 16.,0.025881,0.026686,0.025163,0.025840,"2,527,020"
2018. 02. 15.,0.025883,0.026668,0.024763,0.025275,"1,782,320"
2018. 02. 14.,0.025295,0.025401,0.022857,0.022857,"2,204,130"
2018. 02. 13.,0.022825,0.024861,0.022259,0.024835,"1,664,020"
2018. 02. 12.,0.024759,0.025236,0.023041,0.023041,"2,353,910"
2018. 02. 11.,0.022928,0.024456,0.021135,0.024310,"2,836,270"
2018. 02. 10.,0.024324,0.028170,0.023425,0.026971,"4,810,050"
2018. 02. 09.,0.027231,0.027417,0.024456,0.025899,"3,423,970"
2018. 02. 08.,0.025718,0.026964,0.022968,0.022968,"3,996,720"
2018. 02. 07.,0.023097,0.027814,0.021721,0.024316,"5,593,420"
2018. 02. 06.,0.024761,0.026574,0.014976,0.018475,"31,767,500"
2018. 02. 05.,0.018518,0.025566,0.016603,0.025010,"10,905,100"
2018. 02. 04.,0.025395,0.032704,0.023838,0.032570,"8,510,830"
2018. 02. 03.,0.032724,0.033194,0.021702,0.024528,"17,538,800"
2018. 02. 02.,0.024429,0.025625,0.015114,0.025625,"13,074,100"
2018. 02. 01.,0.025605,0.031116,0.022787,0.030811,"6,233,370"
2018. 01. 31.,0.030530,0.032281,0.028637,0.032198,"5,722,510"
2018. 01. 30.,0.032162,0.041726,0.030826,0.041273,"10,826,600"
2018. 01. 29.,0.041517,0.044281,0.030680,0.033575,"19,713,600"
2018. 01. 28.,0.033670,0.036219,0.033047,0.034442,"4,320,580"
2018. 01. 27.,0.034036,0.035529,0.032012,0.033398,"5,692,110"
2018. 01. 26.,0.033595,0.035955,0.029266,0.034386,"9,200,790"
2018. 01. 25.,0.034399,0.037840,0.033614,0.035581,"6,338,710"
2018. 01. 24.,0.035048,0.036288,0.032913,0.035049,"9,564,350"
2018. 01. 23.,0.035015,0.037310,0.031261,0.036781,"8,258,470"
2018. 01. 22.,0.036874,0.041826,0.031763,0.040218,"10,722,300"
2018. 01. 21.,0.040003,0.047101,0.036696,0.046414,"11,811,600"
2018. 01. 20.,0.046102,0.048224,0.040863,0.045602,"14,949,800"
2018. 01. 19.,0.045223,0.052479,0.042243,0.050414,"14,086,200"
2018. 01. 18.,0.050982,0.057980,0.045165,0.047985,"33,664,400"
2018. 01. 17.,0.048841,0.050228,0.028985,0.033198,"47,796,100"
2018. 01. 16.,0.032281,0.048130,0.023554,0.048130,"39,028,600"
2018. 01. 15.,0.048057,0.060768,0.046758,0.057359,"17,434,900"
2018. 01. 14.,0.057570,0.064662,0.052371,0.062366,"19,473,900"
2018. 01. 13.,0.062131,0.072902,0.061336,0.071431,"24,048,600"
2018. 01. 12.,0.071606,0.075101,0.060161,0.066505,"36,508,600"
2018. 01. 11.,0.066897,0.091170,0.050222,0.080666,"67,511,500"
2018. 01. 10.,0.082054,0.098446,0.077530,0.098446,"60,780,700"
2018. 01. 09.,0.098937,0.111397,0.075282,0.077552,"91,694,500"
2018. 01. 08.,0.079385,0.079385,0.060972,0.067606,"54,355,300"
2018. 01. 07.,0.068402,0.076360,0.065950,0.074699,"35,168,300"
2018. 01. 06.,0.074576,0.083279,0.062188,0.080390,"46,017,300"
2018. 01. 05.,0.079163,0.090582,0.051619,0.056601,"99,149,400"
2018. 01. 04.,0.057814,0.061723,0.031364,0.034210,"50,990,100"
2018. 01. 03.,0.034140,0.034140,0.024224,0.024224,"20,706,800"
2018. 01. 02.,0.024418,0.027097,0.015468,0.018301,"19,603,700"
2018. 01. 01.,0.018232,0.019881,0.018232,0.019585,"5,310,690"
2017. 12. 31.,0.019647,0.020227,0.017437,0.017588,"6,698,050"
2017. 12. 30.,0.017792,0.022187,0.013706,0.020878,"9,897,250"
2017. 12. 29.,0.021256,0.026457,0.021146,0.026307,"11,519,200"
2017. 12. 28.,0.025965,0.030973,0.022469,0.030357,"16,548,100"
2017. 12. 27.,0.030524,0.031580,0.023980,0.030822,"18,662,600"
2017. 12. 26.,0.030656,0.033993,0.027234,0.031364,"15,522,100"
2017. 12. 25.,0.031876,0.035157,0.017452,0.017452,"20,397,800"
2017. 12. 24.,0.017300,0.017673,0.014514,0.017309,"5,529,310"
2017. 12. 23.,0.016802,0.019554,0.009971,0.010171,"10,870,400"
2017. 12. 22.,0.010105,0.011277,0.007796,0.011149,"3,340,720"
2017. 12. 21.,0.011239,0.012065,0.008802,0.008993,"4,598,290"
2017. 12. 20.,0.009029,0.011084,0.008494,0.010914,"4,331,000"
2017. 12. 19.,0.010571,0.012248,0.009146,0.012234,"6,577,920"
2017. 12. 18.,0.012255,0.015430,0.010471,0.015210,"13,639,400"
2017. 12. 17.,0.015260,0.016914,0.010464,0.010464,"18,240,700"
2017. 12. 16.,0.010633,0.013137,0.003670,0.004140,"13,977,600"
2017. 12. 15.,0.003890,0.004690,0.001589,0.002024,"2,848,350"
2017. 12. 14.,0.002019,0.002151,0.001110,0.001500,"276,798"
2017. 12. 13.,0.001465,0.002569,0.001167,0.002518,"195,124"
2017. 12. 12.,0.002229,0.002455,0.001336,0.002035,"188,663"
2017. 12. 11.,0.002047,0.002756,0.001459,0.002156,"544,152"
2017. 12. 10.,0.002155,0.002677,0.001300,0.001899,"730,487"
2017. 12. 09.,0.001893,0.001944,0.000951,0.001349,"172,638"
2017. 12. 08.,0.001349,0.001383,0.000504,0.000834,"281,786"
2017. 12. 07.,0.000833,0.000861,0.000445,0.000809,"85,600"
2017. 12. 06.,0.000812,0.000843,0.000460,0.000825,"12,789"
2017. 12. 05.,0.000827,0.000876,0.000482,0.000754,"17,640"
2017. 12. 04.,0.000754,0.000754,0.000577,0.000696,"15,092"
2017. 12. 03.,0.000737,0.000806,0.000562,0.000583,"10,689"
2017. 12. 02.,0.000582,0.000871,0.000510,0.000836,"20,056"
2017. 12. 01.,0.000836,0.000882,0.000489,0.000724,"54,860"
2017. 11. 30.,0.000725,0.000815,0.000516,0.000778,"25,281"
2017. 11. 29.,0.000768,0.000938,0.000508,0.000737,"26,240"
2017. 11. 28.,0.000736,0.000811,0.000564,0.000721,"14,403"
2017. 11. 27.,0.000722,0.000794,0.000558,0.000781,"31,549"
2017. 11. 26.,0.000782,0.000875,0.000540,0.000623,"23,360"
2017. 11. 25.,0.000623,0.000895,0.000526,0.000861,"51,572"
2017. 11. 24.,0.000861,0.000871,0.000444,0.000557,"54,951"
2017. 11. 23.,0.000560,0.000632,0.000471,0.000557,"9,880"
2017. 11. 22.,0.000556,0.000665,0.000366,0.000494,"25,858"
2017. 11. 21.,0.000494,0.000665,0.000349,0.000659,"3,584"
2017. 11. 20.,0.000660,0.000667,0.000327,0.000528,"27,912"
2017. 11. 19.,0.000529,0.000561,0.000359,0.000472,"4,626"
2017. 11. 18.,0.000473,0.000611,0.000336,0.000521,"14,254"
2017. 11. 17.,0.000520,0.000552,0.000339,0.000419,"14,264"
2017. 11. 16.,0.000417,0.000417,0.000338,0.000395,"5,788"
2017. 11. 15.,0.000395,0.000549,0.000341,0.000373,"12,251"
2017. 11. 14.,0.000373,0.000576,0.000335,0.000565,"12,183"
2017. 11. 13.,0.000565,0.000576,0.000318,0.000457,"6,082"
2017. 11. 12.,0.000456,0.000499,0.000308,0.000499,"11,737"
2017. 11. 11.,0.000499,0.000568,0.000326,0.000533,"2,815"
2017. 11. 10.,0.000535,0.000542,0.000308,0.000413,"10,655"
2017. 11. 09.,0.000411,0.000475,0.000350,0.000351,"10,869"
2017. 11. 08.,0.000353,0.000577,0.000297,0.000299,"5,275"
2017. 11. 07.,0.000300,0.000555,0.000292,0.000458,"3,939"
2017. 11. 06.,0.000457,0.000506,0.000298,0.000344,"1,274"
2017. 11. 05.,0.000344,0.000466,0.000299,0.000420,"8,821"
2017. 11. 04.,0.000419,0.000419,0.000303,0.000370,"6,243"
2017. 11. 03.,0.000370,0.000474,0.000304,0.000467,"2,740"
2017. 11. 02.,0.000465,0.000530,0.000285,0.000310,"9,203"
2017. 11. 01.,0.000345,0.000408,0.000312,0.000386,"7,782"
2017. 10. 31.,0.000387,0.000513,0.000322,0.000513,"12,888"
2017. 10. 30.,0.000321,0.000534,0.000320,0.000474,"7,257"
2017. 10. 29.,0.000468,0.000474,0.000353,0.000396,"3,982"
2017. 10. 28.,0.000396,0.000421,0.000348,0.000413,"5,287"
2017. 10. 27.,0.000413,0.000503,0.000329,0.000474,"8,506"
2017. 10. 26.,0.000335,0.000528,0.000310,0.000517,"17,162"
2017. 10. 25.,0.000518,0.000700,0.000293,0.000392,"10,556"
2017. 10. 24.,0.000391,0.000455,0.000299,0.000432,"14,884"
2017. 10. 23.,0.000433,0.000509,0.000277,0.000430,"6,782"
2017. 10. 22.,0.000431,0.000485,0.000288,0.000369,"6,688"
2017. 10. 21.,0.000369,0.000481,0.000287,0.000288,"2,220"
2017. 10. 20.,0.000289,0.000526,0.000288,0.000466,"12,497"
2017. 10. 19.,0.000348,0.000530,0.000337,0.000472,"10,028"
2017. 10. 18.,0.000474,0.000932,0.000337,0.000445,"3,958"
2017. 10. 17.,0.000445,0.000510,0.000363,0.000510,"9,066"
