,close,high,low,open,volume
2018. 03. 21.,0.000403,0.000422,0.000387,0.000392,"87,812"
2018. 03. 20.,0.000394,0.000425,0.000373,0.000409,"82,099"
2018. 03. 19.,0.000405,0.000443,0.000383,0.000425,"186,788"
2018. 03. 18.,0.000423,0.000424,0.000349,0.000407,"101,944"
2018. 03. 17.,0.000407,0.000464,0.000406,0.000450,"52,690"
2018. 03. 16.,0.000443,0.000535,0.000443,0.000470,"203,057"
2018. 03. 15.,0.000471,0.000523,0.000429,0.000473,"149,726"
2018. 03. 14.,0.000471,0.000537,0.000443,0.000504,"78,439"
2018. 03. 13.,0.000499,0.000556,0.000494,0.000521,"66,627"
2018. 03. 12.,0.000526,0.000624,0.000511,0.000609,"154,545"
2018. 03. 11.,0.000610,0.000623,0.000508,0.000538,"176,375"
2018. 03. 10.,0.000531,0.000729,0.000506,0.000506,"500,415"
2018. 03. 09.,0.000505,0.000505,0.000419,0.000463,"142,256"
2018. 03. 08.,0.000464,0.000541,0.000458,0.000504,"105,969"
2018. 03. 07.,0.000506,0.000601,0.000481,0.000599,"156,446"
2018. 03. 06.,0.000597,0.000635,0.000551,0.000598,"155,642"
2018. 03. 05.,0.000601,0.000652,0.000573,0.000629,"188,994"
2018. 03. 04.,0.000629,0.000648,0.000590,0.000635,"113,698"
2018. 03. 03.,0.000636,0.000707,0.000616,0.000705,"175,750"
2018. 03. 02.,0.000705,0.000742,0.000664,0.000723,"165,187"
2018. 03. 01.,0.000722,0.000840,0.000547,0.000606,"617,895"
2018. 02. 28.,0.000609,0.000784,0.000609,0.000752,"320,735"
2018. 02. 27.,0.000755,0.000808,0.000753,0.000777,"196,155"
2018. 02. 26.,0.000790,0.000832,0.000776,0.000806,"225,642"
2018. 02. 25.,0.000803,0.000831,0.000741,0.000800,"231,028"
2018. 02. 24.,0.000801,0.000897,0.000776,0.000856,"202,905"
2018. 02. 23.,0.000856,0.000892,0.000815,0.000835,"199,986"
2018. 02. 22.,0.000836,0.000991,0.000798,0.000817,"620,844"
2018. 02. 21.,0.000813,0.000936,0.000803,0.000923,"432,003"
2018. 02. 20.,0.000924,0.001036,0.000918,0.000969,"464,902"
2018. 02. 19.,0.000953,0.001059,0.000937,0.000999,"546,605"
2018. 02. 18.,0.001002,0.001107,0.000988,0.001070,"461,624"
2018. 02. 17.,0.001070,0.001106,0.001028,0.001069,"586,665"
2018. 02. 16.,0.001063,0.001145,0.001050,0.001109,"516,918"
2018. 02. 15.,0.001111,0.001150,0.001076,0.001104,"390,628"
2018. 02. 14.,0.001123,0.001149,0.000981,0.000992,"527,393"
2018. 02. 13.,0.000998,0.001098,0.000978,0.001097,"424,101"
2018. 02. 12.,0.001091,0.001140,0.001037,0.001050,"479,369"
