,close,high,low,open,volume
2018. 03. 21.,0.024236,0.025933,0.023865,0.024935,"2,167,350"
2018. 03. 20.,0.024761,0.025255,0.021576,0.022438,"2,250,430"
2018. 03. 19.,0.022194,0.022338,0.020039,0.020150,"1,669,820"
2018. 03. 18.,0.020386,0.020665,0.016704,0.019956,"2,538,820"
2018. 03. 17.,0.019971,0.022098,0.019613,0.021944,"940,464"
2018. 03. 16.,0.022144,0.022767,0.021423,0.022197,"970,696"
2018. 03. 15.,0.022270,0.022964,0.019918,0.022817,"2,087,190"
2018. 03. 14.,0.022784,0.027483,0.022085,0.026188,"2,044,320"
2018. 03. 13.,0.026232,0.028005,0.025393,0.027206,"1,994,580"
2018. 03. 12.,0.027438,0.030934,0.026057,0.026294,"6,789,180"
2018. 03. 11.,0.026384,0.026733,0.023370,0.024355,"1,486,700"
2018. 03. 10.,0.024459,0.026968,0.024455,0.025683,"1,471,850"
2018. 03. 09.,0.025650,0.027078,0.023204,0.026594,"2,585,470"
2018. 03. 08.,0.026729,0.029250,0.025798,0.027752,"2,348,080"
2018. 03. 07.,0.027783,0.032543,0.026125,0.031103,"4,314,090"
2018. 03. 06.,0.031071,0.034371,0.030479,0.034371,"2,659,290"
2018. 03. 05.,0.034300,0.036499,0.034258,0.035580,"3,065,310"
2018. 03. 04.,0.035613,0.036215,0.033407,0.035049,"2,802,420"
2018. 03. 03.,0.035137,0.036799,0.033509,0.036013,"3,778,450"
2018. 03. 02.,0.036205,0.038559,0.035121,0.036287,"4,526,580"
2018. 03. 01.,0.036329,0.037473,0.032049,0.032343,"7,433,250"
2018. 02. 28.,0.032047,0.037145,0.032045,0.036768,"2,961,010"
2018. 02. 27.,0.036694,0.037592,0.035129,0.035908,"3,948,000"
2018. 02. 26.,0.035726,0.036211,0.032591,0.033932,"3,662,050"
2018. 02. 25.,0.033768,0.034316,0.031805,0.032249,"3,182,620"
2018. 02. 24.,0.032331,0.035222,0.030802,0.033818,"2,803,500"
2018. 02. 23.,0.033849,0.035698,0.031136,0.032705,"3,940,420"
2018. 02. 22.,0.032894,0.039090,0.031840,0.037072,"4,783,060"
2018. 02. 21.,0.036909,0.040716,0.035663,0.039270,"5,419,810"
2018. 02. 20.,0.039330,0.045092,0.038654,0.044072,"7,714,550"
2018. 02. 19.,0.044165,0.045957,0.042545,0.042843,"5,187,730"
2018. 02. 18.,0.043341,0.049385,0.042694,0.048906,"4,765,930"
2018. 02. 17.,0.048623,0.050790,0.043470,0.044008,"8,647,620"
2018. 02. 16.,0.044274,0.044751,0.041585,0.043316,"4,329,510"
2018. 02. 15.,0.043533,0.046047,0.041522,0.042075,"7,854,180"
2018. 02. 14.,0.042289,0.042461,0.035150,0.035340,"5,449,500"
2018. 02. 13.,0.035371,0.038034,0.034633,0.037556,"3,532,400"
2018. 02. 12.,0.037568,0.037943,0.033425,0.033425,"3,263,460"
2018. 02. 11.,0.033386,0.036335,0.032025,0.036335,"3,333,350"
2018. 02. 10.,0.036290,0.042064,0.033831,0.038928,"6,416,990"
2018. 02. 09.,0.038868,0.040281,0.031173,0.033087,"8,434,850"
2018. 02. 08.,0.033066,0.034828,0.030090,0.030090,"3,149,590"
2018. 02. 07.,0.030162,0.036493,0.028824,0.032476,"5,452,160"
2018. 02. 06.,0.032640,0.033038,0.021845,0.026696,"8,080,540"
2018. 02. 05.,0.026610,0.036999,0.025101,0.036208,"7,901,010"
2018. 02. 04.,0.036630,0.044180,0.034465,0.043474,"5,166,060"
2018. 02. 03.,0.043332,0.046405,0.036872,0.042191,"5,807,230"
2018. 02. 02.,0.042335,0.044102,0.032421,0.043752,"10,603,000"
2018. 02. 01.,0.043910,0.053255,0.039817,0.053217,"10,311,400"
2018. 01. 31.,0.053137,0.053665,0.046844,0.050737,"10,773,500"
2018. 01. 30.,0.050588,0.062052,0.049427,0.062012,"12,622,100"
