,close,high,low,open,volume
2018. 03. 21.,374.12,388.50,355.24,357.44,"32,709,600"
2018. 03. 20.,357.17,361.62,338.99,351.27,"24,961,900"
2018. 03. 19.,347.06,359.18,338.13,346.68,"25,688,500"
2018. 03. 18.,348.91,363.55,285.66,363.55,"29,796,100"
2018. 03. 17.,365.02,409.43,358.64,407.77,"33,841,500"
2018. 03. 16.,406.87,420.34,362.76,362.76,"70,182,900"
2018. 03. 15.,365.74,423.06,330.28,330.77,"93,141,500"
2018. 03. 14.,330.15,344.59,278.63,327.12,"26,308,200"
2018. 03. 13.,327.16,348.21,322.00,339.54,"9,458,830"
2018. 03. 12.,340.78,366.61,323.94,358.11,"43,148,100"
2018. 03. 11.,358.12,371.43,330.18,340.22,"9,846,230"
2018. 03. 10.,341.42,390.05,341.42,379.21,"19,341,300"
2018. 03. 09.,380.56,380.56,274.76,328.95,"25,798,900"
2018. 03. 08.,329.93,415.54,329.93,412.24,"20,584,100"
2018. 03. 07.,414.95,492.55,395.69,479.56,"41,197,000"
2018. 03. 06.,480.23,522.26,477.98,496.33,"71,034,300"
2018. 03. 05.,490.25,506.52,483.20,488.10,"27,392,800"
2018. 03. 04.,484.57,543.38,484.32,497.63,"51,848,100"
2018. 03. 03.,504.98,549.99,430.94,489.34,"76,826,500"
2018. 03. 02.,493.29,534.67,470.50,491.54,"69,410,200"
2018. 03. 01.,503.48,596.85,501.54,560.74,"85,953,100"
2018. 02. 28.,555.44,597.66,483.15,493.75,"132,048,000"
2018. 02. 27.,493.13,497.71,400.72,411.37,"60,874,900"
2018. 02. 26.,409.79,430.17,392.74,404.55,"45,753,000"
2018. 02. 25.,404.83,417.10,336.99,367.16,"56,613,900"
2018. 02. 24.,361.45,395.85,351.25,368.09,"61,060,800"
2018. 02. 23.,368.55,375.08,311.66,318.33,"66,226,500"
2018. 02. 22.,314.49,334.99,301.90,314.14,"76,170,000"
2018. 02. 21.,314.48,369.46,289.42,320.51,"147,725,000"
2018. 02. 20.,315.14,322.47,266.78,307.81,"21,428,600"
2018. 02. 19.,308.82,325.10,287.94,319.17,"25,481,500"
2018. 02. 18.,321.83,352.13,244.30,244.30,"101,793,000"
2018. 02. 17.,243.58,250.16,239.89,244.11,"5,858,000"
2018. 02. 16.,244.35,246.46,234.61,242.64,"5,697,400"
2018. 02. 15.,243.76,252.82,233.25,240.03,"8,413,630"
2018. 02. 14.,240.91,269.84,218.18,222.40,"13,226,400"
2018. 02. 13.,222.83,240.78,221.11,236.85,"5,242,110"
2018. 02. 12.,235.32,250.49,226.97,226.97,"7,521,400"
2018. 02. 11.,225.84,251.01,218.70,246.57,"5,787,610"
2018. 02. 10.,246.65,284.12,239.43,280.58,"14,256,500"
2018. 02. 09.,280.57,309.08,275.02,291.52,"1,108,400"
2018. 02. 08.,290.77,302.24,270.04,288.55,"25,517,900"
2018. 02. 07.,285.45,285.45,200.86,216.15,"22,374,900"
2018. 02. 06.,215.90,219.13,161.09,210.81,"14,487,700"
2018. 02. 05.,210.53,329.39,187.76,326.17,"24,027,900"
2018. 02. 04.,333.55,405.73,317.99,382.79,"86,159,000"
2018. 02. 03.,385.89,462.92,337.61,462.92,"139,639,000"
2018. 02. 02.,462.43,491.33,240.74,257.05,"295,958,000"
2018. 02. 01.,259.04,295.39,229.93,234.75,"36,798,700"
2018. 01. 31.,235.00,252.39,207.34,229.41,"19,918,100"
2018. 01. 30.,229.46,271.85,215.27,228.64,"20,256,300"
2018. 01. 29.,228.48,242.31,221.37,240.33,"8,605,110"
2018. 01. 28.,240.30,246.02,228.98,231.21,"10,589,100"
2018. 01. 27.,231.21,255.94,228.88,253.63,"12,693,000"
2018. 01. 26.,257.76,282.86,209.71,210.19,"33,885,900"
2018. 01. 25.,211.41,219.37,184.07,188.52,"8,896,000"
2018. 01. 24.,186.68,191.57,175.46,188.37,"7,644,500"
2018. 01. 23.,188.90,200.33,168.51,179.82,"10,011,200"
2018. 01. 22.,181.37,192.57,165.75,189.06,"7,103,040"
2018. 01. 21.,187.34,209.48,182.79,209.48,"3,901,840"
2018. 01. 20.,208.56,235.66,181.75,181.75,"5,032,470"
2018. 01. 19.,180.17,186.80,176.84,180.66,"5,699,460"
2018. 01. 18.,182.01,205.85,167.96,178.09,"8,602,920"
2018. 01. 17.,176.56,186.19,135.41,181.80,"12,630,100"
2018. 01. 16.,183.07,197.62,148.22,197.44,"11,391,800"
2018. 01. 15.,196.98,221.62,191.27,216.59,"7,760,820"
2018. 01. 14.,216.85,236.82,194.15,233.71,"7,776,240"
2018. 01. 13.,233.97,290.37,205.23,205.23,"24,909,500"
2018. 01. 12.,205.66,211.30,189.69,193.34,"10,826,100"
2018. 01. 11.,190.25,220.04,187.29,217.60,"10,724,500"
2018. 01. 10.,217.93,251.98,204.31,232.84,"15,959,700"
2018. 01. 09.,231.82,350.90,196.03,214.29,"38,671,000"
2018. 01. 08.,214.66,214.66,185.55,191.63,"16,054,100"
2018. 01. 07.,191.61,195.98,184.01,184.03,"18,728,000"
2018. 01. 06.,184.25,195.19,170.44,194.71,"14,394,700"
2018. 01. 05.,194.38,214.41,189.53,192.46,"9,540,220"
2018. 01. 04.,192.85,197.54,172.85,182.06,"7,497,780"
2018. 01. 03.,181.01,182.30,167.69,174.79,"6,781,210"
2018. 01. 02.,175.22,188.72,162.72,162.98,"8,584,280"
2018. 01. 01.,162.92,164.94,148.64,156.60,"5,648,270"
2017. 12. 31.,156.17,163.35,148.94,151.24,"4,100,650"
2017. 12. 30.,153.02,167.21,143.18,167.18,"3,874,190"
2017. 12. 29.,166.80,177.98,157.26,162.37,"5,937,840"
2017. 12. 28.,161.49,180.34,151.17,179.82,"8,336,980"
2017. 12. 27.,180.49,193.33,168.41,168.69,"11,000,700"
2017. 12. 26.,168.38,184.36,163.01,178.75,"5,142,250"
2017. 12. 25.,176.92,189.71,151.23,160.16,"8,434,520"
2017. 12. 24.,159.09,168.02,130.42,148.59,"2,652,420"
2017. 12. 23.,147.56,171.03,137.27,143.18,"5,783,830"
2017. 12. 22.,141.70,175.78,112.00,175.51,"3,678,810"
2017. 12. 21.,174.88,195.26,159.13,162.80,"7,417,970"
2017. 12. 20.,160.20,179.93,152.17,179.93,"4,564,960"
2017. 12. 19.,180.02,203.42,174.90,198.47,"6,728,400"
2017. 12. 18.,194.58,200.19,153.33,167.30,"8,920,950"
2017. 12. 17.,167.13,171.98,139.53,140.61,"4,553,430"
2017. 12. 16.,140.55,181.75,139.04,140.20,"6,380,670"
2017. 12. 15.,139.94,147.21,132.38,141.95,"3,454,150"
2017. 12. 14.,141.69,186.56,135.22,137.83,"6,181,200"
2017. 12. 13.,138.13,146.42,121.65,131.36,"3,085,470"
2017. 12. 12.,132.04,132.25,102.29,103.85,"5,347,810"
2017. 12. 11.,104.10,106.83,97.56,97.81,"1,206,250"
2017. 12. 10.,98.94,105.63,94.70,103.19,"1,587,680"
2017. 12. 09.,102.80,108.03,93.12,105.91,"1,841,250"
2017. 12. 08.,105.98,106.62,85.30,95.60,"2,488,560"
2017. 12. 07.,95.47,106.09,92.42,101.79,"2,054,350"
2017. 12. 06.,101.75,114.86,98.17,114.36,"2,519,830"
2017. 12. 05.,114.62,124.94,112.22,120.66,"2,849,890"
2017. 12. 04.,120.26,122.41,109.40,109.52,"3,164,540"
2017. 12. 03.,109.18,129.40,101.17,101.17,"5,019,730"
2017. 12. 02.,101.08,108.82,100.85,106.30,"2,181,140"
2017. 12. 01.,106.31,107.11,93.32,100.51,"3,101,960"
2017. 11. 30.,100.20,128.59,89.48,95.65,"4,969,090"
2017. 11. 29.,94.82,118.05,91.16,113.45,"2,274,940"
2017. 11. 28.,113.40,149.51,102.67,107.07,"8,561,050"
2017. 11. 27.,106.83,247.18,90.74,90.74,"14,310,800"
2017. 11. 26.,90.80,91.70,86.22,89.89,"333,193"
2017. 11. 25.,89.87,90.92,77.81,79.98,"627,729"
2017. 11. 24.,80.11,82.42,77.28,79.28,"842,438"
2017. 11. 23.,79.46,81.36,75.07,76.25,"459,326"
2017. 11. 22.,76.37,76.49,72.22,72.22,"304,163"
2017. 11. 21.,72.05,73.17,68.45,72.10,"249,355"
2017. 11. 20.,71.98,72.68,70.12,70.81,"224,860"
2017. 11. 19.,70.88,71.65,68.55,70.26,"282,085"
2017. 11. 18.,70.48,76.86,64.89,76.86,"663,901"
2017. 11. 17.,77.06,79.56,76.52,78.39,"184,757"
2017. 11. 16.,78.48,79.39,75.26,76.39,"201,207"
2017. 11. 15.,76.34,79.81,75.47,75.47,"206,867"
2017. 11. 14.,75.24,76.03,70.31,70.31,"295,291"
2017. 11. 13.,70.20,70.80,59.78,59.78,"225,064"
2017. 11. 12.,59.70,63.74,57.49,61.47,"173,134"
2017. 11. 11.,61.53,62.28,57.61,60.39,"272,556"
2017. 11. 10.,60.56,67.80,56.84,65.89,"205,724"
2017. 11. 09.,65.79,68.83,60.21,66.50,"367,306"
2017. 11. 08.,66.56,67.20,64.19,64.44,"171,540"
2017. 11. 07.,64.57,65.35,62.49,62.74,"84,076"
2017. 11. 06.,62.78,64.74,61.71,64.74,"145,552"
2017. 11. 05.,64.71,69.33,64.30,68.90,"125,726"
2017. 11. 04.,68.94,70.61,67.16,69.01,"132,340"
2017. 11. 03.,69.14,75.53,60.96,61.19,"496,137"
2017. 11. 02.,61.16,70.33,53.78,58.17,"300,558"
2017. 11. 01.,58.11,63.63,57.37,63.63,"145,565"
2017. 10. 31.,63.69,64.10,61.11,61.22,"135,088"
2017. 10. 30.,61.32,63.39,59.22,62.18,"246,921"
2017. 10. 29.,62.39,63.46,59.15,59.38,"143,368"
2017. 10. 28.,59.35,59.96,58.54,59.53,"94,438"
2017. 10. 27.,59.45,60.48,58.52,60.00,"104,293"
2017. 10. 26.,60.00,63.82,58.82,63.68,"153,400"
2017. 10. 25.,63.72,64.07,58.63,59.87,"124,232"
2017. 10. 24.,59.85,62.61,57.37,58.82,"156,284"
2017. 10. 23.,58.84,62.39,57.79,62.20,"150,503"
2017. 10. 22.,62.25,64.12,61.94,62.93,"121,451"
2017. 10. 21.,62.99,65.47,62.99,64.52,"162,315"
2017. 10. 20.,64.55,67.23,62.74,64.56,"138,370"
2017. 10. 19.,64.58,72.54,62.63,70.42,"176,507"
2017. 10. 18.,70.52,70.88,65.43,70.42,"129,172"
2017. 10. 17.,70.45,72.29,68.70,71.13,"136,250"
2017. 10. 16.,71.09,74.22,63.53,66.00,"391,412"
2017. 10. 15.,65.56,71.39,65.31,71.37,"183,355"
2017. 10. 14.,71.42,75.80,70.32,73.83,"144,168"
2017. 10. 13.,74.40,74.40,60.11,67.79,"294,264"
2017. 10. 12.,67.55,75.29,66.45,73.47,"261,324"
2017. 10. 11.,73.42,76.44,66.80,66.80,"237,086"
2017. 10. 10.,66.80,71.52,65.98,70.73,"222,425"
2017. 10. 09.,70.71,75.34,70.10,73.55,"243,862"
2017. 10. 08.,73.68,79.30,72.65,77.48,"179,966"
2017. 10. 07.,77.61,78.46,71.16,71.27,"187,754"
2017. 10. 06.,71.16,71.16,68.48,68.85,"142,300"
2017. 10. 05.,68.82,70.01,66.50,69.25,"205,904"
2017. 10. 04.,69.23,72.27,67.85,72.10,"196,332"
2017. 10. 03.,71.95,77.31,70.97,76.94,"335,321"
2017. 10. 02.,76.92,80.29,76.45,79.04,"114,692"
2017. 10. 01.,79.98,80.16,76.74,79.91,"225,355"
2017. 09. 30.,79.88,80.22,78.15,78.73,"117,382"
2017. 09. 29.,78.71,78.93,75.00,78.12,"245,868"
2017. 09. 28.,78.19,78.68,73.37,75.28,"260,764"
2017. 09. 27.,75.29,78.24,70.55,70.62,"290,332"
2017. 09. 26.,70.80,72.58,68.92,71.32,"199,681"
2017. 09. 25.,71.33,72.41,68.33,68.33,"135,737"
2017. 09. 24.,68.36,70.08,67.23,67.70,"111,474"
2017. 09. 23.,67.70,67.82,63.18,63.90,"114,763"
2017. 09. 22.,64.05,66.30,62.41,64.15,"142,469"
2017. 09. 21.,64.24,71.42,62.91,70.54,"138,597"
2017. 09. 20.,70.80,76.92,70.39,76.35,"137,248"
2017. 09. 19.,76.63,78.65,72.16,74.08,"123,964"
2017. 09. 18.,73.92,76.68,65.72,65.72,"177,684"
2017. 09. 17.,65.80,66.37,61.29,64.59,"176,159"
2017. 09. 16.,64.62,72.57,63.11,68.71,"233,470"
2017. 09. 15.,68.84,70.88,53.58,59.36,"258,231"
2017. 09. 14.,58.97,75.90,58.97,74.38,"162,867"
2017. 09. 13.,74.36,77.91,67.03,77.77,"349,869"
2017. 09. 12.,78.00,85.67,76.26,84.88,"209,600"
2017. 09. 11.,85.84,87.96,72.45,79.45,"600,743"
2017. 09. 10.,79.64,94.06,74.83,93.82,"420,146"
2017. 09. 09.,94.00,94.02,74.78,77.89,"390,809"
2017. 09. 08.,78.25,90.44,76.42,90.44,"284,247"
2017. 09. 07.,90.36,92.89,85.27,88.63,"225,027"
2017. 09. 06.,88.75,98.83,73.42,76.97,"765,712"
2017. 09. 05.,76.83,78.75,62.67,71.54,"435,779"
2017. 09. 04.,72.35,91.70,61.65,91.57,"816,708"
2017. 09. 03.,91.50,91.60,82.19,86.28,"531,397"
2017. 09. 02.,84.71,97.88,83.45,97.40,"755,184"
2017. 09. 01.,97.34,101.17,94.63,98.50,"871,656"
2017. 08. 31.,98.48,100.37,97.09,99.99,"402,904"
2017. 08. 30.,100.06,101.65,92.31,100.32,"849,491"
