,close,high,low,open,volume
2018. 03. 21.,0.930243,0.996264,0.887040,0.932144,"1,525,450"
2018. 03. 20.,0.931744,0.953976,0.819893,0.924677,"1,498,040"
2018. 03. 19.,0.915656,0.940083,0.689886,0.773284,"2,562,030"
2018. 03. 18.,0.784364,0.787840,0.514117,0.661094,"2,369,700"
2018. 03. 17.,0.663324,0.818288,0.649264,0.818288,"1,475,180"
2018. 03. 16.,0.817029,0.850084,0.770716,0.790301,"980,523"
2018. 03. 15.,0.792991,0.905836,0.766786,0.876784,"1,858,710"
2018. 03. 14.,0.870639,1.09,0.838472,1.04,"1,612,680"
2018. 03. 13.,1.05,1.12,1.01,1.07,"1,168,520"
2018. 03. 12.,1.06,1.18,1.03,1.13,"1,044,710"
2018. 03. 11.,1.13,1.17,1.02,1.05,"1,011,800"
2018. 03. 10.,1.05,1.20,1.04,1.17,"1,488,370"
2018. 03. 09.,1.17,1.18,0.926473,1.11,"3,506,950"
2018. 03. 08.,1.12,1.31,1.09,1.26,"2,697,660"
2018. 03. 07.,1.27,1.50,1.17,1.47,"2,077,980"
2018. 03. 06.,1.47,1.70,1.35,1.70,"2,901,820"
2018. 03. 05.,1.71,1.76,1.61,1.67,"2,791,180"
2018. 03. 04.,1.68,1.69,1.44,1.48,"2,668,780"
2018. 03. 03.,1.48,1.56,1.46,1.50,"1,918,710"
2018. 03. 02.,1.50,1.51,1.36,1.41,"2,508,080"
2018. 03. 01.,1.42,1.45,1.20,1.20,"2,228,770"
2018. 02. 28.,1.20,1.38,1.20,1.35,"2,242,620"
2018. 02. 27.,1.34,1.48,1.34,1.42,"2,136,860"
2018. 02. 26.,1.42,1.44,1.34,1.39,"1,412,640"
2018. 02. 25.,1.39,1.41,1.29,1.34,"1,758,350"
2018. 02. 24.,1.35,1.53,1.32,1.47,"1,697,040"
2018. 02. 23.,1.46,1.52,1.25,1.30,"2,164,630"
2018. 02. 22.,1.30,1.48,1.24,1.46,"2,666,600"
2018. 02. 21.,1.45,1.65,1.38,1.54,"2,865,930"
2018. 02. 20.,1.54,1.88,1.52,1.85,"4,563,910"
2018. 02. 19.,1.85,1.91,1.79,1.81,"2,375,640"
2018. 02. 18.,1.81,2.01,1.78,1.99,"2,108,840"
2018. 02. 17.,2.01,2.05,1.83,1.89,"2,359,780"
2018. 02. 16.,1.89,2.02,1.69,1.93,"3,665,130"
2018. 02. 15.,1.94,2.06,1.84,2.04,"3,406,740"
2018. 02. 14.,1.99,2.02,1.52,1.53,"4,000,780"
2018. 02. 13.,1.54,1.69,1.44,1.66,"2,674,410"
2018. 02. 12.,1.68,1.71,1.37,1.38,"3,299,450"
2018. 02. 11.,1.35,1.50,1.25,1.45,"2,401,000"
2018. 02. 10.,1.45,1.79,1.36,1.59,"3,225,700"
2018. 02. 09.,1.59,1.68,1.41,1.52,"2,347,860"
2018. 02. 08.,1.51,1.66,1.42,1.42,"2,263,900"
2018. 02. 07.,1.44,1.75,1.32,1.59,"3,328,500"
2018. 02. 06.,1.60,1.75,0.914736,1.28,"5,385,540"
2018. 02. 05.,1.28,1.62,1.03,1.59,"3,969,650"
2018. 02. 04.,1.61,2.01,1.42,2.01,"2,900,980"
2018. 02. 03.,2.01,2.17,1.64,1.88,"3,883,380"
2018. 02. 02.,1.86,1.97,1.16,1.97,"6,316,130"
2018. 02. 01.,1.97,2.35,1.73,2.24,"3,899,860"
2018. 01. 31.,2.23,2.41,2.08,2.20,"3,516,870"
2018. 01. 30.,2.21,2.58,2.02,2.58,"4,674,080"
2018. 01. 29.,2.57,2.83,2.34,2.81,"5,241,770"
2018. 01. 28.,2.85,2.98,2.68,2.90,"5,412,030"
2018. 01. 27.,2.95,3.10,2.27,2.28,"6,334,040"
2018. 01. 26.,2.29,2.34,2.04,2.23,"3,836,800"
2018. 01. 25.,2.22,2.57,2.17,2.44,"4,509,670"
2018. 01. 24.,2.41,2.49,2.28,2.43,"4,067,940"
2018. 01. 23.,2.43,2.57,2.16,2.54,"3,391,630"
2018. 01. 22.,2.55,2.88,2.23,2.70,"3,921,250"
2018. 01. 21.,2.67,3.20,2.58,3.10,"3,738,050"
2018. 01. 20.,3.08,3.12,2.86,3.02,"5,276,380"
2018. 01. 19.,3.00,3.18,2.79,3.03,"4,365,230"
2018. 01. 18.,3.04,3.65,2.96,3.27,"6,580,280"
2018. 01. 17.,3.23,3.43,2.06,2.82,"7,666,870"
2018. 01. 16.,2.86,3.29,2.16,3.26,"9,082,720"
2018. 01. 15.,3.29,3.85,3.19,3.72,"8,476,080"
2018. 01. 14.,3.70,4.31,3.46,4.10,"6,793,310"
2018. 01. 13.,4.09,4.62,3.80,4.38,"10,089,700"
2018. 01. 12.,4.39,4.41,3.81,3.81,"7,709,280"
2018. 01. 11.,3.77,4.87,3.62,4.74,"11,370,700"
2018. 01. 10.,4.75,5.12,4.06,5.12,"16,877,500"
2018. 01. 09.,5.11,5.27,3.94,4.21,"23,710,100"
2018. 01. 08.,4.24,4.64,3.62,4.58,"12,855,100"
2018. 01. 07.,4.62,5.04,4.07,4.31,"22,543,000"
2018. 01. 06.,4.30,4.31,3.15,3.15,"14,449,200"
2018. 01. 05.,3.20,3.58,2.59,2.67,"15,285,000"
2018. 01. 04.,2.67,2.78,2.44,2.78,"8,249,550"
2018. 01. 03.,2.78,2.85,2.15,2.66,"14,808,700"
