,close,high,low,open,volume
2018. 03. 21.,0.031826,0.034785,0.029893,0.034396,"1,658,600"
2018. 03. 20.,0.034423,0.035479,0.032174,0.035479,"1,437,340"
2018. 03. 19.,0.035089,0.035930,0.031934,0.034262,"1,579,380"
2018. 03. 18.,0.034393,0.034407,0.022724,0.032324,"3,355,560"
2018. 03. 17.,0.032292,0.036947,0.031943,0.036132,"1,201,860"
2018. 03. 16.,0.036131,0.038171,0.030683,0.037279,"2,353,510"
2018. 03. 15.,0.037095,0.042280,0.036929,0.040720,"1,731,270"
2018. 03. 14.,0.040669,0.057277,0.039279,0.050646,"2,728,000"
2018. 03. 13.,0.050856,0.054213,0.043070,0.045506,"2,403,890"
2018. 03. 12.,0.046582,0.052782,0.043384,0.051714,"1,185,410"
2018. 03. 11.,0.051958,0.052632,0.047188,0.049137,"832,506"
2018. 03. 10.,0.049097,0.054442,0.048845,0.051712,"914,772"
2018. 03. 09.,0.051420,0.053289,0.045381,0.053060,"1,942,690"
2018. 03. 08.,0.053123,0.058882,0.051399,0.057185,"1,020,060"
2018. 03. 07.,0.056690,0.065972,0.054290,0.063670,"1,686,280"
2018. 03. 06.,0.063571,0.075174,0.061107,0.075174,"2,706,630"
2018. 03. 05.,0.075377,0.078886,0.073742,0.078247,"2,895,610"
2018. 03. 04.,0.077409,0.077441,0.069017,0.074179,"1,657,460"
2018. 03. 03.,0.074010,0.074624,0.069735,0.070439,"1,691,550"
2018. 03. 02.,0.070657,0.076107,0.048965,0.074607,"4,720,690"
2018. 03. 01.,0.074758,0.075640,0.064562,0.065323,"2,357,440"
2018. 02. 28.,0.066200,0.080425,0.066200,0.078107,"2,597,850"
2018. 02. 27.,0.078294,0.081838,0.077170,0.079752,"2,677,500"
2018. 02. 26.,0.079807,0.091663,0.076872,0.088604,"4,624,980"
2018. 02. 25.,0.091615,0.125757,0.073215,0.073651,"3,815,500"
2018. 02. 24.,0.073718,0.078716,0.070155,0.075745,"1,124,070"
2018. 02. 23.,0.075899,0.077709,0.071171,0.073536,"1,223,380"
2018. 02. 22.,0.073580,0.081856,0.071955,0.078950,"1,636,980"
2018. 02. 21.,0.080146,0.083946,0.076263,0.082004,"2,172,660"
2018. 02. 20.,0.081487,0.089202,0.080780,0.087078,"2,682,050"
2018. 02. 19.,0.087340,0.088513,0.082154,0.082398,"1,944,890"
2018. 02. 18.,0.083055,0.091017,0.079618,0.088971,"2,363,230"
2018. 02. 17.,0.088369,0.089432,0.080347,0.081187,"2,463,550"
2018. 02. 16.,0.081203,0.082136,0.070677,0.073999,"3,934,460"
2018. 02. 15.,0.075309,0.077837,0.072774,0.075032,"2,455,530"
2018. 02. 14.,0.075002,0.075205,0.067285,0.067285,"2,147,180"
2018. 02. 13.,0.067781,0.071719,0.067037,0.071181,"2,008,560"
2018. 02. 12.,0.070307,0.072056,0.063827,0.063953,"2,328,010"
2018. 02. 11.,0.063544,0.068566,0.059988,0.068566,"1,776,260"
2018. 02. 10.,0.068583,0.073457,0.065043,0.071940,"2,387,060"
2018. 02. 09.,0.071715,0.073121,0.063186,0.068566,"2,524,640"
2018. 02. 08.,0.068523,0.073951,0.061793,0.061793,"2,762,020"
2018. 02. 07.,0.063433,0.076504,0.055328,0.060830,"5,670,180"
2018. 02. 06.,0.061517,0.061517,0.038976,0.046871,"5,974,180"
2018. 02. 05.,0.046841,0.062340,0.044405,0.060797,"3,271,880"
2018. 02. 04.,0.061692,0.074891,0.059864,0.074660,"2,447,880"
2018. 02. 03.,0.074632,0.077547,0.063691,0.070984,"3,486,120"
2018. 02. 02.,0.071092,0.076436,0.047204,0.068381,"7,095,780"
2018. 02. 01.,0.068511,0.086494,0.060827,0.084918,"4,648,090"
2018. 01. 31.,0.084263,0.085009,0.075461,0.078928,"3,290,500"
2018. 01. 30.,0.078181,0.096201,0.077264,0.094330,"4,369,180"
