,close,high,low,open,volume
2018. 03. 21.,0.275998,0.288471,0.273403,0.275767,24
2018. 03. 20.,0.275269,0.279055,0.258486,0.267148,166
2018. 03. 19.,0.264200,0.268892,0.252177,0.253735,96
2018. 03. 18.,0.254809,0.257450,0.226486,0.244483,51
2018. 03. 17.,0.245079,0.257714,0.240165,0.257178,7
2018. 03. 16.,0.256755,0.265696,0.230668,0.239640,18
2018. 03. 15.,0.239775,0.243867,0.198322,0.211414,67
2018. 03. 14.,0.211509,0.226018,0.200693,0.220956,151
2018. 03. 13.,0.220926,0.233821,0.214307,0.219493,4
2018. 03. 12.,0.220761,0.248199,0.212816,0.239806,35
2018. 03. 11.,0.207644,0.211923,0.204687,0.211923,43
2018. 03. 10.,0.212656,0.240034,0.210724,0.238529,92
2018. 03. 09.,0.238426,0.282091,0.223876,0.278802,129
2018. 03. 08.,0.280579,0.301112,0.271882,0.299269,15
2018. 03. 07.,0.292620,0.326404,0.283348,0.321568,83
2018. 03. 06.,0.321986,0.324309,0.318768,0.319543,92
2018. 03. 05.,0.346982,0.350170,0.342562,0.344928,35
2018. 03. 04.,0.345181,0.381124,0.332928,0.343194,205
2018. 03. 03.,0.343788,0.352136,0.337634,0.337634,46
2018. 03. 02.,0.338047,0.382533,0.284585,0.284585,272
2018. 03. 01.,0.303902,0.305298,0.239415,0.241295,247
2018. 02. 28.,0.240940,0.257845,0.240726,0.249228,293
2018. 02. 27.,0.249522,0.277896,0.245985,0.277074,26
2018. 02. 26.,0.276276,0.280462,0.236564,0.264109,550
2018. 02. 25.,0.263771,0.266764,0.235570,0.243564,14
2018. 02. 24.,0.243934,0.340177,0.236038,0.283498,"1,129"
2018. 02. 23.,0.283857,0.302798,0.241104,0.247205,15
2018. 02. 22.,0.247436,0.283918,0.244811,0.272442,25
2018. 02. 21.,0.272719,0.363862,0.266194,0.281534,271
2018. 02. 20.,0.281885,0.401811,0.278872,0.390890,515
2018. 02. 19.,0.390535,0.391498,0.301665,0.363465,311
2018. 02. 18.,0.365143,0.381312,0.286468,0.311062,72
2018. 02. 17.,0.310111,0.311945,0.294447,0.295270,19
2018. 02. 16.,0.349109,0.363374,0.344813,0.356899,2
2018. 02. 15.,0.358430,0.360861,0.253017,0.284439,15
2018. 02. 14.,0.284284,0.323205,0.265383,0.265383,367
2018. 02. 13.,0.299833,0.315780,0.296492,0.314350,73
2018. 02. 12.,0.313779,0.323517,0.256698,0.306582,193
2018. 02. 11.,0.304641,0.341220,0.241041,0.341220,380
2018. 02. 10.,0.341512,0.350610,0.302690,0.336520,173
2018. 02. 09.,0.336275,0.337737,0.284165,0.298831,237
2018. 02. 08.,0.297914,0.325254,0.294276,0.325254,10
2018. 02. 06.,0.261173,0.268835,0.218921,0.255890,3
2018. 02. 05.,0.255567,0.309054,0.245752,0.302798,3
2018. 02. 04.,0.305764,0.339514,0.292228,0.334551,14
2018. 02. 03.,0.334380,0.406492,0.317556,0.343164,229
2018. 02. 02.,0.341997,0.381149,0.311048,0.381149,141
2018. 02. 01.,0.381937,0.428694,0.362711,0.426852,27
2018. 01. 31.,0.425863,0.434220,0.372055,0.386749,73
2018. 01. 30.,0.386142,0.462000,0.379738,0.442390,252
2018. 01. 29.,0.442244,0.490681,0.424091,0.484410,"1,955"
2018. 01. 28.,0.484873,0.501423,0.424907,0.426203,161
2018. 01. 27.,0.424034,0.497291,0.408412,0.478404,462
2018. 01. 26.,0.478722,0.656079,0.393659,0.635582,225
2018. 01. 25.,0.637276,0.671315,0.395485,0.445064,"5,047"
2018. 01. 24.,0.437860,0.531402,0.422337,0.529415,417
2018. 01. 23.,0.529717,0.532822,0.435394,0.448558,251
2018. 01. 22.,0.603762,0.609273,0.578463,0.593400,"1,194"
2018. 01. 21.,0.585398,0.767233,0.572935,0.767233,"1,158"
2018. 01. 20.,0.765451,0.770554,0.516241,0.516510,617
2018. 01. 19.,0.510957,0.525287,0.391781,0.420852,177
2018. 01. 18.,0.425323,0.448027,0.285676,0.381851,297
2018. 01. 17.,0.366068,0.866355,0.216054,0.844781,"2,297"
2018. 01. 16.,0.849090,1.09,0.395720,1.09,"3,639"
2018. 01. 15.,1.09,1.12,0.752335,0.752765,"4,748"
2018. 01. 14.,0.758264,0.797633,0.610946,0.789420,"1,750"
2018. 01. 13.,0.788905,0.802821,0.642501,0.764839,"2,211"
2018. 01. 12.,0.765713,0.780735,0.563619,0.755325,"2,200"
2018. 01. 11.,0.750368,0.825186,0.552310,0.822187,"1,776"
2018. 01. 10.,0.822960,0.822960,0.532663,0.555115,"2,472"
2018. 01. 09.,0.554389,0.846581,0.541709,0.827389,552
2018. 01. 08.,0.829649,0.839454,0.485826,0.780049,"1,148"
2018. 01. 07.,0.781142,0.792478,0.508909,0.516420,"1,339"
2018. 01. 06.,0.516800,0.833288,0.495844,0.595968,"1,435"
2018. 01. 05.,0.595493,1.13,0.562558,1.13,"3,683"
2018. 01. 04.,1.13,1.23,0.646522,1.22,"3,029"
2018. 01. 03.,1.21,1.21,0.477568,0.477859,"4,644"
2018. 01. 02.,0.479562,0.929329,0.474728,0.900814,"2,222"
2018. 01. 01.,0.900884,0.937109,0.451272,0.468374,"1,973"
2017. 12. 31.,0.466569,0.950004,0.398757,0.442845,"3,228"
2017. 12. 30.,0.447680,0.921161,0.399664,0.724789,"6,662"
2017. 12. 29.,0.726617,0.756281,0.450149,0.452834,"2,330"
2017. 12. 28.,0.448194,0.675009,0.417637,0.543833,"1,030"
2017. 12. 27.,0.544976,0.800826,0.420191,0.630154,"12,623"
2017. 12. 26.,0.629698,0.629698,0.196687,0.196687,"4,444"
2017. 12. 25.,0.196888,0.208073,0.097774,0.103821,209
2017. 12. 24.,0.102753,0.198099,0.098481,0.116851,363
2017. 12. 23.,0.115575,0.241914,0.115049,0.213050,170
2017. 12. 22.,0.211057,0.245475,0.177068,0.243081,27
2017. 12. 21.,0.242241,0.269144,0.213070,0.214282,86
2017. 12. 20.,0.213722,0.281621,0.204937,0.272562,312
2017. 12. 19.,0.272831,0.295995,0.214247,0.227689,231
2017. 12. 18.,0.227496,0.308524,0.212159,0.222121,174
2017. 12. 17.,0.221451,0.321610,0.220434,0.225540,59
2017. 12. 16.,0.225511,0.318220,0.222033,0.295761,150
2017. 12. 15.,0.295346,0.300105,0.213132,0.288459,75
2017. 12. 14.,0.288026,0.297421,0.205778,0.281986,630
2017. 12. 13.,0.282894,0.298079,0.222125,0.259140,"2,203"
2017. 12. 12.,0.258924,0.258960,0.184808,0.218876,574
2017. 12. 11.,0.218176,0.227554,0.183096,0.184183,77
2017. 12. 10.,0.185523,0.235811,0.176792,0.210976,133
2017. 12. 09.,0.210125,0.212423,0.171809,0.182643,420
2017. 12. 08.,0.182827,0.194637,0.138925,0.191777,759
2017. 12. 07.,0.191327,0.221709,0.150789,0.180764,520
2017. 12. 06.,0.181075,0.181330,0.129177,0.129177,493
2017. 12. 05.,0.129464,0.193310,0.115189,0.116563,50
2017. 12. 04.,0.116334,0.193138,0.108883,0.190998,512
2017. 12. 03.,0.190367,0.200889,0.166482,0.167156,11
2017. 12. 02.,0.165602,0.167924,0.160917,0.163265,3
2017. 12. 01.,0.163404,0.186492,0.145813,0.149896,29
2017. 11. 30.,0.150643,0.181966,0.135072,0.167284,16
2017. 11. 29.,0.164754,0.194576,0.154672,0.168974,50
2017. 11. 28.,0.169142,0.198963,0.168442,0.195205,179
2017. 11. 27.,0.194701,0.262299,0.192249,0.235458,408
2017. 11. 26.,0.235413,0.237311,0.190059,0.192418,183
2017. 11. 25.,0.192483,0.195939,0.185314,0.186366,135
2017. 11. 24.,0.186744,0.192630,0.183771,0.187344,21
2017. 11. 23.,0.187600,0.192583,0.186590,0.191647,144
2017. 11. 22.,0.191708,0.249741,0.189382,0.244234,88
2017. 11. 21.,0.243642,0.250843,0.226012,0.238919,663
2017. 11. 20.,0.238875,0.240180,0.230389,0.233178,25
2017. 11. 19.,0.233287,0.235610,0.223375,0.234386,48
2017. 11. 18.,0.234821,0.236628,0.172137,0.177563,169
2017. 11. 17.,0.178247,0.240478,0.175842,0.234948,70
2017. 11. 16.,0.235334,0.239681,0.213828,0.218726,47
2017. 11. 15.,0.217586,0.218634,0.198017,0.198017,6
2017. 11. 14.,0.197882,0.198951,0.148519,0.173133,256
2017. 11. 13.,0.172767,0.173766,0.145627,0.146770,98
2017. 11. 12.,0.146557,0.186092,0.141543,0.184729,78
2017. 11. 11.,0.184865,0.204982,0.182949,0.197903,178
2017. 11. 10.,0.198610,0.299080,0.194192,0.212440,80
2017. 11. 09.,0.211811,0.261509,0.211104,0.261509,158
2017. 11. 08.,0.261778,0.325958,0.253701,0.281941,101
2017. 11. 07.,0.282829,0.282829,0.206403,0.206403,45
2017. 11. 06.,0.206735,0.259569,0.205983,0.258768,27
2017. 11. 05.,0.258194,0.266401,0.217700,0.258188,222
2017. 11. 04.,0.258678,0.264236,0.204475,0.209274,3
2017. 11. 03.,0.209820,0.261324,0.207680,0.245815,2
2017. 11. 02.,0.246137,0.255906,0.235502,0.235502,6
2017. 11. 01.,0.235239,0.252473,0.222796,0.252473,15
2017. 10. 31.,0.252658,0.258480,0.238814,0.257245,19
2017. 10. 30.,0.258121,0.268346,0.177548,0.209766,482
2017. 10. 29.,0.210992,0.227025,0.196481,0.219723,7
2017. 10. 28.,0.220024,0.220852,0.210876,0.214227,6
2017. 10. 27.,0.213643,0.214806,0.137099,0.141519,135
2017. 10. 26.,0.141486,0.194195,0.134297,0.186138,177
2017. 10. 25.,0.186160,0.186492,0.174638,0.179069,57
2017. 10. 24.,0.178997,0.214093,0.178004,0.214093,80
2017. 10. 23.,0.214565,0.242454,0.206742,0.233192,189
2017. 10. 22.,0.233568,0.253737,0.223443,0.249147,248
2017. 10. 21.,0.249072,0.261161,0.224465,0.255039,37
2017. 10. 20.,0.255576,0.259528,0.210605,0.212210,61
2017. 10. 19.,0.212150,0.308214,0.204260,0.268188,"1,050"
