,close,high,low,open,volume
2018. 03. 21.,7.03,7.24,5.98,6.07,"765,790,000"
2018. 03. 20.,6.01,6.40,5.45,6.17,"667,072,000"
2018. 03. 19.,6.36,6.36,4.57,4.71,"660,669,000"
2018. 03. 18.,4.65,4.68,3.95,4.65,"333,501,000"
2018. 03. 17.,4.67,5.11,4.61,5.09,"140,080,000"
2018. 03. 16.,5.09,5.32,4.95,5.18,"184,719,000"
2018. 03. 15.,5.17,5.38,4.87,5.35,"293,299,000"
2018. 03. 14.,5.34,5.97,5.25,5.87,"210,733,000"
2018. 03. 13.,5.86,5.98,5.66,5.82,"199,199,000"
2018. 03. 12.,5.83,6.23,5.72,6.15,"206,551,000"
2018. 03. 11.,6.14,6.24,5.61,5.79,"271,829,000"
2018. 03. 10.,5.80,6.50,5.80,6.17,"309,653,000"
2018. 03. 09.,6.13,6.24,5.38,6.20,"429,201,000"
2018. 03. 08.,6.20,6.76,6.12,6.51,"299,365,000"
2018. 03. 07.,6.51,7.37,6.17,7.25,"423,460,000"
2018. 03. 06.,7.25,8.00,7.16,8.00,"233,026,000"
2018. 03. 05.,8.05,8.29,8.05,8.18,"183,715,000"
2018. 03. 04.,8.18,8.18,7.79,8.00,"195,810,000"
2018. 03. 03.,8.00,8.30,7.96,8.11,"141,850,000"
2018. 03. 02.,8.09,8.74,8.03,8.68,"211,631,000"
2018. 03. 01.,8.63,8.63,8.30,8.39,"214,126,000"
2018. 02. 28.,8.41,9.22,8.41,8.53,"380,053,000"
2018. 02. 27.,8.57,8.87,8.03,8.17,"330,185,000"
2018. 02. 26.,8.13,8.44,7.63,7.90,"251,185,000"
2018. 02. 25.,7.90,8.19,7.70,8.18,"173,549,000"
2018. 02. 24.,8.19,8.72,7.95,8.57,"241,757,000"
2018. 02. 23.,8.58,8.77,7.92,8.05,"284,365,000"
2018. 02. 22.,8.09,8.91,7.98,8.74,"295,638,000"
2018. 02. 21.,8.76,9.31,8.53,9.27,"298,553,000"
2018. 02. 20.,9.28,10.01,9.26,9.69,"305,781,000"
2018. 02. 19.,9.68,9.79,9.36,9.37,"225,362,000"
2018. 02. 18.,9.38,10.20,9.23,10.16,"353,808,000"
2018. 02. 17.,10.15,10.18,9.93,10.01,"276,849,000"
2018. 02. 16.,10.02,10.24,9.70,10.15,"249,798,000"
2018. 02. 15.,10.17,10.30,9.77,9.94,"392,065,000"
2018. 02. 14.,9.97,10.02,9.17,9.23,"480,309,000"
2018. 02. 13.,9.21,9.27,8.70,9.18,"365,436,000"
2018. 02. 12.,9.18,9.29,8.45,8.45,"353,976,000"
2018. 02. 11.,8.41,9.09,8.17,9.09,"408,013,000"
2018. 02. 10.,9.10,10.30,8.66,9.61,"609,066,000"
2018. 02. 09.,9.65,9.66,8.16,8.50,"507,606,000"
2018. 02. 08.,8.51,8.59,7.66,7.66,"542,068,000"
2018. 02. 07.,7.61,8.65,7.56,8.35,"762,884,000"
2018. 02. 06.,8.34,8.46,5.85,7.17,"1,304,850,000"
2018. 02. 05.,7.06,8.85,6.94,8.68,"640,159,000"
2018. 02. 04.,8.61,10.17,8.45,9.77,"588,172,000"
2018. 02. 03.,9.84,10.39,8.59,9.77,"736,278,000"
2018. 02. 02.,9.79,10.22,7.64,10.17,"1,534,140,000"
2018. 02. 01.,10.21,12.40,9.90,12.24,"919,859,000"
2018. 01. 31.,12.20,12.33,10.42,11.46,"1,008,810,000"
2018. 01. 30.,11.56,14.03,11.30,14.03,"980,342,000"
2018. 01. 29.,14.01,15.17,13.80,15.03,"565,307,000"
2018. 01. 28.,15.02,15.04,14.34,14.34,"646,950,000"
2018. 01. 27.,14.27,14.63,13.97,14.34,"653,831,000"
2018. 01. 26.,14.34,14.73,13.22,14.28,"1,444,040,000"
2018. 01. 25.,14.31,14.93,13.70,13.96,"1,546,860,000"
2018. 01. 24.,13.83,13.86,12.63,13.01,"1,050,800,000"
2018. 01. 23.,12.97,13.81,11.87,13.57,"1,614,680,000"
2018. 01. 22.,13.66,15.18,12.85,13.54,"2,902,200,000"
2018. 01. 21.,13.44,15.66,12.39,15.66,"2,887,800,000"
2018. 01. 20.,15.52,15.76,11.25,11.25,"2,777,450,000"
2018. 01. 19.,11.18,11.77,9.92,10.38,"845,596,000"
2018. 01. 18.,10.51,11.27,9.89,10.20,"1,266,300,000"
2018. 01. 17.,10.19,10.57,7.67,10.20,"1,625,250,000"
2018. 01. 16.,10.28,13.04,8.60,12.96,"1,599,730,000"
2018. 01. 15.,12.94,14.83,12.92,13.42,"806,381,000"
2018. 01. 14.,13.44,16.17,13.31,16.17,"1,162,420,000"
2018. 01. 13.,16.23,18.71,13.54,13.92,"3,379,130,000"
2018. 01. 12.,13.75,15.34,10.78,11.40,"2,449,370,000"
2018. 01. 11.,11.35,12.42,9.31,11.33,"1,161,850,000"
2018. 01. 10.,11.34,11.63,8.68,9.33,"1,211,790,000"
2018. 01. 09.,9.33,9.76,8.99,9.67,"546,937,000"
2018. 01. 08.,9.69,12.58,8.44,12.51,"697,175,000"
2018. 01. 07.,12.52,13.37,12.09,12.77,"781,497,000"
2018. 01. 06.,12.58,12.58,10.46,10.81,"688,819,000"
2018. 01. 05.,10.84,11.51,10.40,11.23,"618,755,000"
2018. 01. 04.,11.28,11.97,10.29,10.45,"1,204,970,000"
2018. 01. 03.,10.23,10.23,8.85,9.32,"529,459,000"
2018. 01. 02.,9.33,9.78,8.91,8.91,"552,189,000"
2018. 01. 01.,8.84,9.11,8.51,8.77,"331,073,000"
2017. 12. 31.,8.77,8.97,8.44,8.51,"312,308,000"
2017. 12. 30.,8.56,9.50,8.35,9.46,"499,400,000"
2017. 12. 29.,9.44,9.87,9.22,9.60,"448,090,000"
2017. 12. 28.,9.57,10.57,8.41,10.54,"478,886,000"
2017. 12. 27.,10.56,10.81,9.79,9.83,"530,216,000"
2017. 12. 26.,9.82,10.10,9.63,9.77,"336,595,000"
2017. 12. 25.,9.77,9.81,7.92,8.20,"337,893,000"
2017. 12. 24.,8.14,8.56,7.26,8.51,"192,175,000"
2017. 12. 23.,8.48,9.48,7.95,7.97,"233,174,000"
2017. 12. 22.,7.84,10.67,6.69,10.66,"612,398,000"
2017. 12. 21.,10.60,13.18,10.08,11.96,"349,756,000"
2017. 12. 20.,11.99,12.60,10.37,12.45,"775,977,000"
2017. 12. 19.,12.38,12.90,9.23,9.24,"1,688,240,000"
2017. 12. 18.,9.21,9.39,7.67,8.22,"577,650,000"
2017. 12. 17.,8.22,8.98,8.21,8.60,"361,464,000"
2017. 12. 16.,8.61,9.26,8.13,8.14,"540,462,000"
2017. 12. 15.,8.13,8.41,6.88,8.41,"640,458,000"
2017. 12. 14.,8.40,8.74,7.17,7.24,"613,600,000"
2017. 12. 13.,7.30,7.30,5.05,5.32,"663,821,000"
2017. 12. 12.,5.30,5.73,4.26,4.38,"266,450,000"
2017. 12. 11.,4.36,4.48,3.73,3.77,"153,155,000"
2017. 12. 10.,3.77,4.07,3.55,4.07,"98,890,000"
2017. 12. 09.,4.06,4.68,3.80,4.28,"133,142,000"
