,close,high,low,open,volume
2018. 03. 21.,561.73,589.61,550.57,559.10,"1,781,270,000"
2018. 03. 20.,557.17,567.09,521.20,556.72,"1,833,680,000"
2018. 03. 19.,556.73,558.10,519.12,546.63,"2,046,790,000"
2018. 03. 18.,538.64,551.64,460.09,551.64,"2,685,500,000"
2018. 03. 17.,552.78,609.15,549.10,601.68,"1,267,810,000"
2018. 03. 16.,601.67,623.17,587.86,611.78,"1,417,350,000"
2018. 03. 15.,611.30,620.62,579.50,614.84,"1,770,460,000"
2018. 03. 14.,614.29,702.78,594.10,691.22,"1,810,560,000"
2018. 03. 13.,690.83,713.74,682.35,698.15,"1,425,960,000"
2018. 03. 12.,699.83,742.51,683.27,724.41,"1,765,000,000"
2018. 03. 11.,723.34,735.83,668.12,685.31,"1,562,680,000"
2018. 03. 10.,686.89,748.03,682.70,730.16,"1,532,960,000"
2018. 03. 09.,728.92,729.16,648.11,702.20,"2,233,020,000"
2018. 03. 08.,704.60,773.77,696.17,752.57,"1,891,640,000"
2018. 03. 07.,752.83,825.61,726.55,816.27,"2,175,420,000"
2018. 03. 06.,816.95,853.82,809.93,853.82,"1,943,070,000"
2018. 03. 05.,853.68,869.92,853.52,866.85,"1,898,490,000"
2018. 03. 04.,866.68,867.95,840.28,856.19,"1,697,940,000"
2018. 03. 03.,857.23,868.45,855.21,856.71,"1,699,370,000"
2018. 03. 02.,856.85,876.38,852.42,871.76,"1,894,420,000"
2018. 03. 01.,872.20,880.30,851.92,856.01,"1,868,520,000"
2018. 02. 28.,855.20,890.11,855.12,877.93,"1,963,980,000"
2018. 02. 27.,878.26,896.26,867.10,870.37,"2,053,980,000"
2018. 02. 26.,869.32,880.39,842.32,845.28,"2,044,480,000"
2018. 02. 25.,844.81,853.15,822.38,839.46,"1,646,960,000"
2018. 02. 24.,840.51,879.53,818.55,861.59,"1,926,580,000"
2018. 02. 23.,864.19,886.32,794.79,811.59,"2,334,820,000"
2018. 02. 22.,812.85,875.93,802.67,849.26,"2,150,370,000"
2018. 02. 21.,849.97,912.38,830.56,894.13,"2,531,730,000"
2018. 02. 20.,895.37,965.26,892.95,943.57,"2,545,260,000"
2018. 02. 19.,943.87,957.78,921.55,921.67,"2,169,020,000"
2018. 02. 18.,923.92,982.93,915.45,973.35,"2,567,290,000"
2018. 02. 17.,974.12,976.60,940.75,944.75,"2,525,720,000"
2018. 02. 16.,944.21,950.00,917.85,934.79,"2,369,450,000"
2018. 02. 15.,936.98,951.95,911.11,923.73,"2,900,100,000"
2018. 02. 14.,923.56,926.43,844.28,844.28,"2,818,370,000"
2018. 02. 13.,845.26,870.71,828.84,869.29,"2,081,170,000"
2018. 02. 12.,868.71,875.94,817.51,817.51,"2,243,450,000"
2018. 02. 11.,814.66,859.29,788.22,859.29,"2,486,650,000"
2018. 02. 10.,860.41,917.40,825.58,882.47,"2,930,530,000"
2018. 02. 09.,883.87,884.00,788.83,818.48,"2,495,820,000"
2018. 02. 08.,817.81,845.09,755.84,755.84,"3,708,190,000"
2018. 02. 07.,757.07,851.20,723.43,790.43,"3,896,180,000"
2018. 02. 06.,793.12,796.44,574.42,707.74,"6,518,270,000"
2018. 02. 05.,697.95,856.65,644.60,834.96,"4,269,530,000"
2018. 02. 04.,834.68,969.03,805.06,964.67,"2,997,090,000"
2018. 02. 03.,964.02,991.94,847.69,919.21,"3,243,480,000"
2018. 02. 02.,915.78,1035.77,757.98,1035.77,"6,713,290,000"
2018. 02. 01.,1036.79,1161.35,984.82,1119.37,"5,261,680,000"
2018. 01. 31.,1118.31,1128.66,1034.50,1071.09,"3,757,560,000"
2018. 01. 30.,1071.13,1184.63,1058.97,1184.13,"4,107,860,000"
2018. 01. 29.,1182.36,1256.70,1169.08,1246.70,"3,715,080,000"
2018. 01. 28.,1246.01,1257.77,1111.78,1111.78,"5,372,330,000"
