,close,high,low,open,volume
2018. 03. 21.,26.18,27.17,23.41,23.42,"2,896,710"
2018. 03. 20.,23.36,26.40,21.31,26.16,"1,281,650"
2018. 03. 19.,25.79,26.19,20.81,21.44,"1,455,190"
2018. 03. 18.,21.28,22.25,16.21,21.58,"3,715,790"
2018. 03. 17.,21.26,27.48,20.99,27.48,"2,103,490"
2018. 03. 16.,27.37,29.16,20.88,22.39,"2,216,640"
2018. 03. 15.,22.32,23.63,20.85,23.49,"3,241,480"
2018. 03. 14.,23.11,27.62,22.51,26.52,"1,718,490"
2018. 03. 13.,26.38,27.71,25.52,26.38,"1,464,130"
2018. 03. 12.,26.35,28.60,25.37,27.32,"1,532,070"
2018. 03. 11.,27.03,28.55,24.29,25.34,"1,852,290"
2018. 03. 10.,25.54,27.30,25.09,26.02,"2,169,200"
2018. 03. 09.,26.04,26.06,22.90,25.54,"2,685,180"
2018. 03. 08.,25.67,33.92,25.15,28.01,"2,554,400"
2018. 03. 07.,28.11,36.49,25.61,29.63,"2,408,720"
2018. 03. 06.,29.67,35.05,29.30,35.05,"1,860,980"
2018. 03. 05.,35.17,36.42,34.95,35.79,"4,304,470"
2018. 03. 04.,35.78,35.78,33.28,35.36,"4,308,390"
2018. 03. 03.,35.29,36.96,35.13,36.35,"5,004,520"
2018. 03. 02.,36.15,36.58,33.27,33.84,"6,293,850"
2018. 03. 01.,34.00,34.23,31.15,31.44,"4,560,120"
2018. 02. 28.,31.44,36.10,31.41,34.39,"5,085,970"
2018. 02. 27.,34.64,36.05,31.65,32.86,"6,152,090"
2018. 02. 26.,32.78,33.33,29.58,29.81,"3,961,660"
2018. 02. 25.,29.75,29.89,27.46,27.77,"2,446,120"
2018. 02. 24.,27.80,29.77,26.79,29.38,"3,329,380"
2018. 02. 23.,29.31,29.89,26.78,28.20,"4,114,120"
2018. 02. 22.,28.19,29.69,26.41,27.85,"4,018,360"
2018. 02. 21.,27.90,32.10,27.31,28.98,"5,509,830"
2018. 02. 20.,29.01,34.00,28.70,32.84,"6,206,210"
