,close,high,low,open,volume
2018. 03. 21.,0.040801,0.044184,0.039825,0.040354,"2,372,900"
2018. 03. 20.,0.040244,0.040957,0.036004,0.039108,"2,009,550"
2018. 03. 19.,0.038860,0.039267,0.035036,0.035306,"1,758,780"
2018. 03. 18.,0.035499,0.035650,0.028541,0.035182,"1,508,220"
2018. 03. 17.,0.035268,0.039568,0.034690,0.038106,"785,848"
2018. 03. 16.,0.038152,0.040179,0.036334,0.038334,"725,472"
2018. 03. 15.,0.038172,0.040029,0.034643,0.037421,"1,558,430"
2018. 03. 14.,0.037458,0.045777,0.035531,0.044501,"1,318,880"
2018. 03. 13.,0.044507,0.048258,0.043340,0.044888,"1,073,370"
2018. 03. 12.,0.045310,0.049912,0.043656,0.048140,"867,750"
2018. 03. 11.,0.048406,0.048406,0.041685,0.043146,"730,071"
2018. 03. 10.,0.043396,0.049113,0.042892,0.045709,"1,151,800"
2018. 03. 09.,0.045426,0.045645,0.038233,0.043035,"1,851,270"
2018. 03. 08.,0.043307,0.049854,0.041898,0.048795,"1,695,910"
2018. 03. 07.,0.048762,0.056088,0.043558,0.055008,"3,166,000"
2018. 03. 06.,0.054853,0.063614,0.054194,0.062550,"2,643,570"
2018. 03. 05.,0.062710,0.065083,0.058700,0.059447,"3,025,240"
2018. 03. 04.,0.060104,0.064258,0.059320,0.063677,"2,485,120"
2018. 03. 03.,0.063579,0.073733,0.061359,0.069738,"12,954,800"
2018. 03. 02.,0.067576,0.067909,0.057003,0.057003,"12,472,000"
2018. 03. 01.,0.057569,0.064486,0.051370,0.053167,"8,964,310"
2018. 02. 28.,0.051556,0.053393,0.049704,0.052219,"1,950,090"
2018. 02. 27.,0.052306,0.053535,0.051503,0.052260,"1,258,330"
2018. 02. 26.,0.052285,0.053049,0.049401,0.051502,"1,775,610"
2018. 02. 25.,0.051405,0.054439,0.049654,0.050943,"1,964,860"
2018. 02. 24.,0.051299,0.054015,0.049145,0.052193,"3,225,860"
2018. 02. 23.,0.052368,0.057524,0.047061,0.048930,"5,042,860"
2018. 02. 22.,0.048949,0.054866,0.046091,0.051405,"2,093,410"
2018. 02. 21.,0.051570,0.057060,0.049211,0.056190,"2,690,540"
2018. 02. 20.,0.056125,0.064788,0.055401,0.063428,"3,973,250"
2018. 02. 19.,0.063456,0.063849,0.057927,0.058225,"2,867,590"
2018. 02. 18.,0.058461,0.066554,0.057582,0.066554,"4,457,380"
2018. 02. 17.,0.066580,0.067784,0.058610,0.059284,"9,093,090"
2018. 02. 16.,0.059305,0.060027,0.055970,0.057950,"2,886,310"
2018. 02. 15.,0.058337,0.060248,0.055437,0.057183,"5,139,600"
2018. 02. 14.,0.056712,0.058909,0.050715,0.050750,"5,003,890"
2018. 02. 13.,0.050970,0.054863,0.050555,0.054686,"2,147,180"
2018. 02. 12.,0.054698,0.055466,0.050991,0.052346,"5,681,620"
2018. 02. 11.,0.052265,0.057903,0.050955,0.057903,"3,521,140"
2018. 02. 10.,0.058294,0.066089,0.055424,0.061282,"6,459,930"
2018. 02. 09.,0.061310,0.066954,0.059279,0.062460,"2,896,270"
2018. 02. 08.,0.062326,0.066471,0.055862,0.055862,"30,484,100"
2018. 02. 07.,0.056792,0.073921,0.049521,0.052804,"33,022,100"
2018. 02. 06.,0.053783,0.054886,0.030425,0.039128,"7,741,380"
2018. 02. 05.,0.039174,0.053088,0.033928,0.050272,"5,487,810"
2018. 02. 04.,0.050839,0.060696,0.046892,0.059864,"5,149,340"
2018. 02. 03.,0.059627,0.063051,0.048587,0.053481,"18,223,200"
2018. 02. 02.,0.053772,0.068602,0.046286,0.068602,"10,160,400"
2018. 02. 01.,0.068446,0.085672,0.061932,0.085472,"7,097,260"
2018. 01. 31.,0.085182,0.085284,0.073426,0.079348,"6,233,640"
2018. 01. 30.,0.079490,0.095960,0.077133,0.095229,"7,176,750"
2018. 01. 29.,0.094964,0.101651,0.093674,0.100500,"6,290,310"
2018. 01. 28.,0.100382,0.106274,0.099867,0.104341,"8,754,270"
2018. 01. 27.,0.103826,0.108534,0.093411,0.095338,"16,680,100"
2018. 01. 26.,0.095439,0.100659,0.087744,0.097634,"6,307,830"
2018. 01. 25.,0.097796,0.105160,0.095867,0.100874,"6,874,010"
2018. 01. 24.,0.099704,0.106303,0.094696,0.097108,"12,106,500"
2018. 01. 23.,0.096992,0.104344,0.086663,0.099053,"8,976,350"
2018. 01. 22.,0.099550,0.115283,0.088589,0.106449,"13,423,400"
2018. 01. 21.,0.105991,0.123863,0.097074,0.123040,"14,040,000"
2018. 01. 20.,0.123047,0.127493,0.118071,0.123651,"21,431,800"
2018. 01. 19.,0.122241,0.142706,0.109036,0.110929,"44,912,300"
2018. 01. 18.,0.111291,0.117459,0.090706,0.095271,"22,565,700"
2018. 01. 17.,0.095050,0.097653,0.061945,0.085094,"20,074,900"
2018. 01. 16.,0.085204,0.122155,0.061580,0.122015,"20,859,200"
2018. 01. 15.,0.122314,0.143330,0.122314,0.129670,"22,038,600"
2018. 01. 14.,0.131146,0.138812,0.118297,0.138812,"15,949,000"
2018. 01. 13.,0.138567,0.148734,0.135387,0.141895,"19,531,900"
2018. 01. 12.,0.142072,0.149746,0.127522,0.132522,"20,861,000"
2018. 01. 11.,0.131223,0.169111,0.123488,0.162538,"26,597,700"
2018. 01. 10.,0.162330,0.177023,0.143732,0.176808,"46,785,200"
2018. 01. 09.,0.177338,0.195778,0.170578,0.192071,"117,367,000"
2018. 01. 08.,0.192615,0.196429,0.128271,0.167964,"82,403,300"
2018. 01. 07.,0.167692,0.194227,0.159468,0.172849,"51,203,500"
2018. 01. 06.,0.172800,0.184515,0.157315,0.163562,"48,098,700"
2018. 01. 05.,0.160535,0.189302,0.143586,0.167685,"64,546,500"
2018. 01. 04.,0.174164,0.189511,0.107192,0.110277,"131,221,000"
2018. 01. 03.,0.108342,0.108342,0.084614,0.089325,"41,199,200"
2018. 01. 02.,0.089483,0.093666,0.077151,0.085631,"30,096,800"
2018. 01. 01.,0.085914,0.093457,0.083372,0.085611,"36,808,800"
2017. 12. 31.,0.084824,0.125977,0.080964,0.091305,"87,329,500"
2017. 12. 30.,0.090940,0.101727,0.054477,0.060553,"53,384,700"
2017. 12. 29.,0.061076,0.063860,0.053840,0.054983,"10,373,900"
2017. 12. 28.,0.054485,0.056571,0.048909,0.056523,"5,162,520"
2017. 12. 27.,0.056327,0.061739,0.051917,0.057070,"6,387,220"
2017. 12. 26.,0.056605,0.061577,0.052304,0.057895,"6,468,310"
2017. 12. 25.,0.057649,0.067347,0.056674,0.057979,"6,612,320"
2017. 12. 24.,0.057590,0.061935,0.048267,0.061935,"8,618,970"
2017. 12. 23.,0.061680,0.070628,0.047068,0.047068,"13,730,900"
2017. 12. 22.,0.046831,0.062044,0.034631,0.060624,"9,797,660"
2017. 12. 21.,0.060154,0.069748,0.052841,0.053389,"20,214,200"
2017. 12. 20.,0.053108,0.057690,0.048266,0.056815,"17,049,900"
