,close,high,low,open,volume
2018. 03. 21.,23.51,26.61,23.30,24.15,"6,775,290"
2018. 03. 20.,24.05,25.99,20.35,21.10,"8,251,900"
2018. 03. 19.,20.71,20.89,18.19,18.19,"5,080,920"
2018. 03. 18.,18.29,19.06,14.82,18.22,"5,580,910"
2018. 03. 17.,18.28,20.73,17.66,20.60,"4,223,540"
2018. 03. 16.,20.57,21.51,19.32,20.23,"5,124,390"
2018. 03. 15.,20.26,20.88,18.16,20.43,"5,411,790"
2018. 03. 14.,20.23,24.58,19.91,23.38,"5,591,680"
2018. 03. 13.,23.47,25.31,23.41,24.42,"2,717,480"
2018. 03. 12.,24.54,27.78,23.88,26.77,"6,817,230"
2018. 03. 11.,26.87,27.08,24.25,25.19,"2,407,380"
2018. 03. 10.,25.12,27.98,24.20,26.41,"3,289,970"
2018. 03. 09.,26.17,28.36,21.74,25.14,"6,063,920"
2018. 03. 08.,25.29,28.42,24.80,27.32,"3,129,480"
2018. 03. 07.,27.42,34.93,22.03,31.07,"8,314,560"
2018. 03. 06.,31.12,33.85,29.87,33.41,"3,355,610"
2018. 03. 05.,33.59,35.41,33.50,35.05,"3,890,440"
2018. 03. 04.,35.09,37.17,35.05,37.09,"3,013,210"
2018. 03. 03.,37.09,39.57,36.39,38.49,"2,913,120"
2018. 03. 02.,38.52,40.35,37.47,39.69,"3,098,330"
2018. 03. 01.,39.91,40.75,37.54,37.57,"3,939,470"
2018. 02. 28.,37.46,43.10,37.24,42.70,"4,570,520"
2018. 02. 27.,42.74,45.66,40.59,42.15,"5,689,080"
2018. 02. 26.,42.15,43.97,36.42,37.10,"7,714,540"
2018. 02. 25.,37.11,37.54,35.81,37.25,"3,076,440"
2018. 02. 24.,37.32,39.97,36.01,38.83,"2,926,860"
2018. 02. 23.,38.91,39.52,36.76,37.74,"3,749,330"
2018. 02. 22.,37.69,42.87,37.43,40.86,"3,250,470"
2018. 02. 21.,41.01,45.27,39.85,43.32,"4,003,360"
2018. 02. 20.,43.31,50.04,43.04,47.88,"5,583,400"
2018. 02. 19.,47.77,48.28,44.79,44.88,"4,677,070"
2018. 02. 18.,45.37,49.07,43.74,48.85,"4,970,220"
2018. 02. 17.,48.70,49.35,45.77,47.02,"5,289,930"
2018. 02. 16.,46.99,46.99,43.25,44.81,"4,898,880"
2018. 02. 15.,44.86,46.40,41.79,42.98,"6,653,660"
2018. 02. 14.,43.04,43.12,37.73,37.73,"5,594,950"
2018. 02. 13.,37.90,39.73,37.75,38.79,"3,470,130"
2018. 02. 12.,38.78,41.93,38.58,38.58,"4,562,850"
2018. 02. 11.,38.36,40.74,35.78,40.05,"3,755,470"
2018. 02. 10.,40.19,44.24,38.50,43.13,"5,457,140"
2018. 02. 09.,43.16,43.84,39.11,41.54,"5,467,500"
2018. 02. 08.,41.43,43.19,37.35,37.35,"9,420,860"
2018. 02. 07.,37.39,44.72,34.88,40.41,"13,622,300"
2018. 02. 06.,40.91,41.75,25.02,31.37,"12,800,600"
2018. 02. 05.,31.00,42.41,27.82,41.98,"10,018,300"
2018. 02. 04.,42.26,50.96,38.61,50.68,"12,683,100"
2018. 02. 03.,51.01,53.80,43.34,46.46,"14,994,800"
2018. 02. 02.,46.49,50.71,36.00,50.71,"12,745,900"
2018. 02. 01.,50.99,59.03,45.89,57.94,"22,232,500"
2018. 01. 31.,57.40,63.18,55.87,60.88,"28,442,400"
2018. 01. 30.,60.58,72.72,56.76,70.02,"53,570,600"
2018. 01. 29.,69.81,72.09,50.27,51.52,"64,574,500"
2018. 01. 28.,51.57,52.21,49.19,50.09,"23,253,300"
2018. 01. 27.,49.92,50.91,48.02,49.44,"20,189,200"
2018. 01. 26.,49.61,51.82,45.25,49.24,"20,652,600"
2018. 01. 25.,49.36,53.43,47.77,49.72,"24,091,800"
2018. 01. 24.,49.16,52.26,43.57,44.83,"24,453,700"
2018. 01. 23.,44.80,49.94,42.21,46.87,"17,749,300"
2018. 01. 22.,46.93,52.10,42.27,50.31,"21,474,000"
2018. 01. 21.,49.90,60.29,48.51,59.95,"8,450,400"
2018. 01. 20.,59.90,62.99,55.30,55.30,"13,537,000"
2018. 01. 19.,54.72,60.45,52.82,56.25,"23,584,600"
2018. 01. 18.,56.35,65.67,54.66,58.35,"32,802,100"
2018. 01. 17.,58.00,66.46,39.50,60.07,"41,102,400"
2018. 01. 16.,62.68,90.20,46.34,87.56,"71,001,100"
2018. 01. 15.,86.06,97.49,67.88,79.68,"98,172,500"
2018. 01. 14.,81.33,85.53,55.84,60.66,"58,454,500"
2018. 01. 13.,60.88,61.71,53.46,53.46,"28,603,500"
2018. 01. 12.,53.52,54.67,45.94,48.56,"24,387,900"
2018. 01. 11.,48.37,55.81,45.67,55.81,"23,080,900"
2018. 01. 10.,55.97,62.94,52.18,62.57,"27,713,000"
2018. 01. 09.,62.17,65.73,48.45,48.61,"33,255,600"
2018. 01. 08.,48.83,54.68,42.54,51.88,"25,586,600"
2018. 01. 07.,51.45,55.20,50.20,52.21,"41,395,400"
2018. 01. 06.,51.84,57.33,44.86,46.95,"51,855,800"
2018. 01. 05.,47.00,47.22,32.02,43.15,"33,032,600"
2018. 01. 04.,43.16,46.02,34.73,40.05,"31,722,100"
2018. 01. 03.,39.19,40.78,31.48,32.75,"26,195,800"
2018. 01. 02.,32.71,37.99,31.35,31.39,"28,793,100"
2018. 01. 01.,31.44,34.47,29.39,30.15,"9,620,240"
2017. 12. 31.,30.34,30.66,26.26,26.36,"10,157,000"
2017. 12. 30.,26.64,28.69,23.26,28.30,"8,097,570"
2017. 12. 29.,28.25,28.80,26.03,26.73,"5,581,800"
2017. 12. 28.,26.85,31.20,23.50,29.68,"8,444,320"
2017. 12. 27.,29.85,32.82,27.48,28.34,"4,130,380"
2017. 12. 26.,28.38,30.88,26.31,30.38,"2,953,240"
2017. 12. 25.,30.24,30.40,27.41,28.31,"3,397,720"
2017. 12. 24.,27.82,28.10,23.44,28.10,"1,860,750"
2017. 12. 23.,27.81,30.66,26.26,26.88,"3,482,600"
2017. 12. 22.,26.72,32.79,19.19,32.46,"5,866,820"
2017. 12. 21.,32.36,36.79,29.78,33.75,"7,443,410"
2017. 12. 20.,33.58,36.87,30.95,35.53,"6,874,270"
2017. 12. 19.,35.55,43.70,33.27,39.80,"8,670,640"
2017. 12. 18.,39.84,47.73,31.76,34.91,"19,897,900"
2017. 12. 17.,34.71,34.71,23.65,24.05,"9,260,290"
2017. 12. 16.,23.86,26.07,22.87,24.06,"3,484,070"
2017. 12. 15.,23.13,26.55,20.93,25.51,"3,018,100"
2017. 12. 14.,25.16,26.51,21.67,21.83,"4,794,140"
2017. 12. 13.,21.89,25.88,18.82,19.03,"5,000,820"
2017. 12. 12.,19.04,19.78,17.15,18.24,"2,061,100"
2017. 12. 11.,17.89,18.61,16.78,16.85,"1,581,190"
2017. 12. 10.,16.95,18.46,16.33,18.46,"1,742,160"
2017. 12. 09.,18.46,19.56,17.62,19.04,"1,709,240"
2017. 12. 08.,19.06,21.09,15.91,17.35,"2,956,780"
2017. 12. 07.,17.45,19.10,16.88,18.30,"2,739,830"
2017. 12. 06.,18.56,20.98,17.76,20.86,"2,790,560"
2017. 12. 05.,20.93,22.35,20.22,22.10,"1,548,160"
2017. 12. 04.,21.97,23.24,19.59,19.99,"3,095,580"
2017. 12. 03.,19.92,21.41,19.19,19.45,"1,329,950"
2017. 12. 02.,19.70,20.19,18.72,19.31,"1,281,170"
2017. 12. 01.,19.36,19.88,17.48,18.85,"1,182,360"
2017. 11. 30.,19.01,20.64,16.59,18.46,"1,758,230"
2017. 11. 29.,18.19,21.66,17.49,21.66,"2,294,410"
2017. 11. 28.,21.67,22.81,21.24,22.21,"1,704,100"
2017. 11. 27.,22.20,23.62,21.46,22.60,"1,522,170"
2017. 11. 26.,22.64,22.78,21.36,22.19,"1,642,730"
2017. 11. 25.,22.30,23.20,20.69,20.80,"1,932,920"
2017. 11. 24.,20.80,21.42,19.50,19.77,"1,355,170"
2017. 11. 23.,20.00,21.53,19.70,21.20,"2,004,120"
2017. 11. 22.,21.09,22.22,20.80,21.56,"1,413,810"
2017. 11. 21.,21.60,23.17,20.53,21.60,"1,708,960"
2017. 11. 20.,21.55,25.34,21.55,24.19,"2,913,620"
2017. 11. 19.,24.18,27.98,22.39,27.52,"4,531,360"
2017. 11. 18.,27.55,31.91,22.98,25.38,"8,129,950"
2017. 11. 17.,25.59,26.91,18.07,19.41,"3,941,120"
2017. 11. 16.,19.43,22.12,15.87,22.12,"2,586,450"
2017. 11. 15.,22.07,22.11,18.91,20.21,"2,944,170"
2017. 11. 14.,20.25,20.67,19.55,19.75,"593,224"
2017. 11. 13.,19.74,20.93,18.46,18.79,"782,363"
2017. 11. 12.,18.95,20.72,17.20,20.00,"938,558"
2017. 11. 11.,20.10,22.48,19.54,19.98,"1,089,910"
2017. 11. 10.,19.68,24.14,18.64,23.12,"1,107,640"
2017. 11. 09.,23.03,26.40,20.91,21.81,"2,447,490"
2017. 11. 08.,21.92,25.35,17.68,17.85,"1,690,730"
2017. 11. 07.,18.22,18.22,17.13,17.18,"559,894"
2017. 11. 06.,17.22,17.88,16.28,16.79,"577,160"
2017. 11. 05.,16.76,17.49,16.27,17.03,"444,008"
2017. 11. 04.,17.10,17.77,16.38,17.22,"497,484"
2017. 11. 03.,17.40,17.95,14.46,15.21,"1,076,790"
