,close,high,low,open,volume
2018. 03. 21.,0.250973,0.265013,0.248350,0.252803,"6,593,470"
2018. 03. 20.,0.252567,0.253248,0.221438,0.250263,"7,422,830"
2018. 03. 19.,0.248792,0.248792,0.201364,0.217797,"6,481,620"
2018. 03. 18.,0.219039,0.220817,0.184317,0.216505,"7,126,100"
2018. 03. 17.,0.216898,0.248820,0.216898,0.248618,"5,922,940"
2018. 03. 16.,0.249471,0.255926,0.239922,0.248723,"6,416,220"
2018. 03. 15.,0.248721,0.252311,0.223613,0.249773,"7,036,230"
2018. 03. 14.,0.250010,0.308540,0.242543,0.305404,"9,182,600"
2018. 03. 13.,0.305433,0.317528,0.292971,0.302318,"5,847,570"
2018. 03. 12.,0.303848,0.331773,0.287707,0.311800,"23,063,500"
2018. 03. 11.,0.312660,0.320607,0.286486,0.296867,"3,783,820"
2018. 03. 10.,0.298015,0.325901,0.297388,0.307450,"4,176,840"
2018. 03. 09.,0.307977,0.317208,0.268046,0.311596,"7,019,260"
2018. 03. 08.,0.313938,0.371501,0.306568,0.367507,"8,414,930"
2018. 03. 07.,0.370844,0.424979,0.350236,0.421391,"6,024,950"
2018. 03. 06.,0.421107,0.495754,0.416585,0.495754,"8,785,450"
2018. 03. 05.,0.495009,0.495009,0.437490,0.439011,"9,446,610"
2018. 03. 04.,0.438214,0.443801,0.413919,0.429661,"6,927,090"
2018. 03. 03.,0.430565,0.449247,0.418126,0.432820,"7,339,290"
2018. 03. 02.,0.432654,0.461322,0.408909,0.451623,"11,687,900"
2018. 03. 01.,0.454708,0.459742,0.360823,0.364512,"15,133,400"
2018. 02. 28.,0.363805,0.367626,0.347805,0.366978,"4,728,520"
2018. 02. 27.,0.367741,0.392869,0.352681,0.368481,"5,709,530"
2018. 02. 26.,0.368293,0.399158,0.321319,0.321319,"12,723,600"
2018. 02. 25.,0.321022,0.328479,0.308257,0.313645,"3,952,320"
2018. 02. 24.,0.313255,0.337346,0.305843,0.333028,"4,274,930"
2018. 02. 23.,0.332760,0.347093,0.311265,0.327499,"6,876,640"
2018. 02. 22.,0.328242,0.361383,0.328242,0.335228,"7,608,570"
2018. 02. 21.,0.335111,0.380819,0.331982,0.368867,"7,932,610"
2018. 02. 20.,0.369198,0.442600,0.367897,0.434164,"7,493,480"
