,close,high,low,open,volume
2018. 03. 21.,3.02,3.44,2.81,3.41,"4,331,700"
2018. 03. 20.,3.40,3.71,2.59,2.73,"7,497,330"
2018. 03. 19.,2.71,3.70,2.44,2.50,"3,217,510"
2018. 03. 18.,2.51,2.84,2.14,2.49,"6,250,420"
2018. 03. 17.,2.49,2.69,2.48,2.64,"4,872,550"
2018. 03. 16.,2.64,2.83,2.64,2.73,"5,884,360"
2018. 03. 15.,2.73,2.84,2.66,2.80,"7,145,670"
2018. 03. 14.,2.80,3.11,2.71,2.95,"7,182,440"
2018. 03. 13.,2.95,2.98,2.82,2.88,"6,249,570"
2018. 03. 12.,2.89,3.09,2.83,3.02,"7,356,350"
2018. 03. 11.,3.03,3.05,2.77,2.84,"5,405,880"
2018. 03. 10.,2.85,3.12,2.84,2.94,"4,916,740"
2018. 03. 09.,2.94,2.99,2.75,2.96,"5,182,470"
2018. 03. 08.,2.97,3.32,2.91,3.17,"4,640,840"
2018. 03. 07.,3.18,3.60,3.18,3.55,"5,743,090"
2018. 03. 06.,3.55,3.83,3.53,3.83,"6,733,100"
2018. 03. 05.,3.83,3.97,3.83,3.93,"6,253,170"
2018. 03. 04.,3.93,3.93,3.79,3.87,"6,021,260"
2018. 03. 03.,3.87,4.03,3.85,3.98,"6,459,480"
2018. 03. 02.,3.99,4.17,3.96,4.14,"6,316,770"
2018. 03. 01.,4.14,4.17,3.97,3.99,"6,513,770"
2018. 02. 28.,3.99,4.22,3.99,4.09,"8,318,350"
2018. 02. 27.,4.11,4.24,4.06,4.16,"6,235,930"
2018. 02. 26.,4.15,4.20,3.89,3.94,"7,690,830"
2018. 02. 25.,3.94,4.43,3.85,4.10,"5,421,200"
2018. 02. 24.,4.10,4.58,4.01,4.30,"7,126,440"
2018. 02. 23.,4.30,4.37,4.08,4.15,"8,192,700"
2018. 02. 22.,4.17,4.42,4.13,4.25,"8,666,660"
2018. 02. 21.,4.26,4.71,4.19,4.71,"8,879,890"
2018. 02. 20.,4.70,4.99,4.69,4.99,"10,315,400"
2018. 02. 19.,4.93,5.06,4.64,4.65,"10,265,900"
2018. 02. 18.,4.65,5.04,4.64,5.01,"8,577,660"
2018. 02. 17.,5.01,5.14,4.92,4.96,"11,120,600"
2018. 02. 16.,4.95,4.99,4.67,4.87,"10,179,900"
2018. 02. 15.,4.89,5.07,4.78,4.89,"11,466,800"
2018. 02. 14.,4.90,5.00,4.61,4.61,"10,864,400"
