,close,high,low,open,volume
2018. 03. 21.,6.83,7.08,6.08,6.11,"23,570,400"
2018. 03. 20.,6.09,6.39,5.67,5.96,"21,038,700"
2018. 03. 19.,5.77,5.77,5.04,5.18,"17,819,100"
2018. 03. 18.,5.19,5.25,4.57,5.01,"18,565,900"
2018. 03. 17.,5.02,5.53,4.99,5.53,"12,603,700"
2018. 03. 16.,5.53,5.78,5.31,5.60,"14,352,400"
2018. 03. 15.,5.60,5.73,5.21,5.55,"17,403,900"
2018. 03. 14.,5.56,6.32,5.45,6.19,"17,738,800"
2018. 03. 13.,6.18,6.36,5.98,6.08,"17,758,900"
2018. 03. 12.,6.10,6.46,5.88,6.35,"25,215,100"
2018. 03. 11.,6.36,6.50,5.73,5.95,"20,647,300"
2018. 03. 10.,5.97,6.42,5.94,6.42,"19,514,400"
2018. 03. 09.,6.42,6.42,5.38,6.07,"28,597,800"
2018. 03. 08.,6.11,7.19,5.80,6.34,"34,952,300"
2018. 03. 07.,6.33,8.28,6.28,8.17,"36,359,800"
2018. 03. 06.,8.16,9.15,8.13,9.12,"30,826,900"
2018. 03. 05.,9.12,9.70,8.84,9.57,"57,938,300"
2018. 03. 04.,9.54,9.76,9.28,9.61,"18,920,100"
2018. 03. 03.,9.66,9.97,9.31,9.45,"26,967,100"
2018. 03. 02.,9.45,9.82,9.36,9.44,"27,832,800"
2018. 03. 01.,9.46,9.65,9.11,9.13,"30,660,000"
2018. 02. 28.,9.12,10.90,9.12,9.79,"52,398,500"
2018. 02. 27.,9.75,10.56,8.83,9.52,"63,317,100"
2018. 02. 26.,9.46,10.37,8.49,9.42,"78,693,200"
2018. 02. 25.,9.84,11.09,8.64,9.98,"64,791,400"
2018. 02. 24.,9.84,11.74,9.36,10.58,"81,023,900"
2018. 02. 23.,10.70,11.60,9.82,10.39,"75,507,200"
2018. 02. 22.,9.96,12.04,9.61,11.11,"68,427,400"
2018. 02. 21.,11.26,12.41,10.42,11.83,"58,717,400"
2018. 02. 20.,12.27,13.43,11.47,13.21,"69,310,300"
2018. 02. 19.,13.20,13.42,11.99,12.44,"74,110,500"
2018. 02. 18.,12.26,13.51,11.68,13.30,"76,226,100"
2018. 02. 17.,13.49,13.79,13.00,13.38,"69,145,700"
2018. 02. 16.,13.38,13.47,12.83,13.41,"71,895,500"
2018. 02. 15.,13.44,13.73,13.07,13.63,"78,419,400"
2018. 02. 14.,13.63,13.65,12.69,12.69,"83,691,800"
2018. 02. 13.,12.73,12.84,11.74,12.29,"81,440,900"
2018. 02. 12.,12.29,12.39,11.60,11.61,"60,837,700"
2018. 02. 11.,11.23,12.09,10.94,11.98,"43,560,800"
2018. 02. 10.,12.00,13.42,11.52,12.66,"74,036,800"
2018. 02. 09.,12.66,12.70,10.31,10.70,"57,212,900"
2018. 02. 08.,10.69,11.05,10.01,10.01,"64,725,900"
2018. 02. 07.,10.01,10.89,9.41,10.48,"66,448,400"
2018. 02. 06.,10.56,10.67,7.20,8.53,"85,757,600"
2018. 02. 05.,8.50,10.56,8.05,10.35,"61,644,200"
2018. 02. 04.,10.50,12.34,9.98,12.03,"69,902,000"
2018. 02. 03.,11.99,12.50,10.47,11.59,"80,317,600"
2018. 02. 02.,11.53,11.92,9.58,11.88,"80,177,100"
2018. 02. 01.,11.90,14.66,11.28,14.13,"82,753,900"
2018. 01. 31.,14.09,14.62,13.03,14.62,"107,610,000"
2018. 01. 30.,14.61,16.79,14.37,16.09,"115,185,000"
2018. 01. 29.,15.97,16.95,14.74,16.43,"126,988,000"
2018. 01. 28.,16.45,17.23,16.32,16.71,"129,529,000"
2018. 01. 27.,16.96,18.16,16.48,17.17,"151,517,000"
2018. 01. 26.,17.10,20.10,16.12,17.65,"216,520,000"
2018. 01. 25.,17.47,18.39,15.49,15.71,"202,443,000"
2018. 01. 24.,15.41,16.45,11.61,11.88,"174,625,000"
2018. 01. 23.,11.85,12.97,10.40,11.26,"109,341,000"
2018. 01. 22.,11.27,12.74,10.45,12.26,"104,489,000"
2018. 01. 21.,12.11,14.61,11.61,14.53,"96,962,000"
2018. 01. 20.,14.56,14.99,13.27,13.48,"115,697,000"
2018. 01. 19.,13.48,13.78,10.48,11.35,"141,744,000"
2018. 01. 18.,11.38,12.28,10.44,11.44,"113,301,000"
2018. 01. 17.,11.32,11.95,8.74,11.60,"127,693,000"
2018. 01. 16.,11.69,17.39,10.26,17.24,"127,663,000"
2018. 01. 15.,17.31,18.68,17.29,18.44,"167,830,000"
2018. 01. 14.,18.61,22.66,17.59,19.35,"218,194,000"
2018. 01. 13.,19.34,19.73,18.17,18.79,"192,686,000"
2018. 01. 12.,18.82,19.91,16.89,17.50,"197,786,000"
2018. 01. 11.,17.42,20.23,16.60,19.88,"175,547,000"
2018. 01. 10.,20.17,23.40,18.61,22.67,"197,389,000"
2018. 01. 09.,22.62,25.47,19.70,20.20,"203,836,000"
2018. 01. 08.,20.16,25.03,19.52,24.90,"137,125,000"
2018. 01. 07.,24.83,26.77,23.45,26.05,"244,111,000"
2018. 01. 06.,25.75,26.35,22.32,22.98,"260,457,000"
2018. 01. 05.,22.96,24.80,22.37,24.60,"212,222,000"
2018. 01. 04.,24.73,25.33,23.33,25.18,"184,889,000"
2018. 01. 03.,25.21,27.39,24.40,25.88,"236,658,000"
2018. 01. 02.,26.23,29.23,25.26,27.97,"222,538,000"
2018. 01. 01.,28.28,31.10,26.23,29.64,"244,012,000"
2017. 12. 31.,29.52,35.68,22.91,24.78,"331,258,000"
2017. 12. 30.,25.37,29.61,24.62,29.43,"185,927,000"
2017. 12. 29.,29.49,30.68,28.41,29.62,"220,630,000"
2017. 12. 28.,29.27,35.76,27.87,35.45,"229,394,000"
2017. 12. 27.,35.61,37.14,27.10,28.09,"402,025,000"
2017. 12. 26.,28.13,31.25,26.79,28.00,"168,343,000"
2017. 12. 25.,27.80,33.59,27.26,28.78,"155,787,000"
2017. 12. 24.,28.36,30.50,25.98,30.50,"213,808,000"
2017. 12. 23.,30.59,33.33,28.62,29.30,"175,971,000"
2017. 12. 22.,29.25,37.76,25.73,36.87,"156,137,000"
2017. 12. 21.,36.64,39.36,33.73,37.03,"158,964,000"
2017. 12. 20.,37.00,40.65,30.88,35.13,"165,648,000"
2017. 12. 19.,35.36,37.90,30.62,31.16,"196,577,000"
2017. 12. 18.,31.10,33.30,19.49,21.35,"160,745,000"
2017. 12. 17.,21.33,23.56,20.49,23.46,"51,759,400"
2017. 12. 16.,23.48,25.35,20.46,21.75,"80,170,000"
2017. 12. 15.,21.93,22.06,16.57,18.79,"88,688,300"
2017. 12. 14.,18.82,19.40,16.33,16.58,"77,471,400"
2017. 12. 13.,16.67,17.51,15.55,16.08,"70,634,800"
2017. 12. 12.,16.02,16.32,14.47,15.86,"60,178,200"
2017. 12. 11.,15.96,17.77,13.01,13.09,"74,061,600"
2017. 12. 10.,13.16,13.99,12.54,13.99,"32,666,000"
2017. 12. 09.,13.93,15.06,13.22,14.75,"42,711,000"
2017. 12. 08.,14.74,15.21,13.08,14.62,"56,016,000"
2017. 12. 07.,14.55,15.76,13.96,14.99,"49,508,000"
2017. 12. 06.,15.23,16.52,14.67,16.39,"57,008,800"
2017. 12. 05.,16.41,17.57,16.30,17.40,"82,850,000"
2017. 12. 04.,17.36,18.38,16.32,18.11,"69,284,300"
2017. 12. 03.,18.13,19.78,17.36,17.79,"67,774,800"
2017. 12. 02.,17.63,17.63,16.37,16.94,"53,462,000"
2017. 12. 01.,16.90,17.20,15.14,15.95,"56,774,800"
2017. 11. 30.,16.01,17.50,14.14,16.55,"54,218,600"
2017. 11. 29.,16.30,19.88,16.22,19.53,"59,061,900"
2017. 11. 28.,19.55,20.45,19.21,19.88,"66,225,200"
2017. 11. 27.,19.89,21.23,19.28,20.56,"63,766,200"
2017. 11. 26.,20.58,21.00,18.78,19.08,"55,829,600"
2017. 11. 25.,19.06,19.75,18.44,18.59,"39,914,200"
2017. 11. 24.,18.64,19.85,15.92,15.97,"71,235,900"
2017. 11. 23.,16.09,17.31,15.89,16.62,"47,993,300"
2017. 11. 22.,16.75,17.79,15.59,17.64,"29,309,100"
2017. 11. 21.,17.56,18.87,17.22,18.24,"29,483,600"
2017. 11. 20.,18.28,19.76,17.92,19.21,"27,072,500"
2017. 11. 19.,19.22,20.85,18.67,20.45,"27,871,700"
2017. 11. 18.,20.78,22.78,19.49,21.20,"40,753,600"
2017. 11. 17.,21.20,21.76,16.79,18.74,"45,202,200"
2017. 11. 16.,18.80,25.43,18.80,20.07,"52,090,800"
2017. 11. 15.,19.85,19.95,15.20,15.20,"31,405,200"
2017. 11. 14.,15.22,15.96,14.87,15.92,"13,310,000"
2017. 11. 13.,15.85,15.96,13.88,14.85,"20,064,300"
2017. 11. 12.,14.50,15.51,9.84,10.43,"35,274,400"
2017. 11. 11.,10.44,10.74,10.10,10.42,"12,939,000"
2017. 11. 10.,10.42,11.63,10.04,11.38,"14,322,000"
2017. 11. 09.,11.45,11.62,10.22,10.74,"15,279,400"
2017. 11. 08.,10.63,10.78,9.57,9.66,"16,181,800"
2017. 11. 07.,9.67,9.70,9.39,9.47,"12,788,100"
2017. 11. 06.,9.49,9.86,9.41,9.86,"12,450,500"
2017. 11. 05.,9.84,10.04,9.50,9.76,"12,602,900"
2017. 11. 04.,9.74,9.83,9.28,9.40,"14,889,300"
2017. 11. 03.,9.41,9.96,9.34,9.69,"19,221,800"
2017. 11. 02.,9.70,10.24,9.52,10.24,"25,565,200"
2017. 11. 01.,10.15,10.77,10.00,10.71,"22,822,300"
2017. 10. 31.,10.76,11.03,9.67,9.86,"22,692,000"
2017. 10. 30.,9.83,9.88,9.48,9.59,"17,844,100"
2017. 10. 29.,9.65,9.69,9.14,9.27,"19,171,000"
2017. 10. 28.,9.31,9.55,9.10,9.43,"14,990,100"
2017. 10. 27.,9.43,9.91,9.40,9.79,"9,836,020"
2017. 10. 26.,9.78,10.32,9.74,10.22,"12,353,300"
2017. 10. 25.,10.21,10.21,9.74,10.03,"16,453,300"
2017. 10. 24.,10.07,10.42,9.77,9.98,"15,250,900"
2017. 10. 23.,9.97,10.49,9.76,10.45,"13,741,200"
2017. 10. 22.,10.46,10.72,10.37,10.69,"14,194,200"
2017. 10. 21.,10.69,11.13,10.54,10.86,"13,243,100"
2017. 10. 20.,10.87,11.05,10.35,10.67,"8,554,240"
2017. 10. 19.,10.65,10.78,10.02,10.09,"17,482,900"
2017. 10. 18.,10.12,10.66,9.23,10.66,"14,448,500"
2017. 10. 17.,10.64,11.22,10.50,11.20,"16,371,000"
2017. 10. 16.,11.18,11.87,10.97,11.63,"16,241,700"
2017. 10. 15.,11.65,12.96,11.30,12.28,"19,203,800"
2017. 10. 14.,12.29,12.29,10.63,10.64,"17,945,200"
2017. 10. 13.,10.58,10.63,9.76,9.82,"20,057,800"
2017. 10. 12.,9.81,10.07,9.56,9.92,"17,543,300"
2017. 10. 11.,9.94,10.76,9.70,9.81,"13,935,400"
2017. 10. 10.,9.64,9.69,7.55,7.56,"10,726,100"
