,close,high,low,open,volume
2018. 03. 21.,3.47,3.70,2.62,2.67,"235,402,000"
2018. 03. 20.,2.62,2.74,2.14,2.38,"48,542,400"
2018. 03. 19.,2.35,2.35,1.97,2.09,"39,146,200"
2018. 03. 18.,2.07,2.10,1.59,1.95,"35,447,300"
2018. 03. 17.,1.96,2.25,1.89,2.25,"25,180,000"
2018. 03. 16.,2.25,2.39,2.16,2.27,"24,701,000"
2018. 03. 15.,2.27,2.43,2.16,2.38,"31,307,700"
2018. 03. 14.,2.38,3.14,2.28,2.90,"55,190,300"
2018. 03. 13.,2.88,2.94,2.59,2.62,"37,901,500"
2018. 03. 12.,2.64,2.86,2.54,2.77,"15,110,200"
2018. 03. 11.,2.78,2.82,2.37,2.47,"9,918,750"
2018. 03. 10.,2.47,2.83,2.43,2.68,"12,162,200"
2018. 03. 09.,2.72,2.73,2.20,2.59,"19,856,200"
2018. 03. 08.,2.61,3.07,2.60,3.00,"18,798,000"
2018. 03. 07.,3.00,3.47,2.68,3.41,"33,020,700"
2018. 03. 06.,3.42,3.59,3.26,3.56,"28,737,100"
2018. 03. 05.,3.59,3.67,3.54,3.64,"16,088,900"
2018. 03. 04.,3.64,3.75,3.52,3.66,"16,649,900"
2018. 03. 03.,3.66,3.88,3.61,3.71,"17,486,200"
2018. 03. 02.,3.71,3.88,3.59,3.81,"19,446,700"
2018. 03. 01.,3.81,3.86,3.50,3.55,"20,427,300"
2018. 02. 28.,3.55,4.02,3.55,4.02,"28,413,100"
2018. 02. 27.,4.03,4.10,3.89,4.03,"23,394,200"
2018. 02. 26.,4.00,4.25,3.83,3.87,"57,012,300"
2018. 02. 25.,3.87,3.91,3.64,3.82,"20,438,700"
2018. 02. 24.,3.83,4.10,3.62,3.94,"18,201,100"
2018. 02. 23.,3.95,4.20,3.64,3.76,"29,152,600"
2018. 02. 22.,3.76,4.34,3.66,4.00,"35,044,500"
2018. 02. 21.,4.02,4.57,3.89,4.19,"49,737,300"
2018. 02. 20.,4.16,4.84,4.12,4.80,"52,935,400"
2018. 02. 19.,4.81,4.94,4.68,4.69,"35,274,700"
2018. 02. 18.,4.71,5.40,4.62,5.40,"48,768,400"
2018. 02. 17.,5.39,5.78,4.82,4.89,"97,824,900"
2018. 02. 16.,4.85,4.97,4.50,4.82,"41,488,100"
2018. 02. 15.,4.86,4.88,4.31,4.44,"57,393,200"
2018. 02. 14.,4.42,4.52,3.89,3.91,"46,688,800"
2018. 02. 13.,3.94,4.32,3.86,4.25,"35,776,400"
2018. 02. 12.,4.25,4.48,3.86,3.86,"51,677,700"
2018. 02. 11.,3.80,4.15,3.42,4.04,"55,951,900"
2018. 02. 10.,4.09,4.71,3.78,4.57,"57,370,900"
2018. 02. 09.,4.57,4.58,4.10,4.35,"10,375,600"
2018. 02. 08.,4.33,4.50,3.82,3.82,"99,461,300"
2018. 02. 07.,3.81,4.84,3.74,4.38,"90,748,200"
2018. 02. 06.,4.41,4.70,2.40,3.08,"163,330,000"
2018. 02. 05.,3.08,4.35,2.58,4.27,"83,113,100"
2018. 02. 04.,4.36,5.48,4.03,5.44,"54,855,100"
2018. 02. 03.,5.43,5.96,4.71,5.30,"47,213,900"
2018. 02. 02.,5.30,6.08,3.77,6.08,"94,399,400"
2018. 02. 01.,6.09,7.75,5.43,7.72,"128,136,000"
2018. 01. 31.,7.68,8.82,7.15,8.27,"178,997,000"
2018. 01. 30.,8.27,10.08,7.94,9.52,"205,957,000"
2018. 01. 29.,9.47,9.63,8.62,9.43,"120,820,000"
2018. 01. 28.,9.41,9.63,7.91,7.94,"154,715,000"
2018. 01. 27.,7.86,8.07,7.67,7.93,"42,756,600"
2018. 01. 26.,7.94,8.10,6.94,7.82,"65,230,500"
2018. 01. 25.,7.84,8.73,7.65,8.38,"84,307,600"
2018. 01. 24.,8.34,9.30,7.51,8.10,"184,779,000"
2018. 01. 23.,8.12,8.73,7.18,8.12,"87,696,600"
2018. 01. 22.,8.16,9.30,7.38,9.02,"85,710,100"
2018. 01. 21.,8.88,10.33,8.38,10.29,"79,298,200"
2018. 01. 20.,10.33,10.68,8.54,8.54,"118,950,000"
2018. 01. 19.,8.43,8.77,7.38,7.86,"77,194,800"
2018. 01. 18.,7.93,8.70,6.95,7.50,"91,459,000"
2018. 01. 17.,7.47,8.12,4.99,7.45,"106,760,000"
2018. 01. 16.,7.51,9.91,5.82,9.89,"113,491,000"
2018. 01. 15.,9.87,10.78,9.49,10.61,"95,147,400"
2018. 01. 14.,10.59,10.83,9.47,9.91,"106,777,000"
2018. 01. 13.,9.92,10.42,9.41,9.92,"107,243,000"
2018. 01. 12.,9.96,10.35,8.66,9.20,"114,801,000"
2018. 01. 11.,9.20,11.68,7.76,11.07,"200,895,000"
2018. 01. 10.,11.04,12.33,10.31,12.27,"151,609,000"
2018. 01. 09.,12.19,12.64,10.34,10.38,"259,024,000"
2018. 01. 08.,10.41,11.28,8.87,9.86,"227,863,000"
2018. 01. 07.,9.92,10.50,7.76,7.79,"283,778,000"
2018. 01. 06.,7.76,7.94,6.76,6.89,"149,783,000"
2018. 01. 05.,6.84,7.89,6.37,7.31,"161,902,000"
2018. 01. 04.,7.24,8.08,6.78,7.40,"160,103,000"
2018. 01. 03.,7.34,7.41,6.25,6.48,"147,000,000"
2018. 01. 02.,6.49,7.11,5.68,6.18,"159,429,000"
2018. 01. 01.,6.16,6.43,4.98,5.35,"103,225,000"
2017. 12. 31.,5.35,5.51,5.02,5.18,"62,230,900"
2017. 12. 30.,5.20,5.53,4.77,5.53,"65,365,800"
2017. 12. 29.,5.51,6.04,5.20,5.84,"72,316,600"
2017. 12. 28.,5.79,6.04,4.44,5.13,"143,201,000"
2017. 12. 27.,5.19,6.28,4.83,6.28,"124,386,000"
2017. 12. 26.,6.18,7.34,4.97,6.99,"217,605,000"
2017. 12. 25.,6.91,7.10,4.40,4.40,"200,710,000"
2017. 12. 24.,4.34,4.34,3.25,4.12,"51,895,300"
2017. 12. 23.,4.06,4.39,2.75,2.75,"96,608,400"
2017. 12. 22.,2.73,3.13,1.97,2.94,"55,008,500"
