,close,high,low,open,volume
2018. 03. 21.,1.37,1.49,1.34,1.45,"57,554,800"
2018. 03. 20.,1.44,1.52,1.30,1.33,"67,039,500"
2018. 03. 19.,1.33,1.34,1.19,1.24,"55,966,600"
2018. 03. 18.,1.23,1.29,1.06,1.14,"111,700,000"
2018. 03. 17.,1.14,1.15,1.07,1.10,"38,853,100"
2018. 03. 16.,1.10,1.15,1.03,1.10,"29,977,700"
2018. 03. 15.,1.09,1.14,1.04,1.12,"43,235,400"
2018. 03. 14.,1.12,1.37,1.11,1.31,"45,727,000"
2018. 03. 13.,1.31,1.35,1.29,1.34,"22,675,600"
2018. 03. 12.,1.34,1.42,1.28,1.39,"27,739,400"
2018. 03. 11.,1.39,1.43,1.28,1.31,"31,315,700"
2018. 03. 10.,1.31,1.47,1.29,1.40,"31,847,500"
2018. 03. 09.,1.39,1.41,1.20,1.40,"58,591,300"
2018. 03. 08.,1.40,1.55,1.39,1.53,"35,024,800"
2018. 03. 07.,1.53,1.71,1.38,1.70,"68,445,500"
2018. 03. 06.,1.70,1.89,1.66,1.87,"61,796,200"
2018. 03. 05.,1.88,1.90,1.86,1.90,"24,413,600"
2018. 03. 04.,1.89,1.91,1.81,1.86,"28,452,300"
2018. 03. 03.,1.86,1.96,1.85,1.91,"25,861,200"
2018. 03. 02.,1.92,2.01,1.86,1.98,"27,602,600"
2018. 03. 01.,1.97,2.01,1.84,1.85,"41,523,600"
2018. 02. 28.,1.86,2.02,1.85,1.97,"39,190,300"
2018. 02. 27.,1.97,2.08,1.82,1.88,"63,311,700"
2018. 02. 26.,1.87,1.90,1.77,1.82,"43,478,500"
2018. 02. 25.,1.82,1.98,1.75,1.77,"103,799,000"
2018. 02. 24.,1.78,1.80,1.65,1.75,"41,594,100"
2018. 02. 23.,1.75,1.81,1.58,1.61,"39,323,100"
2018. 02. 22.,1.62,1.86,1.58,1.75,"53,125,800"
2018. 02. 21.,1.76,1.96,1.74,1.90,"50,765,900"
2018. 02. 20.,1.91,2.12,1.88,2.09,"49,930,400"
2018. 02. 19.,2.09,2.14,1.99,1.99,"32,581,400"
2018. 02. 18.,1.98,2.21,1.98,2.20,"43,653,800"
2018. 02. 17.,2.20,2.21,2.08,2.10,"42,149,700"
2018. 02. 16.,2.10,2.18,2.00,2.12,"44,770,200"
2018. 02. 15.,2.13,2.17,2.00,2.03,"65,315,300"
2018. 02. 14.,2.03,2.03,1.79,1.82,"53,007,600"
2018. 02. 13.,1.81,1.87,1.75,1.87,"30,056,900"
2018. 02. 12.,1.87,1.91,1.71,1.71,"36,974,300"
2018. 02. 11.,1.70,1.86,1.62,1.86,"45,356,200"
2018. 02. 10.,1.86,2.13,1.79,1.96,"68,051,900"
2018. 02. 09.,1.96,1.97,1.70,1.78,"45,992,000"
2018. 02. 08.,1.78,1.85,1.61,1.61,"51,576,300"
2018. 02. 07.,1.60,1.88,1.53,1.62,"65,922,600"
2018. 02. 06.,1.62,1.70,1.20,1.48,"101,327,000"
2018. 02. 05.,1.45,1.77,1.35,1.75,"69,213,800"
2018. 02. 04.,1.74,2.07,1.64,1.98,"59,380,900"
2018. 02. 03.,1.99,2.02,1.63,1.81,"64,062,000"
2018. 02. 02.,1.81,1.92,1.41,1.90,"118,068,000"
2018. 02. 01.,1.91,2.33,1.75,2.31,"108,876,000"
2018. 01. 31.,2.31,2.34,2.18,2.22,"48,505,200"
2018. 01. 30.,2.22,2.64,2.20,2.59,"94,218,100"
2018. 01. 29.,2.58,2.58,2.40,2.52,"60,210,600"
2018. 01. 28.,2.52,2.56,2.46,2.46,"47,752,200"
2018. 01. 27.,2.45,2.49,2.37,2.38,"43,333,600"
2018. 01. 26.,2.37,2.45,2.20,2.36,"62,216,500"
2018. 01. 25.,2.37,2.59,2.34,2.46,"56,586,500"
2018. 01. 24.,2.43,2.57,2.37,2.52,"73,441,600"
2018. 01. 23.,2.50,2.62,2.24,2.47,"81,217,500"
2018. 01. 22.,2.47,2.90,2.18,2.78,"125,555,000"
2018. 01. 21.,2.77,3.01,2.64,3.01,"94,697,300"
2018. 01. 20.,3.00,3.14,2.71,2.71,"140,378,000"
2018. 01. 19.,2.70,2.93,2.56,2.75,"103,437,000"
2018. 01. 18.,2.75,3.03,2.60,2.72,"125,440,000"
2018. 01. 17.,2.72,2.92,1.99,2.60,"239,578,000"
2018. 01. 16.,2.60,3.47,2.00,3.47,"256,703,000"
2018. 01. 15.,3.48,3.76,3.48,3.72,"94,966,600"
2018. 01. 14.,3.74,3.98,3.58,3.93,"130,318,000"
2018. 01. 13.,3.94,4.10,3.70,3.70,"198,149,000"
2018. 01. 12.,3.69,3.73,3.29,3.38,"129,802,000"
2018. 01. 11.,3.37,3.82,3.18,3.78,"245,028,000"
2018. 01. 10.,3.78,3.78,3.21,3.56,"235,594,000"
2018. 01. 09.,3.54,3.92,3.45,3.84,"200,086,000"
2018. 01. 08.,3.85,4.19,3.36,4.07,"317,248,000"
2018. 01. 07.,4.07,4.58,3.93,3.95,"249,833,000"
2018. 01. 06.,3.94,4.19,3.75,3.75,"161,228,000"
2018. 01. 05.,3.75,4.20,3.66,4.06,"219,320,000"
2018. 01. 04.,4.08,4.50,3.76,4.13,"376,974,000"
2018. 01. 03.,4.13,4.19,3.90,4.00,"203,783,000"
2018. 01. 02.,4.00,4.31,3.84,4.09,"269,750,000"
2018. 01. 01.,3.97,4.36,3.42,3.56,"256,630,000"
2017. 12. 31.,3.55,3.66,3.30,3.30,"167,521,000"
2017. 12. 30.,3.34,3.72,3.01,3.70,"245,624,000"
2017. 12. 29.,3.69,3.89,3.49,3.70,"187,729,000"
2017. 12. 28.,3.68,3.75,3.33,3.72,"217,902,000"
2017. 12. 27.,3.74,4.48,3.62,3.81,"297,053,000"
2017. 12. 26.,3.80,3.82,3.49,3.49,"178,890,000"
2017. 12. 25.,3.50,3.81,3.29,3.49,"172,138,000"
2017. 12. 24.,3.48,3.64,2.95,3.61,"278,148,000"
2017. 12. 23.,3.61,4.21,3.39,3.51,"236,435,000"
2017. 12. 22.,3.45,5.11,2.80,5.08,"826,429,000"
2017. 12. 21.,5.03,5.51,4.86,5.08,"434,568,000"
2017. 12. 20.,5.09,5.52,4.69,5.37,"611,582,000"
2017. 12. 19.,5.37,5.69,3.88,4.24,"1,117,890,000"
2017. 12. 18.,4.24,4.36,3.65,3.95,"447,675,000"
2017. 12. 17.,3.93,4.04,3.48,3.65,"354,390,000"
2017. 12. 16.,3.63,4.07,3.48,3.91,"285,374,000"
2017. 12. 15.,3.90,4.06,3.37,3.77,"427,330,000"
2017. 12. 14.,3.78,4.24,3.38,4.06,"568,923,000"
2017. 12. 13.,4.09,4.75,3.77,4.72,"498,435,000"
2017. 12. 12.,4.72,5.03,4.18,4.26,"679,346,000"
2017. 12. 11.,4.27,4.58,4.12,4.14,"409,780,000"
2017. 12. 10.,4.13,4.66,3.77,4.66,"601,040,000"
2017. 12. 09.,4.68,5.28,4.25,5.05,"674,566,000"
2017. 12. 08.,5.01,5.01,3.63,4.14,"928,042,000"
2017. 12. 07.,4.14,4.54,3.10,4.47,"1,260,950,000"
2017. 12. 06.,4.36,5.55,3.66,3.81,"2,126,970,000"
2017. 12. 05.,3.84,3.97,2.45,2.80,"1,417,380,000"
2017. 12. 04.,2.76,2.98,1.89,1.89,"1,090,620,000"
2017. 12. 03.,1.88,2.02,1.43,1.44,"401,418,000"
2017. 12. 02.,1.44,1.45,1.35,1.42,"115,656,000"
2017. 12. 01.,1.45,1.49,1.23,1.31,"141,192,000"
2017. 11. 30.,1.33,1.39,1.13,1.27,"179,224,000"
2017. 11. 29.,1.25,1.56,1.13,1.48,"294,702,000"
2017. 11. 28.,1.50,1.50,1.03,1.04,"465,727,000"
2017. 11. 27.,1.04,1.10,0.799566,0.844828,"174,455,000"
2017. 11. 26.,0.841932,0.841932,0.763788,0.804621,"47,779,300"
2017. 11. 25.,0.806117,0.853820,0.718574,0.787730,"64,910,500"
2017. 11. 24.,0.786914,0.796914,0.687301,0.793492,"113,159,000"
2017. 11. 23.,0.793487,0.915350,0.789444,0.897425,"64,619,700"
2017. 11. 22.,0.899570,0.957121,0.854097,0.889204,"69,568,700"
2017. 11. 21.,0.888499,0.985799,0.776513,0.965610,"123,514,000"
2017. 11. 20.,0.966548,0.992344,0.858567,0.862672,"92,042,900"
2017. 11. 19.,0.864638,0.878973,0.808990,0.816643,"61,681,300"
2017. 11. 18.,0.823032,0.848357,0.752962,0.791203,"57,802,400"
2017. 11. 17.,0.792462,0.875845,0.731393,0.830897,"102,001,000"
2017. 11. 16.,0.823941,0.893702,0.713337,0.792688,"132,320,000"
2017. 11. 15.,0.785823,0.785823,0.610165,0.610165,"87,041,500"
2017. 11. 14.,0.610332,0.618325,0.538290,0.586061,"33,932,000"
2017. 11. 13.,0.591634,0.652501,0.573934,0.594010,"37,718,000"
2017. 11. 12.,0.593716,0.636028,0.508265,0.626080,"44,517,800"
2017. 11. 11.,0.621817,0.621817,0.497991,0.501986,"42,375,200"
2017. 11. 10.,0.504601,0.562467,0.459485,0.529091,"44,756,700"
2017. 11. 09.,0.535435,0.593595,0.467588,0.475964,"69,996,800"
2017. 11. 08.,0.475925,0.488848,0.381925,0.384301,"44,738,600"
2017. 11. 07.,0.383096,0.397608,0.362284,0.371509,"15,415,700"
2017. 11. 06.,0.373939,0.378777,0.338867,0.351011,"13,258,400"
2017. 11. 05.,0.350084,0.370910,0.335194,0.367915,"12,950,500"
2017. 11. 04.,0.368643,0.391546,0.365428,0.391327,"8,568,260"
2017. 11. 03.,0.393126,0.396015,0.358817,0.362970,"11,427,900"
2017. 11. 02.,0.366056,0.380213,0.320862,0.370966,"20,942,000"
2017. 11. 01.,0.363920,0.390863,0.356690,0.390863,"11,944,600"
2017. 10. 31.,0.390915,0.408340,0.390312,0.407912,"7,839,910"
2017. 10. 30.,0.409046,0.415571,0.385603,0.403103,"9,124,580"
2017. 10. 29.,0.403720,0.413541,0.367674,0.395947,"15,972,200"
2017. 10. 28.,0.395483,0.428173,0.391215,0.424433,"9,075,000"
2017. 10. 27.,0.423355,0.439441,0.395594,0.416744,"8,963,410"
2017. 10. 26.,0.417107,0.455887,0.411928,0.443666,"10,747,100"
2017. 10. 25.,0.443448,0.473467,0.430005,0.455356,"14,379,600"
2017. 10. 24.,0.453682,0.502278,0.377494,0.389144,"47,178,400"
2017. 10. 23.,0.386487,0.399234,0.364940,0.391371,"12,380,800"
2017. 10. 22.,0.392542,0.411999,0.381438,0.390836,"9,322,400"
2017. 10. 21.,0.393045,0.406504,0.324360,0.403854,"20,120,500"
2017. 10. 20.,0.401913,0.435639,0.391630,0.432863,"17,771,900"
2017. 10. 19.,0.433388,0.465953,0.415102,0.457196,"12,250,600"
2017. 10. 18.,0.454575,0.482291,0.427958,0.474621,"12,433,700"
2017. 10. 17.,0.468463,0.504408,0.434911,0.452052,"12,590,200"
2017. 10. 16.,0.450655,0.459618,0.423750,0.439699,"8,128,940"
2017. 10. 15.,0.438429,0.460506,0.414704,0.458649,"8,256,490"
2017. 10. 14.,0.457837,0.482837,0.431503,0.441808,"11,493,700"
2017. 10. 13.,0.441595,0.445985,0.403912,0.412854,"14,821,100"
2017. 10. 12.,0.412417,0.486223,0.391482,0.481734,"16,792,100"
2017. 10. 11.,0.481464,0.488967,0.464757,0.477029,"6,996,130"
2017. 10. 10.,0.477576,0.488517,0.452723,0.466453,"7,401,800"
2017. 10. 09.,0.469438,0.501909,0.439523,0.500356,"18,097,100"
2017. 10. 08.,0.500032,0.538526,0.492876,0.534649,"9,637,830"
2017. 10. 07.,0.538529,0.548719,0.490615,0.504488,"9,848,850"
2017. 10. 06.,0.503448,0.562671,0.493282,0.543216,"12,478,500"
2017. 10. 05.,0.540915,0.567734,0.520702,0.547394,"7,592,760"
2017. 10. 04.,0.546982,0.570545,0.520099,0.560853,"9,152,780"
2017. 10. 03.,0.561712,0.582044,0.516038,0.577182,"13,709,400"
2017. 10. 02.,0.575398,0.622090,0.565055,0.618180,"13,928,300"
2017. 10. 01.,0.610183,0.628776,0.592742,0.621750,"8,576,220"
2017. 09. 30.,0.620822,0.646884,0.576150,0.584318,"21,825,700"
2017. 09. 29.,0.584418,0.609587,0.543016,0.595143,"16,689,800"
2017. 09. 28.,0.595896,0.614313,0.528270,0.549661,"23,776,300"
2017. 09. 27.,0.551005,0.554709,0.507709,0.514224,"12,188,400"
2017. 09. 26.,0.515205,0.560043,0.507645,0.556670,"14,671,500"
2017. 09. 25.,0.556207,0.566395,0.524449,0.524449,"10,506,400"
2017. 09. 24.,0.521379,0.541688,0.506966,0.540538,"9,199,830"
2017. 09. 23.,0.541796,0.551145,0.494903,0.507613,"8,486,720"
2017. 09. 22.,0.506010,0.517458,0.476075,0.499185,"8,860,800"
2017. 09. 21.,0.500724,0.569993,0.467953,0.567586,"18,553,300"
2017. 09. 20.,0.566627,0.585680,0.543853,0.559849,"8,802,430"
2017. 09. 19.,0.565168,0.614231,0.555303,0.608275,"12,972,000"
2017. 09. 18.,0.606233,0.612485,0.496796,0.496796,"28,609,000"
2017. 09. 17.,0.497046,0.505875,0.462614,0.484758,"7,574,760"
2017. 09. 16.,0.487239,0.510361,0.453232,0.479385,"13,452,000"
2017. 09. 15.,0.480510,0.509332,0.372595,0.445700,"41,983,100"
2017. 09. 14.,0.445019,0.573630,0.445019,0.565841,"25,946,400"
2017. 09. 13.,0.556820,0.595366,0.479349,0.592512,"31,807,500"
2017. 09. 12.,0.591949,0.647193,0.557297,0.561696,"43,345,900"
2017. 09. 11.,0.558273,0.558273,0.481498,0.498380,"23,660,500"
2017. 09. 10.,0.495607,0.567870,0.462834,0.561304,"32,733,100"
2017. 09. 09.,0.560809,0.583964,0.524823,0.525939,"15,317,400"
2017. 09. 08.,0.540475,0.660258,0.490346,0.648249,"48,691,600"
2017. 09. 07.,0.645758,0.739668,0.622366,0.739668,"31,377,000"
2017. 09. 06.,0.741663,0.749172,0.601484,0.613529,"33,093,300"
2017. 09. 05.,0.613085,0.646085,0.468949,0.544132,"45,817,500"
2017. 09. 04.,0.566472,0.744257,0.406795,0.744257,"74,601,300"
2017. 09. 03.,0.743968,0.775863,0.672850,0.698855,"29,504,600"
2017. 09. 02.,0.695547,0.802464,0.658006,0.796560,"39,333,900"
2017. 09. 01.,0.807778,0.879100,0.768119,0.842867,"28,047,000"
2017. 08. 31.,0.842424,0.902074,0.828224,0.869553,"15,194,300"
2017. 08. 30.,0.869647,0.878203,0.792339,0.812777,"17,428,100"
2017. 08. 29.,0.811961,0.877578,0.746405,0.876892,"28,538,500"
2017. 08. 28.,0.875197,0.927742,0.784779,0.922464,"24,288,200"
2017. 08. 27.,0.920351,0.979088,0.887365,0.962058,"17,816,000"
2017. 08. 26.,0.962213,0.970068,0.877886,0.915926,"16,623,100"
2017. 08. 25.,0.919635,0.934651,0.837866,0.894733,"18,226,300"
2017. 08. 24.,0.895101,0.895101,0.813880,0.854043,"17,132,900"
2017. 08. 23.,0.850371,0.940389,0.834667,0.842517,"27,418,300"
2017. 08. 22.,0.843775,0.901778,0.786259,0.901778,"26,333,800"
2017. 08. 21.,0.906269,0.939166,0.843577,0.907423,"32,558,600"
2017. 08. 20.,0.942205,1.02,0.939619,0.971222,"29,447,600"
2017. 08. 19.,0.978521,0.985748,0.778133,0.871580,"39,975,500"
2017. 08. 18.,0.870147,1.03,0.774400,1.01,"58,053,400"
2017. 08. 17.,1.02,1.10,0.998241,1.04,"58,209,300"
2017. 08. 16.,1.05,1.05,0.878567,0.914727,"52,081,500"
2017. 08. 15.,0.917949,0.995791,0.767236,0.977320,"84,698,300"
2017. 08. 14.,0.976404,0.976404,0.793682,0.811738,"54,630,900"
2017. 08. 13.,0.807713,0.829530,0.715382,0.722169,"41,198,400"
2017. 08. 12.,0.721535,0.727960,0.625521,0.655191,"20,358,000"
2017. 08. 11.,0.654872,0.710585,0.557827,0.565525,"43,618,800"
2017. 08. 10.,0.566456,0.588071,0.513250,0.535805,"16,602,500"
2017. 08. 09.,0.543328,0.555125,0.512566,0.547121,"13,294,400"
2017. 08. 08.,0.547637,0.550880,0.458992,0.473874,"21,988,500"
2017. 08. 07.,0.474577,0.491028,0.418088,0.430804,"14,717,700"
2017. 08. 06.,0.431142,0.440193,0.396851,0.407690,"6,276,510"
2017. 08. 05.,0.407980,0.427798,0.364083,0.393176,"9,091,140"
2017. 08. 04.,0.391286,0.420252,0.332239,0.332239,"20,179,000"
2017. 08. 03.,0.332352,0.336844,0.284765,0.286578,"8,239,810"
2017. 08. 02.,0.286116,0.293039,0.272032,0.290135,"3,439,800"
2017. 08. 01.,0.290220,0.296267,0.249623,0.256665,"5,169,910"
2017. 07. 31.,0.254732,0.259810,0.245768,0.255064,"2,563,820"
2017. 07. 30.,0.254785,0.279401,0.252831,0.277339,"3,165,840"
2017. 07. 29.,0.275190,0.277226,0.245848,0.266567,"2,788,270"
2017. 07. 28.,0.265118,0.278459,0.262736,0.274876,"2,884,740"
2017. 07. 27.,0.275467,0.285551,0.275467,0.276850,"3,343,540"
2017. 07. 26.,0.274598,0.283478,0.241237,0.250571,"4,626,790"
2017. 07. 25.,0.250453,0.269072,0.237998,0.266827,"2,917,500"
2017. 07. 24.,0.266447,0.273468,0.242731,0.265136,"4,502,060"
2017. 07. 23.,0.269072,0.280241,0.258485,0.273693,"3,065,860"
2017. 07. 22.,0.273382,0.278936,0.254406,0.263390,"4,107,430"
2017. 07. 21.,0.264134,0.305506,0.257626,0.294760,"6,344,870"
2017. 07. 20.,0.292460,0.298253,0.232192,0.233503,"10,332,500"
2017. 07. 19.,0.232212,0.284031,0.230686,0.268162,"6,339,730"
2017. 07. 18.,0.267340,0.309577,0.248754,0.264569,"11,433,600"
2017. 07. 17.,0.263105,0.278088,0.179114,0.180717,"15,254,300"
2017. 07. 16.,0.180978,0.185445,0.155173,0.157961,"4,178,170"
2017. 07. 15.,0.158688,0.176099,0.147933,0.175237,"3,913,220"
2017. 07. 14.,0.175350,0.214112,0.161877,0.212999,"3,347,860"
2017. 07. 13.,0.214589,0.238625,0.194249,0.229099,"4,129,150"
2017. 07. 12.,0.228758,0.237362,0.183955,0.191125,"4,646,480"
2017. 07. 11.,0.187596,0.231574,0.185681,0.214742,"6,946,200"
2017. 07. 10.,0.217061,0.304476,0.190539,0.304476,"8,233,640"
2017. 07. 09.,0.302889,0.312770,0.285475,0.297377,"2,474,500"
2017. 07. 08.,0.305515,0.320908,0.281393,0.286164,"3,273,950"
2017. 07. 07.,0.284565,0.355994,0.271859,0.355803,"8,804,780"
2017. 07. 06.,0.353880,0.382865,0.317295,0.380253,"8,218,370"
2017. 07. 05.,0.380130,0.400841,0.371809,0.396273,"3,061,100"
2017. 07. 04.,0.396390,0.410698,0.373865,0.374900,"3,933,710"
2017. 07. 03.,0.376139,0.384955,0.356024,0.379055,"3,873,180"
