,close,high,low,open,volume
2018. 03. 21.,3.09,3.33,3.06,3.10,"1,856,540"
2018. 03. 20.,3.09,3.15,2.72,2.86,"2,087,540"
2018. 03. 19.,2.84,2.91,2.57,2.67,"3,056,530"
2018. 03. 18.,2.65,2.65,2.16,2.56,"1,685,110"
2018. 03. 17.,2.56,2.90,2.56,2.90,"894,544"
2018. 03. 16.,2.87,3.04,2.85,3.00,"827,609"
2018. 03. 15.,3.00,3.14,2.77,3.14,"1,396,310"
2018. 03. 14.,3.14,3.64,3.08,3.45,"1,868,510"
2018. 03. 13.,3.45,3.75,3.39,3.59,"1,443,100"
2018. 03. 12.,3.58,3.84,3.42,3.53,"1,601,820"
2018. 03. 11.,3.54,3.62,3.19,3.28,"1,142,430"
2018. 03. 10.,3.29,3.58,3.25,3.37,"1,246,550"
2018. 03. 09.,3.37,3.41,2.92,3.34,"1,813,360"
2018. 03. 08.,3.35,3.81,3.32,3.64,"2,230,900"
2018. 03. 07.,3.63,3.96,3.28,3.90,"2,016,660"
2018. 03. 06.,3.90,4.31,3.83,4.31,"1,542,720"
2018. 03. 05.,4.28,4.51,4.23,4.44,"2,660,070"
2018. 03. 04.,4.45,4.65,4.25,4.65,"2,758,820"
2018. 03. 03.,4.65,4.86,4.04,4.13,"9,022,340"
2018. 03. 02.,4.12,4.21,3.83,3.90,"4,179,450"
2018. 03. 01.,3.93,4.06,3.45,3.65,"3,417,490"
2018. 02. 28.,3.65,3.94,3.63,3.88,"1,798,520"
2018. 02. 27.,3.90,4.05,3.79,4.02,"1,834,890"
2018. 02. 26.,4.02,4.04,3.73,3.94,"1,877,050"
2018. 02. 25.,3.94,4.11,3.71,4.11,"1,685,820"
2018. 02. 24.,4.11,4.45,3.96,4.21,"1,478,050"
2018. 02. 23.,4.23,4.34,3.79,4.02,"2,186,800"
2018. 02. 22.,4.07,4.66,3.92,4.66,"3,304,720"
2018. 02. 21.,4.61,5.12,4.54,5.12,"8,765,390"
2018. 02. 20.,4.70,5.24,4.66,5.24,"6,752,570"
2018. 02. 19.,5.12,5.15,4.86,5.01,"3,766,070"
2018. 02. 18.,5.01,5.56,4.80,5.56,"5,638,760"
2018. 02. 17.,5.52,5.96,5.32,5.64,"24,404,900"
2018. 02. 16.,5.26,5.31,5.03,5.24,"6,309,230"
2018. 02. 15.,5.29,5.74,4.54,4.57,"46,832,600"
2018. 02. 14.,4.56,4.61,3.99,4.01,"3,596,820"
2018. 02. 13.,4.02,4.29,3.95,4.24,"2,360,390"
2018. 02. 12.,4.22,4.28,3.96,4.00,"1,862,660"
2018. 02. 11.,3.96,4.29,3.75,4.29,"1,922,750"
2018. 02. 10.,4.31,4.88,4.08,4.41,"4,449,310"
2018. 02. 09.,4.43,4.45,3.84,4.02,"4,079,630"
2018. 02. 08.,4.01,4.08,3.66,3.66,"2,647,580"
2018. 02. 07.,3.65,4.12,3.53,3.83,"3,733,540"
2018. 02. 06.,3.85,3.86,2.54,3.28,"4,249,480"
2018. 02. 05.,3.27,4.37,3.14,4.25,"2,920,250"
2018. 02. 04.,4.28,5.22,4.01,5.02,"2,752,820"
2018. 02. 03.,5.01,5.12,4.11,4.43,"6,692,300"
2018. 02. 02.,4.44,4.97,3.51,4.92,"6,258,700"
2018. 02. 01.,4.94,5.98,4.60,5.91,"4,019,180"
2018. 01. 31.,5.92,6.00,5.44,5.90,"6,080,110"
2018. 01. 30.,6.04,7.24,5.73,7.24,"5,711,550"
2018. 01. 29.,7.25,7.40,6.81,7.01,"14,270,300"
2018. 01. 28.,7.05,7.19,6.63,6.71,"6,356,420"
2018. 01. 27.,6.69,6.74,6.27,6.57,"3,586,950"
2018. 01. 26.,6.56,6.88,5.91,6.65,"5,540,690"
2018. 01. 25.,6.66,7.01,6.41,6.80,"7,112,170"
2018. 01. 24.,6.74,7.08,6.15,6.25,"34,751,500"
2018. 01. 23.,6.24,6.60,5.63,6.25,"10,166,500"
2018. 01. 22.,6.23,7.06,5.63,6.93,"7,622,780"
2018. 01. 21.,6.87,8.39,6.47,8.08,"19,370,900"
2018. 01. 20.,8.14,8.55,6.84,6.84,"47,170,400"
2018. 01. 19.,6.77,7.13,6.09,6.31,"13,632,500"
2018. 01. 18.,6.35,7.10,5.48,5.93,"12,169,700"
2018. 01. 17.,5.90,6.29,4.19,5.68,"11,040,600"
2018. 01. 16.,5.71,7.99,4.58,7.99,"14,509,600"
2018. 01. 15.,7.92,8.49,7.87,8.12,"15,161,800"
2018. 01. 14.,8.15,9.08,7.57,9.08,"6,650,160"
2018. 01. 13.,9.16,9.55,8.33,8.33,"10,257,600"
2018. 01. 12.,8.35,8.53,7.07,7.27,"10,309,600"
2018. 01. 11.,7.26,8.49,6.11,8.39,"15,082,700"
2018. 01. 10.,8.46,9.10,7.59,9.00,"10,622,500"
2018. 01. 09.,9.03,9.71,8.76,9.63,"9,556,170"
2018. 01. 08.,9.68,11.46,8.43,11.46,"14,779,100"
2018. 01. 07.,11.06,11.86,9.39,9.41,"33,495,900"
2018. 01. 06.,9.50,9.70,7.83,8.46,"18,565,800"
2018. 01. 05.,8.46,10.17,8.11,9.40,"18,605,100"
2018. 01. 04.,9.40,10.91,8.90,9.98,"28,405,900"
2018. 01. 03.,10.01,10.45,9.30,10.45,"11,500,400"
2018. 01. 02.,10.43,10.50,9.48,9.66,"16,435,300"
2018. 01. 01.,9.73,10.02,9.10,9.86,"11,458,100"
2017. 12. 31.,9.90,10.06,8.63,8.93,"13,810,500"
2017. 12. 30.,9.14,10.89,8.35,10.19,"23,576,800"
2017. 12. 29.,9.88,10.34,8.69,9.10,"22,535,200"
2017. 12. 28.,9.02,9.88,7.81,9.88,"12,669,800"
2017. 12. 27.,9.81,10.22,9.21,10.22,"15,216,200"
2017. 12. 26.,10.22,10.66,9.63,10.48,"16,601,300"
2017. 12. 25.,10.52,11.04,9.85,10.95,"17,862,100"
2017. 12. 24.,10.56,11.51,9.17,11.51,"15,797,500"
2017. 12. 23.,11.34,12.36,10.35,11.78,"22,850,100"
2017. 12. 22.,11.44,13.12,8.05,11.20,"55,909,300"
2017. 12. 21.,11.15,15.41,7.50,7.75,"80,253,300"
2017. 12. 20.,7.76,8.17,4.98,5.78,"32,798,200"
2017. 12. 19.,5.77,6.41,5.52,5.82,"18,535,600"
2017. 12. 18.,5.69,5.69,4.56,4.83,"15,050,600"
2017. 12. 17.,4.74,5.05,4.45,4.50,"11,065,200"
2017. 12. 16.,4.48,4.81,4.40,4.58,"13,363,700"
2017. 12. 15.,4.63,4.71,3.61,3.73,"23,804,200"
2017. 12. 14.,3.72,3.86,3.49,3.50,"9,389,200"
2017. 12. 13.,3.51,3.77,3.31,3.70,"6,241,710"
2017. 12. 12.,3.66,3.68,3.17,3.31,"7,056,130"
2017. 12. 11.,3.29,3.32,2.83,2.86,"6,057,620"
2017. 12. 10.,2.87,3.20,2.61,3.20,"5,668,640"
2017. 12. 09.,3.15,3.56,2.95,3.40,"7,316,430"
2017. 12. 08.,3.38,3.39,2.81,3.38,"10,793,200"
2017. 12. 07.,3.38,4.12,2.81,2.89,"23,745,400"
2017. 12. 06.,2.90,3.36,2.79,3.35,"8,956,910"
2017. 12. 05.,3.38,3.51,3.19,3.32,"13,147,000"
2017. 12. 04.,3.34,3.36,2.82,2.86,"7,280,920"
2017. 12. 03.,2.82,3.01,2.67,2.78,"5,272,930"
2017. 12. 02.,2.78,2.85,2.64,2.73,"4,211,970"
2017. 12. 01.,2.74,2.78,2.37,2.58,"5,801,410"
2017. 11. 30.,2.62,2.76,2.18,2.48,"4,640,650"
2017. 11. 29.,2.43,3.14,2.42,3.14,"8,092,500"
2017. 11. 28.,3.15,3.21,2.96,3.17,"7,689,710"
2017. 11. 27.,3.15,3.31,2.89,2.92,"10,375,100"
2017. 11. 26.,2.95,2.99,2.62,2.63,"8,449,760"
2017. 11. 25.,2.63,2.65,2.43,2.45,"5,408,430"
2017. 11. 24.,2.44,2.51,2.36,2.51,"4,986,360"
2017. 11. 23.,2.49,2.50,2.35,2.44,"4,944,180"
2017. 11. 22.,2.42,2.46,2.36,2.39,"3,719,400"
2017. 11. 21.,2.38,2.48,2.25,2.44,"3,821,790"
2017. 11. 20.,2.43,2.48,2.34,2.34,"4,108,310"
2017. 11. 19.,2.32,2.47,2.27,2.31,"2,915,800"
2017. 11. 18.,2.31,2.39,2.12,2.14,"3,508,410"
2017. 11. 17.,2.14,2.40,2.14,2.31,"3,190,670"
2017. 11. 16.,2.32,2.39,2.23,2.37,"2,870,210"
2017. 11. 15.,2.35,2.40,2.17,2.17,"3,041,060"
2017. 11. 14.,2.16,2.22,2.05,2.05,"3,198,810"
2017. 11. 13.,2.05,2.16,1.87,1.88,"2,853,940"
2017. 11. 12.,1.88,2.11,1.70,2.10,"3,362,020"
2017. 11. 11.,2.11,2.38,2.05,2.22,"3,293,280"
2017. 11. 10.,2.24,2.75,2.10,2.72,"8,379,540"
2017. 11. 09.,2.71,2.86,2.66,2.80,"5,144,550"
2017. 11. 08.,2.83,3.00,2.56,2.77,"7,758,440"
2017. 11. 07.,2.76,2.87,2.59,2.62,"5,509,850"
2017. 11. 06.,2.63,2.89,2.49,2.55,"4,740,310"
2017. 11. 05.,2.52,2.61,2.33,2.36,"1,485,210"
2017. 11. 04.,2.35,2.51,2.34,2.42,"1,163,740"
2017. 11. 03.,2.43,2.48,2.23,2.39,"2,222,540"
2017. 11. 02.,2.40,2.53,1.99,2.09,"5,039,770"
2017. 11. 01.,2.10,2.36,1.98,2.25,"2,279,000"
2017. 10. 31.,2.22,2.55,2.20,2.29,"5,059,160"
2017. 10. 30.,2.29,2.29,2.06,2.14,"2,261,280"
2017. 10. 29.,2.10,2.22,1.93,1.96,"3,798,510"
2017. 10. 28.,1.95,1.97,1.78,1.82,"833,266"
2017. 10. 27.,1.80,1.93,1.77,1.84,"667,793"
2017. 10. 26.,1.84,1.96,1.76,1.89,"1,130,570"
2017. 10. 25.,1.90,1.92,1.76,1.84,"1,167,180"
2017. 10. 24.,1.84,1.98,1.60,1.67,"3,075,970"
2017. 10. 23.,1.68,1.81,1.54,1.80,"1,195,310"
2017. 10. 22.,1.79,1.87,1.63,1.67,"758,588"
2017. 10. 21.,1.67,1.79,1.60,1.72,"514,479"
2017. 10. 20.,1.72,1.95,1.64,1.95,"1,778,390"
2017. 10. 19.,1.93,2.01,1.79,1.93,"1,734,280"
2017. 10. 18.,1.92,2.04,1.59,1.71,"1,899,950"
2017. 10. 17.,1.72,1.76,1.61,1.70,"643,584"
2017. 10. 16.,1.70,1.82,1.66,1.78,"515,463"
2017. 10. 15.,1.76,1.81,1.64,1.74,"593,901"
2017. 10. 14.,1.72,1.83,1.72,1.81,"449,532"
2017. 10. 13.,1.80,1.96,1.58,1.80,"1,615,120"
2017. 10. 12.,1.81,1.89,1.77,1.86,"1,083,290"
2017. 10. 11.,1.86,1.92,1.67,1.71,"749,918"
2017. 10. 10.,1.71,1.81,1.67,1.72,"590,288"
2017. 10. 09.,1.71,1.90,1.63,1.76,"1,203,940"
2017. 10. 08.,1.75,2.05,1.68,2.00,"1,088,390"
2017. 10. 07.,2.01,2.05,1.81,1.86,"848,174"
2017. 10. 06.,1.86,2.07,1.85,1.96,"781,965"
2017. 10. 05.,1.98,1.99,1.82,1.95,"683,867"
2017. 10. 04.,1.95,2.08,1.90,2.05,"861,877"
2017. 10. 03.,2.07,2.22,2.03,2.20,"1,137,960"
2017. 10. 02.,2.20,2.47,2.19,2.37,"2,100,340"
2017. 10. 01.,2.38,2.47,2.16,2.24,"3,814,410"
2017. 09. 30.,2.22,2.29,2.04,2.09,"1,596,060"
2017. 09. 29.,2.06,2.15,1.92,2.11,"1,684,480"
2017. 09. 28.,2.11,2.14,1.93,2.07,"1,992,140"
2017. 09. 27.,2.07,2.11,1.94,1.97,"1,172,190"
2017. 09. 26.,1.97,2.03,1.90,2.01,"972,325"
2017. 09. 25.,2.01,2.01,1.76,1.79,"1,661,140"
2017. 09. 24.,1.78,1.91,1.72,1.89,"812,091"
2017. 09. 23.,1.88,2.00,1.63,1.63,"2,614,250"
2017. 09. 22.,1.65,1.74,1.53,1.56,"719,158"
2017. 09. 21.,1.55,1.89,1.55,1.88,"933,428"
2017. 09. 20.,1.89,1.96,1.79,1.90,"1,151,060"
2017. 09. 19.,1.92,2.15,1.92,2.15,"1,882,770"
2017. 09. 18.,2.16,2.25,1.87,1.87,"4,038,320"
2017. 09. 17.,1.87,1.95,1.62,1.81,"1,751,640"
2017. 09. 16.,1.80,1.85,1.53,1.69,"2,003,530"
2017. 09. 15.,1.69,1.90,1.12,1.46,"3,618,520"
2017. 09. 14.,1.45,2.29,1.45,1.74,"7,161,980"
2017. 09. 13.,1.74,1.94,1.53,1.93,"2,935,870"
2017. 09. 12.,1.94,2.19,1.88,2.05,"5,253,850"
2017. 09. 11.,2.07,2.30,1.93,2.27,"7,786,870"
2017. 09. 10.,2.30,2.57,2.01,2.48,"7,699,770"
2017. 09. 09.,2.51,2.99,2.51,2.88,"8,154,960"
2017. 09. 08.,2.91,4.03,2.56,3.51,"42,558,700"
2017. 09. 07.,3.52,3.68,2.87,3.31,"17,588,500"
2017. 09. 06.,3.28,3.66,3.12,3.19,"18,764,100"
2017. 09. 05.,3.19,3.23,2.03,2.34,"12,903,900"
2017. 09. 04.,2.33,3.09,2.16,3.02,"13,336,200"
2017. 09. 03.,3.05,3.13,1.96,2.05,"29,353,700"
2017. 09. 02.,1.99,2.11,1.31,1.45,"3,289,190"
2017. 09. 01.,1.45,1.51,1.42,1.50,"656,600"
2017. 08. 31.,1.50,1.54,1.38,1.52,"1,515,960"
2017. 08. 30.,1.53,1.65,1.44,1.65,"924,517"
2017. 08. 29.,1.65,1.79,1.56,1.66,"1,268,910"
2017. 08. 28.,1.65,1.88,1.39,1.39,"2,119,310"
2017. 08. 27.,1.45,1.62,1.36,1.36,"1,214,240"
2017. 08. 26.,1.36,1.39,1.28,1.31,"611,735"
2017. 08. 25.,1.33,1.40,1.29,1.34,"330,614"
2017. 08. 24.,1.34,1.40,1.22,1.26,"600,955"
2017. 08. 23.,1.26,1.35,1.23,1.26,"467,445"
2017. 08. 22.,1.28,1.32,1.15,1.30,"246,946"
2017. 08. 21.,1.30,1.39,1.22,1.35,"364,857"
2017. 08. 20.,1.30,1.41,1.24,1.31,"317,971"
2017. 08. 19.,1.31,1.31,1.17,1.31,"374,112"
2017. 08. 18.,1.30,1.45,1.23,1.45,"500,094"
2017. 08. 17.,1.45,1.69,1.27,1.33,"1,234,000"
2017. 08. 16.,1.33,1.35,1.16,1.28,"736,582"
2017. 08. 15.,1.27,1.36,1.14,1.36,"645,644"
2017. 08. 14.,1.35,1.55,1.24,1.48,"791,081"
2017. 08. 13.,1.50,2.00,1.34,1.87,"1,847,460"
2017. 08. 12.,1.89,2.14,1.13,1.15,"6,092,880"
2017. 08. 11.,1.15,1.17,1.02,1.06,"394,974"
2017. 08. 10.,1.05,1.13,1.02,1.12,"422,520"
2017. 08. 09.,1.12,1.15,0.987952,1.05,"321,812"
2017. 08. 08.,1.05,1.11,0.980511,1.05,"247,999"
2017. 08. 07.,1.05,1.10,1.02,1.05,"376,902"
2017. 08. 06.,1.06,1.12,1.03,1.07,"219,307"
2017. 08. 05.,1.07,1.10,0.969255,0.983837,"411,806"
2017. 08. 04.,0.984273,1.00,0.937979,0.976347,"324,965"
2017. 08. 03.,0.976591,1.02,0.923035,0.930911,"235,996"
2017. 08. 02.,0.929250,1.02,0.906174,0.954936,"324,973"
2017. 08. 01.,0.955390,1.05,0.819169,0.896676,"312,802"
2017. 07. 31.,0.901882,0.950798,0.866617,0.904723,"144,439"
2017. 07. 30.,0.903788,0.990955,0.900427,0.952275,"185,426"
2017. 07. 29.,0.953959,1.05,0.865004,0.973246,"262,087"
2017. 07. 28.,0.977141,1.12,0.826716,0.905770,"505,392"
2017. 07. 27.,0.912896,0.982813,0.895428,0.937118,"135,509"
2017. 07. 26.,0.934773,0.973432,0.854133,0.943429,"243,038"
2017. 07. 25.,0.943042,1.22,0.895455,1.18,"241,733"
2017. 07. 24.,1.18,1.29,1.15,1.27,"231,899"
2017. 07. 23.,1.28,1.37,1.19,1.30,"157,941"
2017. 07. 22.,1.30,1.41,1.26,1.33,"275,635"
