,close,high,low,open,volume
2018. 03. 21.,13.38,14.14,13.15,13.61,"23,682,800"
2018. 03. 20.,13.63,14.11,12.43,12.89,"26,259,400"
2018. 03. 19.,12.74,13.07,11.93,12.26,"25,454,300"
2018. 03. 18.,12.25,12.37,10.19,12.25,"26,947,100"
2018. 03. 17.,12.17,13.18,11.88,13.12,"20,557,200"
2018. 03. 16.,13.10,14.30,12.34,13.23,"30,103,400"
2018. 03. 15.,13.35,13.63,10.60,11.73,"35,374,200"
2018. 03. 14.,11.73,14.26,11.35,14.01,"22,923,900"
2018. 03. 13.,14.03,14.66,13.63,14.10,"16,983,600"
2018. 03. 12.,14.16,15.20,13.86,14.84,"21,335,400"
2018. 03. 11.,14.92,15.10,13.59,14.16,"20,241,700"
2018. 03. 10.,14.20,15.80,14.13,15.44,"17,287,800"
2018. 03. 09.,15.49,15.62,13.82,14.93,"30,244,000"
2018. 03. 08.,15.07,17.40,14.82,15.59,"36,030,300"
2018. 03. 07.,15.62,17.40,14.61,16.83,"34,286,700"
2018. 03. 06.,16.90,18.42,16.42,18.42,"27,948,900"
2018. 03. 05.,18.46,19.04,18.41,19.00,"29,052,100"
2018. 03. 04.,18.92,18.95,18.20,18.90,"23,813,000"
2018. 03. 03.,18.87,19.53,18.55,19.31,"28,552,100"
2018. 03. 02.,19.21,20.33,18.87,20.08,"34,726,800"
2018. 03. 01.,20.12,21.43,17.76,18.34,"68,475,900"
2018. 02. 28.,18.34,20.23,18.34,20.09,"38,836,200"
2018. 02. 27.,20.12,20.73,19.64,20.69,"40,475,100"
2018. 02. 26.,20.65,21.25,19.35,19.95,"43,196,600"
2018. 02. 25.,20.01,20.90,19.38,20.81,"38,564,100"
2018. 02. 24.,20.82,23.01,20.08,22.48,"49,191,700"
2018. 02. 23.,22.60,23.52,20.50,21.39,"67,264,300"
2018. 02. 22.,21.48,24.33,20.51,22.36,"85,276,200"
2018. 02. 21.,22.41,26.26,21.87,26.06,"115,332,000"
2018. 02. 20.,26.19,32.41,25.86,30.08,"246,763,000"
2018. 02. 19.,30.37,30.86,29.30,29.69,"118,805,000"
2018. 02. 18.,29.69,33.22,28.45,33.22,"120,072,000"
2018. 02. 17.,33.22,35.87,31.53,32.05,"160,432,000"
2018. 02. 16.,32.01,32.42,30.98,32.00,"72,607,000"
2018. 02. 15.,31.37,31.97,28.15,28.30,"95,799,000"
2018. 02. 14.,28.28,28.66,25.96,25.96,"68,051,000"
2018. 02. 13.,26.00,28.32,25.57,28.08,"70,524,500"
2018. 02. 12.,28.12,28.83,25.51,25.52,"58,563,000"
2018. 02. 11.,25.28,27.35,23.36,27.35,"58,193,200"
2018. 02. 10.,27.26,30.87,25.15,27.36,"105,683,000"
2018. 02. 09.,27.25,27.28,22.07,23.08,"84,338,000"
2018. 02. 08.,23.09,23.83,18.24,18.24,"83,927,600"
2018. 02. 07.,18.31,20.94,16.45,18.06,"44,932,000"
2018. 02. 06.,18.26,18.34,11.97,15.20,"55,712,200"
2018. 02. 05.,15.13,20.43,14.46,19.72,"45,445,800"
2018. 02. 04.,20.01,23.20,18.85,23.15,"34,650,700"
2018. 02. 03.,23.08,23.84,19.51,21.60,"48,285,400"
2018. 02. 02.,21.41,22.25,16.00,22.25,"75,701,400"
2018. 02. 01.,22.34,26.46,20.65,26.37,"87,605,500"
2018. 01. 31.,26.34,35.26,20.58,21.75,"309,340,000"
2018. 01. 30.,21.71,23.47,20.88,22.58,"50,405,900"
2018. 01. 29.,22.55,23.55,22.30,23.28,"34,448,300"
2018. 01. 28.,23.29,24.11,23.27,23.33,"37,791,200"
2018. 01. 27.,23.25,23.60,20.75,21.36,"55,110,400"
2018. 01. 26.,21.40,24.20,19.20,22.56,"83,297,100"
2018. 01. 25.,22.65,22.89,21.41,22.47,"40,204,100"
2018. 01. 24.,22.16,22.85,21.30,21.88,"44,024,700"
2018. 01. 23.,21.82,23.10,19.91,21.33,"68,285,400"
2018. 01. 22.,21.39,23.05,19.53,22.31,"46,743,700"
2018. 01. 21.,22.12,25.55,21.11,25.43,"48,303,200"
2018. 01. 20.,25.51,26.46,23.27,23.27,"60,581,300"
2018. 01. 19.,23.04,23.98,21.51,22.85,"59,753,700"
2018. 01. 18.,23.03,24.57,21.46,22.30,"68,609,200"
2018. 01. 17.,22.31,24.56,15.27,21.10,"106,703,000"
2018. 01. 16.,21.16,27.15,16.02,26.99,"123,699,000"
2018. 01. 15.,26.91,30.34,26.91,27.55,"87,151,200"
2018. 01. 14.,27.72,30.09,26.53,29.33,"51,588,000"
2018. 01. 13.,29.34,30.78,28.93,29.38,"57,475,700"
2018. 01. 12.,29.43,31.14,24.65,25.39,"94,674,000"
2018. 01. 11.,25.26,29.08,23.43,28.84,"82,270,300"
2018. 01. 10.,29.19,30.09,26.40,29.96,"96,825,200"
2018. 01. 09.,29.91,33.32,29.69,31.20,"87,492,500"
2018. 01. 08.,31.30,34.36,27.70,33.59,"142,590,000"
2018. 01. 07.,34.11,39.31,31.13,31.13,"209,374,000"
2018. 01. 06.,31.24,32.14,24.50,24.68,"200,650,000"
2018. 01. 05.,24.16,29.53,20.97,21.40,"187,694,000"
2018. 01. 04.,21.46,24.03,20.18,21.15,"109,219,000"
2018. 01. 03.,21.00,22.03,20.40,21.94,"79,068,900"
2018. 01. 02.,21.95,22.53,20.70,21.16,"72,049,200"
2018. 01. 01.,21.13,21.57,19.66,20.68,"46,809,500"
2017. 12. 31.,20.41,21.82,18.51,19.00,"64,758,700"
2017. 12. 30.,19.43,22.57,18.17,22.57,"73,691,700"
2017. 12. 29.,22.75,23.55,21.81,23.24,"79,199,000"
2017. 12. 28.,23.05,23.98,21.54,23.94,"68,268,900"
2017. 12. 27.,24.02,25.26,23.17,24.83,"77,179,500"
2017. 12. 26.,25.26,27.38,22.85,23.89,"145,958,000"
2017. 12. 25.,23.86,24.09,19.13,20.29,"106,194,000"
2017. 12. 24.,20.02,21.01,17.22,21.01,"65,224,400"
2017. 12. 23.,20.71,22.79,18.99,19.61,"90,698,800"
2017. 12. 22.,19.50,24.44,14.72,24.18,"177,588,000"
2017. 12. 21.,24.17,27.36,19.33,19.62,"201,110,000"
2017. 12. 20.,19.57,20.39,15.37,16.82,"115,660,000"
2017. 12. 19.,16.81,18.76,15.80,17.01,"102,730,000"
2017. 12. 18.,17.02,18.12,13.01,13.50,"149,703,000"
2017. 12. 17.,13.43,14.55,10.38,10.51,"128,034,000"
2017. 12. 16.,10.48,10.65,10.04,10.18,"45,189,500"
2017. 12. 15.,10.22,11.18,9.56,10.77,"60,658,700"
2017. 12. 14.,10.72,11.12,9.53,9.54,"68,330,600"
2017. 12. 13.,9.51,10.21,8.62,9.40,"53,217,400"
2017. 12. 12.,9.35,9.36,8.19,8.20,"41,474,000"
2017. 12. 11.,8.17,8.54,7.84,7.94,"28,711,700"
2017. 12. 10.,7.94,8.44,7.51,8.23,"28,777,900"
2017. 12. 09.,8.21,8.73,7.91,8.05,"30,708,500"
2017. 12. 08.,8.06,8.63,7.00,7.39,"40,878,700"
2017. 12. 07.,7.36,8.95,7.36,8.58,"53,831,400"
2017. 12. 06.,8.49,9.94,8.35,9.82,"52,262,500"
2017. 12. 05.,9.94,10.19,8.51,8.83,"69,110,300"
2017. 12. 04.,8.77,8.86,7.66,7.75,"39,137,100"
2017. 12. 03.,7.74,8.31,7.38,7.72,"22,047,600"
2017. 12. 02.,7.70,7.90,7.52,7.72,"18,663,400"
2017. 12. 01.,7.73,7.95,7.12,7.48,"24,098,300"
2017. 11. 30.,7.50,7.55,6.70,7.00,"25,251,200"
2017. 11. 29.,6.90,8.03,6.72,7.83,"34,207,700"
2017. 11. 28.,7.79,8.35,7.79,7.91,"26,685,400"
2017. 11. 27.,7.89,8.06,7.49,7.49,"29,071,700"
2017. 11. 26.,7.51,8.09,7.47,8.03,"30,757,600"
2017. 11. 25.,8.04,8.49,7.88,7.88,"28,727,000"
2017. 11. 24.,7.89,8.12,7.36,7.40,"33,888,100"
2017. 11. 23.,7.49,8.83,7.38,8.66,"59,098,700"
2017. 11. 22.,8.57,10.70,8.01,9.68,"106,176,000"
2017. 11. 21.,9.68,10.16,9.25,9.74,"26,816,700"
2017. 11. 20.,9.77,10.22,9.54,9.72,"26,170,000"
2017. 11. 19.,9.74,10.26,9.13,9.25,"39,171,200"
2017. 11. 18.,9.28,9.53,7.96,8.34,"28,695,700"
2017. 11. 17.,8.28,9.58,8.02,8.37,"47,083,900"
2017. 11. 16.,8.41,11.15,8.41,8.49,"140,758,000"
2017. 11. 15.,8.45,8.68,7.13,7.13,"61,652,800"
2017. 11. 14.,7.10,7.14,6.32,6.39,"24,092,900"
2017. 11. 13.,6.34,6.50,5.50,5.50,"29,720,300"
2017. 11. 12.,5.50,5.85,4.89,5.78,"20,592,700"
2017. 11. 11.,5.78,6.31,5.51,5.60,"15,022,000"
2017. 11. 10.,5.64,6.64,5.36,6.43,"19,419,400"
2017. 11. 09.,6.45,6.81,5.94,6.06,"23,326,800"
2017. 11. 08.,6.05,6.58,4.94,5.15,"33,549,400"
2017. 11. 07.,5.19,5.20,4.56,4.57,"12,194,100"
2017. 11. 06.,4.59,4.64,4.36,4.46,"8,039,310"
2017. 11. 05.,4.44,4.63,4.42,4.58,"6,841,900"
2017. 11. 04.,4.59,4.78,4.40,4.52,"8,450,130"
2017. 11. 03.,4.54,4.55,4.24,4.32,"8,505,170"
2017. 11. 02.,4.33,4.59,4.01,4.48,"13,966,400"
2017. 11. 01.,4.51,4.74,4.48,4.74,"10,934,000"
2017. 10. 31.,4.74,4.95,4.72,4.91,"7,576,110"
2017. 10. 30.,4.93,4.94,4.71,4.86,"8,187,830"
2017. 10. 29.,4.88,4.96,4.67,4.68,"8,168,720"
2017. 10. 28.,4.68,5.08,4.67,4.98,"7,004,750"
2017. 10. 27.,4.96,5.17,4.87,5.17,"7,382,280"
2017. 10. 26.,5.18,5.39,4.95,5.18,"9,611,640"
2017. 10. 25.,5.20,5.57,5.02,5.57,"10,980,300"
2017. 10. 24.,5.53,5.94,4.61,4.69,"17,643,400"
2017. 10. 23.,4.71,4.81,4.42,4.72,"7,981,790"
2017. 10. 22.,4.74,4.83,4.64,4.70,"7,477,790"
2017. 10. 21.,4.71,4.92,4.46,4.90,"9,333,630"
2017. 10. 20.,4.93,5.14,4.84,4.98,"13,489,300"
2017. 10. 19.,4.98,5.26,4.85,5.16,"14,596,700"
2017. 10. 18.,5.14,5.17,4.79,5.12,"13,438,000"
2017. 10. 17.,5.10,5.15,4.80,4.96,"8,296,440"
2017. 10. 16.,4.96,5.14,4.66,4.91,"8,730,360"
2017. 10. 15.,4.91,4.94,4.46,4.79,"9,608,200"
2017. 10. 14.,4.79,4.94,4.62,4.88,"9,047,430"
2017. 10. 13.,4.90,5.09,4.68,4.97,"11,823,300"
2017. 10. 12.,4.98,5.40,4.92,5.37,"12,557,300"
2017. 10. 11.,5.36,5.43,4.93,4.93,"12,557,800"
2017. 10. 10.,4.92,5.01,4.54,4.72,"10,170,300"
2017. 10. 09.,4.70,4.94,4.36,4.66,"14,700,000"
2017. 10. 08.,4.66,5.20,4.60,5.17,"12,078,300"
2017. 10. 07.,5.19,5.34,5.04,5.34,"8,526,500"
2017. 10. 06.,5.34,5.45,5.27,5.42,"7,992,970"
2017. 10. 05.,5.41,5.58,5.27,5.54,"10,001,200"
2017. 10. 04.,5.53,5.87,5.44,5.72,"9,621,440"
2017. 10. 03.,5.70,5.75,5.26,5.42,"11,714,700"
2017. 10. 02.,5.42,5.72,5.36,5.51,"10,486,800"
2017. 10. 01.,5.51,5.86,5.45,5.85,"11,903,000"
2017. 09. 30.,5.82,6.21,5.65,5.71,"12,114,700"
2017. 09. 29.,5.70,6.01,5.44,5.99,"8,932,120"
2017. 09. 28.,5.99,6.35,5.98,6.34,"9,145,610"
2017. 09. 27.,6.32,6.36,5.98,6.13,"11,109,500"
2017. 09. 26.,6.13,6.27,6.05,6.14,"9,352,180"
2017. 09. 25.,6.15,6.22,5.71,5.76,"8,536,390"
2017. 09. 24.,5.75,5.97,5.67,5.96,"6,273,950"
2017. 09. 23.,5.98,6.11,5.70,5.73,"7,668,300"
2017. 09. 22.,5.75,6.09,5.37,5.38,"11,819,200"
2017. 09. 21.,5.39,6.06,5.24,6.04,"11,885,300"
2017. 09. 20.,6.06,6.33,6.06,6.19,"10,364,900"
2017. 09. 19.,6.20,6.82,5.98,6.73,"11,091,300"
2017. 09. 18.,6.74,6.78,5.55,5.55,"13,612,300"
2017. 09. 17.,5.57,5.69,5.05,5.55,"8,040,870"
2017. 09. 16.,5.56,5.82,5.15,5.58,"11,270,000"
2017. 09. 15.,5.58,5.76,4.05,4.47,"28,816,500"
2017. 09. 14.,4.36,6.66,4.31,6.55,"22,776,700"
2017. 09. 13.,6.57,7.06,6.25,7.02,"17,763,300"
2017. 09. 12.,7.02,7.25,6.70,6.75,"22,441,800"
2017. 09. 11.,6.70,6.92,6.53,6.56,"14,443,300"
2017. 09. 10.,6.57,6.93,6.18,6.91,"13,946,200"
2017. 09. 09.,6.90,7.10,6.53,6.92,"13,627,500"
2017. 09. 08.,6.91,8.04,6.38,7.48,"38,000,900"
2017. 09. 07.,7.48,7.61,6.69,6.94,"28,437,300"
2017. 09. 06.,6.96,7.03,6.08,6.10,"27,895,300"
2017. 09. 05.,6.08,6.21,5.10,5.86,"30,894,900"
2017. 09. 04.,5.86,7.05,5.07,7.05,"30,177,000"
2017. 09. 03.,7.08,7.25,6.28,6.74,"18,028,700"
2017. 09. 02.,6.72,7.43,6.36,7.40,"27,494,000"
2017. 09. 01.,7.41,8.21,7.16,7.16,"60,253,600"
2017. 08. 31.,7.09,7.16,5.92,5.99,"43,903,100"
2017. 08. 30.,5.95,6.68,5.36,6.03,"45,880,600"
2017. 08. 29.,6.03,6.60,5.66,6.36,"42,990,100"
2017. 08. 28.,6.31,7.04,5.94,6.86,"50,753,000"
2017. 08. 27.,6.86,7.78,5.75,5.75,"120,069,000"
2017. 08. 26.,5.65,5.90,4.30,4.31,"78,424,100"
2017. 08. 25.,4.32,4.58,3.65,3.67,"34,464,300"
2017. 08. 24.,3.67,4.10,3.03,3.04,"39,306,300"
2017. 08. 23.,3.05,3.20,2.81,2.90,"15,018,100"
2017. 08. 22.,2.91,3.04,2.55,2.73,"14,401,100"
2017. 08. 21.,2.71,3.48,2.63,3.44,"29,155,700"
2017. 08. 20.,3.40,3.98,2.47,2.96,"47,982,900"
2017. 08. 19.,2.85,2.88,1.91,2.01,"7,596,650"
2017. 08. 18.,2.01,2.11,1.97,2.08,"4,453,010"
2017. 08. 17.,2.08,2.24,2.05,2.23,"4,849,940"
2017. 08. 16.,2.24,2.25,2.11,2.17,"5,825,960"
2017. 08. 15.,2.17,2.28,2.07,2.28,"7,013,170"
2017. 08. 14.,2.28,2.39,2.08,2.24,"6,927,410"
2017. 08. 13.,2.24,2.40,2.06,2.33,"5,540,350"
2017. 08. 12.,2.34,2.34,2.11,2.20,"3,115,110"
2017. 08. 11.,2.19,2.30,2.12,2.18,"3,014,740"
2017. 08. 10.,2.18,2.30,2.16,2.28,"3,331,010"
2017. 08. 09.,2.28,2.46,2.17,2.36,"4,068,390"
2017. 08. 08.,2.36,2.38,2.05,2.13,"5,271,700"
2017. 08. 07.,2.14,2.20,2.11,2.15,"2,849,090"
2017. 08. 06.,2.16,2.23,2.12,2.18,"3,047,020"
2017. 08. 05.,2.18,2.22,2.06,2.09,"4,122,620"
2017. 08. 04.,2.08,2.12,2.04,2.08,"3,130,930"
2017. 08. 03.,2.08,2.12,2.02,2.07,"3,850,270"
2017. 08. 02.,2.07,2.25,2.02,2.06,"3,877,300"
2017. 08. 01.,2.05,2.09,1.78,1.93,"2,570,410"
2017. 07. 31.,1.93,1.94,1.75,1.79,"1,577,570"
2017. 07. 30.,1.79,1.89,1.77,1.88,"1,464,650"
2017. 07. 29.,1.87,1.88,1.76,1.83,"2,201,150"
2017. 07. 28.,1.84,2.00,1.80,1.96,"3,334,170"
2017. 07. 27.,1.96,2.02,1.91,1.95,"2,402,090"
2017. 07. 26.,1.96,2.11,1.87,2.04,"2,562,130"
2017. 07. 25.,2.04,2.48,1.87,2.22,"8,964,080"
2017. 07. 24.,2.22,2.29,2.04,2.11,"4,449,690"
2017. 07. 23.,2.11,2.27,1.94,2.27,"4,576,990"
2017. 07. 22.,2.28,2.29,1.88,1.89,"4,316,950"
2017. 07. 21.,1.89,2.03,1.80,1.97,"3,640,090"
2017. 07. 20.,1.95,2.02,1.63,1.63,"4,647,480"
2017. 07. 19.,1.64,1.89,1.63,1.80,"3,404,630"
2017. 07. 18.,1.79,1.81,1.55,1.77,"3,885,070"
2017. 07. 17.,1.76,1.82,1.38,1.41,"3,262,690"
2017. 07. 16.,1.40,1.45,1.18,1.40,"2,419,470"
2017. 07. 15.,1.40,1.57,1.40,1.56,"2,383,600"
2017. 07. 14.,1.56,1.77,1.46,1.77,"2,938,930"
2017. 07. 13.,1.77,1.98,1.68,1.75,"4,038,250"
2017. 07. 12.,1.76,1.81,1.34,1.45,"4,100,590"
2017. 07. 11.,1.45,1.64,1.35,1.61,"4,070,870"
2017. 07. 10.,1.63,2.08,1.35,2.07,"6,204,310"
2017. 07. 09.,2.07,2.29,2.07,2.23,"3,709,150"
2017. 07. 08.,2.22,2.28,2.05,2.28,"5,860,860"
2017. 07. 07.,2.28,2.52,2.24,2.52,"5,737,670"
2017. 07. 06.,2.52,2.83,2.45,2.48,"6,896,780"
2017. 07. 05.,2.48,2.52,2.42,2.52,"4,083,530"
2017. 07. 04.,2.53,2.67,2.47,2.47,"4,603,820"
2017. 07. 03.,2.47,2.59,2.41,2.56,"4,287,060"
2017. 07. 02.,2.57,2.65,2.19,2.31,"6,773,080"
2017. 07. 01.,2.30,2.56,2.29,2.55,"4,565,360"
2017. 06. 30.,2.53,2.90,2.51,2.71,"7,804,690"
2017. 06. 29.,2.71,2.94,2.61,2.92,"6,162,700"
2017. 06. 28.,2.92,2.99,2.53,2.79,"9,012,530"
2017. 06. 27.,2.74,2.80,2.15,2.80,"8,630,910"
2017. 06. 26.,2.80,3.10,2.33,3.02,"9,997,920"
2017. 06. 25.,3.04,3.32,2.80,3.26,"8,092,880"
