,close,high,low,open,volume
2018. 03. 21.,169.05,175.26,166.62,169.56,"462,536,000"
2018. 03. 20.,168.82,173.30,156.81,161.52,"492,892,000"
2018. 03. 19.,161.14,163.05,151.66,155.47,"504,833,000"
2018. 03. 18.,154.07,156.15,138.02,152.54,"595,955,000"
2018. 03. 17.,152.97,165.22,151.06,165.19,"403,809,000"
2018. 03. 16.,165.45,171.26,158.99,164.82,"436,628,000"
2018. 03. 15.,164.48,167.33,151.48,161.20,"564,609,000"
2018. 03. 14.,161.10,177.55,158.63,175.94,"480,653,000"
2018. 03. 13.,175.78,181.87,172.26,177.60,"468,094,000"
2018. 03. 12.,178.23,193.34,175.88,189.02,"567,629,000"
2018. 03. 11.,188.95,193.48,172.47,177.51,"669,378,000"
2018. 03. 10.,177.73,194.65,176.54,188.11,"625,808,000"
2018. 03. 09.,187.17,189.91,160.43,176.48,"943,364,000"
2018. 03. 08.,176.51,188.15,176.17,185.70,"612,509,000"
2018. 03. 07.,185.84,199.28,175.65,196.83,"755,925,000"
2018. 03. 06.,196.60,210.51,193.16,210.51,"661,078,000"
2018. 03. 05.,211.18,215.98,209.25,213.74,"594,829,000"
2018. 03. 04.,213.80,214.12,205.36,210.24,"574,675,000"
2018. 03. 03.,210.64,217.76,209.54,213.84,"681,866,000"
2018. 03. 02.,212.56,213.13,204.88,209.56,"627,142,000"
2018. 03. 01.,209.75,214.70,201.54,203.12,"678,542,000"
2018. 02. 28.,202.90,223.51,202.71,217.28,"761,322,000"
2018. 02. 27.,216.60,224.21,215.84,221.71,"856,454,000"
2018. 02. 26.,220.96,234.42,218.74,222.14,"1,297,080,000"
2018. 02. 25.,220.47,225.55,202.37,208.13,"1,028,590,000"
2018. 02. 24.,209.42,220.31,197.88,210.64,"937,312,000"
2018. 02. 23.,209.31,216.13,184.07,194.19,"1,065,680,000"
2018. 02. 22.,195.31,222.77,191.81,212.84,"974,379,000"
2018. 02. 21.,213.35,235.41,208.93,230.95,"1,195,820,000"
2018. 02. 20.,232.85,253.90,222.51,223.09,"1,739,670,000"
2018. 02. 19.,223.06,226.97,215.38,215.41,"767,597,000"
2018. 02. 18.,215.74,232.64,214.46,230.51,"1,011,120,000"
2018. 02. 17.,229.47,233.45,225.60,229.50,"863,401,000"
2018. 02. 16.,230.12,236.09,212.33,225.50,"1,300,090,000"
2018. 02. 15.,225.43,237.88,211.17,212.35,"2,087,290,000"
2018. 02. 14.,213.36,218.23,159.58,159.58,"2,383,340,000"
2018. 02. 13.,159.55,162.37,153.51,161.78,"483,468,000"
2018. 02. 12.,161.57,163.35,150.10,150.10,"535,710,000"
2018. 02. 11.,148.99,155.73,142.61,155.39,"495,720,000"
2018. 02. 10.,155.59,169.33,149.14,163.49,"576,328,000"
2018. 02. 09.,163.95,163.98,142.59,149.73,"722,205,000"
2018. 02. 08.,149.47,151.08,138.34,138.34,"869,207,000"
2018. 02. 07.,138.20,157.90,131.52,142.48,"817,808,000"
2018. 02. 06.,142.99,146.11,106.94,127.52,"1,148,410,000"
2018. 02. 05.,125.33,153.52,118.15,148.73,"844,678,000"
2018. 02. 04.,148.03,173.80,139.69,160.38,"1,006,080,000"
2018. 02. 03.,160.25,165.56,121.17,131.40,"687,676,000"
