,close,high,low,open,volume
2018. 03. 21.,0.315000,0.349538,0.308906,0.344744,"1,961,760"
2018. 03. 20.,0.339714,0.351119,0.298362,0.305393,"1,776,530"
2018. 03. 19.,0.300769,0.306763,0.271493,0.281730,"1,129,230"
2018. 03. 18.,0.284847,0.285296,0.238880,0.268270,"1,180,090"
2018. 03. 17.,0.268930,0.301446,0.267960,0.293192,"945,674"
2018. 03. 16.,0.293193,0.302629,0.277304,0.292629,"900,548"
2018. 03. 15.,0.289425,0.299679,0.262582,0.287166,"1,065,470"
2018. 03. 14.,0.285291,0.335579,0.278005,0.328991,"1,070,860"
2018. 03. 13.,0.329125,0.330885,0.301821,0.320959,"1,506,600"
2018. 03. 12.,0.325302,0.334238,0.292232,0.324030,"1,340,530"
2018. 03. 11.,0.325385,0.330395,0.270998,0.285959,"1,453,910"
2018. 03. 10.,0.286987,0.318000,0.284903,0.305388,"1,291,030"
2018. 03. 09.,0.305248,0.315039,0.260544,0.300483,"2,448,200"
2018. 03. 08.,0.292979,0.348707,0.287682,0.343037,"2,489,660"
2018. 03. 07.,0.348430,0.383718,0.320587,0.368819,"2,821,220"
2018. 03. 06.,0.373307,0.405581,0.358275,0.394605,"2,902,060"
2018. 03. 05.,0.396143,0.438383,0.393223,0.418006,"2,749,450"
2018. 03. 04.,0.409775,0.412108,0.377640,0.407894,"2,278,960"
2018. 03. 03.,0.411734,0.450005,0.390673,0.404150,"4,440,950"
2018. 03. 02.,0.404976,0.411778,0.370231,0.390373,"5,179,730"
2018. 03. 01.,0.394681,0.406019,0.360283,0.380060,"4,883,590"
2018. 02. 28.,0.380410,0.435478,0.357749,0.357749,"8,320,460"
2018. 02. 27.,0.355941,0.363811,0.342525,0.355090,"2,319,670"
2018. 02. 26.,0.353190,0.372061,0.341294,0.343007,"2,431,610"
2018. 02. 25.,0.342381,0.363902,0.337860,0.360509,"2,262,270"
2018. 02. 24.,0.361487,0.406234,0.352311,0.372237,"3,294,410"
2018. 02. 23.,0.376203,0.436789,0.365055,0.407470,"2,973,650"
2018. 02. 22.,0.406797,0.453832,0.401554,0.436514,"1,628,050"
2018. 02. 21.,0.437152,0.477835,0.433332,0.443830,"3,152,680"
2018. 02. 20.,0.447014,0.486252,0.447014,0.464346,"2,707,900"
2018. 02. 19.,0.464376,0.488186,0.444169,0.450440,"2,336,700"
2018. 02. 18.,0.451593,0.533702,0.439323,0.525668,"4,558,600"
2018. 02. 17.,0.524374,0.527711,0.484417,0.489443,"1,834,110"
2018. 02. 16.,0.489721,0.514197,0.476142,0.505691,"2,220,820"
2018. 02. 15.,0.506729,0.509241,0.460352,0.486524,"2,334,530"
2018. 02. 14.,0.485687,0.490795,0.406757,0.407758,"2,282,770"
2018. 02. 13.,0.409166,0.440404,0.406731,0.437351,"1,666,410"
2018. 02. 12.,0.438240,0.460478,0.399277,0.399277,"2,950,820"
2018. 02. 11.,0.396102,0.421231,0.371091,0.409823,"1,948,960"
2018. 02. 10.,0.409020,0.467043,0.387831,0.440962,"1,843,230"
2018. 02. 09.,0.440403,0.441507,0.381588,0.404417,"1,804,260"
2018. 02. 08.,0.403438,0.437747,0.383486,0.384835,"2,276,080"
2018. 02. 07.,0.388095,0.454903,0.353876,0.379047,"2,714,230"
2018. 02. 06.,0.381158,0.394915,0.271973,0.327439,"1,921,150"
2018. 02. 05.,0.324719,0.397798,0.311053,0.389929,"1,937,910"
2018. 02. 04.,0.396141,0.489941,0.363456,0.481608,"2,605,180"
2018. 02. 03.,0.483389,0.493945,0.397024,0.432998,"2,369,930"
2018. 02. 02.,0.436532,0.479490,0.332418,0.479490,"5,801,540"
2018. 02. 01.,0.481080,0.591447,0.441332,0.590547,"4,250,070"
2018. 01. 31.,0.588548,0.594887,0.535896,0.577987,"4,358,030"
2018. 01. 30.,0.577539,0.666810,0.564857,0.666810,"3,640,740"
2018. 01. 29.,0.665168,0.719018,0.653025,0.701633,"4,318,050"
2018. 01. 28.,0.707258,0.717818,0.681814,0.696925,"4,004,450"
2018. 01. 27.,0.693287,0.713718,0.641230,0.663292,"4,625,300"
2018. 01. 26.,0.663112,0.686047,0.601978,0.658714,"3,645,210"
2018. 01. 25.,0.659294,0.704413,0.649291,0.690601,"3,578,950"
2018. 01. 24.,0.679977,0.697448,0.635915,0.665299,"5,249,180"
2018. 01. 23.,0.662744,0.739057,0.610197,0.728864,"7,175,650"
2018. 01. 22.,0.736802,0.770336,0.654523,0.677630,"12,787,100"
2018. 01. 21.,0.668522,0.813470,0.659021,0.778476,"5,268,670"
2018. 01. 20.,0.778098,0.829074,0.737960,0.749361,"4,871,990"
2018. 01. 19.,0.738732,0.759188,0.670769,0.700302,"4,476,900"
2018. 01. 18.,0.705064,0.776490,0.628222,0.699235,"6,444,580"
2018. 01. 17.,0.701106,0.748835,0.541725,0.688992,"5,715,190"
2018. 01. 16.,0.697960,1.03,0.578915,1.03,"8,425,610"
2018. 01. 15.,1.02,1.06,0.941557,0.969179,"7,713,740"
2018. 01. 14.,0.977497,1.10,0.928008,1.09,"6,201,860"
2018. 01. 13.,1.09,1.10,0.964700,0.980220,"7,833,650"
2018. 01. 12.,0.977036,1.00,0.869020,0.910541,"7,009,980"
2018. 01. 11.,0.907508,1.08,0.907508,1.07,"7,484,060"
2018. 01. 10.,1.08,1.12,0.978669,1.12,"7,472,350"
2018. 01. 09.,1.12,1.20,0.971572,1.07,"10,738,300"
2018. 01. 08.,1.07,1.16,0.920687,1.16,"7,737,460"
2018. 01. 07.,1.16,1.17,0.961676,1.03,"9,690,180"
2018. 01. 06.,1.03,1.08,0.988484,1.03,"8,550,790"
2018. 01. 05.,1.03,1.08,0.942726,1.08,"11,867,400"
2018. 01. 04.,1.08,1.19,1.04,1.18,"9,415,190"
2018. 01. 03.,1.17,1.18,1.06,1.10,"10,299,200"
2018. 01. 02.,1.10,1.20,1.07,1.11,"16,321,800"
2018. 01. 01.,1.11,1.18,0.904254,0.947069,"22,130,000"
2017. 12. 31.,0.942026,0.978784,0.772791,0.790938,"8,529,030"
2017. 12. 30.,0.797002,0.900030,0.760572,0.900030,"5,621,330"
2017. 12. 29.,0.900458,0.955807,0.869612,0.950701,"6,611,900"
2017. 12. 28.,0.941318,1.04,0.868042,1.03,"7,664,210"
2017. 12. 27.,1.03,1.17,0.851948,0.884755,"15,336,900"
2017. 12. 26.,0.880317,0.936109,0.812966,0.902986,"10,462,000"
2017. 12. 25.,0.897917,0.942797,0.790565,0.831789,"9,676,770"
2017. 12. 24.,0.827527,0.858159,0.700278,0.858159,"8,922,650"
2017. 12. 23.,0.836992,0.904377,0.666667,0.682564,"7,408,950"
2017. 12. 22.,0.675363,0.848087,0.478662,0.830924,"7,830,560"
2017. 12. 21.,0.828348,0.875056,0.765687,0.777542,"10,238,100"
2017. 12. 20.,0.776093,0.828501,0.626770,0.746593,"9,962,100"
2017. 12. 19.,0.748079,0.845347,0.697045,0.793477,"8,000,760"
2017. 12. 18.,0.807505,0.824580,0.660709,0.669955,"9,819,730"
2017. 12. 17.,0.662780,0.696569,0.551511,0.553266,"4,760,390"
2017. 12. 16.,0.549823,0.590536,0.546573,0.579352,"3,848,010"
2017. 12. 15.,0.578972,0.609065,0.530609,0.595369,"5,537,370"
2017. 12. 14.,0.596460,0.598942,0.530546,0.555346,"5,654,750"
2017. 12. 13.,0.564896,0.615474,0.515280,0.554484,"6,080,860"
2017. 12. 12.,0.558144,0.579275,0.444100,0.452346,"6,806,130"
2017. 12. 11.,0.451587,0.506042,0.440129,0.444662,"3,765,870"
2017. 12. 10.,0.447874,0.490348,0.404710,0.489323,"3,595,740"
2017. 12. 09.,0.492488,0.523466,0.467885,0.521090,"3,750,050"
2017. 12. 08.,0.515060,0.534793,0.431890,0.502084,"5,702,220"
