,close,high,low,open,volume
2018. 03. 21.,708.19,756.25,701.31,713.46,"148,390"
2018. 03. 20.,710.57,718.61,664.73,701.15,"469,812"
2018. 03. 19.,692.24,703.07,653.39,666.50,"463,696"
2018. 03. 18.,670.43,677.01,572.83,666.82,"753,135"
2018. 03. 17.,662.71,724.07,658.89,708.48,"218,728"
2018. 03. 16.,710.60,741.94,696.47,735.94,"712,502"
2018. 03. 15.,734.20,748.63,704.88,747.03,"671,045"
2018. 03. 14.,750.18,825.74,731.71,803.39,"655,764"
2018. 03. 13.,804.29,826.93,764.48,810.08,"708,845"
2018. 03. 12.,810.51,862.59,782.82,825.42,"842,693"
2018. 03. 11.,833.43,862.83,766.64,793.49,"756,465"
2018. 03. 10.,795.99,852.11,788.38,827.33,"1,352,570"
2018. 03. 09.,827.32,836.29,755.69,832.33,"876,707"
2018. 03. 08.,834.79,902.76,819.73,855.71,"687,914"
2018. 03. 07.,856.10,958.31,842.27,949.80,"885,248"
2018. 03. 06.,947.80,974.30,940.61,965.59,"612,383"
2018. 03. 05.,968.61,1003.66,963.14,996.58,"900,388"
2018. 03. 04.,974.04,1010.03,837.91,1002.14,"603,578"
2018. 03. 03.,1005.80,1033.89,987.27,1013.97,"798,650"
2018. 03. 02.,1015.29,1050.54,1005.70,1044.55,"1,038,790"
2018. 03. 01.,1044.70,1057.16,1018.36,1029.45,"1,106,640"
2018. 02. 28.,1028.82,1080.40,1015.28,1054.14,"312,214"
2018. 02. 27.,1054.30,1067.51,1025.52,1037.21,"332,902"
2018. 02. 26.,1037.54,1054.52,997.09,997.31,"651,886"
2018. 02. 25.,997.77,1009.67,963.35,982.40,"687,989"
2018. 02. 24.,986.05,1055.75,949.00,1031.90,"1,371,900"
2018. 02. 23.,1024.78,1056.67,938.00,956.57,"911,752"
2018. 02. 22.,959.04,1028.23,939.82,993.64,"1,210,590"
2018. 02. 21.,993.29,1079.43,968.27,1053.89,"882,767"
2018. 02. 20.,1057.06,1162.49,1051.98,1111.92,"814,543"
2018. 02. 19.,1111.34,1173.63,1072.96,1074.61,"1,206,840"
2018. 02. 18.,1077.59,1166.15,1067.55,1161.06,"1,327,250"
2018. 02. 17.,1165.32,1216.14,1118.88,1144.35,"1,223,070"
2018. 02. 16.,1143.95,1173.16,1103.69,1135.04,"1,683,010"
2018. 02. 15.,1136.92,1165.78,1104.90,1122.85,"886,075"
