,close,high,low,open,volume
2018. 03. 21.,32.40,33.59,31.52,32.23,"113,740"
2018. 03. 20.,32.08,33.38,29.17,30.71,"185,991"
2018. 03. 19.,30.43,31.47,28.28,30.32,"148,954"
2018. 03. 18.,30.29,30.63,26.03,29.79,"191,664"
2018. 03. 17.,29.84,30.61,25.43,29.34,"243,375"
2018. 03. 16.,29.05,31.64,24.50,25.80,"222,971"
2018. 03. 15.,25.82,27.25,22.80,24.18,"190,673"
2018. 03. 14.,24.29,29.43,23.79,28.66,"147,372"
2018. 03. 13.,28.49,29.62,25.98,29.05,"124,885"
2018. 03. 12.,29.16,32.82,25.71,28.58,"319,322"
2018. 03. 11.,28.65,31.54,27.01,29.22,"250,538"
2018. 03. 10.,29.05,34.35,28.52,32.18,"277,656"
2018. 03. 09.,31.03,32.19,23.77,27.20,"192,031"
2018. 03. 08.,28.04,30.13,26.37,28.63,"204,076"
2018. 03. 07.,28.09,35.33,25.64,27.35,"192,955"
2018. 03. 06.,27.88,28.76,25.28,27.60,"149,129"
2018. 03. 05.,27.66,29.07,26.29,26.47,"164,777"
2018. 03. 04.,26.66,27.47,24.73,26.61,"121,747"
2018. 03. 03.,26.64,27.37,23.86,23.86,"132,390"
2018. 03. 02.,23.89,24.39,23.14,24.03,"101,411"
2018. 03. 01.,24.06,24.45,21.92,22.45,"139,993"
2018. 02. 28.,22.26,26.48,22.26,24.71,"133,217"
2018. 02. 27.,24.74,24.94,21.49,22.33,"187,196"
2018. 02. 26.,22.27,23.72,19.30,20.91,"207,258"
2018. 02. 25.,20.90,21.50,19.04,19.37,"86,068"
2018. 02. 24.,19.39,22.12,18.85,19.87,"87,694"
2018. 02. 23.,19.90,52.49,18.27,19.32,"155,384"
2018. 02. 22.,19.34,51.59,18.15,19.36,"118,082"
2018. 02. 21.,19.42,22.29,18.73,22.29,"114,140"
2018. 02. 20.,22.33,24.48,20.20,21.41,"194,400"
2018. 02. 19.,21.39,21.66,19.24,19.56,"117,639"
2018. 02. 18.,19.42,21.86,18.60,20.26,"116,783"
2018. 02. 17.,20.00,20.30,18.25,19.37,"107,647"
2018. 02. 16.,19.25,21.19,17.53,20.52,"163,280"
2018. 02. 15.,20.30,20.49,17.39,19.09,"149,343"
2018. 02. 14.,19.08,19.64,16.75,17.43,"106,599"
2018. 02. 13.,16.94,17.49,15.50,17.35,"53,197"
2018. 02. 12.,17.32,17.58,15.81,16.36,"51,514"
2018. 02. 11.,16.27,18.09,15.14,18.09,"88,385"
2018. 02. 10.,18.37,18.40,15.98,16.77,"56,990"
2018. 02. 09.,17.03,18.68,15.24,16.73,"70,868"
2018. 02. 08.,16.69,17.23,14.52,14.52,"93,645"
2018. 02. 07.,14.57,16.48,13.29,15.64,"84,416"
2018. 02. 06.,15.77,16.57,9.81,12.51,"104,735"
2018. 02. 05.,12.49,15.25,11.15,14.66,"70,718"
2018. 02. 04.,14.79,17.78,13.34,16.62,"47,956"
2018. 02. 03.,16.61,17.94,15.06,16.19,"46,581"
2018. 02. 02.,16.14,19.28,15.06,15.62,"88,758"
2018. 02. 01.,15.65,22.57,14.31,17.75,"74,986"
2018. 01. 31.,17.57,20.29,16.17,17.67,"66,817"
2018. 01. 30.,17.64,21.06,16.10,21.01,"66,416"
2018. 01. 29.,21.00,23.21,20.18,22.34,"73,014"
2018. 01. 28.,22.37,24.55,21.75,22.62,"83,907"
2018. 01. 27.,22.52,23.03,18.56,22.24,"133,716"
2018. 01. 26.,22.25,24.25,20.69,21.90,"73,997"
2018. 01. 25.,21.95,23.80,21.49,23.28,"124,108"
2018. 01. 24.,22.96,28.71,22.56,23.42,"165,000"
2018. 01. 23.,23.43,24.99,21.00,23.88,"95,794"
2018. 01. 22.,23.93,26.30,22.24,23.25,"140,386"
2018. 01. 21.,22.96,27.42,22.52,25.67,"178,213"
2018. 01. 20.,25.63,28.05,22.94,24.56,"131,561"
2018. 01. 19.,24.35,28.85,22.15,27.02,"99,422"
2018. 01. 18.,27.27,30.27,21.47,25.38,"146,150"
2018. 01. 17.,25.73,31.73,16.95,24.87,"138,631"
2018. 01. 16.,26.10,32.68,23.92,32.21,"128,498"
2018. 01. 15.,32.18,33.29,27.05,27.06,"130,794"
2018. 01. 14.,27.06,34.23,26.83,32.08,"114,125"
2018. 01. 13.,30.86,32.42,27.67,28.61,"133,054"
2018. 01. 12.,28.17,29.15,23.72,24.32,"222,126"
2018. 01. 11.,24.25,26.14,22.25,25.53,"85,897"
2018. 01. 10.,25.56,26.94,22.38,23.72,"112,933"
2018. 01. 09.,23.71,25.79,23.59,24.44,"110,788"
2018. 01. 08.,24.50,31.05,22.68,24.10,"136,203"
2018. 01. 07.,24.11,26.06,23.74,26.05,"117,935"
2018. 01. 06.,26.19,27.79,24.38,25.54,"207,731"
2018. 01. 05.,25.52,27.35,22.53,23.63,"139,129"
2018. 01. 04.,24.43,28.90,21.32,23.96,"163,769"
2018. 01. 03.,23.85,26.36,19.43,21.98,"226,949"
2018. 01. 02.,22.04,23.59,18.40,19.57,"194,872"
2018. 01. 01.,19.56,19.61,17.80,18.96,"40,414"
2017. 12. 31.,18.91,20.81,17.17,18.81,"100,546"
2017. 12. 30.,18.98,19.00,15.23,17.77,"107,227"
2017. 12. 29.,17.80,20.33,16.93,17.09,"133,199"
2017. 12. 28.,17.21,19.81,15.28,17.55,"103,425"
2017. 12. 27.,17.58,21.49,16.21,20.79,"149,335"
2017. 12. 26.,20.78,23.24,19.70,19.97,"106,455"
2017. 12. 25.,19.99,22.59,19.37,21.31,"138,053"
2017. 12. 24.,21.13,23.91,19.71,22.87,"83,955"
2017. 12. 23.,22.65,26.08,22.53,22.77,"67,568"
