,close,high,low,open,volume
2018. 03. 21.,3.94,4.12,3.91,4.09,"1,325,400"
2018. 03. 20.,4.09,4.19,3.82,4.18,"2,198,740"
2018. 03. 19.,4.16,4.17,3.71,3.71,"3,525,460"
2018. 03. 18.,3.63,3.63,2.92,3.49,"3,424,420"
2018. 03. 17.,3.49,3.83,3.48,3.82,"1,571,140"
2018. 03. 16.,3.81,3.97,3.75,3.89,"1,668,030"
2018. 03. 15.,3.87,4.00,3.68,3.95,"2,065,580"
2018. 03. 14.,3.96,4.34,3.83,4.24,"2,239,280"
2018. 03. 13.,4.23,4.35,4.15,4.19,"1,930,300"
2018. 03. 12.,4.18,4.38,4.11,4.16,"2,463,950"
2018. 03. 11.,4.17,4.21,3.98,4.08,"1,917,730"
2018. 03. 10.,4.09,4.40,4.08,4.26,"2,032,740"
2018. 03. 09.,4.28,4.45,3.84,4.32,"4,573,260"
2018. 03. 08.,4.36,4.73,4.22,4.29,"4,268,330"
2018. 03. 07.,4.27,5.11,4.24,5.02,"4,746,550"
2018. 03. 06.,5.01,5.33,4.99,5.32,"2,901,410"
2018. 03. 05.,5.36,5.66,5.33,5.66,"3,655,770"
2018. 03. 04.,5.67,5.67,5.22,5.35,"5,345,600"
2018. 03. 03.,5.38,5.71,5.31,5.44,"3,240,200"
2018. 03. 02.,5.45,5.56,5.41,5.54,"2,481,930"
2018. 03. 01.,5.49,5.53,5.40,5.42,"2,018,660"
2018. 02. 28.,5.43,5.76,5.43,5.52,"2,835,490"
2018. 02. 27.,5.53,5.73,5.48,5.63,"3,106,680"
2018. 02. 26.,5.63,5.70,5.33,5.50,"3,601,500"
2018. 02. 25.,5.47,5.61,5.18,5.59,"3,344,390"
2018. 02. 24.,5.60,5.79,5.43,5.69,"3,767,830"
2018. 02. 23.,5.70,5.79,5.16,5.41,"4,631,070"
2018. 02. 22.,5.41,5.85,5.07,5.55,"5,090,220"
2018. 02. 21.,5.57,5.99,5.21,5.90,"5,133,290"
2018. 02. 20.,5.94,6.42,5.86,6.35,"4,904,920"
2018. 02. 19.,6.32,6.42,5.54,5.66,"7,643,860"
2018. 02. 18.,5.67,6.60,5.49,6.60,"9,631,400"
2018. 02. 17.,6.59,6.85,6.31,6.83,"15,797,200"
2018. 02. 16.,6.91,6.91,5.15,5.17,"21,608,600"
2018. 02. 15.,5.16,5.20,4.74,4.76,"8,431,380"
2018. 02. 14.,4.75,4.75,4.17,4.17,"4,570,670"
2018. 02. 13.,4.18,4.48,4.06,4.45,"3,618,910"
2018. 02. 12.,4.41,4.45,3.85,3.85,"6,344,300"
2018. 02. 11.,3.86,4.28,3.80,4.28,"3,160,760"
2018. 02. 10.,4.26,4.52,4.00,4.05,"7,025,320"
2018. 02. 09.,4.11,4.12,3.60,3.72,"3,439,810"
2018. 02. 08.,3.71,3.91,3.42,3.42,"3,983,660"
2018. 02. 07.,3.42,3.92,3.42,3.75,"3,322,310"
2018. 02. 06.,3.77,3.89,3.01,3.26,"5,133,640"
2018. 02. 05.,3.24,4.02,3.24,3.84,"2,941,890"
2018. 02. 04.,3.86,4.50,3.71,4.45,"2,921,390"
2018. 02. 03.,4.42,4.70,3.81,4.10,"5,703,900"
2018. 02. 02.,4.16,4.66,2.89,3.45,"10,927,700"
2018. 02. 01.,3.47,5.00,3.35,4.87,"6,550,980"
2018. 01. 31.,4.87,5.09,4.71,5.01,"5,521,520"
2018. 01. 30.,4.99,5.76,4.99,5.72,"4,243,880"
2018. 01. 29.,5.74,6.31,5.71,6.22,"3,370,490"
2018. 01. 28.,6.23,6.40,5.99,6.28,"3,952,030"
2018. 01. 27.,6.27,6.32,5.52,5.54,"4,945,860"
2018. 01. 26.,5.56,6.38,5.18,6.16,"7,234,980"
2018. 01. 25.,6.23,6.46,6.14,6.31,"2,806,190"
2018. 01. 24.,6.27,6.38,6.06,6.18,"3,295,100"
2018. 01. 23.,6.19,7.12,5.80,6.40,"7,666,520"
2018. 01. 22.,6.40,7.11,6.02,7.05,"5,195,030"
2018. 01. 21.,6.97,8.25,6.58,8.25,"9,819,350"
2018. 01. 20.,8.27,8.75,6.15,6.17,"39,689,600"
2018. 01. 19.,6.15,6.47,6.01,6.33,"3,545,310"
2018. 01. 18.,6.37,7.08,6.05,6.13,"5,768,810"
2018. 01. 17.,6.06,6.57,4.68,6.40,"9,088,970"
2018. 01. 16.,6.42,8.62,5.51,8.59,"11,174,400"
2018. 01. 15.,8.48,8.86,7.76,7.78,"11,691,400"
2018. 01. 14.,7.85,8.11,7.53,8.07,"4,741,520"
2018. 01. 13.,8.06,8.14,7.88,8.00,"4,139,850"
2018. 01. 12.,7.99,8.21,7.53,7.76,"5,000,360"
2018. 01. 11.,7.65,8.53,7.51,8.32,"7,040,070"
2018. 01. 10.,8.38,9.28,7.66,9.08,"10,729,100"
2018. 01. 09.,9.12,10.11,8.63,8.78,"18,561,700"
2018. 01. 08.,8.82,8.82,7.59,8.48,"9,901,160"
2018. 01. 07.,8.53,8.90,8.39,8.71,"7,324,520"
2018. 01. 06.,8.72,9.26,7.68,8.03,"11,957,600"
2018. 01. 05.,8.01,9.36,7.90,9.30,"11,755,200"
2018. 01. 04.,9.27,10.04,9.19,9.77,"15,133,300"
2018. 01. 03.,9.69,10.64,9.53,10.40,"12,189,700"
2018. 01. 02.,10.28,11.13,9.69,10.02,"15,042,600"
2018. 01. 01.,9.99,10.21,9.52,10.18,"7,236,100"
2017. 12. 31.,10.12,10.44,8.94,9.16,"13,331,300"
2017. 12. 30.,9.25,10.78,9.06,10.78,"10,023,800"
2017. 12. 29.,10.73,11.35,10.48,10.94,"11,333,600"
2017. 12. 28.,10.83,11.54,10.23,11.37,"6,701,510"
2017. 12. 27.,11.41,12.05,11.19,11.67,"8,565,300"
2017. 12. 26.,11.76,12.13,11.27,11.34,"9,184,130"
2017. 12. 25.,11.38,11.94,10.25,10.62,"11,829,200"
2017. 12. 24.,10.56,11.53,9.53,11.53,"9,894,040"
2017. 12. 23.,11.39,12.59,10.95,11.51,"10,818,200"
2017. 12. 22.,11.32,14.46,8.42,14.41,"24,530,500"
2017. 12. 21.,14.42,15.35,13.93,14.92,"14,525,600"
2017. 12. 20.,14.90,16.96,13.55,14.53,"30,853,800"
2017. 12. 19.,14.51,15.57,13.72,15.01,"20,516,000"
2017. 12. 18.,14.87,15.77,13.46,13.63,"22,417,200"
2017. 12. 17.,13.67,14.44,13.14,13.92,"15,468,800"
2017. 12. 16.,13.99,14.69,13.88,14.43,"15,025,400"
2017. 12. 15.,14.39,14.76,14.08,14.37,"9,745,340"
2017. 12. 14.,14.39,15.04,14.06,14.33,"15,053,300"
2017. 12. 13.,14.40,16.01,13.56,13.84,"25,620,400"
