,close,high,low,open,volume
2018. 03. 21.,218.63,235.90,215.28,224.26,"57,121,400"
2018. 03. 20.,223.74,233.27,206.96,217.94,"60,005,900"
2018. 03. 19.,216.77,222.00,202.38,210.33,"67,314,400"
2018. 03. 18.,209.63,209.63,175.08,197.43,"75,859,900"
2018. 03. 17.,197.91,215.84,193.90,215.49,"48,877,500"
2018. 03. 16.,215.70,222.38,203.91,213.21,"62,972,500"
2018. 03. 15.,213.31,225.96,198.73,215.84,"75,798,000"
2018. 03. 14.,215.56,251.83,208.29,248.31,"75,383,300"
2018. 03. 13.,248.07,266.35,246.19,258.22,"69,264,500"
2018. 03. 12.,259.42,287.09,251.83,282.43,"66,680,300"
2018. 03. 11.,282.35,287.17,248.41,256.67,"73,755,400"
2018. 03. 10.,257.04,295.79,255.81,290.72,"78,431,700"
2018. 03. 09.,288.09,288.09,243.51,277.61,"155,072,000"
2018. 03. 08.,278.64,338.13,276.95,338.13,"128,424,000"
2018. 03. 07.,339.15,364.75,320.85,346.24,"162,103,000"
2018. 03. 06.,346.40,368.89,342.47,368.88,"93,212,700"
2018. 03. 05.,373.25,379.68,355.99,369.06,"130,898,000"
2018. 03. 04.,368.97,369.07,338.75,351.75,"123,113,000"
2018. 03. 03.,352.95,374.72,344.20,346.02,"196,022,000"
2018. 03. 02.,344.73,351.39,310.82,313.52,"170,634,000"
2018. 03. 01.,314.04,315.67,284.23,286.03,"62,044,300"
2018. 02. 28.,285.70,305.75,285.58,301.54,"47,981,800"
2018. 02. 27.,302.54,309.10,288.24,295.06,"64,821,400"
2018. 02. 26.,293.61,300.33,271.47,282.28,"53,939,200"
2018. 02. 25.,281.02,284.04,266.26,273.03,"33,676,300"
2018. 02. 24.,273.79,295.49,265.23,285.68,"62,206,300"
2018. 02. 23.,285.71,299.44,269.35,280.41,"89,026,300"
2018. 02. 22.,282.76,327.28,279.80,320.63,"103,123,000"
2018. 02. 21.,322.61,339.69,287.72,302.39,"169,590,000"
2018. 02. 20.,304.40,321.73,303.79,317.00,"71,114,700"
2018. 02. 19.,316.49,319.73,297.65,299.70,"67,482,400"
2018. 02. 18.,300.12,327.77,294.42,325.96,"68,135,100"
2018. 02. 17.,325.67,334.71,293.13,296.00,"134,269,000"
2018. 02. 16.,296.48,302.10,280.22,301.01,"64,320,200"
2018. 02. 15.,303.25,304.78,269.32,276.08,"85,772,700"
2018. 02. 14.,276.66,276.66,234.34,234.34,"116,137,000"
2018. 02. 13.,234.69,248.88,230.03,247.99,"46,476,400"
2018. 02. 12.,247.57,251.41,229.87,229.87,"45,760,100"
2018. 02. 11.,229.49,249.44,219.23,249.44,"51,680,100"
2018. 02. 10.,250.03,271.82,243.91,260.59,"76,435,300"
2018. 02. 09.,260.43,260.84,233.44,247.82,"77,557,200"
2018. 02. 08.,247.22,253.12,207.78,207.78,"81,312,200"
2018. 02. 07.,207.28,231.25,191.86,210.73,"64,730,900"
2018. 02. 06.,212.29,213.46,149.41,180.87,"100,344,000"
2018. 02. 05.,179.49,221.74,167.14,219.04,"77,454,500"
2018. 02. 04.,221.05,257.39,214.79,251.97,"48,981,700"
2018. 02. 03.,251.59,256.98,215.60,236.51,"55,887,100"
2018. 02. 02.,235.63,249.27,184.94,240.84,"122,696,000"
2018. 02. 01.,240.97,279.78,228.39,273.88,"73,082,700"
2018. 01. 31.,272.89,284.02,265.28,274.90,"67,649,500"
2018. 01. 30.,274.02,318.01,268.68,317.36,"93,182,600"
2018. 01. 29.,316.63,336.69,314.05,331.77,"55,323,000"
2018. 01. 28.,332.17,337.16,322.96,322.96,"75,700,900"
2018. 01. 27.,321.36,332.83,310.44,325.31,"66,614,100"
2018. 01. 26.,323.69,328.78,292.48,316.60,"91,052,800"
2018. 01. 25.,317.10,328.00,306.59,322.17,"76,537,300"
2018. 01. 24.,317.40,323.19,299.46,308.93,"92,263,600"
2018. 01. 23.,308.46,321.69,285.61,315.31,"116,898,000"
2018. 01. 22.,315.90,356.04,288.79,348.91,"116,893,000"
2018. 01. 21.,345.08,389.11,336.01,384.53,"126,395,000"
2018. 01. 20.,383.79,403.49,358.77,367.63,"240,595,000"
2018. 01. 19.,364.62,367.96,309.54,314.13,"199,852,000"
2018. 01. 18.,316.47,347.11,303.35,320.60,"152,851,000"
2018. 01. 17.,319.19,332.12,240.36,318.93,"192,937,000"
2018. 01. 16.,320.04,418.99,261.20,415.93,"283,036,000"
2018. 01. 15.,414.57,444.34,392.37,396.02,"264,782,000"
2018. 01. 14.,399.52,444.01,384.31,420.34,"180,678,000"
2018. 01. 13.,420.05,433.35,393.04,393.04,"248,705,000"
2018. 01. 12.,394.78,394.78,347.32,358.62,"158,189,000"
2018. 01. 11.,355.59,415.90,346.69,406.08,"187,722,000"
2018. 01. 10.,407.74,419.06,370.52,413.25,"265,152,000"
