,close,high,low,open,volume
2018. 03. 21.,8.63,9.70,8.35,9.12,"53,167,500"
2018. 03. 20.,9.15,9.54,7.87,8.37,"46,177,400"
2018. 03. 19.,8.28,8.80,7.56,8.53,"44,576,800"
2018. 03. 18.,8.31,8.58,5.97,7.79,"54,951,800"
2018. 03. 17.,7.84,8.91,7.80,8.87,"25,861,100"
2018. 03. 16.,8.82,9.50,8.23,8.77,"30,442,600"
2018. 03. 15.,8.78,9.21,8.30,9.10,"27,434,400"
2018. 03. 14.,9.10,11.07,8.83,10.86,"36,232,400"
2018. 03. 13.,10.85,11.11,10.12,10.65,"44,709,800"
2018. 03. 12.,10.72,12.00,10.22,11.55,"43,352,800"
2018. 03. 11.,11.58,12.11,10.25,10.79,"59,846,300"
2018. 03. 10.,10.86,12.99,10.56,11.77,"78,827,900"
2018. 03. 09.,11.65,11.79,8.69,9.85,"68,018,400"
2018. 03. 08.,9.90,12.06,9.87,11.91,"45,483,500"
2018. 03. 07.,11.93,13.93,10.94,13.54,"59,894,600"
2018. 03. 06.,13.41,14.71,12.79,14.71,"56,847,700"
2018. 03. 05.,14.74,15.59,14.73,14.89,"53,509,100"
2018. 03. 04.,14.91,15.72,14.35,14.98,"59,556,700"
2018. 03. 03.,14.92,16.20,14.58,16.16,"85,812,700"
2018. 03. 02.,16.20,17.30,15.89,17.16,"88,114,800"
2018. 03. 01.,17.09,17.38,14.40,14.41,"163,130,000"
2018. 02. 28.,14.29,15.42,13.56,15.35,"109,393,000"
2018. 02. 27.,15.48,16.37,13.51,13.84,"161,309,000"
2018. 02. 26.,13.92,14.59,11.32,12.39,"147,488,000"
2018. 02. 25.,12.21,14.44,10.78,13.99,"156,706,000"
2018. 02. 24.,14.22,17.08,11.80,13.14,"396,790,000"
2018. 02. 23.,12.99,13.28,9.12,9.31,"234,659,000"
2018. 02. 22.,9.28,10.00,7.91,7.98,"144,422,000"
2018. 02. 21.,7.81,8.30,6.80,6.96,"48,948,300"
2018. 02. 20.,7.00,8.70,6.94,8.61,"43,477,200"
2018. 02. 19.,8.59,9.11,8.49,8.62,"31,236,200"
2018. 02. 18.,8.64,9.73,8.61,9.45,"23,568,500"
2018. 02. 17.,9.45,10.03,9.38,9.62,"29,657,400"
2018. 02. 16.,9.64,10.02,8.59,9.36,"48,616,300"
2018. 02. 15.,9.40,9.43,8.07,9.02,"57,244,300"
2018. 02. 14.,9.04,9.67,8.56,8.91,"34,637,300"
2018. 02. 13.,8.91,9.88,8.82,9.78,"21,244,500"
2018. 02. 12.,9.75,10.15,8.41,8.42,"34,023,300"
2018. 02. 11.,8.31,9.57,8.08,9.49,"25,861,000"
2018. 02. 10.,9.44,10.67,8.57,10.36,"72,980,000"
2018. 02. 09.,10.05,12.00,9.54,11.32,"9,677,960"
2018. 02. 08.,11.28,11.85,10.16,10.16,"35,820,700"
2018. 02. 07.,10.16,12.93,9.36,10.64,"41,359,500"
2018. 02. 06.,10.84,11.31,6.54,9.16,"53,479,100"
2018. 02. 05.,8.93,13.12,7.34,12.65,"43,062,700"
2018. 02. 04.,12.87,16.57,11.70,16.57,"26,667,900"
2018. 02. 03.,16.58,17.10,14.18,16.90,"44,094,300"
2018. 02. 02.,16.51,18.22,12.57,16.43,"83,454,300"
2018. 02. 01.,16.41,20.13,14.64,20.13,"36,449,200"
2018. 01. 31.,20.03,20.21,14.91,16.04,"47,128,200"
2018. 01. 30.,16.05,19.05,12.89,18.62,"56,878,700"
2018. 01. 29.,18.52,20.17,17.89,19.73,"16,057,000"
2018. 01. 28.,19.70,20.96,17.64,18.88,"24,068,400"
2018. 01. 27.,18.77,19.49,16.89,17.39,"25,774,700"
2018. 01. 26.,17.47,17.84,12.79,12.79,"30,987,700"
2018. 01. 25.,12.83,15.27,12.62,15.25,"17,288,700"
2018. 01. 24.,15.00,15.20,12.12,14.16,"17,505,100"
2018. 01. 23.,14.12,15.08,12.99,14.46,"15,550,200"
2018. 01. 22.,14.49,17.38,13.46,17.04,"14,100,300"
2018. 01. 21.,16.84,20.03,16.41,19.66,"15,150,600"
2018. 01. 20.,19.63,20.02,17.47,17.48,"16,027,700"
2018. 01. 19.,17.26,19.33,15.84,17.82,"17,552,400"
2018. 01. 18.,18.04,19.77,16.05,16.89,"22,211,700"
2018. 01. 17.,16.96,17.18,11.24,14.50,"23,046,800"
2018. 01. 16.,14.68,20.90,12.66,20.88,"28,158,000"
2018. 01. 15.,20.83,23.59,20.78,22.05,"22,847,300"
2018. 01. 14.,22.05,25.55,18.98,24.13,"30,769,100"
2018. 01. 13.,23.19,26.11,20.89,24.71,"27,647,000"
2018. 01. 12.,24.79,26.24,23.60,24.55,"25,088,800"
2018. 01. 11.,24.37,29.96,23.55,29.80,"29,158,700"
2018. 01. 10.,29.92,30.28,26.42,30.22,"33,974,300"
2018. 01. 09.,29.91,30.20,25.24,25.72,"48,778,800"
2018. 01. 08.,25.80,31.37,22.43,27.04,"42,835,800"
2018. 01. 07.,26.51,29.42,23.39,29.24,"50,381,400"
2018. 01. 06.,29.29,34.06,25.79,31.39,"51,191,600"
2018. 01. 05.,31.40,36.35,29.63,32.73,"74,166,000"
2018. 01. 04.,32.68,32.68,19.88,24.70,"62,473,700"
2018. 01. 03.,25.05,33.45,18.29,33.45,"66,626,500"
2018. 01. 02.,33.70,37.62,26.16,29.65,"103,062,000"
2018. 01. 01.,29.57,29.59,20.16,21.80,"55,211,700"
2017. 12. 31.,21.66,21.66,11.93,12.03,"42,716,300"
2017. 12. 30.,12.14,14.47,9.28,13.48,"25,575,000"
2017. 12. 29.,13.38,17.35,10.77,13.08,"56,887,500"
2017. 12. 28.,11.62,13.96,9.85,10.66,"29,875,100"
2017. 12. 27.,10.70,10.98,8.16,9.10,"27,586,700"
2017. 12. 26.,9.05,9.05,6.28,6.28,"24,968,500"
2017. 12. 25.,6.52,6.63,4.75,4.77,"12,561,700"
2017. 12. 24.,4.73,4.77,4.14,4.57,"5,428,590"
2017. 12. 23.,4.52,4.80,4.03,4.41,"5,990,190"
2017. 12. 22.,4.35,5.23,2.95,4.98,"8,725,690"
2017. 12. 21.,4.93,5.44,4.02,4.03,"15,051,400"
2017. 12. 20.,4.04,4.04,3.02,3.44,"8,339,300"
2017. 12. 19.,3.44,3.66,2.68,2.79,"9,969,490"
2017. 12. 18.,2.83,2.84,1.88,2.09,"4,372,990"
2017. 12. 17.,2.09,2.51,1.63,2.48,"5,157,020"
2017. 12. 16.,2.48,2.76,1.57,2.64,"6,144,900"
