,close,high,low,open,volume
2018. 03. 21.,9.98,11.04,9.44,9.66,"13,945,800"
2018. 03. 20.,9.63,9.82,8.53,8.85,"12,259,800"
2018. 03. 19.,8.81,9.19,8.30,8.68,"9,804,430"
2018. 03. 18.,8.65,8.91,6.65,8.86,"10,712,700"
2018. 03. 17.,8.88,9.90,8.79,9.83,"9,337,750"
2018. 03. 16.,9.84,10.98,9.33,10.40,"11,627,400"
2018. 03. 15.,10.38,10.46,8.92,9.68,"8,666,500"
2018. 03. 14.,9.70,11.79,9.36,11.41,"2,199,010"
2018. 03. 13.,11.45,12.34,11.26,11.85,"2,210,290"
2018. 03. 12.,11.88,13.44,11.30,12.73,"3,715,790"
2018. 03. 11.,12.71,13.06,10.90,11.34,"3,499,730"
2018. 03. 10.,11.38,12.87,11.08,11.93,"3,596,990"
2018. 03. 09.,11.97,12.07,9.35,11.82,"3,621,810"
2018. 03. 08.,11.86,13.34,11.52,13.05,"3,001,220"
2018. 03. 07.,13.09,15.72,11.85,15.28,"6,447,580"
2018. 03. 06.,15.28,18.98,14.88,15.87,"15,203,600"
2018. 03. 05.,15.95,16.58,15.92,16.44,"3,684,860"
2018. 03. 04.,16.55,17.01,15.70,17.01,"4,977,800"
2018. 03. 03.,17.08,18.59,15.32,15.64,"11,323,300"
2018. 03. 02.,15.56,16.01,14.92,16.01,"4,074,000"
2018. 03. 01.,15.96,17.79,15.43,16.13,"14,257,000"
2018. 02. 28.,16.05,20.06,14.02,14.11,"39,374,500"
2018. 02. 27.,14.09,15.00,13.73,13.94,"3,494,090"
2018. 02. 26.,13.93,14.95,13.39,13.67,"4,307,770"
2018. 02. 25.,13.66,14.99,12.92,13.11,"5,732,600"
2018. 02. 24.,13.14,14.53,12.67,14.27,"2,625,070"
2018. 02. 23.,14.29,14.65,12.80,13.33,"3,479,680"
2018. 02. 22.,13.31,15.80,13.13,15.17,"3,096,320"
2018. 02. 21.,15.02,17.63,14.42,15.37,"7,882,850"
2018. 02. 20.,15.59,18.67,15.59,18.39,"7,469,010"
2018. 02. 19.,18.42,19.81,16.14,16.17,"19,410,400"
2018. 02. 18.,16.18,17.75,15.51,17.72,"5,277,620"
2018. 02. 17.,17.75,19.04,17.31,17.94,"8,966,690"
2018. 02. 16.,18.07,19.49,16.45,18.61,"21,028,200"
2018. 02. 15.,18.56,22.27,14.09,15.17,"83,055,100"
2018. 02. 14.,14.86,14.86,11.49,11.49,"4,152,390"
2018. 02. 13.,11.50,13.65,11.30,13.55,"1,737,860"
2018. 02. 12.,13.59,13.71,10.88,10.88,"2,909,730"
2018. 02. 11.,10.82,12.04,10.32,11.70,"2,325,390"
2018. 02. 10.,11.76,14.07,11.02,13.81,"2,172,730"
2018. 02. 09.,13.80,13.89,11.05,11.54,"256,549"
2018. 02. 08.,11.52,11.96,10.43,10.49,"3,217,800"
2018. 02. 07.,10.53,12.92,9.77,11.98,"3,084,850"
2018. 02. 06.,12.01,12.15,6.93,8.86,"3,613,470"
