,close,high,low,open,volume
2018. 03. 21.,0.290294,0.314733,0.285323,0.309843,"104,430,000"
2018. 03. 20.,0.310745,0.344168,0.278131,0.294834,"323,806,000"
2018. 03. 19.,0.301993,0.314138,0.275261,0.287236,"120,826,000"
2018. 03. 18.,0.281759,0.285960,0.224753,0.283261,"72,757,100"
2018. 03. 17.,0.281779,0.340714,0.279494,0.340714,"55,729,900"
2018. 03. 16.,0.338381,0.386193,0.336487,0.381054,"47,704,200"
2018. 03. 15.,0.376528,0.427301,0.338700,0.420145,"96,351,900"
2018. 03. 14.,0.399253,0.524337,0.391035,0.472692,"164,630,000"
2018. 03. 13.,0.465787,0.477692,0.390232,0.390232,"144,069,000"
2018. 03. 12.,0.390672,0.412719,0.345692,0.350350,"90,235,500"
2018. 03. 11.,0.350379,0.361351,0.334325,0.340915,"29,528,800"
2018. 03. 10.,0.341924,0.357122,0.337643,0.338757,"24,086,700"
2018. 03. 09.,0.338070,0.363011,0.320117,0.340783,"57,774,800"
2018. 03. 08.,0.341636,0.360421,0.283055,0.296244,"65,751,000"
2018. 03. 07.,0.297047,0.343410,0.286299,0.338929,"24,605,000"
2018. 03. 06.,0.339163,0.358341,0.334087,0.352065,"26,655,100"
2018. 03. 05.,0.353482,0.374990,0.336002,0.354704,"63,880,400"
2018. 03. 04.,0.356651,0.377368,0.351159,0.377368,"49,838,900"
2018. 03. 03.,0.377967,0.405506,0.374320,0.394581,"35,009,700"
2018. 03. 02.,0.395159,0.423794,0.393694,0.418319,"17,893,800"
2018. 03. 01.,0.416245,0.416245,0.392158,0.399489,"19,529,000"
2018. 02. 28.,0.401794,0.425237,0.399354,0.400721,"27,179,700"
2018. 02. 27.,0.401762,0.405143,0.393397,0.403094,"12,956,100"
2018. 02. 26.,0.402877,0.406701,0.385481,0.398861,"17,511,200"
2018. 02. 25.,0.398644,0.406462,0.380739,0.405040,"18,213,400"
2018. 02. 24.,0.406426,0.447432,0.398284,0.438945,"19,614,000"
2018. 02. 23.,0.439576,0.449053,0.417528,0.428424,"24,689,500"
2018. 02. 22.,0.432245,0.475640,0.415672,0.463822,"26,603,200"
2018. 02. 21.,0.464439,0.510921,0.458362,0.482148,"70,518,000"
2018. 02. 20.,0.484397,0.529133,0.481098,0.529133,"66,039,700"
2018. 02. 19.,0.529261,0.537727,0.518834,0.528994,"91,007,400"
2018. 02. 18.,0.530407,0.595298,0.527599,0.595298,"95,781,300"
2018. 02. 17.,0.598880,0.602952,0.560204,0.565686,"147,788,000"
2018. 02. 16.,0.568887,0.598202,0.548458,0.560086,"90,028,500"
2018. 02. 15.,0.561359,0.588881,0.544115,0.569045,"67,295,600"
2018. 02. 14.,0.570005,0.570553,0.528626,0.531920,"73,477,500"
2018. 02. 13.,0.533186,0.567745,0.526820,0.560197,"36,379,100"
2018. 02. 12.,0.557894,0.561441,0.530871,0.532219,"22,479,700"
2018. 02. 11.,0.528640,0.589823,0.514947,0.589823,"28,515,100"
2018. 02. 10.,0.590511,0.644920,0.557530,0.598384,"74,166,200"
2018. 02. 09.,0.590486,0.590486,0.517372,0.544268,"60,340,000"
2018. 02. 08.,0.543094,0.594279,0.525279,0.536245,"42,640,900"
2018. 02. 07.,0.536718,0.617025,0.521970,0.582114,"59,231,300"
2018. 02. 06.,0.584200,0.584200,0.397361,0.455961,"50,311,400"
2018. 02. 05.,0.449672,0.559763,0.440340,0.548980,"28,590,400"
2018. 02. 04.,0.550870,0.664819,0.536007,0.627271,"41,394,700"
2018. 02. 03.,0.628795,0.652762,0.512837,0.584534,"42,520,900"
2018. 02. 02.,0.582652,0.621158,0.440361,0.613639,"54,511,900"
2018. 02. 01.,0.618265,0.804491,0.614392,0.791554,"46,639,300"
2018. 01. 31.,0.779857,0.787938,0.737936,0.785675,"50,105,100"
2018. 01. 30.,0.776491,0.935732,0.776117,0.935732,"47,194,000"
2018. 01. 29.,0.935431,1.03,0.923629,1.03,"47,381,700"
2018. 01. 28.,1.03,1.06,1.01,1.06,"83,612,400"
2018. 01. 27.,1.06,1.11,0.817192,0.843234,"237,529,000"
2018. 01. 26.,0.839974,1.02,0.765609,0.944931,"174,749,000"
2018. 01. 25.,0.949100,1.00,0.924831,0.973386,"57,845,600"
2018. 01. 24.,0.963750,0.994965,0.907137,0.947215,"57,975,100"
2018. 01. 23.,0.942383,1.01,0.877437,0.987091,"67,245,800"
2018. 01. 22.,0.991465,1.10,0.899927,1.08,"73,947,400"
2018. 01. 21.,1.07,1.22,1.02,1.22,"112,542,000"
2018. 01. 20.,1.21,1.21,1.10,1.10,"129,900,000"
2018. 01. 19.,1.10,1.15,1.00,1.07,"130,817,000"
2018. 01. 18.,1.08,1.17,0.957233,1.03,"119,459,000"
2018. 01. 17.,1.02,1.09,0.692197,0.976473,"166,003,000"
2018. 01. 16.,1.03,1.38,0.712555,1.38,"198,199,000"
2018. 01. 15.,1.39,1.51,1.38,1.39,"105,495,000"
2018. 01. 14.,1.39,1.51,1.34,1.51,"38,628,400"
2018. 01. 13.,1.51,1.57,1.45,1.46,"60,099,500"
2018. 01. 12.,1.44,1.45,1.26,1.31,"65,119,100"
2018. 01. 11.,1.31,1.54,1.22,1.45,"93,279,400"
2018. 01. 10.,1.45,1.55,1.31,1.55,"92,956,100"
2018. 01. 09.,1.54,1.72,1.47,1.67,"75,343,700"
2018. 01. 08.,1.65,1.83,1.45,1.83,"81,479,000"
2018. 01. 07.,1.84,1.91,1.63,1.66,"123,173,000"
2018. 01. 06.,1.65,1.72,1.48,1.58,"99,451,000"
2018. 01. 05.,1.59,1.81,1.51,1.69,"175,192,000"
2018. 01. 04.,1.64,2.09,1.54,1.84,"332,371,000"
2018. 01. 03.,1.79,1.80,1.15,1.15,"265,016,000"
2018. 01. 02.,1.16,1.20,1.03,1.04,"108,186,000"
2018. 01. 01.,1.04,1.08,1.00,1.04,"58,202,800"
2017. 12. 31.,1.03,1.08,0.909489,0.917415,"69,870,100"
2017. 12. 30.,0.926883,1.05,0.893058,1.05,"73,225,300"
2017. 12. 29.,1.06,1.06,0.890231,0.912620,"105,782,000"
2017. 12. 28.,0.909741,0.952824,0.841534,0.944310,"52,492,700"
2017. 12. 27.,0.944464,0.994182,0.909545,0.983616,"53,708,400"
2017. 12. 26.,0.988380,1.01,0.925547,0.999341,"65,543,300"
2017. 12. 25.,1.01,1.14,0.945585,1.04,"122,425,000"
2017. 12. 24.,1.04,1.04,0.787298,0.940283,"98,134,100"
2017. 12. 23.,0.927166,0.997663,0.820264,0.836646,"77,666,400"
2017. 12. 22.,0.816177,1.03,0.592709,1.01,"187,781,000"
2017. 12. 21.,0.998102,1.05,0.913511,0.949966,"112,835,000"
2017. 12. 20.,0.918996,1.04,0.815750,0.941401,"119,243,000"
2017. 12. 19.,0.942962,1.06,0.851390,0.851390,"242,843,000"
2017. 12. 18.,0.846193,0.846193,0.684549,0.686663,"114,759,000"
2017. 12. 17.,0.687827,0.747824,0.644132,0.656408,"83,063,900"
2017. 12. 16.,0.657999,0.716328,0.578899,0.587655,"99,889,000"
2017. 12. 15.,0.592682,0.610192,0.503800,0.601422,"69,296,200"
2017. 12. 14.,0.610045,0.616128,0.515254,0.535965,"87,375,200"
2017. 12. 13.,0.523858,0.556306,0.499614,0.529258,"56,148,600"
2017. 12. 12.,0.534018,0.574211,0.461091,0.495342,"106,068,000"
2017. 12. 11.,0.490530,0.504022,0.393920,0.393920,"71,627,100"
2017. 12. 10.,0.393966,0.444702,0.334256,0.444702,"77,311,800"
2017. 12. 09.,0.445482,0.684188,0.385252,0.684188,"211,103,000"
2017. 12. 08.,0.639449,0.656789,0.219179,0.235038,"267,451,000"
2017. 12. 07.,0.236283,0.275660,0.230922,0.271419,"30,563,700"
2017. 12. 06.,0.270295,0.299700,0.259649,0.299700,"29,788,400"
2017. 12. 05.,0.301329,0.309784,0.274161,0.285916,"27,918,500"
2017. 12. 04.,0.285884,0.288380,0.265620,0.277127,"19,193,300"
2017. 12. 03.,0.275915,0.285787,0.249055,0.251818,"44,340,300"
2017. 12. 02.,0.252322,0.259270,0.239276,0.239910,"23,297,000"
2017. 12. 01.,0.239571,0.239571,0.214192,0.225486,"12,371,200"
2017. 11. 30.,0.226677,0.241916,0.210180,0.218399,"16,258,700"
2017. 11. 29.,0.218286,0.268690,0.210000,0.257880,"33,439,400"
2017. 11. 28.,0.248682,0.256873,0.226511,0.226620,"35,746,900"
2017. 11. 27.,0.226282,0.226282,0.212362,0.214011,"12,795,400"
2017. 11. 26.,0.213886,0.221228,0.208544,0.218241,"12,589,900"
2017. 11. 25.,0.218506,0.220652,0.207381,0.209116,"10,943,300"
2017. 11. 24.,0.209109,0.209309,0.198506,0.201313,"7,556,740"
2017. 11. 23.,0.201437,0.205990,0.199126,0.204135,"8,567,770"
2017. 11. 22.,0.203891,0.207591,0.200102,0.203437,"6,838,830"
2017. 11. 21.,0.202712,0.214654,0.199799,0.212540,"9,636,650"
2017. 11. 20.,0.213041,0.219343,0.200439,0.201814,"13,657,600"
2017. 11. 19.,0.201947,0.206570,0.194297,0.195153,"8,200,280"
2017. 11. 18.,0.196271,0.196701,0.190190,0.193471,"7,023,070"
2017. 11. 17.,0.192635,0.198684,0.189507,0.196707,"8,216,410"
2017. 11. 16.,0.196787,0.211213,0.191441,0.194276,"16,058,700"
2017. 11. 15.,0.193879,0.200809,0.193040,0.195403,"6,978,990"
2017. 11. 14.,0.194469,0.195692,0.187637,0.192122,"7,941,780"
2017. 11. 13.,0.192662,0.203314,0.180023,0.180876,"7,806,090"
2017. 11. 12.,0.180406,0.191179,0.165319,0.191179,"12,126,100"
2017. 11. 11.,0.192428,0.208632,0.184363,0.192005,"6,940,500"
2017. 11. 10.,0.192903,0.235801,0.185654,0.221480,"10,625,300"
2017. 11. 09.,0.220927,0.221762,0.189496,0.193797,"7,388,760"
2017. 11. 08.,0.194292,0.197062,0.177652,0.179285,"6,757,370"
2017. 11. 07.,0.180246,0.186945,0.173960,0.186479,"4,822,430"
2017. 11. 06.,0.186642,0.208050,0.174593,0.181340,"11,718,500"
2017. 11. 05.,0.180309,0.180309,0.162022,0.170760,"4,400,860"
2017. 11. 04.,0.170845,0.177597,0.168393,0.171515,"4,231,960"
2017. 11. 03.,0.171728,0.180035,0.160413,0.166597,"5,802,310"
2017. 11. 02.,0.166887,0.181257,0.150936,0.166398,"8,706,750"
2017. 11. 01.,0.166645,0.188424,0.164959,0.186957,"6,190,340"
2017. 10. 31.,0.186771,0.201302,0.183521,0.199406,"6,031,700"
2017. 10. 30.,0.200415,0.203730,0.196393,0.200239,"3,529,450"
2017. 10. 29.,0.201337,0.209081,0.192299,0.197333,"8,599,400"
2017. 10. 28.,0.197236,0.205234,0.193193,0.197981,"4,671,300"
2017. 10. 27.,0.197940,0.200953,0.194800,0.199349,"3,603,110"
2017. 10. 26.,0.199005,0.207135,0.194916,0.205685,"4,683,120"
2017. 10. 25.,0.206495,0.214658,0.201686,0.212028,"4,171,090"
2017. 10. 24.,0.212616,0.216699,0.191158,0.197404,"5,808,170"
2017. 10. 23.,0.199053,0.212219,0.194769,0.211283,"4,987,880"
2017. 10. 22.,0.211949,0.219752,0.200805,0.213296,"4,615,270"
2017. 10. 21.,0.212676,0.217060,0.200346,0.216010,"4,326,590"
2017. 10. 20.,0.215947,0.230570,0.215075,0.220943,"4,936,400"
2017. 10. 19.,0.220531,0.230490,0.218465,0.219728,"3,383,330"
2017. 10. 18.,0.220316,0.220582,0.204842,0.217380,"3,409,140"
2017. 10. 17.,0.218207,0.235004,0.214333,0.224199,"4,990,440"
2017. 10. 16.,0.223181,0.251225,0.205047,0.206955,"14,101,500"
2017. 10. 15.,0.207300,0.211642,0.198529,0.210710,"2,933,540"
2017. 10. 14.,0.210581,0.213414,0.204445,0.211723,"3,189,400"
2017. 10. 13.,0.211569,0.213539,0.194287,0.205702,"5,996,320"
2017. 10. 12.,0.206147,0.215428,0.202472,0.214797,"4,425,210"
2017. 10. 11.,0.214811,0.221003,0.208849,0.210324,"2,753,270"
2017. 10. 10.,0.209909,0.220043,0.193943,0.193943,"5,169,550"
2017. 10. 09.,0.194931,0.207524,0.191194,0.194760,"6,003,100"
2017. 10. 08.,0.194807,0.212707,0.193791,0.210679,"4,830,460"
2017. 10. 07.,0.212189,0.220904,0.203580,0.211943,"4,376,190"
