,close,high,low,open,volume
2018. 03. 21.,2.11,2.32,2.04,2.15,"1,590,150"
2018. 03. 20.,2.15,2.20,1.91,2.03,"1,535,720"
2018. 03. 19.,1.99,2.14,1.87,1.94,"1,967,380"
2018. 03. 18.,1.96,2.03,1.58,1.86,"1,963,970"
2018. 03. 17.,1.86,2.11,1.84,2.10,"856,360"
2018. 03. 16.,2.10,2.31,2.04,2.19,"2,946,830"
2018. 03. 15.,2.37,2.42,1.67,1.89,"7,461,710"
2018. 03. 14.,1.90,2.44,1.86,2.44,"3,071,400"
2018. 03. 13.,2.42,2.61,2.31,2.57,"2,455,470"
2018. 03. 12.,2.65,2.94,2.42,2.88,"2,659,970"
2018. 03. 11.,2.87,2.91,2.49,2.69,"1,986,140"
2018. 03. 10.,2.74,2.94,2.63,2.94,"2,335,300"
2018. 03. 09.,2.96,3.28,2.38,3.18,"6,799,940"
2018. 03. 08.,3.24,3.64,2.98,3.46,"10,461,800"
2018. 03. 07.,3.53,4.29,2.99,3.07,"71,717,500"
2018. 03. 06.,3.08,3.35,3.03,3.31,"9,394,140"
2018. 03. 05.,3.47,3.65,2.85,3.65,"30,925,300"
2018. 03. 04.,3.37,3.37,2.53,3.15,"15,871,000"
2018. 03. 03.,3.10,3.83,2.84,3.00,"36,222,400"
2018. 03. 02.,3.29,5.18,2.75,3.04,"210,752,000"
2018. 03. 01.,2.48,3.10,1.62,1.73,"37,272,300"
2018. 02. 28.,1.73,1.86,1.69,1.79,"739,952"
2018. 02. 27.,1.80,1.87,1.58,1.87,"2,333,960"
2018. 02. 26.,1.85,1.91,1.64,1.83,"2,308,480"
2018. 02. 25.,1.84,1.88,1.71,1.76,"1,768,220"
2018. 02. 24.,1.74,2.33,1.68,2.21,"4,986,070"
2018. 02. 23.,2.20,2.28,1.88,1.97,"1,267,150"
2018. 02. 22.,1.97,2.58,1.87,2.35,"1,130,310"
2018. 02. 21.,2.33,2.33,1.96,2.12,"1,857,240"
2018. 02. 20.,2.15,8.20,1.98,2.51,"4,561,350"
2018. 02. 19.,2.51,2.71,2.43,2.46,"959,786"
2018. 02. 18.,2.47,2.88,2.37,2.88,"2,008,560"
2018. 02. 17.,2.87,3.00,2.46,2.50,"4,151,410"
2018. 02. 16.,2.53,2.54,2.24,2.40,"1,519,310"
2018. 02. 15.,2.46,2.70,2.24,2.58,"4,672,110"
2018. 02. 14.,2.64,2.87,2.44,2.67,"3,098,380"
2018. 02. 13.,2.68,3.08,2.55,2.93,"1,486,990"
2018. 02. 12.,2.93,3.05,2.74,2.74,"964,369"
2018. 02. 11.,2.72,3.13,2.72,3.13,"899,605"
2018. 02. 10.,3.06,3.39,2.90,3.39,"1,184,550"
2018. 02. 09.,3.39,3.41,2.90,3.22,"721,890"
2018. 02. 08.,3.21,3.30,2.79,2.80,"674,773"
2018. 02. 07.,2.80,3.72,2.73,2.97,"1,395,480"
2018. 02. 06.,3.00,3.07,2.10,2.42,"1,013,240"
2018. 02. 05.,2.39,3.23,2.36,3.09,"664,381"
2018. 02. 04.,3.09,3.95,3.04,3.91,"655,064"
2018. 02. 03.,3.93,4.08,3.22,3.58,"2,450,240"
2018. 02. 02.,3.66,4.03,2.67,3.89,"1,524,530"
2018. 02. 01.,3.93,5.05,3.72,4.99,"1,619,100"
2018. 01. 31.,5.00,5.46,4.65,4.89,"1,535,080"
2018. 01. 30.,4.88,6.38,4.88,5.80,"1,944,800"
2018. 01. 29.,5.82,6.58,5.73,6.53,"1,071,750"
2018. 01. 28.,6.53,6.68,6.04,6.38,"878,149"
2018. 01. 27.,6.35,6.61,5.74,6.08,"1,305,430"
2018. 01. 26.,6.05,6.17,5.49,5.81,"1,410,430"
2018. 01. 25.,5.86,6.69,5.66,5.66,"6,873,210"
2018. 01. 24.,5.60,5.77,5.21,5.40,"475,654"
2018. 01. 23.,5.34,5.66,4.93,5.50,"874,584"
2018. 01. 22.,5.61,6.86,5.20,5.90,"2,544,880"
2018. 01. 21.,5.86,6.61,5.55,6.55,"1,881,960"
2018. 01. 20.,6.54,7.02,6.36,6.57,"1,896,220"
2018. 01. 19.,6.61,7.10,6.08,6.71,"1,426,080"
2018. 01. 18.,6.77,7.61,6.33,6.87,"1,725,000"
2018. 01. 17.,6.91,7.22,5.14,5.54,"5,390,440"
2018. 01. 16.,5.55,7.85,4.69,7.85,"3,361,540"
2018. 01. 15.,7.34,8.27,6.80,8.27,"3,883,180"
2018. 01. 14.,8.33,9.45,7.93,9.40,"2,469,920"
2018. 01. 13.,9.40,9.78,9.03,9.28,"1,824,220"
2018. 01. 12.,9.35,9.47,8.06,8.65,"2,507,860"
2018. 01. 11.,8.43,10.90,7.96,10.89,"3,537,910"
2018. 01. 10.,10.90,11.60,8.92,11.60,"6,337,330"
2018. 01. 09.,11.59,13.41,11.09,12.70,"6,100,540"
2018. 01. 08.,12.77,13.64,11.28,12.48,"8,084,190"
2018. 01. 07.,12.57,14.74,11.49,12.74,"9,461,710"
2018. 01. 06.,12.77,15.86,11.41,13.04,"24,530,100"
2018. 01. 05.,12.59,14.23,5.69,8.65,"89,224,500"
2018. 01. 04.,8.50,9.02,3.82,3.98,"30,486,100"
2018. 01. 03.,3.95,4.18,3.06,3.22,"3,754,430"
2018. 01. 02.,3.23,3.53,2.97,3.07,"2,206,790"
2018. 01. 01.,3.10,3.27,2.98,3.18,"768,096"
2017. 12. 31.,3.12,3.27,2.85,2.87,"674,697"
2017. 12. 30.,2.90,3.34,2.78,3.31,"759,528"
2017. 12. 29.,3.40,3.70,3.21,3.55,"1,279,480"
2017. 12. 28.,3.58,3.63,2.79,3.42,"2,051,560"
2017. 12. 27.,3.42,3.57,3.24,3.45,"1,438,740"
2017. 12. 26.,3.44,3.74,3.17,3.64,"1,813,960"
2017. 12. 25.,3.63,3.96,3.24,3.45,"2,574,450"
2017. 12. 24.,3.35,3.66,2.96,3.66,"1,009,490"
2017. 12. 23.,3.66,3.95,3.18,3.31,"2,022,960"
2017. 12. 22.,3.24,3.93,2.31,3.89,"2,168,160"
2017. 12. 21.,3.84,4.32,3.65,4.06,"2,882,820"
2017. 12. 20.,4.03,4.43,3.32,4.00,"6,697,240"
2017. 12. 19.,3.91,4.31,3.62,4.27,"2,435,640"
2017. 12. 18.,4.26,4.26,3.57,3.72,"2,064,440"
2017. 12. 17.,3.72,4.25,3.63,3.80,"2,727,650"
2017. 12. 16.,3.83,4.08,3.58,4.01,"4,327,430"
2017. 12. 15.,4.03,4.06,2.83,3.20,"7,751,370"
2017. 12. 14.,3.20,3.29,2.63,2.78,"2,682,170"
2017. 12. 13.,2.79,3.08,2.38,2.47,"3,661,090"
2017. 12. 12.,2.47,2.58,2.25,2.30,"1,213,530"
2017. 12. 11.,2.30,2.45,2.10,2.16,"1,084,050"
2017. 12. 10.,2.19,2.43,1.93,2.39,"3,406,970"
2017. 12. 09.,2.39,2.56,1.72,1.78,"2,536,800"
2017. 12. 08.,1.86,1.92,1.59,1.79,"978,571"
2017. 12. 07.,1.76,2.05,1.72,1.80,"1,599,790"
2017. 12. 06.,1.81,2.06,1.71,1.83,"2,945,060"
2017. 12. 05.,1.83,2.44,1.70,1.72,"6,097,360"
2017. 12. 04.,1.72,1.87,1.43,1.44,"1,368,170"
2017. 12. 03.,1.44,1.59,1.35,1.48,"483,147"
2017. 12. 02.,1.47,1.58,1.47,1.52,"545,670"
2017. 12. 01.,1.53,1.56,1.29,1.39,"566,652"
2017. 11. 30.,1.40,1.47,1.12,1.15,"1,092,720"
2017. 11. 29.,1.14,1.63,1.14,1.30,"1,650,700"
2017. 11. 28.,1.30,1.45,1.30,1.43,"836,867"
2017. 11. 27.,1.43,1.51,1.36,1.42,"1,122,850"
2017. 11. 26.,1.44,1.56,1.36,1.55,"2,144,110"
2017. 11. 25.,1.54,1.78,1.49,1.68,"5,478,260"
2017. 11. 24.,1.63,2.08,1.16,1.33,"11,113,400"
2017. 11. 23.,1.44,1.70,1.02,1.02,"2,502,290"
2017. 11. 22.,1.02,1.07,1.00,1.02,"294,309"
2017. 11. 21.,1.01,1.08,0.961845,1.01,"308,855"
2017. 11. 20.,1.01,1.22,1.00,1.03,"707,789"
2017. 11. 19.,1.03,1.08,1.02,1.06,"170,740"
