,close,high,low,open,volume
2018. 03. 21.,2.90,3.15,2.73,2.75,"13,911,800"
2018. 03. 20.,2.72,2.87,2.39,2.66,"11,374,000"
2018. 03. 19.,2.62,2.63,2.32,2.33,"10,343,300"
2018. 03. 18.,2.34,2.41,1.86,2.25,"9,299,880"
2018. 03. 17.,2.27,2.52,2.19,2.52,"7,979,980"
2018. 03. 16.,2.52,2.63,2.35,2.55,"9,890,550"
2018. 03. 15.,2.56,2.70,2.24,2.54,"8,468,510"
2018. 03. 14.,2.54,3.14,2.45,3.07,"5,051,770"
2018. 03. 13.,3.04,3.43,3.03,3.35,"5,106,790"
2018. 03. 12.,3.37,3.60,3.18,3.44,"4,977,940"
2018. 03. 11.,3.46,3.60,3.00,3.17,"5,684,820"
2018. 03. 10.,3.19,3.65,3.14,3.15,"7,608,590"
2018. 03. 09.,3.15,3.19,2.44,2.91,"6,844,890"
2018. 03. 08.,2.94,3.65,2.77,3.65,"6,830,040"
2018. 03. 07.,3.64,4.23,3.13,4.03,"11,730,200"
2018. 03. 06.,4.03,4.21,3.57,3.77,"17,650,400"
2018. 03. 05.,3.78,3.84,3.40,3.48,"5,190,870"
2018. 03. 04.,3.49,3.59,3.28,3.52,"5,355,450"
2018. 03. 03.,3.54,3.73,2.95,3.17,"8,886,060"
2018. 03. 02.,3.16,3.33,2.75,2.75,"6,656,630"
2018. 03. 01.,2.75,2.79,2.59,2.61,"2,484,820"
2018. 02. 28.,2.60,2.91,2.60,2.87,"2,311,090"
2018. 02. 27.,2.88,2.99,2.75,2.81,"3,487,530"
2018. 02. 26.,2.82,2.93,2.65,2.87,"4,299,190"
2018. 02. 25.,2.88,3.06,2.44,2.47,"10,128,200"
2018. 02. 24.,2.47,2.64,2.38,2.58,"2,157,470"
2018. 02. 23.,2.59,2.67,2.40,2.51,"2,415,070"
2018. 02. 22.,2.52,2.88,2.41,2.60,"3,269,020"
2018. 02. 21.,2.59,2.85,2.49,2.69,"2,927,430"
2018. 02. 20.,2.71,3.30,2.69,3.30,"4,074,230"
2018. 02. 19.,3.30,3.37,3.05,3.08,"3,433,640"
2018. 02. 18.,3.10,3.63,3.09,3.58,"4,518,260"
2018. 02. 17.,3.57,3.58,3.10,3.14,"4,237,370"
2018. 02. 16.,3.12,3.28,3.01,3.12,"4,816,730"
2018. 02. 15.,3.13,3.30,2.63,2.63,"11,507,000"
2018. 02. 14.,2.64,2.81,2.32,2.34,"2,975,080"
2018. 02. 13.,2.34,2.55,2.25,2.45,"1,669,720"
2018. 02. 12.,2.44,2.52,2.32,2.32,"4,310,040"
2018. 02. 11.,2.34,2.65,2.18,2.65,"4,760,860"
2018. 02. 10.,2.63,3.14,2.46,3.04,"4,960,410"
2018. 02. 09.,3.06,3.17,2.87,3.01,"2,017,270"
2018. 02. 08.,3.03,3.12,2.71,2.71,"3,771,760"
2018. 02. 07.,2.71,3.18,2.35,2.72,"5,312,710"
2018. 02. 06.,2.68,2.75,1.47,2.11,"5,318,410"
2018. 02. 05.,2.07,3.00,1.97,2.82,"3,312,300"
2018. 02. 04.,2.85,3.59,2.71,3.47,"3,142,410"
2018. 02. 03.,3.51,3.60,2.79,3.02,"3,818,610"
2018. 02. 02.,3.01,3.56,2.37,3.56,"4,613,780"
2018. 02. 01.,3.59,4.21,3.11,4.17,"5,393,130"
2018. 01. 31.,4.15,4.35,3.87,4.01,"4,611,260"
2018. 01. 30.,4.00,4.51,3.75,4.46,"4,140,350"
2018. 01. 29.,4.47,4.86,4.41,4.80,"3,955,740"
2018. 01. 28.,4.84,5.08,4.65,4.81,"4,300,920"
2018. 01. 27.,4.78,5.03,4.54,4.77,"3,830,670"
2018. 01. 26.,4.77,4.87,4.04,4.50,"4,711,070"
2018. 01. 25.,4.51,4.95,4.48,4.62,"4,299,540"
2018. 01. 24.,4.54,4.66,4.25,4.37,"3,466,810"
2018. 01. 23.,4.36,4.77,3.88,4.21,"3,943,520"
2018. 01. 22.,4.25,4.96,4.00,4.56,"4,911,670"
2018. 01. 21.,4.51,5.35,4.24,5.35,"4,042,010"
2018. 01. 20.,5.34,5.57,5.00,5.12,"6,837,520"
2018. 01. 19.,5.07,5.82,4.99,5.44,"6,858,540"
2018. 01. 18.,5.45,6.34,4.32,4.56,"12,825,800"
2018. 01. 17.,4.52,4.89,2.90,3.92,"9,556,240"
2018. 01. 16.,3.99,5.15,3.03,5.15,"10,236,600"
2018. 01. 15.,5.11,6.44,5.07,5.91,"9,471,440"
2018. 01. 14.,5.78,7.28,5.25,6.03,"19,780,000"
2018. 01. 13.,6.01,6.87,5.95,6.70,"10,497,300"
