,close,high,low,open,volume
2018. 03. 21.,0.143532,0.152210,0.141396,0.148287,"2,145,130"
2018. 03. 20.,0.148169,0.152624,0.132617,0.137619,"2,727,070"
2018. 03. 19.,0.136624,0.136624,0.123735,0.126147,"2,373,760"
2018. 03. 18.,0.126069,0.127676,0.110102,0.125844,"2,343,110"
2018. 03. 17.,0.126197,0.134550,0.123683,0.134218,"1,733,040"
2018. 03. 16.,0.134394,0.139645,0.131055,0.136494,"2,038,830"
2018. 03. 15.,0.136578,0.139413,0.125586,0.137374,"2,713,740"
2018. 03. 14.,0.137336,0.165705,0.135068,0.154087,"5,088,980"
2018. 03. 13.,0.154294,0.157676,0.147874,0.155829,"2,390,770"
2018. 03. 12.,0.156616,0.166638,0.151689,0.164166,"2,155,070"
2018. 03. 11.,0.164678,0.170013,0.148455,0.154132,"2,011,500"
2018. 03. 10.,0.154180,0.166545,0.152341,0.162101,"2,332,510"
2018. 03. 09.,0.162465,0.171638,0.147512,0.170139,"4,420,440"
2018. 03. 08.,0.170869,0.188586,0.168235,0.177420,"5,920,550"
2018. 03. 07.,0.178277,0.271781,0.167550,0.181979,"21,469,500"
2018. 03. 06.,0.181949,0.194125,0.179620,0.194125,"2,841,240"
2018. 03. 05.,0.194073,0.200906,0.194073,0.200906,"3,144,750"
2018. 03. 04.,0.200503,0.200503,0.189894,0.196608,"2,677,280"
2018. 03. 03.,0.197287,0.201172,0.194461,0.198317,"2,778,300"
2018. 03. 02.,0.198653,0.204930,0.192285,0.202318,"4,112,730"
2018. 03. 01.,0.203014,0.206685,0.186997,0.188443,"4,710,680"
2018. 02. 28.,0.189062,0.214649,0.188393,0.211166,"3,499,800"
2018. 02. 27.,0.210379,0.217430,0.208379,0.211515,"3,542,740"
2018. 02. 26.,0.211454,0.216446,0.202409,0.210095,"3,157,290"
2018. 02. 25.,0.210489,0.214444,0.202580,0.203944,"5,056,980"
2018. 02. 24.,0.203329,0.219563,0.199376,0.211927,"4,702,280"
2018. 02. 23.,0.212067,0.224427,0.197179,0.204499,"5,629,210"
2018. 02. 22.,0.204858,0.231838,0.199172,0.222587,"5,363,360"
2018. 02. 21.,0.222739,0.240303,0.212737,0.239028,"8,211,720"
2018. 02. 20.,0.239565,0.270678,0.238015,0.266816,"9,986,260"
2018. 02. 19.,0.266505,0.270362,0.243413,0.244912,"9,528,410"
2018. 02. 18.,0.245693,0.274036,0.240529,0.267692,"9,191,960"
2018. 02. 17.,0.267592,0.281475,0.249079,0.251525,"15,430,700"
2018. 02. 16.,0.251668,0.257039,0.229396,0.257039,"14,773,300"
2018. 02. 15.,0.258238,0.286680,0.209392,0.218985,"29,568,200"
2018. 02. 14.,0.218902,0.219885,0.191577,0.191826,"8,642,670"
2018. 02. 13.,0.192026,0.199349,0.185013,0.199349,"4,793,670"
2018. 02. 12.,0.199165,0.200186,0.180274,0.180274,"4,633,640"
2018. 02. 11.,0.180034,0.194102,0.174233,0.194102,"4,624,030"
2018. 02. 10.,0.193433,0.216332,0.183327,0.200093,"9,964,840"
2018. 02. 09.,0.200981,0.204512,0.168133,0.178631,"11,565,900"
2018. 02. 08.,0.178376,0.187223,0.163589,0.163589,"6,183,670"
