,close,high,low,open,volume
2018. 03. 21.,11.86,12.65,11.56,12.15,"33,733,200"
2018. 03. 20.,12.08,12.53,10.66,11.54,"46,839,900"
2018. 03. 19.,11.45,11.45,10.06,10.52,"42,172,600"
2018. 03. 18.,10.47,10.53,8.44,9.83,"39,837,300"
2018. 03. 17.,9.86,11.26,9.82,11.22,"30,985,800"
2018. 03. 16.,11.22,11.83,10.83,11.32,"28,698,800"
2018. 03. 15.,11.31,11.73,10.34,11.70,"44,593,200"
2018. 03. 14.,11.69,13.75,11.34,13.61,"28,942,400"
2018. 03. 13.,13.75,14.14,12.98,13.74,"24,721,000"
2018. 03. 12.,13.78,14.84,13.47,14.66,"23,439,900"
2018. 03. 11.,14.68,14.98,12.85,13.41,"30,486,600"
2018. 03. 10.,13.44,15.36,13.25,15.01,"44,982,900"
2018. 03. 09.,15.02,15.11,11.75,13.72,"59,857,400"
2018. 03. 08.,13.74,15.27,13.37,14.47,"41,855,800"
2018. 03. 07.,14.50,16.46,13.71,15.87,"52,446,000"
2018. 03. 06.,15.86,17.20,15.57,17.20,"38,911,600"
2018. 03. 05.,17.22,18.08,17.16,17.96,"39,490,400"
2018. 03. 04.,17.94,18.48,17.09,17.88,"39,416,700"
2018. 03. 03.,17.90,19.02,17.72,18.52,"49,308,100"
2018. 03. 02.,18.52,19.36,17.82,19.19,"50,691,600"
2018. 03. 01.,19.21,19.95,18.46,18.61,"67,000,600"
2018. 02. 28.,18.62,20.93,18.62,20.13,"108,895,000"
2018. 02. 27.,20.14,20.90,17.80,18.01,"114,453,000"
2018. 02. 26.,17.97,18.21,16.29,16.77,"37,163,300"
2018. 02. 25.,16.77,17.48,16.32,16.72,"36,436,400"
2018. 02. 24.,16.75,18.46,16.49,17.51,"51,605,900"
2018. 02. 23.,17.57,17.96,15.83,16.54,"63,981,000"
2018. 02. 22.,16.60,18.72,15.96,18.05,"65,150,100"
2018. 02. 21.,18.06,19.54,17.39,18.32,"110,798,000"
2018. 02. 20.,18.40,20.20,17.71,17.72,"109,202,000"
2018. 02. 19.,17.69,18.37,16.32,16.49,"54,814,700"
2018. 02. 18.,16.66,18.41,16.35,18.32,"42,287,800"
2018. 02. 17.,18.29,18.64,17.69,18.17,"59,295,600"
2018. 02. 16.,18.17,18.23,16.03,16.67,"81,337,500"
2018. 02. 15.,16.67,16.71,14.99,15.63,"54,142,700"
2018. 02. 14.,15.66,15.72,12.97,12.97,"91,650,800"
2018. 02. 13.,12.99,13.06,12.31,12.88,"23,326,000"
2018. 02. 12.,12.84,13.00,11.93,11.95,"24,588,600"
2018. 02. 11.,11.86,12.67,11.06,12.54,"29,981,600"
2018. 02. 10.,12.51,13.88,11.93,13.20,"43,385,500"
2018. 02. 09.,13.20,13.21,11.56,12.21,"41,973,800"
2018. 02. 08.,11.89,12.26,10.88,10.88,"31,563,700"
2018. 02. 07.,10.90,12.55,10.17,11.32,"36,639,600"
2018. 02. 06.,11.37,11.39,7.39,9.31,"56,968,000"
2018. 02. 05.,9.27,12.68,8.75,11.92,"45,236,500"
2018. 02. 04.,12.06,14.16,11.72,14.09,"36,225,800"
2018. 02. 03.,14.05,14.30,12.20,13.35,"31,593,400"
2018. 02. 02.,13.25,13.97,10.54,13.97,"62,454,300"
2018. 02. 01.,13.99,15.95,13.25,15.85,"60,157,800"
2018. 01. 31.,15.74,15.85,14.16,14.90,"71,504,300"
2018. 01. 30.,14.92,17.86,14.67,16.89,"96,893,300"
2018. 01. 29.,16.91,17.35,16.04,17.15,"46,635,600"
2018. 01. 28.,17.09,17.29,15.77,16.06,"83,798,900"
2018. 01. 27.,15.98,16.77,15.79,16.60,"99,130,000"
2018. 01. 26.,16.58,18.58,14.93,17.93,"145,709,000"
2018. 01. 25.,17.96,19.12,16.67,18.05,"79,337,500"
2018. 01. 24.,17.85,18.50,15.48,16.05,"72,241,700"
2018. 01. 23.,16.05,16.62,14.30,15.66,"58,931,400"
2018. 01. 22.,15.66,17.96,14.22,17.14,"70,101,200"
2018. 01. 21.,16.97,19.74,16.41,19.74,"55,861,100"
2018. 01. 20.,19.71,19.95,18.63,18.63,"89,103,800"
2018. 01. 19.,18.43,18.94,17.08,17.62,"72,477,800"
2018. 01. 18.,17.73,19.45,17.16,18.23,"87,971,600"
2018. 01. 17.,18.06,18.91,12.41,17.30,"114,904,000"
2018. 01. 16.,17.38,22.50,13.91,22.50,"132,224,000"
2018. 01. 15.,22.46,24.62,22.46,23.70,"91,802,400"
2018. 01. 14.,23.83,25.81,22.24,25.72,"74,017,300"
2018. 01. 13.,25.72,26.07,22.66,22.83,"120,921,000"
