,close,high,low,open,volume
2018. 03. 21.,14.58,15.75,14.30,15.05,"237,275"
2018. 03. 20.,15.02,16.05,14.21,14.56,"311,261"
2018. 03. 19.,14.41,15.40,12.88,14.59,"327,859"
2018. 03. 18.,15.20,15.20,11.89,13.38,"262,679"
2018. 03. 17.,13.41,15.51,12.86,15.28,"173,025"
2018. 03. 16.,15.50,16.16,13.80,14.47,"211,723"
2018. 03. 15.,14.48,15.09,12.47,15.00,"488,865"
2018. 03. 14.,15.01,18.13,14.44,17.48,"412,180"
2018. 03. 13.,17.72,20.06,17.07,19.22,"527,090"
2018. 03. 12.,19.31,22.20,18.37,22.04,"479,789"
2018. 03. 11.,22.11,22.40,18.94,20.70,"298,113"
2018. 03. 10.,20.77,22.94,20.47,21.81,"224,565"
2018. 03. 09.,21.80,26.11,19.44,22.31,"1,703,730"
2018. 03. 08.,22.07,26.50,21.95,25.76,"424,994"
2018. 03. 07.,25.79,30.92,25.01,29.15,"685,298"
2018. 03. 06.,29.16,32.06,28.40,30.98,"868,336"
2018. 03. 05.,32.02,35.35,26.78,27.34,"7,831,710"
2018. 03. 04.,27.39,29.97,27.26,28.60,"969,867"
2018. 03. 03.,28.80,30.35,25.44,26.78,"2,746,900"
2018. 03. 02.,26.82,29.61,24.33,27.27,"2,343,510"
2018. 03. 01.,27.31,33.08,20.28,20.68,"15,591,800"
2018. 02. 28.,20.57,24.28,20.21,22.95,"152,582"
2018. 02. 27.,22.98,23.13,19.20,20.63,"206,127"
2018. 02. 26.,20.56,22.25,20.38,21.33,"268,917"
2018. 02. 25.,21.30,22.58,21.09,22.50,"180,539"
2018. 02. 24.,22.53,24.63,21.77,23.34,"80,753"
2018. 02. 23.,23.37,24.85,19.52,20.02,"509,011"
2018. 02. 22.,20.03,22.43,19.69,21.00,"164,808"
2018. 02. 21.,21.02,23.52,19.97,22.78,"180,161"
2018. 02. 20.,22.81,27.24,22.56,27.02,"819,852"
2018. 02. 19.,27.00,27.65,24.86,24.94,"275,892"
2018. 02. 18.,25.40,28.01,25.09,27.18,"291,300"
2018. 02. 17.,27.10,27.81,23.24,24.27,"427,664"
2018. 02. 16.,24.28,25.18,21.96,24.85,"305,524"
2018. 02. 15.,24.62,25.61,22.45,22.96,"281,561"
2018. 02. 14.,22.93,23.79,21.23,21.97,"183,120"
2018. 02. 13.,22.17,24.13,21.37,24.00,"290,706"
2018. 02. 12.,23.93,24.84,22.15,22.15,"171,892"
2018. 02. 11.,22.01,25.58,21.36,25.58,"410,388"
2018. 02. 10.,25.21,26.40,22.64,23.17,"676,612"
2018. 02. 09.,23.15,24.06,19.51,20.73,"435,716"
2018. 02. 08.,20.56,21.27,18.44,18.44,"214,667"
2018. 02. 07.,18.52,23.43,18.07,19.49,"803,938"
2018. 02. 06.,19.68,21.02,12.01,14.61,"1,722,720"
2018. 02. 05.,14.28,20.45,12.97,19.94,"508,581"
2018. 02. 04.,20.18,24.13,19.92,24.05,"147,190"
2018. 02. 03.,24.08,25.18,20.83,22.48,"377,975"
2018. 02. 02.,22.40,24.92,17.38,23.00,"771,619"
2018. 02. 01.,23.34,27.75,19.44,27.70,"791,866"
2018. 01. 31.,27.57,27.57,24.58,26.18,"415,055"
2018. 01. 30.,26.30,31.74,24.56,31.49,"720,115"
2018. 01. 29.,31.69,34.94,28.93,31.90,"2,963,410"
2018. 01. 28.,32.05,36.43,31.80,33.27,"2,360,450"
2018. 01. 27.,33.44,35.26,31.25,32.37,"364,636"
2018. 01. 26.,32.73,35.60,30.77,34.11,"643,317"
2018. 01. 25.,34.20,41.97,32.75,40.38,"3,254,430"
2018. 01. 24.,40.40,40.76,25.14,27.76,"8,189,120"
2018. 01. 23.,27.71,29.25,22.70,25.29,"581,661"
2018. 01. 22.,24.98,28.17,22.79,28.15,"510,731"
2018. 01. 21.,27.77,33.11,27.03,33.11,"456,839"
2018. 01. 20.,33.02,34.77,31.78,31.97,"815,790"
2018. 01. 19.,31.75,34.38,31.06,32.07,"426,365"
2018. 01. 18.,32.41,36.17,31.43,31.43,"771,630"
2018. 01. 17.,32.05,33.43,23.95,31.49,"1,070,570"
