,close,high,low,open,volume
2018. 03. 21.,4.08,4.43,3.88,4.11,"2,363,480"
2018. 03. 20.,4.13,4.18,3.68,3.79,"1,658,500"
2018. 03. 19.,3.79,3.79,3.43,3.46,"2,218,540"
2018. 03. 18.,3.43,3.60,2.92,3.60,"1,409,010"
2018. 03. 17.,3.61,3.88,3.58,3.86,"476,707"
2018. 03. 16.,3.86,4.04,3.84,3.94,"1,157,290"
2018. 03. 15.,3.93,3.98,3.53,3.93,"1,243,430"
2018. 03. 14.,3.94,4.74,3.88,4.52,"2,207,530"
2018. 03. 13.,4.53,4.62,4.34,4.43,"1,033,880"
2018. 03. 12.,4.45,4.82,4.33,4.64,"868,027"
2018. 03. 11.,4.66,4.74,4.23,4.42,"1,324,660"
2018. 03. 10.,4.43,4.80,4.42,4.64,"976,307"
2018. 03. 09.,4.61,4.79,4.20,4.73,"1,782,520"
2018. 03. 08.,4.77,5.18,4.65,5.05,"2,255,050"
2018. 03. 07.,5.03,5.68,4.81,5.59,"3,504,570"
2018. 03. 06.,5.59,5.98,5.52,5.98,"2,120,470"
2018. 03. 05.,5.98,6.31,5.96,6.14,"2,440,810"
2018. 03. 04.,6.12,6.51,6.01,6.38,"2,609,320"
2018. 03. 03.,6.43,6.56,6.04,6.05,"4,322,270"
2018. 03. 02.,6.05,6.08,5.72,5.86,"2,291,290"
2018. 03. 01.,5.92,6.05,5.31,5.37,"2,098,160"
2018. 02. 28.,5.38,5.82,5.34,5.67,"1,811,280"
2018. 02. 27.,5.68,5.95,5.34,5.44,"3,535,640"
2018. 02. 26.,5.45,5.48,5.05,5.36,"2,077,750"
2018. 02. 25.,5.36,5.89,5.04,5.15,"7,002,680"
2018. 02. 24.,5.17,5.35,4.90,5.28,"1,523,230"
2018. 02. 23.,5.28,5.37,4.88,5.04,"2,021,340"
2018. 02. 22.,5.06,5.50,4.85,5.32,"1,376,730"
2018. 02. 21.,5.33,5.81,5.28,5.74,"2,112,180"
2018. 02. 20.,5.78,6.25,5.63,6.21,"4,217,150"
2018. 02. 19.,6.22,6.25,5.96,6.09,"3,755,890"
2018. 02. 18.,6.02,6.71,5.83,6.71,"4,784,130"
2018. 02. 17.,6.65,6.92,6.41,6.54,"11,812,700"
2018. 02. 16.,6.53,6.56,6.14,6.32,"6,015,300"
2018. 02. 15.,6.40,6.43,5.99,6.13,"11,404,100"
2018. 02. 14.,6.11,6.16,5.56,5.59,"8,066,570"
2018. 02. 13.,5.61,6.14,5.58,5.98,"7,304,040"
2018. 02. 12.,5.99,6.27,5.54,5.55,"6,324,040"
2018. 02. 11.,5.52,6.10,5.29,6.10,"3,446,230"
2018. 02. 10.,6.01,6.63,5.63,6.08,"7,736,090"
2018. 02. 09.,6.15,6.35,5.19,5.49,"13,850,000"
2018. 02. 08.,5.50,5.62,5.06,5.07,"4,760,230"
2018. 02. 07.,5.12,5.72,4.85,5.30,"6,140,400"
2018. 02. 06.,5.36,5.40,3.91,4.77,"12,609,100"
2018. 02. 05.,4.80,7.13,4.58,5.63,"25,792,800"
2018. 02. 04.,5.68,6.82,5.50,6.73,"4,367,240"
2018. 02. 03.,6.81,7.58,5.24,5.98,"23,668,200"
2018. 02. 02.,5.98,6.61,4.41,6.61,"7,524,760"
2018. 02. 01.,6.60,8.37,6.17,8.23,"6,082,910"
2018. 01. 31.,8.21,8.39,7.12,7.64,"8,816,950"
2018. 01. 30.,7.62,9.42,7.60,9.41,"5,774,890"
2018. 01. 29.,9.38,10.16,9.27,10.06,"5,451,840"
2018. 01. 28.,10.11,10.24,9.77,9.97,"7,959,890"
2018. 01. 27.,9.87,10.13,9.30,9.77,"6,091,270"
2018. 01. 26.,9.77,10.41,8.87,10.16,"11,318,300"
2018. 01. 25.,10.15,10.72,9.73,10.72,"21,434,300"
2018. 01. 24.,10.75,11.62,10.30,11.62,"67,451,100"
2018. 01. 23.,11.98,14.56,8.57,8.84,"288,136,000"
2018. 01. 22.,8.98,9.76,8.02,8.54,"14,232,800"
2018. 01. 21.,8.40,10.05,8.15,10.05,"5,491,450"
2018. 01. 20.,10.08,10.39,9.31,9.42,"9,709,470"
2018. 01. 19.,9.40,9.83,8.77,9.22,"6,105,200"
2018. 01. 18.,9.43,10.06,8.69,9.15,"7,927,680"
2018. 01. 17.,9.06,10.01,7.34,8.45,"10,681,600"
2018. 01. 16.,8.37,11.91,6.74,11.91,"10,269,300"
2018. 01. 15.,11.85,12.72,11.45,11.59,"10,541,200"
2018. 01. 14.,11.67,12.86,11.28,12.86,"2,875,530"
2018. 01. 13.,12.86,13.55,12.44,12.78,"5,245,580"
2018. 01. 12.,12.76,13.25,11.97,12.57,"4,733,680"
2018. 01. 11.,12.34,14.25,11.01,13.75,"10,287,300"
2018. 01. 10.,13.90,14.07,11.20,12.99,"14,166,300"
2018. 01. 09.,12.52,13.37,11.53,11.83,"10,202,000"
2018. 01. 08.,12.06,13.59,10.12,12.37,"12,368,100"
2018. 01. 07.,12.36,12.51,11.13,11.22,"6,950,070"
2018. 01. 06.,11.16,11.56,9.49,10.27,"5,308,110"
2018. 01. 05.,10.27,12.05,9.56,10.18,"9,830,440"
2018. 01. 04.,10.29,11.37,9.98,11.21,"8,738,480"
2018. 01. 03.,11.09,12.19,10.63,11.93,"7,250,270"
2018. 01. 02.,11.62,11.97,10.74,10.74,"7,467,320"
2018. 01. 01.,10.74,11.19,9.86,10.43,"5,455,340"
2017. 12. 31.,10.40,10.82,9.38,9.52,"5,997,750"
2017. 12. 30.,9.71,11.58,9.01,11.58,"7,445,770"
2017. 12. 29.,11.70,12.00,10.67,11.56,"8,842,650"
2017. 12. 28.,11.47,12.97,10.58,12.97,"5,806,150"
2017. 12. 27.,12.61,12.93,11.66,12.93,"7,057,660"
2017. 12. 26.,12.77,13.69,11.45,12.62,"11,909,500"
2017. 12. 25.,12.72,13.69,11.08,12.03,"11,777,300"
2017. 12. 24.,11.96,13.52,10.81,11.13,"14,961,600"
2017. 12. 23.,10.88,12.98,7.74,8.10,"20,162,800"
2017. 12. 22.,7.84,11.22,5.59,10.33,"8,663,970"
2017. 12. 21.,10.19,11.47,8.11,8.21,"17,090,500"
2017. 12. 20.,8.01,8.56,6.54,7.73,"6,526,080"
2017. 12. 19.,7.72,8.58,7.19,8.12,"5,397,730"
2017. 12. 18.,8.07,8.24,7.19,7.42,"5,051,550"
2017. 12. 17.,7.39,8.85,6.13,7.00,"15,915,800"
2017. 12. 16.,6.04,6.36,5.35,5.45,"6,023,910"
2017. 12. 15.,5.45,5.76,4.91,5.76,"3,683,020"
2017. 12. 14.,5.92,5.94,4.95,5.01,"4,275,440"
2017. 12. 13.,4.95,5.34,4.76,4.99,"3,262,970"
2017. 12. 12.,4.96,5.15,4.46,4.64,"2,934,330"
2017. 12. 11.,4.63,4.74,4.22,4.30,"2,115,150"
2017. 12. 10.,4.33,5.37,3.65,4.72,"2,433,820"
2017. 12. 09.,4.75,5.10,4.40,4.80,"2,616,880"
2017. 12. 08.,4.89,4.89,3.95,4.22,"3,113,520"
2017. 12. 07.,4.12,4.89,4.10,4.70,"4,355,440"
2017. 12. 06.,4.71,5.82,4.63,5.82,"5,767,980"
2017. 12. 05.,5.21,5.68,5.20,5.46,"4,073,630"
2017. 12. 04.,5.45,5.60,4.97,5.24,"3,169,970"
2017. 12. 03.,5.34,6.11,4.73,4.91,"11,788,100"
2017. 12. 02.,4.45,4.56,3.94,4.08,"2,362,890"
2017. 12. 01.,4.10,4.25,3.64,3.79,"3,507,490"
2017. 11. 30.,3.76,3.84,3.12,3.50,"1,863,840"
2017. 11. 29.,3.46,4.29,3.38,4.29,"3,825,270"
2017. 11. 28.,4.32,5.87,3.71,3.79,"25,570,600"
2017. 11. 27.,3.78,3.79,3.54,3.54,"1,951,790"
2017. 11. 26.,3.51,3.67,3.23,3.26,"1,716,170"
2017. 11. 25.,3.26,3.31,3.02,3.05,"1,046,570"
2017. 11. 24.,3.05,3.08,2.91,3.04,"1,089,170"
2017. 11. 23.,3.04,3.18,2.97,3.09,"1,060,520"
2017. 11. 22.,3.05,3.21,2.90,2.96,"1,107,400"
2017. 11. 21.,2.97,3.09,2.73,2.90,"1,458,680"
2017. 11. 20.,2.90,3.11,2.85,3.04,"882,014"
2017. 11. 19.,3.04,3.17,2.93,3.01,"700,817"
2017. 11. 18.,3.01,3.17,2.82,2.94,"638,172"
2017. 11. 17.,2.95,3.26,2.95,3.11,"741,596"
2017. 11. 16.,3.08,3.43,2.96,3.23,"1,108,260"
2017. 11. 15.,3.22,3.28,3.11,3.15,"396,318"
2017. 11. 14.,3.14,3.24,3.02,3.19,"345,885"
2017. 11. 13.,3.18,3.41,2.90,3.00,"618,909"
2017. 11. 12.,2.98,3.37,2.74,3.36,"539,335"
2017. 11. 11.,3.36,3.59,3.11,3.29,"717,375"
2017. 11. 10.,3.30,3.59,2.84,3.40,"1,215,490"
2017. 11. 09.,3.39,3.43,3.15,3.37,"1,005,160"
2017. 11. 08.,3.38,3.42,2.65,2.83,"1,942,510"
2017. 11. 07.,2.84,2.99,2.79,2.92,"1,246,480"
2017. 11. 06.,2.89,3.28,2.81,3.10,"938,248"
2017. 11. 05.,3.06,3.31,2.76,2.76,"1,605,640"
2017. 11. 04.,2.75,2.98,2.72,2.87,"686,107"
2017. 11. 03.,2.84,2.95,2.41,2.72,"1,068,960"
2017. 11. 02.,2.71,3.22,2.09,2.69,"1,781,060"
2017. 11. 01.,2.69,3.03,2.62,2.97,"1,341,230"
2017. 10. 31.,2.97,3.41,2.86,3.24,"1,143,060"
2017. 10. 30.,3.28,3.38,3.21,3.27,"266,133"
2017. 10. 29.,3.35,3.46,3.13,3.13,"368,702"
2017. 10. 28.,3.18,3.41,3.10,3.31,"231,745"
2017. 10. 27.,3.30,3.37,3.19,3.33,"157,036"
2017. 10. 26.,3.33,3.53,3.22,3.45,"298,358"
2017. 10. 25.,3.45,3.46,3.21,3.42,"397,752"
2017. 10. 24.,3.45,3.60,2.99,3.16,"604,599"
2017. 10. 23.,3.09,3.52,3.09,3.42,"294,843"
2017. 10. 22.,3.42,3.77,3.25,3.25,"745,540"
2017. 10. 21.,3.30,3.35,2.92,3.18,"499,864"
2017. 10. 20.,3.21,3.56,3.21,3.50,"739,472"
2017. 10. 19.,3.50,3.85,3.27,3.75,"1,366,020"
2017. 10. 18.,3.78,3.87,3.36,3.84,"896,628"
2017. 10. 17.,3.83,4.17,3.53,4.13,"1,242,610"
2017. 10. 16.,4.01,4.11,3.59,4.06,"1,676,990"
2017. 10. 15.,4.07,4.31,3.80,3.98,"1,131,240"
2017. 10. 14.,3.98,4.00,3.59,3.66,"662,710"
2017. 10. 13.,3.66,3.95,3.42,3.48,"1,105,600"
2017. 10. 12.,3.54,3.84,3.40,3.64,"1,731,330"
2017. 10. 11.,3.59,3.62,3.17,3.26,"860,084"
2017. 10. 10.,3.23,3.44,3.04,3.38,"942,939"
2017. 10. 09.,3.36,3.50,2.99,3.22,"1,244,400"
2017. 10. 08.,3.27,3.72,3.25,3.58,"1,106,120"
2017. 10. 07.,3.57,3.68,3.45,3.66,"914,098"
2017. 10. 06.,3.66,3.69,3.29,3.43,"1,135,960"
2017. 10. 05.,3.43,3.54,3.05,3.32,"1,064,810"
2017. 10. 04.,3.28,3.77,3.18,3.49,"3,263,140"
2017. 10. 03.,3.52,3.85,2.49,2.79,"3,239,900"
2017. 10. 02.,2.77,3.06,2.75,3.00,"566,438"
2017. 10. 01.,2.99,3.23,2.97,3.21,"327,672"
2017. 09. 30.,3.21,3.28,3.04,3.05,"313,977"
2017. 09. 29.,3.07,3.22,2.94,3.17,"475,544"
2017. 09. 28.,3.19,3.29,3.13,3.23,"493,125"
2017. 09. 27.,3.23,3.27,2.98,2.98,"555,545"
2017. 09. 26.,2.99,3.08,2.89,2.97,"421,424"
2017. 09. 25.,2.99,3.07,2.82,2.82,"457,087"
2017. 09. 24.,2.83,3.01,2.81,2.97,"354,542"
2017. 09. 23.,2.98,3.09,2.79,2.80,"377,740"
2017. 09. 22.,2.80,3.04,2.61,2.93,"438,079"
2017. 09. 21.,2.92,3.23,2.64,3.21,"958,364"
2017. 09. 20.,3.19,3.39,3.16,3.28,"663,238"
2017. 09. 19.,3.29,3.71,3.17,3.68,"850,000"
2017. 09. 18.,3.68,3.68,3.24,3.25,"802,153"
2017. 09. 17.,3.25,3.36,2.93,3.15,"622,594"
2017. 09. 16.,3.15,3.51,3.02,3.30,"752,344"
2017. 09. 15.,3.32,3.41,2.43,2.67,"1,414,350"
2017. 09. 14.,2.65,3.49,2.60,3.10,"1,677,250"
2017. 09. 13.,3.07,3.18,2.70,3.08,"886,936"
2017. 09. 12.,3.14,3.44,3.11,3.24,"841,109"
2017. 09. 11.,3.24,3.56,3.21,3.39,"764,347"
2017. 09. 10.,3.39,3.71,3.26,3.69,"856,393"
2017. 09. 09.,3.69,3.74,3.35,3.71,"772,126"
2017. 09. 08.,3.69,4.17,3.32,4.15,"1,958,990"
2017. 09. 07.,4.15,4.19,3.84,3.99,"1,830,890"
2017. 09. 06.,4.01,4.11,3.52,3.61,"3,183,150"
2017. 09. 05.,3.58,3.65,2.83,3.14,"1,475,220"
2017. 09. 04.,3.13,3.86,2.82,3.63,"2,619,420"
2017. 09. 03.,3.63,3.77,3.28,3.35,"1,463,690"
2017. 09. 02.,3.33,3.98,3.31,3.98,"2,017,250"
2017. 09. 01.,3.94,4.49,3.31,3.31,"9,237,100"
2017. 08. 31.,3.31,3.34,2.80,2.85,"1,829,560"
2017. 08. 30.,2.83,3.05,2.71,2.94,"1,363,470"
2017. 08. 29.,2.94,3.17,2.72,3.09,"2,624,790"
2017. 08. 28.,3.08,3.18,2.83,2.96,"1,862,570"
2017. 08. 27.,2.95,3.26,2.68,3.16,"2,911,190"
2017. 08. 26.,3.16,3.16,2.41,2.44,"4,648,230"
2017. 08. 25.,2.44,2.44,2.12,2.14,"1,313,110"
2017. 08. 24.,2.10,2.16,1.98,2.03,"612,742"
2017. 08. 23.,2.07,2.29,1.88,1.92,"1,609,530"
2017. 08. 22.,1.92,2.03,1.66,1.88,"1,023,270"
2017. 08. 21.,1.88,2.05,1.77,1.99,"813,647"
2017. 08. 20.,2.04,2.31,1.77,1.87,"2,125,280"
2017. 08. 19.,1.88,1.91,1.62,1.69,"778,515"
2017. 08. 18.,1.70,1.80,1.63,1.70,"701,658"
2017. 08. 17.,1.72,1.94,1.70,1.90,"950,748"
2017. 08. 16.,1.91,2.04,1.80,1.91,"776,786"
2017. 08. 15.,1.92,2.12,1.58,1.77,"1,241,080"
2017. 08. 14.,1.76,1.94,1.66,1.91,"968,330"
2017. 08. 13.,1.91,2.09,1.80,2.01,"1,095,310"
2017. 08. 12.,2.01,2.29,1.94,2.08,"1,237,300"
2017. 08. 11.,2.12,2.18,1.93,2.14,"1,161,090"
2017. 08. 10.,2.14,2.26,1.96,1.96,"1,374,460"
2017. 08. 09.,1.96,2.13,1.94,1.98,"826,578"
2017. 08. 08.,2.01,2.06,1.89,1.99,"857,147"
2017. 08. 07.,2.00,2.09,1.87,1.91,"959,104"
2017. 08. 06.,1.97,2.18,1.92,2.10,"847,640"
2017. 08. 05.,2.13,2.20,1.97,2.06,"698,568"
2017. 08. 04.,2.06,2.06,1.91,1.95,"571,097"
2017. 08. 03.,2.01,2.03,1.89,1.96,"426,579"
2017. 08. 02.,1.96,2.06,1.85,1.98,"758,057"
2017. 08. 01.,1.98,2.13,1.73,1.91,"664,847"
2017. 07. 31.,1.90,1.93,1.79,1.92,"486,765"
2017. 07. 30.,1.92,1.97,1.79,1.96,"353,030"
2017. 07. 29.,1.96,1.98,1.85,1.92,"337,647"
2017. 07. 28.,1.93,2.27,1.77,2.21,"1,029,330"
2017. 07. 27.,2.22,2.29,1.99,2.00,"677,869"
2017. 07. 26.,1.99,2.01,1.82,1.87,"470,235"
2017. 07. 25.,1.88,2.17,1.78,2.16,"761,988"
2017. 07. 24.,2.16,2.22,2.11,2.20,"481,936"
2017. 07. 23.,2.20,2.38,2.11,2.31,"517,608"
2017. 07. 22.,2.31,2.34,2.01,2.04,"838,954"
2017. 07. 21.,2.06,2.26,1.99,2.14,"557,633"
2017. 07. 20.,2.13,2.25,1.76,1.80,"1,479,580"
2017. 07. 19.,1.83,2.21,1.65,1.70,"1,241,830"
2017. 07. 18.,1.69,1.76,1.58,1.66,"597,985"
2017. 07. 17.,1.66,1.66,1.37,1.37,"421,374"
2017. 07. 16.,1.36,1.57,1.35,1.50,"396,644"
2017. 07. 15.,1.49,1.67,1.44,1.64,"354,807"
2017. 07. 14.,1.64,1.88,1.52,1.86,"590,517"
2017. 07. 13.,1.85,2.03,1.82,1.88,"874,846"
2017. 07. 12.,1.90,1.96,1.52,1.72,"807,183"
2017. 07. 11.,1.70,2.04,1.46,1.75,"1,174,690"
2017. 07. 10.,1.74,2.34,1.68,2.26,"1,188,920"
2017. 07. 09.,2.25,2.42,2.23,2.41,"686,476"
2017. 07. 08.,2.41,2.52,2.16,2.52,"900,303"
2017. 07. 07.,2.52,2.87,2.40,2.76,"1,577,910"
2017. 07. 06.,2.77,2.84,2.57,2.61,"1,505,980"
2017. 07. 05.,2.67,2.75,2.32,2.44,"1,591,350"
2017. 07. 04.,2.46,2.46,2.18,2.42,"1,642,800"
2017. 07. 03.,2.42,2.60,2.31,2.38,"1,132,170"
2017. 07. 02.,2.37,2.44,1.99,2.18,"1,439,190"
2017. 07. 01.,2.15,2.94,2.06,2.23,"6,583,000"
2017. 06. 30.,2.23,2.46,1.82,1.87,"4,201,350"
2017. 06. 29.,1.87,1.89,1.79,1.87,"433,521"
2017. 06. 28.,1.87,1.90,1.71,1.85,"552,582"
2017. 06. 27.,1.84,1.85,1.59,1.71,"804,362"
2017. 06. 26.,1.71,1.89,1.53,1.81,"743,913"
2017. 06. 25.,1.80,1.97,1.73,1.96,"717,465"
2017. 06. 24.,1.97,2.00,1.85,1.90,"977,280"
2017. 06. 23.,1.89,1.92,1.65,1.68,"652,917"
2017. 06. 22.,1.68,1.75,1.65,1.66,"528,555"
2017. 06. 21.,1.66,1.79,1.55,1.74,"481,711"
2017. 06. 20.,1.74,1.83,1.62,1.78,"637,379"
2017. 06. 19.,1.78,1.90,1.63,1.75,"1,171,960"
2017. 06. 18.,1.75,1.75,1.55,1.66,"460,349"
2017. 06. 17.,1.65,1.74,1.60,1.72,"581,214"
2017. 06. 16.,1.72,1.77,1.35,1.43,"1,217,220"
2017. 06. 15.,1.43,1.43,1.23,1.39,"452,954"
2017. 06. 14.,1.39,1.60,1.32,1.52,"472,004"
2017. 06. 13.,1.52,1.67,1.40,1.41,"810,037"
2017. 06. 12.,1.42,1.70,1.36,1.68,"618,989"
2017. 06. 11.,1.68,1.75,1.49,1.51,"779,509"
2017. 06. 10.,1.51,1.66,1.51,1.63,"806,869"
2017. 06. 09.,1.63,1.73,1.51,1.62,"1,052,730"
2017. 06. 08.,1.61,1.70,1.52,1.54,"742,229"
2017. 06. 07.,1.53,1.78,1.48,1.48,"1,291,380"
2017. 06. 06.,1.48,1.68,1.44,1.55,"1,150,270"
2017. 06. 05.,1.55,1.64,1.51,1.64,"1,415,360"
2017. 06. 04.,1.62,1.70,1.49,1.63,"958,906"
2017. 06. 03.,1.64,1.76,1.49,1.65,"1,297,030"
2017. 06. 02.,1.64,1.73,1.60,1.69,"973,967"
2017. 06. 01.,1.68,1.73,1.49,1.53,"1,015,590"
2017. 05. 31.,1.51,1.81,1.45,1.73,"2,120,580"
2017. 05. 30.,1.71,1.90,1.64,1.69,"2,994,420"
2017. 05. 29.,1.66,1.80,1.24,1.34,"3,057,780"
2017. 05. 28.,1.34,1.41,1.07,1.09,"1,549,970"
2017. 05. 27.,1.08,1.21,0.782172,1.19,"1,432,400"
2017. 05. 26.,1.19,1.57,1.04,1.34,"3,535,410"
2017. 05. 25.,1.36,1.60,0.703638,0.868912,"3,209,160"
2017. 05. 24.,0.903705,1.00,0.863947,0.971474,"1,612,850"
2017. 05. 23.,0.991460,1.06,0.867929,0.887183,"801,741"
2017. 05. 22.,0.890556,1.06,0.818128,0.981058,"1,819,780"
2017. 05. 21.,0.977864,1.17,0.968088,1.12,"1,194,430"
2017. 05. 20.,1.13,1.23,1.09,1.19,"1,183,880"
2017. 05. 19.,1.18,1.28,1.13,1.15,"934,604"
2017. 05. 18.,1.16,1.23,1.05,1.14,"827,424"
2017. 05. 17.,1.15,1.16,0.924889,1.04,"930,248"
2017. 05. 16.,1.05,1.13,0.915399,1.11,"906,882"
2017. 05. 15.,1.12,1.27,1.09,1.22,"578,196"
2017. 05. 14.,1.22,1.31,1.19,1.30,"524,574"
2017. 05. 13.,1.29,1.34,1.15,1.22,"513,229"
2017. 05. 12.,1.22,1.48,1.17,1.20,"886,209"
2017. 05. 11.,1.19,1.37,1.04,1.12,"1,055,820"
2017. 05. 10.,1.12,1.32,0.935178,1.24,"1,549,700"
2017. 05. 09.,1.24,1.43,1.10,1.35,"958,406"
2017. 05. 08.,1.37,1.50,1.22,1.44,"1,956,590"
2017. 05. 07.,1.46,1.64,1.44,1.58,"1,441,410"
2017. 05. 06.,1.56,1.67,1.53,1.54,"981,198"
2017. 05. 05.,1.54,1.61,1.44,1.50,"1,498,250"
2017. 05. 04.,1.52,1.63,1.43,1.52,"1,700,330"
2017. 05. 03.,1.52,1.73,1.49,1.70,"1,625,630"
2017. 05. 02.,1.71,1.78,1.58,1.63,"851,062"
2017. 05. 01.,1.63,1.79,1.58,1.70,"1,355,680"
2017. 04. 30.,1.69,1.95,1.60,1.71,"2,065,690"
2017. 04. 29.,1.71,1.71,1.41,1.41,"1,164,280"
2017. 04. 28.,1.40,1.51,1.33,1.46,"1,085,370"
2017. 04. 27.,1.44,1.51,1.11,1.22,"1,201,070"
2017. 04. 26.,1.21,1.33,1.17,1.25,"952,249"
2017. 04. 25.,1.27,1.38,1.23,1.33,"969,658"
2017. 04. 24.,1.31,1.47,1.01,1.09,"3,151,540"
2017. 04. 23.,1.12,1.54,1.12,1.45,"1,511,360"
2017. 04. 22.,1.57,1.68,1.38,1.66,"1,050,050"
2017. 04. 21.,1.64,1.79,1.59,1.72,"677,641"
2017. 04. 20.,1.72,1.89,1.60,1.84,"1,354,650"
2017. 04. 19.,1.85,1.94,1.84,1.92,"1,054,770"
2017. 04. 18.,1.92,1.99,1.77,1.93,"1,032,470"
2017. 04. 17.,1.93,2.03,1.77,1.98,"1,766,670"
2017. 04. 16.,2.01,2.13,1.90,1.91,"2,800,670"
2017. 04. 15.,1.90,1.92,1.58,1.63,"2,137,580"
2017. 04. 14.,1.62,1.63,1.44,1.62,"1,222,880"
2017. 04. 13.,1.61,1.95,1.33,1.51,"4,431,750"
2017. 04. 12.,1.51,1.51,1.12,1.13,"3,348,420"
2017. 04. 11.,1.15,1.17,0.904698,0.924345,"1,665,970"
2017. 04. 10.,0.925446,0.925502,0.832292,0.832292,"373,731"
2017. 04. 09.,0.832668,0.900814,0.807707,0.897476,"391,887"
2017. 04. 08.,0.898411,0.941420,0.855768,0.897203,"350,252"
2017. 04. 07.,0.906082,0.948612,0.827104,0.886762,"523,036"
2017. 04. 06.,0.889613,0.923515,0.715567,0.742791,"731,274"
2017. 04. 05.,0.721758,0.764380,0.681916,0.751525,"367,766"
2017. 04. 04.,0.747640,0.812202,0.690371,0.769879,"588,512"
2017. 04. 03.,0.766313,0.920187,0.698337,0.894285,"959,216"
2017. 04. 02.,0.895967,0.928314,0.867859,0.901990,"842,077"
2017. 04. 01.,0.899967,0.959975,0.826682,0.899858,"818,014"
2017. 03. 31.,0.900375,0.915000,0.801884,0.829751,"1,172,840"
2017. 03. 30.,0.829100,0.829394,0.631127,0.631127,"1,203,240"
2017. 03. 29.,0.634372,0.646484,0.613568,0.627587,"443,690"
2017. 03. 28.,0.628593,0.670345,0.581860,0.616401,"617,077"
2017. 03. 27.,0.620125,0.695317,0.552776,0.588361,"1,062,010"
2017. 03. 26.,0.589681,0.680153,0.560503,0.603674,"1,016,910"
2017. 03. 25.,0.615858,0.649199,0.392486,0.474303,"1,642,460"
2017. 03. 24.,0.473030,0.819795,0.414376,0.656892,"2,837,740"
2017. 03. 23.,0.706544,1.02,0.452577,0.680809,"6,539,000"
2017. 03. 22.,0.678389,0.686535,0.510106,0.522970,"2,818,940"
2017. 03. 21.,0.527395,0.527395,0.350726,0.359213,"1,214,060"
2017. 03. 20.,0.360835,0.674024,0.263257,0.287024,"1,952,470"
2017. 03. 19.,0.286548,0.341464,0.153723,0.157129,"719,375"
2017. 03. 18.,0.165387,0.183896,0.109944,0.109944,"383,777"
2017. 03. 17.,0.102790,0.138350,0.099142,0.138350,"129,459"
