,close,high,low,open,volume
2018. 03. 21.,15.40,16.91,15.33,15.97,"1,869,030"
2018. 03. 20.,16.00,16.39,14.53,15.51,"1,491,100"
2018. 03. 19.,15.35,16.18,14.11,15.01,"2,709,430"
2018. 03. 18.,15.25,15.28,11.43,14.12,"2,250,130"
2018. 03. 17.,14.14,15.61,14.05,15.57,"1,154,360"
2018. 03. 16.,15.47,16.80,15.29,16.10,"1,080,750"
2018. 03. 15.,16.15,16.54,14.86,15.96,"1,541,770"
2018. 03. 14.,15.96,19.45,15.15,19.01,"2,529,050"
2018. 03. 13.,18.99,20.05,16.92,16.99,"8,985,480"
2018. 03. 12.,16.92,17.10,15.33,16.75,"1,889,600"
2018. 03. 11.,16.76,17.15,14.81,15.81,"1,462,540"
2018. 03. 10.,15.74,18.27,15.66,15.66,"3,002,340"
2018. 03. 09.,15.70,16.00,13.29,15.77,"2,583,300"
2018. 03. 08.,15.83,18.27,15.38,17.81,"2,441,460"
2018. 03. 07.,17.79,20.02,15.74,19.86,"2,858,350"
2018. 03. 06.,19.85,21.67,19.14,21.10,"2,378,700"
2018. 03. 05.,21.14,23.02,20.81,20.91,"5,000,040"
2018. 03. 04.,20.99,21.51,20.02,20.57,"2,981,030"
2018. 03. 03.,20.57,21.88,20.48,21.12,"2,921,890"
2018. 03. 02.,21.13,24.34,21.13,22.48,"6,533,470"
2018. 03. 01.,22.48,25.96,17.83,17.96,"13,183,100"
2018. 02. 28.,17.95,22.05,17.70,21.61,"5,680,820"
2018. 02. 27.,21.68,22.60,21.35,22.06,"2,616,080"
2018. 02. 26.,21.85,22.33,20.76,21.62,"2,892,080"
2018. 02. 25.,21.61,22.07,20.62,21.06,"2,335,780"
2018. 02. 24.,21.12,24.11,20.53,23.25,"3,275,860"
2018. 02. 23.,23.29,24.60,21.03,21.88,"3,496,160"
2018. 02. 22.,21.87,26.64,21.56,23.41,"4,412,880"
2018. 02. 21.,23.31,25.03,21.83,24.77,"5,009,300"
2018. 02. 20.,24.76,28.62,24.44,27.73,"4,858,160"
2018. 02. 19.,27.72,29.30,26.61,26.97,"4,348,660"
2018. 02. 18.,27.04,30.57,26.57,30.43,"5,377,530"
2018. 02. 17.,30.41,31.03,29.02,30.28,"8,986,340"
2018. 02. 16.,30.82,33.43,25.70,26.44,"21,977,100"
2018. 02. 15.,26.63,26.90,23.14,26.08,"11,981,900"
2018. 02. 14.,26.23,27.54,25.08,26.52,"9,392,710"
2018. 02. 13.,26.52,30.08,25.82,29.85,"6,117,800"
2018. 02. 12.,29.67,33.41,24.36,24.39,"23,598,600"
2018. 02. 11.,24.13,26.40,22.81,25.88,"11,475,600"
2018. 02. 10.,26.00,34.82,25.27,31.63,"14,802,400"
2018. 02. 09.,31.98,38.64,30.31,33.47,"2,991,380"
2018. 02. 08.,33.40,36.81,32.99,32.99,"10,354,100"
2018. 02. 07.,33.05,42.99,32.98,39.44,"8,227,980"
2018. 02. 06.,39.68,40.10,23.52,36.34,"11,227,000"
2018. 02. 05.,36.19,46.80,32.06,46.40,"4,932,840"
2018. 02. 04.,46.90,59.22,43.35,59.02,"6,508,120"
2018. 02. 03.,59.27,62.27,50.91,54.32,"7,163,180"
2018. 02. 02.,53.35,63.08,42.79,63.06,"6,424,200"
2018. 02. 01.,62.88,71.99,53.29,70.55,"8,382,490"
2018. 01. 31.,70.89,75.46,63.24,67.41,"22,437,500"
2018. 01. 30.,66.83,69.89,62.55,69.02,"8,059,110"
2018. 01. 29.,68.73,75.83,66.37,74.52,"7,241,240"
2018. 01. 28.,74.85,76.49,59.94,62.35,"18,503,900"
2018. 01. 27.,62.02,67.50,52.31,53.33,"8,168,590"
2018. 01. 26.,53.29,54.65,47.86,49.19,"5,012,380"
2018. 01. 25.,49.20,52.42,47.84,49.17,"2,672,480"
