,close,high,low,open,volume
2018. 03. 21.,19.77,21.27,18.93,20.99,"298,078,000"
2018. 03. 20.,20.77,22.08,18.51,21.14,"681,013,000"
2018. 03. 19.,20.29,20.70,13.31,13.44,"445,147,000"
2018. 03. 18.,13.48,13.73,11.18,13.54,"134,149,000"
2018. 03. 17.,13.57,15.10,13.08,14.95,"97,763,200"
2018. 03. 16.,14.98,15.88,14.66,15.77,"105,734,000"
2018. 03. 15.,15.72,16.49,14.49,16.12,"134,349,000"
2018. 03. 14.,16.19,18.73,15.87,18.19,"96,771,400"
2018. 03. 13.,18.18,18.80,17.87,18.35,"102,287,000"
2018. 03. 12.,18.46,19.95,18.03,19.56,"122,222,000"
2018. 03. 11.,19.71,19.97,17.57,18.38,"115,316,000"
2018. 03. 10.,18.21,20.15,18.13,19.57,"118,137,000"
2018. 03. 09.,19.53,20.14,17.34,19.88,"170,261,000"
2018. 03. 08.,20.03,22.35,19.92,21.82,"153,725,000"
2018. 03. 07.,21.93,25.57,21.10,25.10,"116,397,000"
2018. 03. 06.,25.10,26.97,24.99,26.44,"98,457,100"
2018. 03. 05.,26.61,27.48,26.02,26.52,"108,682,000"
2018. 03. 04.,26.43,26.52,25.01,25.86,"75,106,700"
2018. 03. 03.,25.79,26.63,25.69,26.10,"76,812,600"
2018. 03. 02.,26.08,27.07,25.50,26.84,"76,210,100"
2018. 03. 01.,26.82,26.97,25.93,26.31,"95,387,700"
2018. 02. 28.,26.22,28.40,26.19,27.94,"98,749,300"
2018. 02. 27.,28.00,29.50,27.91,28.98,"152,214,000"
2018. 02. 26.,28.81,29.94,25.01,25.99,"263,836,000"
2018. 02. 25.,25.94,26.58,25.02,26.51,"74,345,300"
2018. 02. 24.,26.60,28.88,25.75,28.11,"109,964,000"
2018. 02. 23.,28.10,28.10,25.04,26.25,"127,678,000"
2018. 02. 22.,26.37,29.11,25.56,28.53,"135,016,000"
2018. 02. 21.,28.56,30.92,27.85,30.88,"176,591,000"
2018. 02. 20.,31.11,33.41,31.02,32.72,"203,359,000"
2018. 02. 19.,32.66,32.93,31.19,31.41,"197,224,000"
2018. 02. 18.,31.24,33.68,29.97,33.47,"181,070,000"
2018. 02. 17.,33.56,33.69,32.67,33.17,"178,525,000"
2018. 02. 16.,33.02,33.95,31.99,33.03,"166,522,000"
2018. 02. 15.,33.06,33.53,31.91,32.42,"222,910,000"
2018. 02. 14.,32.55,32.62,29.99,30.04,"334,300,000"
2018. 02. 13.,30.11,30.46,28.55,30.21,"242,714,000"
2018. 02. 12.,30.13,30.81,27.58,27.58,"212,954,000"
2018. 02. 11.,27.48,30.21,26.26,30.21,"258,212,000"
2018. 02. 10.,30.27,34.59,29.09,30.83,"421,275,000"
2018. 02. 09.,31.16,31.59,25.98,27.79,"618,154,000"
2018. 02. 08.,26.48,27.38,21.95,21.95,"276,759,000"
2018. 02. 07.,21.78,24.53,20.99,24.09,"238,850,000"
2018. 02. 06.,24.05,24.32,16.67,20.93,"386,634,000"
2018. 02. 05.,20.54,26.76,19.64,26.24,"200,730,000"
2018. 02. 04.,26.19,30.68,25.38,29.72,"219,327,000"
2018. 02. 03.,29.93,31.62,25.77,30.39,"305,047,000"
2018. 02. 02.,30.26,35.56,22.31,35.56,"566,508,000"
2018. 02. 01.,35.68,42.10,34.71,42.10,"371,498,000"
2018. 01. 31.,42.12,42.38,34.62,37.30,"437,472,000"
2018. 01. 30.,37.33,43.64,36.71,43.60,"275,840,000"
2018. 01. 29.,43.41,45.51,42.33,43.84,"412,998,000"
2018. 01. 28.,43.76,44.08,39.74,39.74,"346,952,000"
2018. 01. 27.,39.58,40.48,38.15,39.77,"228,016,000"
2018. 01. 26.,39.70,41.73,35.83,40.41,"378,512,000"
2018. 01. 25.,40.72,41.98,39.68,40.93,"330,419,000"
2018. 01. 24.,40.51,42.40,38.25,39.05,"412,605,000"
2018. 01. 23.,39.15,41.09,35.62,40.03,"455,691,000"
2018. 01. 22.,39.97,43.95,36.59,43.19,"665,031,000"
2018. 01. 21.,42.82,51.79,40.91,51.71,"1,472,770,000"
2018. 01. 20.,51.26,51.26,39.11,39.22,"1,389,340,000"
2018. 01. 19.,39.19,41.46,36.19,36.97,"594,885,000"
2018. 01. 18.,37.37,39.91,34.23,36.05,"731,389,000"
2018. 01. 17.,36.47,37.99,27.63,35.54,"1,005,590,000"
2018. 01. 16.,36.03,52.23,28.97,52.23,"976,913,000"
2018. 01. 15.,52.58,58.28,52.18,54.07,"1,558,480,000"
2018. 01. 14.,54.08,55.07,48.35,54.83,"758,722,000"
2018. 01. 13.,54.70,56.27,50.37,50.45,"881,216,000"
2018. 01. 12.,50.41,51.92,44.42,46.01,"764,812,000"
2018. 01. 11.,45.75,53.83,43.68,53.65,"732,454,000"
2018. 01. 10.,54.08,56.36,49.90,53.42,"853,001,000"
2018. 01. 09.,53.21,58.38,52.09,55.78,"837,431,000"
2018. 01. 08.,55.98,89.11,49.96,86.17,"1,023,570,000"
2018. 01. 07.,85.77,106.88,83.57,94.06,"1,707,140,000"
2018. 01. 06.,94.67,105.41,59.95,62.95,"1,998,570,000"
2018. 01. 05.,62.70,70.89,54.79,57.39,"1,356,740,000"
2018. 01. 04.,57.47,61.48,55.95,59.06,"744,457,000"
2018. 01. 03.,59.09,61.01,57.29,60.54,"673,650,000"
2018. 01. 02.,60.72,62.46,59.75,61.19,"597,468,000"
2018. 01. 01.,60.88,64.08,59.87,62.31,"708,818,000"
2017. 12. 31.,62.40,65.01,59.20,60.20,"690,938,000"
2017. 12. 30.,60.49,67.69,54.36,58.68,"1,203,780,000"
2017. 12. 29.,58.71,60.47,53.33,56.35,"876,085,000"
2017. 12. 28.,56.23,56.64,46.41,54.44,"838,698,000"
2017. 12. 27.,54.11,56.39,52.72,55.76,"539,542,000"
2017. 12. 26.,55.95,59.99,55.42,58.22,"652,554,000"
2017. 12. 25.,58.09,59.79,51.23,54.00,"976,115,000"
2017. 12. 24.,53.64,57.37,49.00,56.71,"692,470,000"
2017. 12. 23.,57.26,60.20,50.71,50.84,"913,925,000"
2017. 12. 22.,49.48,63.27,36.35,63.27,"1,101,630,000"
2017. 12. 21.,62.23,69.24,56.87,63.82,"905,593,000"
2017. 12. 20.,63.64,69.07,57.71,67.72,"1,025,680,000"
2017. 12. 19.,67.75,77.75,51.30,51.96,"2,134,470,000"
2017. 12. 18.,51.85,56.06,27.84,29.66,"2,427,870,000"
2017. 12. 17.,29.62,30.30,28.63,29.19,"399,361,000"
2017. 12. 16.,29.00,31.53,28.48,30.15,"609,254,000"
2017. 12. 15.,30.54,32.65,17.69,20.68,"1,227,400,000"
2017. 12. 14.,20.48,20.63,17.02,17.16,"389,613,000"
2017. 12. 13.,17.31,19.29,14.80,14.81,"541,413,000"
2017. 12. 12.,14.76,15.12,13.28,13.57,"253,559,000"
2017. 12. 11.,13.55,14.60,11.00,11.02,"218,917,000"
2017. 12. 10.,11.05,12.09,10.74,12.09,"106,888,000"
2017. 12. 09.,12.08,12.77,11.54,12.77,"124,125,000"
2017. 12. 08.,12.79,13.06,11.99,12.53,"153,972,000"
2017. 12. 07.,12.56,14.93,11.67,11.95,"262,721,000"
2017. 12. 06.,11.96,13.14,11.86,13.12,"136,931,000"
2017. 12. 05.,13.08,13.95,13.08,13.69,"106,446,000"
2017. 12. 04.,13.62,14.00,12.68,13.15,"139,016,000"
2017. 12. 03.,13.15,13.68,12.49,13.03,"101,683,000"
2017. 12. 02.,13.00,13.45,12.55,13.15,"106,410,000"
2017. 12. 01.,13.16,13.28,12.13,12.87,"77,540,700"
2017. 11. 30.,12.95,13.53,11.44,12.49,"116,134,000"
2017. 11. 29.,12.45,15.44,12.27,15.44,"169,681,000"
2017. 11. 28.,15.49,15.90,14.60,14.76,"248,416,000"
2017. 11. 27.,14.79,14.95,14.22,14.69,"141,497,000"
2017. 11. 26.,14.79,15.01,14.23,14.51,"115,807,000"
2017. 11. 25.,14.49,14.82,14.09,14.37,"143,624,000"
2017. 11. 24.,14.43,14.43,13.54,13.95,"153,144,000"
2017. 11. 23.,13.95,14.22,13.81,14.22,"116,380,000"
2017. 11. 22.,14.20,14.26,13.85,14.05,"91,778,300"
2017. 11. 21.,14.15,14.94,13.46,14.80,"158,550,000"
2017. 11. 20.,14.77,15.30,14.00,14.00,"160,773,000"
2017. 11. 19.,14.03,14.11,13.66,14.01,"61,181,300"
2017. 11. 18.,14.02,14.16,13.12,13.52,"116,168,000"
2017. 11. 17.,13.37,13.37,12.55,12.83,"109,115,000"
2017. 11. 16.,12.89,13.90,11.63,11.68,"317,008,000"
2017. 11. 15.,11.72,11.74,11.50,11.54,"43,757,700"
2017. 11. 14.,11.60,11.69,11.23,11.41,"73,833,600"
2017. 11. 13.,11.42,11.51,11.09,11.10,"73,428,300"
2017. 11. 12.,11.11,11.66,10.89,11.59,"116,105,000"
2017. 11. 11.,11.65,12.17,11.30,11.30,"113,139,000"
2017. 11. 10.,11.29,12.31,11.07,11.97,"131,906,000"
2017. 11. 09.,11.94,12.45,11.73,11.88,"116,434,000"
2017. 11. 08.,11.91,12.12,10.99,11.18,"196,034,000"
2017. 11. 07.,11.21,11.45,10.32,10.32,"122,951,000"
2017. 11. 06.,10.44,11.18,10.06,10.13,"116,937,000"
2017. 11. 05.,10.13,10.43,9.96,10.04,"49,288,500"
2017. 11. 04.,10.05,10.40,9.82,10.31,"35,477,100"
2017. 11. 03.,10.38,10.42,9.70,9.77,"55,018,600"
2017. 11. 02.,9.80,10.04,9.35,9.95,"54,501,600"
2017. 11. 01.,9.93,10.41,9.92,10.41,"26,591,700"
2017. 10. 31.,10.45,10.88,10.35,10.38,"43,306,600"
2017. 10. 30.,10.39,10.48,10.29,10.39,"21,781,900"
2017. 10. 29.,10.42,10.54,10.18,10.19,"40,119,600"
2017. 10. 28.,10.21,10.38,10.18,10.33,"23,588,200"
2017. 10. 27.,10.30,10.63,10.26,10.56,"27,344,700"
2017. 10. 26.,10.57,10.79,10.45,10.66,"26,461,700"
2017. 10. 25.,10.65,10.92,10.37,10.78,"48,104,100"
2017. 10. 24.,10.76,11.46,9.52,9.96,"118,813,000"
2017. 10. 23.,9.96,10.60,9.75,10.59,"50,654,800"
2017. 10. 22.,10.63,11.06,10.56,10.97,"33,890,300"
2017. 10. 21.,10.91,11.35,10.50,11.25,"56,075,000"
2017. 10. 20.,11.30,15.12,11.19,12.10,"304,281,000"
2017. 10. 19.,12.07,12.22,11.35,11.46,"49,308,300"
2017. 10. 18.,11.49,12.04,10.78,12.04,"53,960,300"
2017. 10. 17.,12.05,12.27,11.03,11.48,"57,046,400"
2017. 10. 16.,11.49,11.65,10.23,10.46,"37,568,400"
2017. 10. 15.,10.44,10.66,10.09,10.64,"22,057,700"
2017. 10. 14.,10.63,11.45,10.62,11.26,"17,709,400"
2017. 10. 13.,11.25,11.30,10.31,11.30,"44,760,500"
2017. 10. 12.,11.29,12.21,11.29,12.13,"31,335,300"
2017. 10. 11.,12.13,12.29,11.87,12.04,"28,771,600"
2017. 10. 10.,12.08,12.54,11.55,12.04,"50,232,800"
2017. 10. 09.,12.07,12.49,10.96,11.14,"57,974,000"
2017. 10. 08.,11.14,12.11,11.14,11.96,"34,305,900"
2017. 10. 07.,11.94,11.94,11.51,11.67,"19,498,800"
2017. 10. 06.,11.69,11.91,11.50,11.87,"23,341,500"
2017. 10. 05.,11.86,11.98,10.82,11.60,"67,610,800"
2017. 10. 04.,11.63,12.28,11.51,12.16,"77,387,000"
2017. 10. 03.,12.12,12.12,10.78,11.91,"95,756,400"
2017. 10. 02.,11.88,12.38,11.43,12.36,"69,789,000"
2017. 10. 01.,12.34,12.61,11.58,11.59,"162,762,000"
