,close,high,low,open,volume
2018. 03. 21.,1.21,1.25,1.14,1.14,"546,389"
2018. 03. 20.,1.14,1.18,1.07,1.10,"641,695"
2018. 03. 19.,1.09,1.13,1.01,1.04,"643,322"
2018. 03. 18.,1.04,1.07,0.851118,1.03,"681,938"
2018. 03. 17.,1.03,1.16,1.03,1.15,"488,605"
2018. 03. 16.,1.15,1.20,1.10,1.15,"561,047"
2018. 03. 15.,1.15,1.24,1.09,1.21,"892,659"
2018. 03. 14.,1.22,1.40,1.15,1.34,"666,784"
2018. 03. 13.,1.34,1.39,1.25,1.31,"614,413"
2018. 03. 12.,1.32,1.52,1.26,1.45,"623,472"
2018. 03. 11.,1.46,1.53,1.26,1.35,"704,859"
2018. 03. 10.,1.35,1.55,1.27,1.54,"834,448"
2018. 03. 09.,1.54,1.56,1.20,1.33,"791,133"
2018. 03. 08.,1.33,1.62,1.32,1.54,"783,809"
2018. 03. 07.,1.54,1.68,1.47,1.61,"864,987"
2018. 03. 06.,1.62,1.84,1.60,1.71,"1,070,350"
2018. 03. 05.,1.71,1.94,1.68,1.82,"1,461,500"
2018. 03. 04.,1.82,1.86,1.62,1.80,"860,770"
2018. 03. 03.,1.79,1.88,1.77,1.78,"771,788"
2018. 03. 02.,1.78,1.84,1.75,1.76,"859,359"
2018. 03. 01.,1.76,1.82,1.72,1.74,"883,064"
2018. 02. 28.,1.74,1.98,1.72,1.83,"905,598"
2018. 02. 27.,1.83,2.05,1.82,2.05,"698,792"
2018. 02. 26.,2.04,2.08,1.84,1.86,"513,974"
2018. 02. 25.,1.87,1.90,1.81,1.90,"307,627"
2018. 02. 24.,1.90,2.04,1.83,1.90,"597,030"
2018. 02. 23.,1.90,2.11,1.85,1.97,"666,451"
2018. 02. 22.,1.97,2.19,1.85,2.12,"994,730"
2018. 02. 21.,2.12,2.46,2.04,2.30,"785,626"
2018. 02. 20.,2.32,2.61,2.32,2.38,"1,265,460"
2018. 02. 19.,2.38,2.38,2.19,2.22,"842,577"
2018. 02. 18.,2.23,2.35,2.09,2.27,"914,941"
2018. 02. 17.,2.28,2.43,2.21,2.26,"1,098,650"
2018. 02. 16.,2.26,2.43,2.00,2.01,"745,385"
2018. 02. 15.,1.99,2.34,1.99,2.34,"1,390,900"
2018. 02. 14.,2.33,2.37,1.71,1.71,"1,635,590"
2018. 02. 13.,1.73,1.80,1.63,1.73,"762,763"
2018. 02. 12.,1.74,1.85,1.43,1.44,"1,196,790"
2018. 02. 11.,1.43,1.56,1.34,1.47,"516,198"
2018. 02. 10.,1.47,1.59,1.40,1.50,"562,500"
2018. 02. 09.,1.50,2.19,1.27,1.38,"710,388"
2018. 02. 08.,1.37,1.47,1.21,1.22,"479,390"
2018. 02. 07.,1.20,1.54,1.19,1.40,"744,113"
2018. 02. 06.,1.41,1.42,0.826084,1.12,"1,148,330"
2018. 02. 05.,1.12,1.54,1.05,1.48,"764,470"
2018. 02. 04.,1.50,1.82,1.41,1.72,"663,940"
2018. 02. 03.,1.72,1.90,1.46,1.59,"701,289"
2018. 02. 02.,1.59,1.87,1.29,1.86,"917,640"
2018. 02. 01.,1.87,2.23,1.72,2.03,"973,099"
2018. 01. 31.,2.03,2.24,1.84,1.96,"1,423,700"
2018. 01. 30.,1.95,2.36,1.90,2.30,"1,629,830"
2018. 01. 29.,2.29,2.62,2.22,2.38,"1,836,730"
2018. 01. 28.,2.37,2.48,1.96,1.98,"1,646,840"
2018. 01. 27.,1.98,1.98,1.80,1.83,"720,460"
2018. 01. 26.,1.83,1.90,1.66,1.78,"1,015,660"
2018. 01. 25.,1.78,1.92,1.76,1.86,"1,024,320"
2018. 01. 24.,1.83,1.88,1.66,1.70,"1,559,140"
2018. 01. 23.,1.70,1.90,1.67,1.77,"807,366"
2018. 01. 22.,1.79,1.95,1.64,1.94,"683,656"
2018. 01. 21.,1.92,2.11,1.75,2.00,"1,000,580"
2018. 01. 20.,1.99,2.21,1.86,1.86,"799,479"
2018. 01. 19.,1.86,2.17,1.77,1.94,"1,149,220"
2018. 01. 18.,1.97,2.24,1.85,1.98,"1,256,730"
2018. 01. 17.,1.98,2.19,1.54,1.91,"1,240,490"
2018. 01. 16.,1.92,2.37,1.59,2.20,"1,596,940"
2018. 01. 15.,2.26,2.72,2.04,2.66,"1,964,590"
2018. 01. 14.,2.61,2.79,2.44,2.71,"1,931,400"
2018. 01. 13.,2.70,2.82,2.42,2.51,"2,718,050"
2018. 01. 12.,2.51,2.62,2.27,2.43,"1,629,480"
2018. 01. 11.,2.41,2.59,2.05,2.49,"1,791,770"
2018. 01. 10.,2.45,2.80,2.22,2.79,"2,766,430"
2018. 01. 09.,2.81,2.99,2.53,2.89,"2,547,570"
2018. 01. 08.,2.90,3.14,2.49,2.92,"2,470,460"
2018. 01. 07.,3.00,3.00,2.20,2.35,"2,609,570"
2018. 01. 06.,2.36,2.70,2.23,2.51,"3,014,060"
2018. 01. 05.,2.53,2.87,2.13,2.13,"4,205,640"
2018. 01. 04.,2.10,2.18,1.86,2.10,"2,443,920"
2018. 01. 03.,2.09,2.42,1.95,2.42,"2,351,030"
2018. 01. 02.,2.42,2.44,1.37,1.37,"5,207,890"
2018. 01. 01.,1.35,1.48,0.656576,0.705983,"2,409,160"
2017. 12. 31.,0.719817,0.726004,0.547553,0.658982,"554,462"
2017. 12. 30.,0.656832,0.695645,0.550780,0.695645,"462,467"
2017. 12. 29.,0.647335,0.686723,0.569895,0.604372,"337,828"
2017. 12. 28.,0.608830,0.713493,0.571864,0.708854,"359,094"
2017. 12. 27.,0.710163,0.761959,0.636347,0.715722,"444,550"
2017. 12. 26.,0.693165,0.728007,0.523776,0.534896,"671,928"
2017. 12. 25.,0.539369,0.551002,0.460810,0.466724,"637,287"
2017. 12. 24.,0.459982,0.533845,0.419142,0.526535,"811,846"
2017. 12. 23.,0.520501,0.667653,0.513353,0.562065,"839,943"
2017. 12. 22.,0.614822,0.829626,0.402633,0.724057,"583,378"
2017. 12. 21.,0.754088,0.913243,0.749922,0.800172,"220,805"
2017. 12. 20.,0.799065,1.05,0.723260,1.05,"925,381"
2017. 12. 19.,1.05,1.07,0.621096,0.621920,"725,817"
2017. 12. 18.,0.623993,0.645902,0.568793,0.609583,"687,354"
2017. 12. 17.,0.609511,0.662449,0.588407,0.598993,"351,307"
2017. 12. 16.,0.598099,0.649676,0.576899,0.626290,"376,054"
2017. 12. 15.,0.624883,0.676780,0.597862,0.661373,"289,483"
2017. 12. 14.,0.660590,0.694187,0.604749,0.641305,"246,756"
2017. 12. 13.,0.642007,0.721442,0.538654,0.588937,"89,749"
2017. 12. 12.,0.588534,0.620420,0.423254,0.467755,"97,331"
2017. 12. 11.,0.470775,0.495315,0.349423,0.437915,"220,240"
2017. 12. 10.,0.444034,0.559410,0.372133,0.488289,"86,143"
2017. 12. 09.,0.486727,0.652289,0.485044,0.540047,"187,639"
2017. 12. 08.,0.540061,0.596047,0.464156,0.559875,"360,288"
2017. 12. 07.,0.590707,0.740254,0.424152,0.700801,"502,319"
