,close,high,low,open,volume
2018. 03. 21.,1.09,1.20,1.08,1.10,"4,392,180"
2018. 03. 20.,1.09,1.12,1.03,1.11,"5,623,370"
2018. 03. 19.,1.10,1.11,0.971501,0.987055,"9,012,650"
2018. 03. 18.,0.991883,1.01,0.851852,0.964045,"6,189,720"
2018. 03. 17.,0.965116,1.12,0.954637,1.04,"2,707,500"
2018. 03. 16.,1.04,1.11,1.01,1.06,"6,633,400"
2018. 03. 15.,1.06,1.09,1.01,1.08,"5,955,390"
2018. 03. 14.,1.08,1.25,1.04,1.24,"6,206,220"
2018. 03. 13.,1.24,1.24,1.08,1.11,"5,567,880"
2018. 03. 12.,1.11,1.16,1.02,1.08,"8,183,160"
2018. 03. 11.,1.09,1.11,0.973592,1.02,"7,340,570"
2018. 03. 10.,1.02,1.13,1.01,1.11,"6,253,690"
2018. 03. 09.,1.11,1.13,1.03,1.12,"3,183,560"
2018. 03. 08.,1.12,1.23,1.06,1.10,"3,398,920"
2018. 03. 07.,1.11,1.30,1.02,1.28,"4,913,490"
2018. 03. 06.,1.28,1.45,1.27,1.39,"6,965,800"
2018. 03. 05.,1.39,1.65,1.39,1.63,"6,689,010"
2018. 03. 04.,1.62,1.80,1.52,1.68,"5,975,830"
2018. 03. 03.,1.68,1.86,1.65,1.83,"10,827,200"
2018. 03. 02.,1.83,2.17,1.72,2.16,"14,566,100"
2018. 03. 01.,2.16,2.32,2.11,2.31,"11,185,900"
2018. 02. 28.,2.29,2.50,2.29,2.41,"13,621,500"
2018. 02. 27.,2.41,2.45,2.31,2.35,"12,616,800"
2018. 02. 26.,2.35,2.42,2.15,2.28,"19,613,500"
2018. 02. 25.,2.28,2.38,2.23,2.29,"19,473,300"
2018. 02. 24.,2.29,2.47,2.21,2.34,"21,562,400"
2018. 02. 23.,2.36,2.63,2.27,2.38,"21,864,400"
2018. 02. 22.,2.42,2.72,2.29,2.67,"18,863,000"
2018. 02. 21.,2.67,3.06,2.64,2.80,"29,122,000"
2018. 02. 20.,2.79,3.36,2.77,3.30,"16,192,500"
2018. 02. 19.,3.30,3.39,3.15,3.15,"29,908,600"
2018. 02. 18.,3.16,4.49,3.13,4.10,"29,905,700"
2018. 02. 17.,4.07,4.07,2.56,2.82,"27,954,500"
2018. 02. 16.,2.82,3.19,2.76,3.05,"20,006,100"
2018. 02. 15.,3.07,3.35,2.38,2.44,"26,750,000"
2018. 02. 14.,2.42,3.54,2.39,3.38,"32,664,600"
2018. 02. 13.,3.39,3.62,2.95,3.15,"34,030,400"
2018. 02. 12.,3.11,3.11,2.49,2.49,"21,913,200"
2018. 02. 11.,2.47,2.55,2.28,2.49,"17,442,800"
2018. 02. 10.,2.50,2.67,2.32,2.47,"16,386,100"
2018. 02. 09.,2.45,2.48,1.79,1.99,"5,684,530"
2018. 02. 08.,1.98,2.24,1.87,1.90,"2,617,040"
2018. 02. 07.,1.90,2.10,1.62,1.73,"3,828,630"
2018. 02. 06.,1.74,1.86,1.15,1.29,"4,679,520"
2018. 02. 05.,1.29,1.68,1.20,1.62,"4,275,670"
2018. 02. 04.,1.62,1.97,1.47,1.55,"6,036,520"
2018. 02. 03.,1.54,1.70,1.33,1.44,"4,667,890"
2018. 02. 02.,1.43,1.71,1.27,1.48,"5,709,550"
2018. 02. 01.,1.47,2.25,1.38,1.99,"3,699,570"
2018. 01. 31.,1.95,2.77,1.50,1.59,"9,967,260"
2018. 01. 30.,1.60,1.76,1.05,1.11,"7,961,140"
2018. 01. 29.,1.11,1.31,0.768671,0.801373,"5,329,130"
2018. 01. 28.,0.803490,0.818189,0.681159,0.687430,"1,817,180"
2018. 01. 27.,0.684194,0.720134,0.663723,0.711714,"2,009,000"
2018. 01. 26.,0.712254,0.805321,0.662642,0.775564,"1,453,820"
2018. 01. 25.,0.777644,0.801984,0.723298,0.733929,"2,546,910"
2018. 01. 24.,0.728294,0.807297,0.726948,0.747848,"1,833,720"
2018. 01. 23.,0.748824,0.799124,0.701517,0.769294,"2,006,270"
2018. 01. 22.,0.771954,0.852754,0.718604,0.821366,"2,719,930"
2018. 01. 21.,0.804478,0.880102,0.767371,0.880102,"2,476,400"
2018. 01. 20.,0.878199,0.914517,0.803843,0.812445,"2,406,730"
2018. 01. 19.,0.803779,0.853800,0.774659,0.830495,"3,309,370"
2018. 01. 18.,0.838031,0.888865,0.766900,0.807387,"1,989,240"
2018. 01. 17.,0.805119,0.898959,0.654191,0.878495,"2,338,200"
2018. 01. 16.,0.882260,1.09,0.800452,1.09,"1,560,500"
2018. 01. 15.,1.09,1.17,1.03,1.05,"1,973,850"
2018. 01. 14.,1.06,1.16,1.05,1.15,"2,016,620"
