,close,high,low,open,volume
2018. 03. 21.,2.84,2.97,2.61,2.63,"9,371,800"
2018. 03. 20.,2.62,2.70,2.32,2.45,"8,383,630"
2018. 03. 19.,2.42,2.49,2.15,2.36,"5,386,120"
2018. 03. 18.,2.37,2.37,1.98,2.35,"5,696,140"
2018. 03. 17.,2.35,2.68,2.30,2.67,"4,504,650"
2018. 03. 16.,2.68,2.83,2.58,2.71,"5,155,340"
2018. 03. 15.,2.72,2.82,2.54,2.82,"5,289,680"
2018. 03. 14.,2.82,3.40,2.68,3.09,"6,132,140"
2018. 03. 13.,3.09,3.19,2.40,3.03,"3,421,610"
2018. 03. 12.,3.06,3.30,2.96,3.18,"7,842,240"
2018. 03. 11.,3.19,3.30,2.77,2.92,"2,810,430"
2018. 03. 10.,2.92,3.45,2.90,3.20,"3,262,550"
2018. 03. 09.,3.19,3.21,2.70,3.09,"3,543,590"
2018. 03. 08.,3.10,3.48,2.99,3.39,"4,568,460"
2018. 03. 07.,3.37,3.94,3.05,3.89,"5,285,930"
2018. 03. 06.,3.90,4.23,3.83,4.23,"3,713,720"
2018. 03. 05.,4.23,4.39,4.21,4.33,"3,801,760"
2018. 03. 04.,4.31,4.48,4.10,4.44,"4,492,660"
2018. 03. 03.,4.44,4.67,4.34,4.47,"5,905,070"
2018. 03. 02.,4.52,4.59,4.06,4.08,"13,586,300"
2018. 03. 01.,4.08,4.23,3.71,3.91,"7,067,680"
2018. 02. 28.,3.90,4.30,3.89,4.16,"5,546,170"
2018. 02. 27.,4.16,4.43,3.97,4.15,"4,722,260"
2018. 02. 26.,4.11,4.36,3.99,4.21,"4,549,720"
2018. 02. 25.,4.19,4.65,4.00,4.50,"8,091,020"
2018. 02. 24.,4.51,4.79,4.11,4.23,"15,467,300"
2018. 02. 23.,4.22,4.22,3.76,3.91,"4,390,580"
2018. 02. 22.,3.91,4.33,3.69,3.95,"3,609,040"
2018. 02. 21.,3.95,4.46,3.88,4.33,"4,594,930"
2018. 02. 20.,4.31,4.81,4.28,4.70,"6,223,760"
2018. 02. 19.,4.70,5.06,4.63,4.68,"6,276,290"
2018. 02. 18.,4.71,5.40,4.68,5.34,"5,161,320"
2018. 02. 17.,5.35,5.76,5.27,5.42,"7,030,850"
2018. 02. 16.,5.42,5.45,4.62,4.91,"9,043,360"
2018. 02. 15.,4.89,4.89,4.23,4.35,"7,778,470"
2018. 02. 14.,4.35,4.43,4.05,4.06,"4,726,930"
2018. 02. 13.,4.06,4.36,4.03,4.33,"2,446,450"
2018. 02. 12.,4.32,4.38,3.93,3.93,"3,173,750"
2018. 02. 11.,3.90,4.44,3.90,4.43,"3,031,990"
2018. 02. 10.,4.45,4.91,4.20,4.68,"3,975,030"
2018. 02. 09.,4.68,4.75,4.18,4.42,"3,704,030"
