,close,high,low,open,volume
2018. 03. 21.,0.139261,0.148581,0.123514,0.143946,"138,384"
2018. 03. 20.,0.144179,0.156521,0.141675,0.154279,"120,352"
2018. 03. 19.,0.150779,0.163641,0.146670,0.155258,"120,833"
2018. 03. 18.,0.155997,0.161079,0.128718,0.161079,"178,682"
2018. 03. 17.,0.161308,0.178174,0.157148,0.173051,"122,967"
2018. 03. 16.,0.174006,0.187057,0.173529,0.177907,"165,532"
2018. 03. 15.,0.178004,0.185930,0.171594,0.182742,"122,455"
2018. 03. 14.,0.182680,0.211850,0.179934,0.206218,"135,344"
2018. 03. 13.,0.208286,0.215590,0.195702,0.202909,"125,132"
2018. 03. 12.,0.204753,0.216290,0.197267,0.209680,"111,973"
2018. 03. 11.,0.209437,0.212852,0.183080,0.189400,"87,856"
2018. 03. 10.,0.190198,0.222670,0.189027,0.210400,"172,478"
2018. 03. 09.,0.208280,0.209079,0.168752,0.188750,"170,960"
2018. 03. 08.,0.189704,0.197834,0.173214,0.191883,"128,967"
2018. 03. 07.,0.192092,0.225959,0.170097,0.221747,"163,600"
2018. 03. 06.,0.221978,0.235176,0.214761,0.231043,"139,487"
2018. 03. 05.,0.231717,0.245736,0.229239,0.240194,"153,406"
2018. 03. 04.,0.240341,0.254379,0.231052,0.246340,"161,465"
2018. 03. 03.,0.246619,0.262677,0.240096,0.258000,"170,529"
2018. 03. 02.,0.255697,0.266423,0.209441,0.245082,"208,331"
2018. 03. 01.,0.263692,0.267140,0.193541,0.200054,"238,363"
2018. 02. 28.,0.199703,0.234861,0.195698,0.211659,"177,204"
2018. 02. 27.,0.203551,0.250024,0.172643,0.243532,"256,338"
2018. 02. 26.,0.242712,0.250801,0.210408,0.237006,"145,569"
2018. 02. 25.,0.228986,0.262472,0.209638,0.256090,"215,530"
2018. 02. 24.,0.265144,0.277630,0.229953,0.261679,"224,369"
2018. 02. 23.,0.261892,0.267372,0.234213,0.251137,"192,365"
2018. 02. 22.,0.251626,0.280684,0.239137,0.252442,"143,557"
2018. 02. 21.,0.251998,0.273940,0.243199,0.266223,"198,971"
2018. 02. 20.,0.266548,0.299898,0.258586,0.292464,"220,119"
2018. 02. 19.,0.292275,0.302127,0.268701,0.277078,"183,654"
2018. 02. 18.,0.277161,0.318824,0.267946,0.307633,"213,243"
2018. 02. 17.,0.311322,0.321080,0.281014,0.287054,"201,621"
2018. 02. 16.,0.288046,0.299249,0.246587,0.286542,"247,260"
2018. 02. 15.,0.287928,0.300095,0.266700,0.287847,"219,140"
2018. 02. 14.,0.286131,0.309817,0.228467,0.250029,"260,271"
2018. 02. 13.,0.250380,0.291646,0.236888,0.287451,"344,271"
2018. 02. 12.,0.292688,0.331082,0.276384,0.317099,"259,615"
2018. 02. 11.,0.303895,0.337655,0.293892,0.331542,"223,289"
2018. 02. 10.,0.330854,0.365471,0.324283,0.333973,"251,190"
2018. 02. 09.,0.333053,0.339122,0.302809,0.328855,"272,120"
2018. 02. 08.,0.329575,0.353938,0.307285,0.311170,"296,860"
2018. 02. 07.,0.311561,0.358929,0.279766,0.310803,"357,060"
2018. 02. 06.,0.314373,0.320555,0.230573,0.274788,"495,749"
2018. 02. 05.,0.272322,0.368069,0.263553,0.350893,"258,116"
2018. 02. 04.,0.354335,0.394671,0.324352,0.386699,"281,390"
2018. 02. 03.,0.388481,0.427886,0.239200,0.342233,"550,071"
2018. 02. 02.,0.340935,0.381689,0.249315,0.350656,"508,256"
2018. 02. 01.,0.350952,0.489751,0.313224,0.479173,"606,865"
2018. 01. 31.,0.477956,0.542949,0.453118,0.492268,"654,575"
2018. 01. 30.,0.497866,0.656039,0.492362,0.655946,"937,353"
2018. 01. 29.,0.655606,0.655606,0.395247,0.549945,"1,083,090"
2018. 01. 28.,0.550535,0.650226,0.433456,0.611342,"1,053,240"
2018. 01. 27.,0.608347,0.639559,0.569895,0.631735,"866,845"
2018. 01. 26.,0.632133,0.705039,0.492359,0.547074,"1,106,440"
2018. 01. 25.,0.565161,0.920487,0.544039,0.710820,"1,023,680"
2018. 01. 24.,0.699721,0.818225,0.653679,0.687353,"997,924"
2018. 01. 23.,0.692121,0.754596,0.603570,0.634727,"871,853"
2018. 01. 22.,0.638917,0.790742,0.565919,0.755769,"1,033,080"
2018. 01. 21.,0.755509,0.954992,0.657838,0.885227,"1,178,710"
2018. 01. 20.,0.881961,1.15,0.655272,1.02,"1,141,480"
2018. 01. 19.,1.01,1.30,0.940510,1.17,"1,305,310"
2018. 01. 18.,1.18,2.26,1.07,1.87,"2,860,820"
2018. 01. 17.,1.79,2.28,0.874918,0.900584,"3,377,100"
2018. 01. 16.,0.851547,1.35,0.769083,1.35,"1,083,940"
2018. 01. 15.,1.34,2.01,1.12,1.74,"1,764,330"
2018. 01. 14.,1.72,2.38,1.65,2.04,"2,123,690"
2018. 01. 13.,2.03,3.45,1.52,1.60,"9,550,140"
2018. 01. 12.,1.64,1.71,0.605199,0.703201,"2,524,040"
2018. 01. 11.,0.701391,0.754888,0.416689,0.428123,"1,323,890"
2018. 01. 10.,0.422874,0.422874,0.311005,0.323900,"282,412"
2018. 01. 09.,0.323435,0.439086,0.300130,0.419889,"1,291,490"
2018. 01. 08.,0.418244,0.559814,0.250119,0.552680,"2,992,850"
2018. 01. 07.,0.553165,0.553165,0.466049,0.509245,"1,188,660"
2018. 01. 06.,0.510451,0.520833,0.404720,0.430324,"1,054,880"
2018. 01. 05.,0.431094,0.446380,0.398567,0.412898,"712,946"
2018. 01. 04.,0.420234,0.453009,0.386759,0.440121,"680,181"
2018. 01. 03.,0.440263,0.481555,0.375878,0.433734,"1,012,420"
2018. 01. 02.,0.437708,0.478377,0.385716,0.416441,"872,412"
2018. 01. 01.,0.422486,0.431032,0.368520,0.406341,"451,068"
2017. 12. 31.,0.403023,0.443978,0.350621,0.434267,"618,419"
2017. 12. 30.,0.431189,0.535724,0.384215,0.524872,"903,951"
2017. 12. 29.,0.524245,0.563788,0.350635,0.350635,"2,109,260"
2017. 12. 28.,0.347501,0.399102,0.242698,0.279580,"1,029,950"
2017. 12. 27.,0.279802,0.279802,0.216285,0.236854,"642,454"
2017. 12. 26.,0.224966,0.224966,0.163742,0.167689,"359,837"
2017. 12. 25.,0.171389,0.194754,0.156119,0.194018,"296,812"
2017. 12. 24.,0.192288,0.195740,0.162229,0.179958,"305,636"
2017. 12. 23.,0.177276,0.207454,0.144981,0.144981,"520,726"
2017. 12. 22.,0.148473,0.163793,0.105656,0.130838,"587,457"
2017. 12. 21.,0.130419,0.141866,0.114677,0.120903,"218,411"
2017. 12. 20.,0.119119,0.136985,0.115453,0.136985,"168,723"
2017. 12. 19.,0.137152,0.157073,0.126463,0.147308,"479,346"
2017. 12. 18.,0.145257,0.216103,0.141042,0.178980,"406,680"
2017. 12. 17.,0.177806,0.191225,0.152399,0.186079,"256,135"
2017. 12. 16.,0.186231,0.218266,0.172040,0.187493,"390,156"
2017. 12. 15.,0.185927,0.187989,0.125296,0.131303,"339,833"
2017. 12. 14.,0.135984,0.135984,0.111266,0.113661,"199,843"
2017. 12. 13.,0.114535,0.123946,0.098938,0.105757,"149,462"
2017. 12. 12.,0.105651,0.105906,0.081134,0.083112,"165,430"
2017. 12. 11.,0.082683,0.085705,0.073838,0.075662,"97,988"
2017. 12. 10.,0.076198,0.077654,0.064092,0.073463,"49,205"
2017. 12. 09.,0.072930,0.080222,0.068553,0.076521,"73,108"
2017. 12. 08.,0.076331,0.079332,0.060108,0.071720,"84,487"
2017. 12. 07.,0.071557,0.080877,0.057138,0.064403,"196,221"
2017. 12. 06.,0.065332,0.066427,0.061171,0.062039,"108,993"
2017. 12. 05.,0.062177,0.065226,0.059187,0.060905,"67,432"
2017. 12. 04.,0.060786,0.062948,0.055926,0.057140,"89,006"
2017. 12. 03.,0.056959,0.062434,0.054792,0.059017,"45,733"
2017. 12. 02.,0.058967,0.067411,0.056019,0.062291,"88,522"
2017. 12. 01.,0.061592,0.063655,0.056034,0.059833,"70,817"
2017. 11. 30.,0.060716,0.066371,0.051961,0.057558,"48,059"
2017. 11. 29.,0.056674,0.072849,0.051798,0.062871,"128,615"
2017. 11. 28.,0.063003,0.065471,0.049219,0.051870,"165,692"
2017. 11. 27.,0.051742,0.051742,0.044456,0.045548,"107,188"
2017. 11. 26.,0.045538,0.047944,0.040559,0.045825,"155,080"
2017. 11. 25.,0.044365,0.057200,0.033861,0.057056,"274,839"
2017. 11. 24.,0.056083,0.061007,0.052864,0.054270,"75,423"
2017. 11. 23.,0.054357,0.060241,0.054253,0.056684,"40,515"
2017. 11. 22.,0.056792,0.061989,0.052793,0.055419,"92,393"
2017. 11. 21.,0.055092,0.059121,0.047298,0.049750,"72,711"
2017. 11. 20.,0.049873,0.059512,0.049639,0.058012,"90,677"
2017. 11. 19.,0.058021,0.062057,0.055905,0.058587,"90,732"
2017. 11. 18.,0.058795,0.059919,0.051837,0.053269,"103,510"
2017. 11. 17.,0.053482,0.064935,0.050670,0.052592,"164,573"
2017. 11. 16.,0.052677,0.059717,0.046433,0.047330,"200,277"
2017. 11. 15.,0.047085,0.057085,0.044679,0.054253,"106,195"
2017. 11. 14.,0.053813,0.064615,0.051210,0.057991,"98,631"
2017. 11. 13.,0.058274,0.073014,0.045757,0.046738,"76,625"
2017. 11. 12.,0.046778,0.064202,0.045094,0.061020,"113,453"
2017. 11. 11.,0.062669,0.087853,0.058527,0.084529,"105,366"
2017. 11. 10.,0.084829,0.095883,0.083532,0.090089,"52,500"
2017. 11. 09.,0.088115,0.101879,0.082560,0.093913,"116,602"
2017. 11. 08.,0.101526,0.106085,0.052726,0.052867,"229,957"
2017. 11. 07.,0.054736,0.055770,0.047538,0.051662,"66,918"
2017. 11. 06.,0.051810,0.056168,0.039449,0.055546,"80,195"
2017. 11. 05.,0.055657,0.060439,0.041365,0.058833,"89,124"
2017. 11. 04.,0.058941,0.063700,0.055549,0.062012,"46,404"
2017. 11. 03.,0.063160,0.065998,0.056870,0.065960,"42,143"
2017. 11. 02.,0.065867,0.076618,0.050659,0.076054,"173,285"
2017. 11. 01.,0.078430,0.101658,0.074120,0.101658,"88,887"
2017. 10. 31.,0.093505,0.104358,0.085755,0.097798,"98,889"
2017. 10. 30.,0.097489,0.107136,0.081320,0.107136,"114,376"
2017. 10. 29.,0.103565,0.128117,0.079765,0.079765,"179,154"
2017. 10. 28.,0.080348,0.166639,0.080309,0.149860,"98,380"
2017. 10. 27.,0.144024,0.164638,0.139961,0.161571,"17,159"
2017. 10. 26.,0.161473,0.172504,0.121665,0.172468,"287,857"
2017. 10. 25.,0.172275,0.189385,0.081801,0.107757,"517,028"
2017. 10. 24.,0.106926,0.123893,0.057303,0.066097,"142,269"
2017. 10. 23.,0.066369,0.076566,0.056973,0.068708,"69,517"
2017. 10. 22.,0.070268,0.087707,0.065142,0.083720,"50,354"
2017. 10. 21.,0.083699,0.087545,0.061543,0.083173,"85,412"
2017. 10. 20.,0.083367,0.101862,0.069204,0.087497,"104,108"
2017. 10. 19.,0.093618,0.157010,0.054251,0.054411,"373,997"
2017. 10. 18.,0.054471,0.056013,0.041159,0.043123,"90,171"
2017. 10. 17.,0.043122,0.044497,0.036297,0.039225,"50,068"
2017. 10. 16.,0.039189,0.071451,0.035305,0.041336,"49,338"
2017. 10. 15.,0.041345,0.051577,0.030270,0.031544,"85,702"
2017. 10. 14.,0.032142,0.032187,0.027071,0.027709,"19,657"
2017. 10. 13.,0.027607,0.029631,0.024378,0.026083,"29,152"
2017. 10. 12.,0.025776,0.026256,0.018159,0.022055,"44,158"
2017. 10. 11.,0.021812,0.023531,0.020806,0.021196,"18,885"
2017. 10. 10.,0.021110,0.022997,0.019018,0.020827,"23,020"
2017. 10. 09.,0.020926,0.021938,0.018374,0.019634,"23,853"
2017. 10. 08.,0.021746,0.022262,0.017622,0.021716,"12,509"
2017. 10. 07.,0.020189,0.021442,0.016037,0.021442,"30,793"
2017. 10. 06.,0.021371,0.022101,0.020405,0.021111,"26,577"
2017. 10. 05.,0.020959,0.021545,0.016229,0.016236,"27,858"
2017. 10. 04.,0.016497,0.021239,0.013245,0.013247,"35,918"
2017. 10. 03.,0.013135,0.013897,0.011077,0.011324,"17,705"
2017. 10. 02.,0.011432,0.012651,0.010298,0.011701,"22,425"
2017. 10. 01.,0.010842,0.015262,0.010016,0.010179,"29,444"
2017. 09. 30.,0.009964,0.013174,0.009495,0.012004,"25,705"
2017. 09. 29.,0.011425,0.013975,0.008781,0.010975,"22,029"
2017. 09. 28.,0.010616,0.012383,0.010012,0.011199,"19,454"
2017. 09. 27.,0.010915,0.014607,0.010346,0.014255,"15,749"
2017. 09. 26.,0.013670,0.016199,0.010983,0.015261,"32,560"
2017. 09. 25.,0.014740,0.022655,0.014005,0.019715,"36,767"
2017. 09. 24.,0.019845,0.022559,0.014974,0.016055,"27,506"
2017. 09. 23.,0.017304,0.019613,0.013544,0.014924,"23,573"
2017. 09. 22.,0.016047,0.018236,0.014833,0.017024,"11,761"
2017. 09. 21.,0.017539,0.023211,0.017385,0.018307,"25,505"
2017. 09. 20.,0.020254,0.025286,0.016059,0.018261,"33,223"
2017. 09. 19.,0.019144,0.029762,0.014546,0.015759,"66,802"
2017. 09. 18.,0.016612,0.016612,0.005493,0.005748,"80,248"
2017. 09. 17.,0.005343,0.005388,0.004765,0.005349,"6,640"
2017. 09. 16.,0.005752,0.007026,0.005401,0.006118,"8,024"
2017. 09. 15.,0.006062,0.007040,0.004447,0.005224,"4,163"
2017. 09. 14.,0.005319,0.007233,0.005319,0.006839,"2,101"
2017. 09. 13.,0.006838,0.008198,0.006767,0.007976,"3,662"
2017. 09. 12.,0.007974,0.008632,0.007055,0.008485,"6,137"
2017. 09. 11.,0.008488,0.018697,0.007379,0.017076,"9,345"
2017. 09. 10.,0.017075,0.017610,0.006940,0.008396,"41,402"
2017. 09. 09.,0.008387,0.010084,0.007865,0.010084,"4,646"
2017. 09. 08.,0.010066,0.011112,0.008042,0.010907,"15,548"
2017. 09. 07.,0.010910,0.010916,0.008116,0.008959,"6,475"
2017. 09. 06.,0.008955,0.009411,0.008253,0.008470,"7,457"
2017. 09. 05.,0.008691,0.009598,0.008043,0.009206,"3,784"
2017. 09. 04.,0.009239,0.011710,0.005771,0.011702,"4,770"
2017. 09. 03.,0.011266,0.012713,0.010679,0.012553,"2,324"
2017. 09. 02.,0.012831,0.015323,0.012223,0.014788,"3,160"
2017. 09. 01.,0.014518,0.017757,0.014024,0.017278,"3,025"
2017. 08. 31.,0.017285,0.017297,0.012606,0.016494,"7,404"
2017. 08. 30.,0.016512,0.019189,0.013626,0.016623,"10,616"
2017. 08. 29.,0.016671,0.020130,0.011668,0.014209,"12,640"
2017. 08. 28.,0.014212,0.016577,0.011075,0.013913,"13,864"
2017. 08. 27.,0.013900,0.020317,0.008050,0.008849,"12,143"
2017. 08. 26.,0.008851,0.011065,0.008015,0.010332,"2,420"
