,close,high,low,open,volume
2018. 03. 21.,2.22,2.34,2.17,2.19,"3,132,310"
2018. 03. 20.,2.20,2.29,2.00,2.07,"7,643,910"
2018. 03. 19.,2.06,2.06,1.82,1.83,"3,775,080"
2018. 03. 18.,1.83,1.86,1.50,1.81,"3,499,140"
2018. 03. 17.,1.82,2.06,1.78,2.06,"1,518,520"
2018. 03. 16.,2.05,2.15,1.98,2.12,"2,065,890"
2018. 03. 15.,2.11,2.28,1.92,2.28,"4,759,340"
2018. 03. 14.,2.23,2.71,2.17,2.51,"14,376,300"
2018. 03. 13.,2.50,2.58,2.29,2.46,"8,677,410"
2018. 03. 12.,2.44,2.64,2.37,2.56,"3,170,950"
2018. 03. 11.,2.55,2.64,2.25,2.39,"4,152,590"
2018. 03. 10.,2.40,2.68,2.37,2.58,"3,231,450"
2018. 03. 09.,2.57,2.66,2.18,2.65,"5,228,660"
2018. 03. 08.,2.65,2.95,2.63,2.79,"4,427,050"
2018. 03. 07.,2.77,3.29,2.59,3.23,"6,464,230"
2018. 03. 06.,3.24,3.46,3.22,3.46,"4,678,310"
2018. 03. 05.,3.51,3.65,3.43,3.54,"7,246,750"
2018. 03. 04.,3.55,3.67,3.42,3.67,"7,073,280"
2018. 03. 03.,3.66,3.66,3.30,3.34,"9,083,810"
2018. 03. 02.,3.35,3.44,3.23,3.44,"6,777,470"
2018. 03. 01.,3.43,3.47,3.15,3.28,"6,248,000"
2018. 02. 28.,3.28,3.52,3.27,3.49,"4,713,170"
2018. 02. 27.,3.51,3.61,3.44,3.61,"6,209,110"
2018. 02. 26.,3.62,3.62,3.34,3.47,"5,721,390"
2018. 02. 25.,3.51,3.57,3.33,3.48,"5,088,700"
2018. 02. 24.,3.49,3.74,3.38,3.73,"6,532,180"
2018. 02. 23.,3.69,3.80,3.29,3.50,"14,502,800"
2018. 02. 22.,3.51,3.88,3.37,3.79,"7,228,190"
2018. 02. 21.,3.89,4.14,3.78,4.14,"11,213,400"
2018. 02. 20.,4.21,4.53,4.18,4.53,"20,141,900"
2018. 02. 19.,4.55,4.57,4.18,4.23,"23,922,700"
2018. 02. 18.,4.29,4.66,4.14,4.66,"17,560,500"
2018. 02. 17.,4.68,4.69,4.43,4.54,"22,745,700"
2018. 02. 16.,4.58,4.59,4.38,4.57,"16,317,000"
2018. 02. 15.,4.60,4.61,4.33,4.55,"32,348,200"
2018. 02. 14.,4.46,4.46,4.15,4.21,"25,653,800"
2018. 02. 13.,4.25,4.45,4.03,4.45,"29,812,600"
2018. 02. 12.,4.27,4.27,4.00,4.00,"20,931,400"
2018. 02. 11.,3.99,4.51,3.81,4.51,"29,617,900"
2018. 02. 10.,4.49,5.08,4.08,4.30,"123,352,000"
2018. 02. 09.,4.34,4.36,3.89,3.94,"68,772,100"
2018. 02. 08.,3.95,4.05,3.63,3.65,"44,784,000"
2018. 02. 07.,3.65,4.09,3.50,3.89,"60,622,200"
2018. 02. 06.,3.88,4.02,2.62,3.33,"93,548,900"
