,close,high,low,open,volume
2018. 03. 21.,0.254636,0.271789,0.249781,0.270670,"93,970,500"
2018. 03. 20.,0.267968,0.282082,0.235574,0.249992,"88,101,600"
2018. 03. 19.,0.250226,0.250226,0.212955,0.222368,"93,820,800"
2018. 03. 18.,0.220473,0.222828,0.158913,0.206409,"91,400,500"
2018. 03. 17.,0.206731,0.234321,0.200989,0.230277,"33,001,800"
2018. 03. 16.,0.229991,0.241545,0.227545,0.240988,"23,756,700"
2018. 03. 15.,0.240655,0.250575,0.217064,0.248854,"54,358,800"
2018. 03. 14.,0.248689,0.297763,0.240711,0.291850,"49,138,300"
2018. 03. 13.,0.290193,0.301183,0.282290,0.290151,"24,814,700"
2018. 03. 12.,0.291765,0.312193,0.286332,0.304301,"29,443,200"
2018. 03. 11.,0.304217,0.306688,0.280042,0.291868,"26,023,900"
2018. 03. 10.,0.292661,0.320392,0.290070,0.315618,"21,963,200"
2018. 03. 09.,0.311859,0.315440,0.267454,0.311237,"56,838,800"
2018. 03. 08.,0.311938,0.341127,0.306218,0.329847,"47,233,100"
2018. 03. 07.,0.329103,0.349137,0.300388,0.337814,"62,389,100"
2018. 03. 06.,0.337911,0.366554,0.335254,0.351753,"44,141,000"
2018. 03. 05.,0.352031,0.398224,0.352031,0.363777,"98,523,700"
2018. 03. 04.,0.361930,0.363792,0.342398,0.354031,"99,892,700"
2018. 03. 03.,0.350168,0.350168,0.313368,0.319021,"52,827,100"
2018. 03. 02.,0.320107,0.340805,0.318850,0.338691,"38,378,100"
2018. 03. 01.,0.339314,0.347566,0.321558,0.334118,"46,631,800"
2018. 02. 28.,0.333916,0.364738,0.333916,0.360410,"38,961,000"
2018. 02. 27.,0.362051,0.372450,0.354834,0.364632,"38,136,100"
2018. 02. 26.,0.364579,0.371765,0.346502,0.358687,"42,535,600"
2018. 02. 25.,0.357302,0.366940,0.336719,0.354549,"42,268,800"
2018. 02. 24.,0.355163,0.386899,0.346156,0.382687,"34,738,100"
2018. 02. 23.,0.381985,0.390408,0.352623,0.364134,"56,829,000"
2018. 02. 22.,0.366447,0.408898,0.358483,0.393891,"69,561,100"
2018. 02. 21.,0.396765,0.433562,0.379845,0.399718,"132,189,000"
2018. 02. 20.,0.402289,0.455373,0.399315,0.452845,"104,842,000"
2018. 02. 19.,0.452932,0.461753,0.448995,0.450437,"57,015,400"
2018. 02. 18.,0.450399,0.486165,0.441988,0.479855,"74,452,000"
2018. 02. 17.,0.479075,0.483244,0.451585,0.455103,"104,733,000"
2018. 02. 16.,0.455446,0.458327,0.441777,0.451796,"53,289,200"
2018. 02. 15.,0.453556,0.463623,0.444260,0.452048,"106,142,000"
2018. 02. 14.,0.453888,0.457474,0.402079,0.409872,"192,629,000"
2018. 02. 13.,0.410614,0.435547,0.374388,0.396419,"196,175,000"
2018. 02. 12.,0.395649,0.401820,0.374181,0.374181,"61,140,000"
2018. 02. 11.,0.370005,0.406615,0.357825,0.406615,"85,791,700"
2018. 02. 10.,0.406856,0.453920,0.384953,0.398440,"227,551,000"
2018. 02. 09.,0.401068,0.402324,0.348872,0.360711,"144,231,000"
2018. 02. 08.,0.363565,0.373893,0.344930,0.344930,"121,448,000"
2018. 02. 07.,0.342125,0.380924,0.337244,0.368956,"188,328,000"
2018. 02. 06.,0.370811,0.374247,0.266352,0.336738,"518,085,000"
2018. 02. 05.,0.331192,0.425340,0.312975,0.383191,"339,507,000"
2018. 02. 04.,0.377231,0.467492,0.366818,0.425970,"231,808,000"
2018. 02. 03.,0.430056,0.478678,0.345184,0.405950,"282,349,000"
2018. 02. 02.,0.405075,0.455087,0.285878,0.455087,"396,784,000"
2018. 02. 01.,0.456455,0.542970,0.429680,0.540834,"172,407,000"
2018. 01. 31.,0.539797,0.555212,0.440520,0.488731,"288,693,000"
2018. 01. 30.,0.489648,0.590831,0.475736,0.590831,"178,893,000"
2018. 01. 29.,0.589283,0.632602,0.583512,0.632602,"118,507,000"
2018. 01. 28.,0.634421,0.640046,0.615448,0.615916,"194,610,000"
2018. 01. 27.,0.613061,0.639450,0.610086,0.631495,"216,913,000"
2018. 01. 26.,0.633916,0.645780,0.553197,0.602163,"787,644,000"
2018. 01. 25.,0.608253,0.649971,0.556165,0.567863,"627,336,000"
2018. 01. 24.,0.567014,0.589589,0.473565,0.486517,"669,319,000"
2018. 01. 23.,0.486185,0.518281,0.434858,0.475039,"207,031,000"
2018. 01. 22.,0.486338,0.529766,0.432834,0.465901,"442,542,000"
2018. 01. 21.,0.464117,0.534347,0.445113,0.534347,"161,687,000"
2018. 01. 20.,0.534677,0.547453,0.502153,0.509950,"204,013,000"
2018. 01. 19.,0.506232,0.535594,0.481281,0.503367,"207,275,000"
2018. 01. 18.,0.509523,0.570070,0.453596,0.479522,"472,047,000"
2018. 01. 17.,0.477187,0.503706,0.305034,0.441944,"486,789,000"
2018. 01. 16.,0.441197,0.600117,0.323407,0.600117,"466,139,000"
2018. 01. 15.,0.599271,0.670579,0.599138,0.625504,"345,562,000"
2018. 01. 14.,0.630856,0.672198,0.582819,0.672198,"116,460,000"
2018. 01. 13.,0.671564,0.721316,0.643237,0.681853,"189,183,000"
2018. 01. 12.,0.677960,0.715440,0.534755,0.558864,"394,376,000"
2018. 01. 11.,0.558126,0.613405,0.437407,0.563690,"330,878,000"
2018. 01. 10.,0.566930,0.588565,0.483044,0.588565,"249,019,000"
2018. 01. 09.,0.585653,0.649552,0.568159,0.628026,"208,330,000"
2018. 01. 08.,0.629323,0.695952,0.555769,0.695952,"249,426,000"
2018. 01. 07.,0.699645,0.744735,0.661080,0.709730,"347,557,000"
2018. 01. 06.,0.709945,0.788507,0.614300,0.663060,"440,182,000"
2018. 01. 05.,0.662712,0.791967,0.577509,0.739457,"727,409,000"
2018. 01. 04.,0.724050,0.938144,0.677496,0.892399,"892,268,000"
2018. 01. 03.,0.896227,0.919994,0.562572,0.562720,"1,513,270,000"
2018. 01. 02.,0.564766,0.593645,0.472748,0.496876,"676,667,000"
2018. 01. 01.,0.480008,0.523593,0.360422,0.360422,"669,372,000"
2017. 12. 31.,0.360756,0.364302,0.307454,0.317846,"183,768,000"
2017. 12. 30.,0.323202,0.390380,0.289056,0.316473,"537,916,000"
2017. 12. 29.,0.322941,0.335760,0.222680,0.223778,"387,880,000"
2017. 12. 28.,0.223544,0.228361,0.200481,0.227821,"75,925,400"
2017. 12. 27.,0.229224,0.233267,0.216719,0.226261,"78,509,400"
2017. 12. 26.,0.226018,0.232918,0.210969,0.228649,"96,759,300"
2017. 12. 25.,0.228511,0.234519,0.212722,0.226538,"71,737,300"
2017. 12. 24.,0.224450,0.237185,0.198229,0.236793,"71,071,600"
2017. 12. 23.,0.234179,0.263453,0.213736,0.220812,"116,122,000"
2017. 12. 22.,0.216717,0.276193,0.161494,0.258506,"229,459,000"
2017. 12. 21.,0.257200,0.280786,0.240672,0.252894,"199,122,000"
2017. 12. 20.,0.252386,0.265206,0.213690,0.264813,"250,599,000"
2017. 12. 19.,0.264310,0.300504,0.245986,0.276017,"212,549,000"
2017. 12. 18.,0.276283,0.278075,0.257238,0.273167,"201,721,000"
2017. 12. 17.,0.266621,0.300678,0.227982,0.234672,"423,361,000"
2017. 12. 16.,0.232125,0.236646,0.190341,0.196077,"234,173,000"
2017. 12. 15.,0.195862,0.204663,0.163988,0.198565,"260,229,000"
2017. 12. 14.,0.188907,0.209779,0.147458,0.148829,"281,635,000"
2017. 12. 13.,0.149342,0.162841,0.140410,0.154966,"107,122,000"
2017. 12. 12.,0.156444,0.162208,0.136176,0.143231,"135,847,000"
