,close,high,low,open,volume
2018. 03. 21.,0.026871,0.027915,0.019302,0.019329,"37,226,000"
2018. 03. 20.,0.019279,0.019884,0.018132,0.019312,"5,260,760"
2018. 03. 19.,0.019102,0.019768,0.018288,0.018660,"6,159,320"
2018. 03. 18.,0.018740,0.019162,0.015600,0.019162,"5,762,950"
2018. 03. 17.,0.019206,0.022440,0.018630,0.021081,"8,558,890"
2018. 03. 16.,0.021308,0.023014,0.018242,0.019237,"13,400,500"
2018. 03. 15.,0.019336,0.020337,0.018212,0.019951,"7,723,850"
2018. 03. 14.,0.020024,0.026158,0.018940,0.025870,"11,994,100"
2018. 03. 13.,0.025940,0.027787,0.023990,0.027587,"19,888,600"
2018. 03. 12.,0.027757,0.031294,0.017453,0.018250,"41,869,700"
2018. 03. 11.,0.018263,0.018513,0.015908,0.017156,"158,047"
2018. 03. 10.,0.017127,0.018748,0.015295,0.017154,"117,287"
2018. 03. 09.,0.017247,0.019348,0.014888,0.018906,"857,471"
2018. 03. 08.,0.018981,0.022600,0.017794,0.022100,"482,544"
2018. 03. 07.,0.021764,0.026721,0.020708,0.025951,"626,274"
2018. 03. 06.,0.025909,0.030837,0.025877,0.029383,"938,391"
2018. 03. 05.,0.029421,0.029820,0.026885,0.027878,"651,048"
2018. 03. 04.,0.027893,0.031305,0.027855,0.030501,"408,677"
2018. 03. 03.,0.030546,0.031903,0.028657,0.030100,"554,112"
2018. 03. 02.,0.030127,0.030618,0.028041,0.030333,"695,702"
2018. 03. 01.,0.030382,0.031540,0.028867,0.029066,"808,557"
2018. 02. 28.,0.029030,0.033610,0.028622,0.030260,"668,374"
2018. 02. 27.,0.030310,0.032188,0.029511,0.030150,"828,354"
2018. 02. 26.,0.030068,0.030712,0.026461,0.026461,"864,058"
2018. 02. 25.,0.026474,0.029036,0.025014,0.028484,"604,925"
2018. 02. 24.,0.028477,0.031524,0.026285,0.029408,"518,420"
2018. 02. 23.,0.029355,0.031094,0.026669,0.027878,"543,066"
2018. 02. 22.,0.027979,0.031593,0.026764,0.029918,"1,775,870"
2018. 02. 21.,0.029841,0.034535,0.028957,0.034405,"2,461,300"
2018. 02. 20.,0.034418,0.044021,0.034418,0.041938,"2,903,940"
2018. 02. 19.,0.041346,0.042193,0.037506,0.038500,"741,757"
2018. 02. 18.,0.038628,0.043378,0.036816,0.038573,"1,750,900"
2018. 02. 17.,0.038898,0.039118,0.035690,0.036857,"1,692,380"
2018. 02. 16.,0.035788,0.040448,0.035250,0.039407,"1,053,510"
2018. 02. 15.,0.039469,0.042265,0.037652,0.038929,"1,176,430"
2018. 02. 14.,0.038630,0.039244,0.036094,0.036838,"804,392"
2018. 02. 13.,0.036601,0.038216,0.035219,0.037555,"1,045,170"
2018. 02. 12.,0.038542,0.042972,0.037627,0.038810,"1,465,690"
2018. 02. 11.,0.038770,0.044470,0.036895,0.044470,"3,279,550"
2018. 02. 10.,0.044582,0.056671,0.041837,0.047969,"4,938,980"
2018. 02. 09.,0.047862,0.048002,0.035929,0.038123,"2,201,990"
2018. 02. 08.,0.038089,0.038656,0.034831,0.034881,"725,151"
2018. 02. 07.,0.034976,0.039280,0.033208,0.037790,"1,204,490"
2018. 02. 06.,0.038402,0.038402,0.026490,0.031840,"1,577,810"
2018. 02. 05.,0.031833,0.042567,0.029885,0.041381,"1,000,950"
2018. 02. 04.,0.041781,0.051819,0.040521,0.050414,"979,685"
2018. 02. 03.,0.050454,0.053804,0.039842,0.047127,"1,046,640"
2018. 02. 02.,0.047188,0.051891,0.032333,0.051891,"2,021,010"
2018. 02. 01.,0.051909,0.066296,0.050713,0.065882,"1,388,320"
2018. 01. 31.,0.065835,0.068861,0.054875,0.061480,"1,825,890"
2018. 01. 30.,0.061865,0.084001,0.061865,0.083404,"2,895,930"
2018. 01. 29.,0.083373,0.095719,0.078415,0.094758,"4,548,600"
2018. 01. 28.,0.094518,0.107202,0.094518,0.102210,"4,021,140"
2018. 01. 27.,0.102489,0.120359,0.085284,0.085963,"16,103,400"
2018. 01. 26.,0.086533,0.094520,0.069008,0.069008,"10,021,000"
2018. 01. 25.,0.070047,0.075730,0.065988,0.071194,"1,964,560"
2018. 01. 24.,0.070922,0.077947,0.061058,0.062520,"2,830,830"
2018. 01. 23.,0.062439,0.067634,0.058152,0.063539,"1,062,390"
2018. 01. 22.,0.063691,0.075302,0.055399,0.067815,"1,647,950"
2018. 01. 21.,0.066893,0.082707,0.062521,0.082707,"1,224,850"
2018. 01. 20.,0.081266,0.083585,0.070089,0.071245,"1,701,360"
2018. 01. 19.,0.070514,0.076577,0.065149,0.074261,"1,724,110"
2018. 01. 18.,0.075756,0.084728,0.065558,0.071333,"3,540,840"
2018. 01. 17.,0.072518,0.078425,0.044223,0.067415,"4,328,130"
2018. 01. 16.,0.067552,0.096572,0.054111,0.096572,"3,073,760"
2018. 01. 15.,0.098315,0.122228,0.098315,0.118970,"3,336,010"
2018. 01. 14.,0.119711,0.143365,0.113908,0.143365,"5,196,320"
2018. 01. 13.,0.142196,0.145059,0.119060,0.124755,"7,352,950"
2018. 01. 12.,0.124733,0.133240,0.115159,0.122150,"4,673,360"
2018. 01. 11.,0.120980,0.168760,0.109384,0.161977,"9,480,250"
2018. 01. 10.,0.161204,0.222088,0.151416,0.206089,"15,622,000"
2018. 01. 09.,0.211249,0.246579,0.143471,0.146408,"30,800,100"
2018. 01. 08.,0.148054,0.163401,0.126285,0.137468,"10,739,500"
2018. 01. 07.,0.138766,0.168795,0.135759,0.151302,"7,030,130"
2018. 01. 06.,0.151370,0.185289,0.147311,0.175205,"7,577,750"
2018. 01. 05.,0.179656,0.211928,0.132436,0.147360,"19,192,400"
2018. 01. 04.,0.144899,0.154594,0.087777,0.095074,"10,084,300"
2018. 01. 03.,0.093791,0.103928,0.090534,0.098882,"7,173,600"
2018. 01. 02.,0.098712,0.101463,0.066274,0.066600,"21,009,200"
2018. 01. 01.,0.067488,0.074348,0.051035,0.062706,"4,057,350"
2017. 12. 31.,0.061238,0.072469,0.043232,0.043232,"5,270,940"
2017. 12. 30.,0.046059,0.053515,0.039020,0.050716,"1,116,000"
2017. 12. 29.,0.053627,0.056605,0.036399,0.039057,"2,808,230"
