,close,high,low,open,volume
2018. 03. 21.,5.35,5.64,5.11,5.17,"14,418,600"
2018. 03. 20.,5.15,5.28,4.59,4.90,"9,210,600"
2018. 03. 19.,4.86,4.86,4.29,4.35,"9,337,520"
2018. 03. 18.,4.35,4.45,3.43,4.08,"9,559,220"
2018. 03. 17.,4.07,4.63,4.01,4.63,"4,753,190"
2018. 03. 16.,4.61,4.81,4.48,4.74,"5,029,010"
2018. 03. 15.,4.76,4.85,4.25,4.81,"7,083,840"
2018. 03. 14.,4.82,5.56,4.64,5.43,"5,728,080"
2018. 03. 13.,5.44,5.68,5.25,5.44,"4,402,760"
2018. 03. 12.,5.47,6.03,5.33,5.83,"4,488,550"
2018. 03. 11.,5.85,5.88,5.10,5.34,"3,641,180"
2018. 03. 10.,5.36,5.94,5.28,5.71,"4,855,590"
2018. 03. 09.,5.70,5.84,4.97,5.78,"8,574,140"
2018. 03. 08.,5.82,6.55,5.76,6.21,"7,105,440"
2018. 03. 07.,6.21,7.52,6.06,7.34,"12,706,000"
2018. 03. 06.,7.34,8.10,7.14,8.10,"9,876,510"
2018. 03. 05.,8.13,8.45,8.08,8.33,"8,337,660"
2018. 03. 04.,8.32,8.37,7.90,8.22,"7,421,910"
2018. 03. 03.,8.27,8.98,8.02,8.02,"23,331,300"
2018. 03. 02.,8.04,8.21,7.44,7.57,"14,455,900"
2018. 03. 01.,7.60,7.65,7.03,7.38,"8,010,730"
2018. 02. 28.,7.35,7.98,7.35,7.80,"7,101,400"
2018. 02. 27.,7.80,7.94,7.45,7.59,"6,434,710"
2018. 02. 26.,7.60,7.80,7.00,7.42,"8,441,520"
2018. 02. 25.,7.38,7.63,7.13,7.35,"7,811,670"
2018. 02. 24.,7.37,8.01,7.04,7.65,"11,802,500"
2018. 02. 23.,7.65,8.13,6.89,7.24,"9,438,520"
2018. 02. 22.,7.27,8.51,7.14,8.23,"11,941,200"
2018. 02. 21.,8.25,9.12,7.92,9.07,"18,825,400"
2018. 02. 20.,9.13,10.17,9.02,9.91,"21,055,000"
2018. 02. 19.,9.95,10.18,9.10,9.26,"22,415,800"
2018. 02. 18.,9.26,9.78,8.82,9.76,"14,139,400"
2018. 02. 17.,9.76,9.95,9.42,9.53,"19,415,600"
2018. 02. 16.,9.56,9.79,9.00,9.50,"14,430,300"
2018. 02. 15.,9.54,9.76,9.08,9.26,"23,848,900"
2018. 02. 14.,9.36,9.74,7.91,7.91,"47,682,600"
2018. 02. 13.,7.95,8.24,7.55,7.93,"17,510,200"
2018. 02. 12.,7.90,7.98,7.03,7.03,"10,176,500"
2018. 02. 11.,6.99,7.84,6.61,7.84,"9,233,680"
2018. 02. 10.,7.86,8.86,7.19,8.26,"20,070,700"
2018. 02. 09.,8.21,8.22,6.95,7.31,"12,699,200"
2018. 02. 08.,7.35,7.36,6.42,6.42,"12,229,100"
2018. 02. 07.,6.49,7.53,6.15,6.83,"13,130,400"
2018. 02. 06.,6.86,7.12,4.75,6.09,"17,572,200"
2018. 02. 05.,6.09,8.15,5.63,7.94,"14,262,200"
2018. 02. 04.,7.99,9.79,7.43,9.66,"14,448,100"
2018. 02. 03.,9.66,10.19,8.34,9.40,"11,740,300"
2018. 02. 02.,9.33,10.10,7.16,10.10,"25,720,900"
2018. 02. 01.,10.15,12.87,9.50,12.36,"23,587,600"
2018. 01. 31.,12.29,12.78,11.12,11.99,"25,649,400"
2018. 01. 30.,11.97,14.87,11.76,14.87,"25,695,100"
2018. 01. 29.,14.82,14.90,13.73,14.62,"29,743,800"
2018. 01. 28.,14.64,15.16,14.21,14.45,"34,283,400"
2018. 01. 27.,14.42,15.39,13.18,13.46,"117,059,000"
2018. 01. 26.,13.37,14.13,11.22,12.64,"55,387,300"
2018. 01. 25.,12.68,13.14,12.11,12.84,"18,111,100"
2018. 01. 24.,12.64,13.02,11.94,12.37,"23,016,500"
2018. 01. 23.,12.46,13.29,10.96,11.55,"39,676,300"
2018. 01. 22.,11.73,14.06,10.85,13.43,"32,543,500"
2018. 01. 21.,13.29,16.06,12.82,16.06,"34,303,600"
2018. 01. 20.,16.10,16.46,14.97,14.98,"56,670,600"
2018. 01. 19.,14.84,15.94,13.91,14.41,"36,179,600"
2018. 01. 18.,14.59,16.20,13.51,14.84,"45,599,200"
2018. 01. 17.,14.74,15.63,10.66,14.93,"55,399,600"
2018. 01. 16.,14.94,20.85,11.87,20.85,"82,425,800"
2018. 01. 15.,20.81,22.20,19.33,19.67,"136,719,000"
2018. 01. 14.,19.93,20.16,17.62,19.94,"29,952,500"
2018. 01. 13.,19.96,20.35,18.53,18.62,"29,031,000"
2018. 01. 12.,18.69,20.00,15.58,16.18,"39,309,600"
2018. 01. 11.,16.09,19.40,14.82,19.26,"41,010,200"
2018. 01. 10.,19.24,19.63,17.18,19.35,"38,332,900"
2018. 01. 09.,19.53,21.94,18.84,21.94,"66,024,900"
2018. 01. 08.,21.75,22.66,17.03,17.03,"167,018,000"
2018. 01. 07.,17.05,17.86,15.91,16.07,"39,299,000"
2018. 01. 06.,16.19,16.82,14.82,15.10,"40,643,800"
2018. 01. 05.,15.19,16.20,14.41,16.00,"58,967,300"
2018. 01. 04.,16.06,17.24,15.15,16.84,"58,863,100"
2018. 01. 03.,16.96,17.25,14.70,16.09,"50,176,600"
2018. 01. 02.,16.08,16.61,14.39,15.84,"63,791,100"
2018. 01. 01.,15.70,16.73,13.48,14.07,"75,643,600"
2017. 12. 31.,14.03,14.32,12.65,12.86,"27,243,700"
2017. 12. 30.,13.00,15.13,12.05,15.13,"33,165,200"
2017. 12. 29.,15.15,15.89,13.99,14.44,"45,160,700"
2017. 12. 28.,14.22,14.65,11.45,13.78,"61,972,200"
2017. 12. 27.,13.84,14.98,13.23,14.98,"47,212,900"
2017. 12. 26.,14.92,16.12,13.67,15.15,"87,781,700"
2017. 12. 25.,15.30,16.54,13.00,14.39,"79,274,800"
2017. 12. 24.,14.29,15.54,12.25,13.49,"98,855,000"
2017. 12. 23.,13.24,16.04,9.71,10.02,"111,333,000"
