,close,high,low,open,volume
2018. 03. 21.,0.424002,0.455050,0.416367,0.441532,"1,391,320"
2018. 03. 20.,0.440989,0.446169,0.365958,0.379271,"1,809,640"
2018. 03. 19.,0.372894,0.385837,0.347834,0.359541,"1,333,930"
2018. 03. 18.,0.356956,0.362558,0.289940,0.350111,"1,095,520"
2018. 03. 17.,0.350828,0.396946,0.337189,0.396946,"922,619"
2018. 03. 16.,0.396193,0.441284,0.331846,0.351703,"2,661,470"
2018. 03. 15.,0.352748,0.392361,0.340240,0.390980,"2,287,470"
2018. 03. 14.,0.392294,0.489445,0.374756,0.478539,"2,196,260"
2018. 03. 13.,0.478809,0.495081,0.454522,0.476296,"1,191,670"
2018. 03. 12.,0.477729,0.543416,0.453467,0.531005,"2,336,060"
2018. 03. 11.,0.535778,0.543158,0.461144,0.482682,"1,291,320"
2018. 03. 10.,0.491935,0.549642,0.482667,0.523092,"1,481,560"
2018. 03. 09.,0.523884,0.567889,0.487360,0.556257,"2,956,470"
2018. 03. 08.,0.559474,0.612328,0.543760,0.592572,"2,127,360"
2018. 03. 07.,0.593365,0.677981,0.554242,0.632543,"6,680,310"
2018. 03. 06.,0.633247,0.692317,0.626966,0.692317,"1,355,710"
2018. 03. 05.,0.698451,0.716893,0.674569,0.679939,"3,028,680"
2018. 03. 04.,0.682641,0.706040,0.659693,0.702937,"2,432,720"
2018. 03. 03.,0.706799,0.731079,0.687808,0.704212,"2,930,630"
2018. 03. 02.,0.710345,0.728839,0.625475,0.652593,"6,245,900"
2018. 03. 01.,0.651640,0.661846,0.602149,0.620798,"2,266,340"
2018. 02. 28.,0.619986,0.671614,0.619932,0.661786,"2,646,760"
2018. 02. 27.,0.662371,0.682637,0.626788,0.629355,"2,822,650"
2018. 02. 26.,0.627531,0.650515,0.562878,0.580962,"2,221,680"
2018. 02. 25.,0.580548,0.590584,0.542306,0.564594,"1,451,730"
2018. 02. 24.,0.566035,0.647115,0.548850,0.610099,"1,946,030"
2018. 02. 23.,0.610570,0.652483,0.553554,0.568131,"3,327,170"
2018. 02. 22.,0.568438,0.672877,0.562106,0.647336,"3,503,640"
2018. 02. 21.,0.647680,0.716029,0.618607,0.715713,"3,778,370"
2018. 02. 20.,0.714848,0.767051,0.702770,0.728247,"4,708,300"
2018. 02. 19.,0.729018,0.734015,0.674913,0.680101,"2,899,690"
2018. 02. 18.,0.683223,0.740855,0.639333,0.710476,"3,783,110"
2018. 02. 17.,0.725695,0.734701,0.661525,0.675883,"3,071,520"
2018. 02. 16.,0.668840,0.676884,0.617304,0.656348,"2,606,020"
2018. 02. 15.,0.655898,0.684175,0.621169,0.627117,"4,233,220"
2018. 02. 14.,0.628589,0.636591,0.562792,0.563555,"3,316,390"
2018. 02. 13.,0.569681,0.571212,0.530691,0.554747,"2,934,610"
2018. 02. 12.,0.553764,0.559609,0.503896,0.507173,"1,650,990"
2018. 02. 11.,0.504301,0.534529,0.478074,0.534529,"2,156,720"
2018. 02. 10.,0.532603,0.575252,0.501740,0.536671,"3,551,690"
2018. 02. 09.,0.537124,0.548453,0.453734,0.520140,"3,850,080"
2018. 02. 08.,0.521468,0.567904,0.482068,0.482068,"6,071,110"
2018. 02. 07.,0.484894,0.575947,0.390828,0.420632,"16,431,100"
2018. 02. 06.,0.423742,0.433786,0.303141,0.372974,"2,425,520"
2018. 02. 05.,0.371851,0.466389,0.346781,0.454190,"1,535,800"
2018. 02. 04.,0.458629,0.559884,0.435868,0.546603,"1,863,240"
2018. 02. 03.,0.547169,0.547605,0.451770,0.490050,"2,779,320"
2018. 02. 02.,0.484193,0.505027,0.387417,0.490736,"4,875,670"
2018. 02. 01.,0.494309,0.595211,0.456368,0.548739,"4,141,160"
2018. 01. 31.,0.547483,0.556577,0.489468,0.525646,"2,635,210"
2018. 01. 30.,0.528762,0.656748,0.514712,0.642424,"4,282,160"
2018. 01. 29.,0.639484,0.687481,0.623893,0.676271,"3,078,140"
2018. 01. 28.,0.675120,0.695894,0.660357,0.677345,"3,067,740"
2018. 01. 27.,0.678481,0.679641,0.606100,0.622967,"3,853,780"
2018. 01. 26.,0.622151,0.673142,0.568992,0.643590,"3,479,380"
2018. 01. 25.,0.646866,0.668880,0.617521,0.646335,"3,537,600"
2018. 01. 24.,0.634697,0.660609,0.599877,0.623925,"3,783,230"
2018. 01. 23.,0.623696,0.662735,0.581058,0.637849,"6,430,450"
2018. 01. 22.,0.650635,0.806371,0.579196,0.656824,"31,045,000"
2018. 01. 21.,0.653856,0.759697,0.618203,0.759697,"4,990,450"
2018. 01. 20.,0.760049,0.804172,0.657840,0.664462,"7,189,950"
2018. 01. 19.,0.653074,0.695356,0.623486,0.644561,"4,511,300"
2018. 01. 18.,0.647782,0.751816,0.620278,0.631771,"6,523,200"
2018. 01. 17.,0.627735,0.656869,0.453737,0.602221,"6,851,770"
2018. 01. 16.,0.602479,0.819510,0.480488,0.819510,"12,662,800"
2018. 01. 15.,0.826876,0.910997,0.826876,0.880926,"10,740,600"
2018. 01. 14.,0.889439,0.981476,0.852165,0.963486,"6,674,810"
2018. 01. 13.,0.979291,0.979291,0.783479,0.803288,"11,794,000"
2018. 01. 12.,0.798785,0.846140,0.712445,0.756468,"5,096,070"
2018. 01. 11.,0.746743,0.874847,0.668165,0.861136,"9,064,790"
2018. 01. 10.,0.861398,0.898847,0.743532,0.873786,"9,715,400"
2018. 01. 09.,0.867871,0.926605,0.825834,0.850721,"9,218,440"
2018. 01. 08.,0.852791,0.895265,0.710897,0.874922,"10,556,000"
2018. 01. 07.,0.874299,0.903949,0.810960,0.843626,"11,079,700"
2018. 01. 06.,0.836932,0.836932,0.659425,0.684917,"10,719,900"
2018. 01. 05.,0.684457,0.792153,0.677417,0.743977,"16,549,200"
2018. 01. 04.,0.744128,0.816585,0.718850,0.771906,"19,332,800"
2018. 01. 03.,0.773903,0.825404,0.743760,0.786288,"15,859,000"
2018. 01. 02.,0.794609,0.857584,0.735082,0.747581,"22,796,800"
2018. 01. 01.,0.749514,0.773263,0.702912,0.743401,"9,278,490"
2017. 12. 31.,0.740654,0.770468,0.686207,0.708928,"9,895,420"
2017. 12. 30.,0.718177,0.851512,0.640395,0.841474,"20,355,700"
2017. 12. 29.,0.861387,0.945086,0.835019,0.868860,"23,877,000"
2017. 12. 28.,0.886635,0.898436,0.709944,0.849630,"30,150,300"
2017. 12. 27.,0.863923,0.976365,0.739365,0.769475,"44,933,400"
2017. 12. 26.,0.787687,0.809965,0.618282,0.737506,"25,392,000"
2017. 12. 25.,0.739602,0.785645,0.631378,0.675220,"25,150,100"
2017. 12. 24.,0.672382,0.672382,0.520355,0.592801,"15,482,600"
2017. 12. 23.,0.592124,0.678341,0.496596,0.513651,"12,291,700"
2017. 12. 22.,0.504619,0.673484,0.376596,0.662680,"15,112,300"
2017. 12. 21.,0.668589,0.735679,0.579900,0.599572,"23,920,300"
2017. 12. 20.,0.596313,0.615514,0.517690,0.614407,"14,974,700"
2017. 12. 19.,0.621187,0.694981,0.548271,0.607488,"28,398,500"
2017. 12. 18.,0.608534,0.610671,0.483527,0.508633,"15,912,700"
2017. 12. 17.,0.502424,0.512915,0.452040,0.465028,"7,535,370"
2017. 12. 16.,0.459465,0.479507,0.427118,0.436205,"7,579,700"
2017. 12. 15.,0.423851,0.447172,0.379661,0.447013,"7,805,010"
2017. 12. 14.,0.445939,0.461522,0.424345,0.435255,"9,547,770"
2017. 12. 13.,0.433591,0.466528,0.381285,0.431652,"11,016,000"
2017. 12. 12.,0.429412,0.433568,0.366454,0.376616,"9,743,540"
2017. 12. 11.,0.375159,0.408936,0.310124,0.310124,"8,420,250"
2017. 12. 10.,0.309825,0.371070,0.295145,0.368912,"4,303,860"
2017. 12. 09.,0.369380,0.379281,0.309831,0.361987,"4,930,940"
2017. 12. 08.,0.362909,0.378574,0.304113,0.340514,"7,108,730"
2017. 12. 07.,0.341526,0.427660,0.318052,0.382495,"13,954,600"
2017. 12. 06.,0.392851,0.431736,0.364128,0.422132,"21,151,500"
