,close,high,low,open,volume
2018. 03. 21.,1.19,1.25,1.17,1.20,"4,711,680"
2018. 03. 20.,1.19,1.23,1.09,1.14,"4,905,920"
2018. 03. 19.,1.12,1.18,1.02,1.14,"6,311,920"
2018. 03. 18.,1.15,1.21,0.992672,1.11,"5,529,200"
2018. 03. 17.,1.12,1.24,1.11,1.17,"4,573,190"
2018. 03. 16.,1.17,1.28,1.11,1.16,"4,653,390"
2018. 03. 15.,1.16,1.20,1.07,1.17,"5,027,650"
2018. 03. 14.,1.16,1.40,1.13,1.38,"5,105,520"
2018. 03. 13.,1.38,1.44,1.33,1.35,"3,751,420"
2018. 03. 12.,1.36,1.43,1.30,1.38,"3,897,150"
2018. 03. 11.,1.38,1.42,1.24,1.29,"1,652,590"
2018. 03. 10.,1.29,1.39,1.28,1.36,"1,791,700"
2018. 03. 09.,1.36,1.37,1.15,1.36,"2,580,590"
2018. 03. 08.,1.37,1.53,1.36,1.49,"2,169,500"
2018. 03. 07.,1.50,1.74,1.45,1.71,"2,659,680"
2018. 03. 06.,1.71,1.87,1.68,1.87,"2,806,480"
2018. 03. 05.,1.88,1.98,1.85,1.98,"4,478,650"
2018. 03. 04.,2.00,2.01,1.67,1.78,"7,790,400"
2018. 03. 03.,1.79,1.81,1.59,1.59,"7,065,470"
2018. 03. 02.,1.59,1.77,1.57,1.66,"4,809,010"
2018. 03. 01.,1.65,1.86,1.48,1.48,"8,846,680"
2018. 02. 28.,1.48,1.64,1.48,1.62,"2,544,680"
2018. 02. 27.,1.62,1.66,1.60,1.61,"1,952,470"
2018. 02. 26.,1.60,1.63,1.50,1.51,"1,790,190"
2018. 02. 25.,1.50,1.55,1.46,1.53,"1,523,020"
2018. 02. 24.,1.53,1.66,1.47,1.62,"1,909,140"
2018. 02. 23.,1.62,1.68,1.52,1.56,"2,009,190"
2018. 02. 22.,1.56,1.74,1.53,1.67,"2,048,070"
2018. 02. 21.,1.67,1.85,1.62,1.85,"2,548,370"
2018. 02. 20.,1.85,2.11,1.84,2.07,"3,356,750"
2018. 02. 19.,2.07,2.11,1.96,1.97,"2,705,630"
2018. 02. 18.,1.98,2.16,1.93,2.14,"2,494,380"
2018. 02. 17.,2.14,2.16,1.95,1.96,"3,137,880"
2018. 02. 16.,1.97,1.99,1.89,1.98,"2,369,250"
2018. 02. 15.,1.99,1.99,1.87,1.94,"2,964,980"
2018. 02. 14.,1.94,1.95,1.80,1.81,"2,950,240"
2018. 02. 13.,1.81,1.96,1.77,1.96,"2,966,310"
2018. 02. 12.,1.95,1.96,1.76,1.76,"3,602,900"
2018. 02. 11.,1.75,1.87,1.60,1.83,"3,566,390"
2018. 02. 10.,1.83,1.96,1.67,1.74,"6,578,240"
2018. 02. 09.,1.75,1.77,1.50,1.57,"4,060,050"
2018. 02. 08.,1.57,1.63,1.43,1.45,"5,187,240"
2018. 02. 07.,1.45,1.72,1.43,1.59,"7,972,840"
2018. 02. 06.,1.60,1.66,1.09,1.36,"7,260,520"
2018. 02. 05.,1.35,1.73,1.23,1.70,"7,011,110"
2018. 02. 04.,1.71,2.01,1.59,2.01,"8,106,130"
2018. 02. 03.,2.01,2.06,1.75,1.90,"9,382,430"
2018. 02. 02.,1.89,1.96,1.47,1.94,"5,891,370"
2018. 02. 01.,1.95,2.36,1.83,2.32,"7,751,300"
