,close,high,low,open,volume
2018. 03. 21.,0.999244,1.01,0.992647,0.996938,"2,353,890,000"
2018. 03. 20.,0.996832,1.01,0.989570,1.01,"2,506,320,000"
2018. 03. 19.,0.989867,1.02,0.982194,0.982194,"2,638,090,000"
2018. 03. 18.,1.00,1.01,0.979781,1.01,"2,639,470,000"
2018. 03. 17.,1.00,1.01,0.990731,1.00,"1,687,920,000"
2018. 03. 16.,0.998551,1.01,0.989567,0.997509,"1,872,050,000"
2018. 03. 15.,1.00,1.01,0.984939,1.00,"2,259,870,000"
2018. 03. 14.,1.00,1.02,0.991337,0.996581,"2,151,670,000"
2018. 03. 13.,0.999843,1.01,0.987195,1.00,"1,890,040,000"
2018. 03. 12.,1.00,1.01,0.988530,1.00,"2,155,560,000"
2018. 03. 11.,1.00,1.01,0.994709,1.00,"2,394,810,000"
2018. 03. 10.,1.01,1.01,0.994936,0.997607,"2,218,810,000"
2018. 03. 09.,1.00,1.01,0.988564,0.999723,"3,131,620,000"
2018. 03. 08.,1.01,1.01,0.985734,1.00,"2,636,690,000"
2018. 03. 07.,1.00,1.02,0.981378,0.998354,"3,037,380,000"
2018. 03. 06.,1.00,1.01,0.996260,1.01,"2,491,850,000"
2018. 03. 05.,0.998864,1.00,0.995019,0.997521,"2,227,680,000"
2018. 03. 04.,0.997612,1.00,0.995287,1.00,"2,133,910,000"
2018. 03. 03.,1.00,1.01,0.993477,0.995248,"2,181,490,000"
2018. 03. 02.,0.999730,1.01,0.994439,0.998189,"2,172,250,000"
2018. 03. 01.,1.00,1.01,0.995679,0.999847,"2,285,570,000"
2018. 02. 28.,0.998903,1.01,0.992791,1.00,"2,414,230,000"
2018. 02. 27.,1.00,1.01,0.991642,0.998677,"2,473,020,000"
2018. 02. 26.,0.999561,1.01,0.989677,0.997664,"2,362,210,000"
2018. 02. 25.,1.00,1.01,0.996229,1.00,"1,968,850,000"
2018. 02. 24.,1.00,1.01,0.993887,1.00,"2,417,710,000"
2018. 02. 23.,1.00,1.01,0.993702,1.01,"2,815,280,000"
2018. 02. 22.,1.00,1.01,0.993998,1.00,"2,904,620,000"
2018. 02. 21.,1.00,1.01,0.988699,1.01,"3,459,830,000"
2018. 02. 20.,1.00,1.01,0.994081,1.00,"3,126,220,000"
2018. 02. 19.,1.00,1.01,0.994041,1.00,"2,546,440,000"
2018. 02. 18.,1.01,1.02,0.998832,1.00,"3,124,180,000"
2018. 02. 17.,1.00,1.01,0.996919,1.00,"2,797,600,000"
2018. 02. 16.,1.00,1.01,0.996746,1.01,"2,605,820,000"
2018. 02. 15.,1.01,1.02,0.997203,1.01,"3,286,910,000"
2018. 02. 14.,1.00,1.01,0.993292,0.997715,"3,066,190,000"
2018. 02. 13.,1.00,1.01,0.995931,1.00,"2,226,760,000"
2018. 02. 12.,1.00,1.01,0.990812,1.00,"2,457,490,000"
2018. 02. 11.,0.999251,1.01,0.992728,1.00,"2,431,740,000"
2018. 02. 10.,1.00,1.01,0.993346,1.00,"2,628,380,000"
2018. 02. 09.,1.00,1.05,0.995049,1.02,"1,631,140,000"
2018. 02. 08.,1.02,1.03,0.987534,0.994970,"2,466,620,000"
2018. 02. 07.,1.00,1.02,0.984647,1.00,"3,307,540,000"
2018. 02. 06.,1.01,1.02,0.958318,0.978500,"6,247,250,000"
2018. 02. 05.,0.996308,1.02,0.944777,0.995794,"4,078,980,000"
2018. 02. 04.,1.01,1.01,0.975209,1.00,"2,504,640,000"
2018. 02. 03.,1.00,1.02,0.982879,0.994071,"2,488,530,000"
2018. 02. 02.,0.990747,1.02,0.925144,0.986294,"4,785,870,000"
2018. 02. 01.,0.986939,1.01,0.954771,0.991558,"3,498,900,000"
2018. 01. 31.,0.990274,1.00,0.971403,0.992538,"2,663,930,000"
2018. 01. 30.,0.986486,1.01,0.975436,0.998672,"3,108,630,000"
2018. 01. 29.,0.995319,1.00,0.981718,0.988440,"2,031,160,000"
2018. 01. 28.,0.988790,1.00,0.981275,0.996548,"2,546,640,000"
2018. 01. 27.,0.993325,1.01,0.992227,1.00,"2,051,980,000"
2018. 01. 26.,1.00,1.02,0.985767,0.997571,"2,957,010,000"
2018. 01. 25.,0.999595,1.01,0.987358,1.01,"2,571,930,000"
2018. 01. 24.,0.997484,1.03,0.992246,1.00,"2,620,630,000"
2018. 01. 23.,1.01,1.02,0.984474,1.00,"3,126,830,000"
2018. 01. 22.,1.01,1.02,0.991510,1.00,"3,274,900,000"
2018. 01. 21.,0.999861,1.03,0.997069,1.00,"3,302,010,000"
2018. 01. 20.,1.00,1.01,0.991443,1.01,"2,942,780,000"
2018. 01. 19.,1.00,1.04,1.00,1.02,"2,876,990,000"
2018. 01. 18.,1.02,1.04,1.00,1.02,"4,302,300,000"
2018. 01. 17.,1.01,1.07,0.997739,1.03,"5,588,840,000"
2018. 01. 16.,1.03,1.05,0.999001,1.01,"5,552,930,000"
2018. 01. 15.,1.01,1.02,1.00,1.02,"2,557,180,000"
2018. 01. 14.,1.02,1.04,1.00,1.00,"2,960,410,000"
