,close,high,low,open,volume
2018. 03. 21.,0.037107,0.040039,0.036349,0.038085,"232,926,000"
2018. 03. 20.,0.038113,0.040354,0.031429,0.032728,"250,397,000"
2018. 03. 19.,0.032364,0.032995,0.028221,0.028970,"183,591,000"
2018. 03. 18.,0.028621,0.029387,0.023117,0.028286,"127,381,000"
2018. 03. 17.,0.028358,0.030309,0.028002,0.030164,"116,472,000"
2018. 03. 16.,0.030119,0.031245,0.028954,0.030049,"149,356,000"
2018. 03. 15.,0.030119,0.031190,0.028357,0.031047,"169,547,000"
2018. 03. 14.,0.031057,0.036323,0.030237,0.035701,"197,406,000"
2018. 03. 13.,0.035726,0.037122,0.034525,0.035968,"200,526,000"
2018. 03. 12.,0.036132,0.039508,0.034644,0.038561,"228,565,000"
2018. 03. 11.,0.038716,0.039321,0.033492,0.034751,"266,342,000"
2018. 03. 10.,0.034928,0.038182,0.034484,0.036941,"253,447,000"
2018. 03. 09.,0.036981,0.037402,0.030829,0.036363,"295,229,000"
2018. 03. 08.,0.036425,0.039594,0.035278,0.038488,"236,262,000"
2018. 03. 07.,0.038601,0.044899,0.034816,0.043944,"290,194,000"
2018. 03. 06.,0.043958,0.047626,0.043567,0.046744,"262,251,000"
2018. 03. 05.,0.046776,0.047905,0.046390,0.047755,"284,714,000"
2018. 03. 04.,0.047801,0.049675,0.047162,0.048789,"314,649,000"
2018. 03. 03.,0.048918,0.052737,0.047751,0.052525,"399,205,000"
2018. 03. 02.,0.052947,0.056474,0.047594,0.048700,"824,566,000"
2018. 03. 01.,0.048847,0.049225,0.042367,0.043514,"318,231,000"
2018. 02. 28.,0.043351,0.046405,0.040685,0.042736,"298,758,000"
2018. 02. 27.,0.042731,0.043099,0.041187,0.041792,"219,795,000"
2018. 02. 26.,0.041769,0.042894,0.039000,0.039899,"189,976,000"
2018. 02. 25.,0.039883,0.041603,0.039108,0.040821,"182,260,000"
2018. 02. 24.,0.040929,0.045608,0.039374,0.042856,"194,793,000"
2018. 02. 23.,0.042875,0.043552,0.039139,0.040275,"159,881,000"
2018. 02. 22.,0.040674,0.046146,0.039591,0.044461,"162,733,000"
2018. 02. 21.,0.044580,0.048235,0.042935,0.046909,"179,053,000"
2018. 02. 20.,0.046861,0.052074,0.046560,0.051537,"198,213,000"
2018. 02. 19.,0.051542,0.052700,0.049364,0.049555,"178,481,000"
2018. 02. 18.,0.049606,0.055311,0.048708,0.054935,"195,043,000"
2018. 02. 17.,0.054914,0.054914,0.050969,0.052155,"231,988,000"
2018. 02. 16.,0.052449,0.053082,0.046379,0.046489,"310,513,000"
2018. 02. 15.,0.046496,0.048457,0.045087,0.045922,"178,913,000"
2018. 02. 14.,0.045936,0.046749,0.043022,0.043295,"186,660,000"
2018. 02. 13.,0.043356,0.046483,0.042499,0.046103,"178,961,000"
2018. 02. 12.,0.046116,0.047493,0.042603,0.042603,"219,120,000"
2018. 02. 11.,0.042401,0.048564,0.040066,0.048564,"273,583,000"
2018. 02. 10.,0.048699,0.055941,0.044781,0.047424,"470,409,000"
2018. 02. 09.,0.047968,0.047968,0.034951,0.036785,"176,363,000"
2018. 02. 08.,0.036725,0.038047,0.032668,0.032668,"193,437,000"
2018. 02. 07.,0.032746,0.038956,0.031905,0.036235,"204,200,000"
2018. 02. 06.,0.036478,0.036971,0.025109,0.030367,"271,110,000"
2018. 02. 05.,0.030161,0.038903,0.028055,0.037790,"167,297,000"
2018. 02. 04.,0.037933,0.046020,0.036049,0.044525,"169,961,000"
2018. 02. 03.,0.044472,0.047338,0.035080,0.041035,"241,929,000"
2018. 02. 02.,0.040799,0.046042,0.031091,0.046042,"363,929,000"
2018. 02. 01.,0.046227,0.058563,0.043161,0.054753,"288,656,000"
2018. 01. 31.,0.054454,0.054454,0.049636,0.053958,"251,081,000"
2018. 01. 30.,0.053761,0.064120,0.051582,0.064065,"267,126,000"
2018. 01. 29.,0.064001,0.066769,0.063113,0.065431,"256,876,000"
2018. 01. 28.,0.065495,0.070875,0.065049,0.068916,"276,321,000"
2018. 01. 27.,0.068422,0.069426,0.064973,0.066495,"282,557,000"
2018. 01. 26.,0.066630,0.071055,0.060360,0.068600,"381,402,000"
2018. 01. 25.,0.068766,0.073681,0.067022,0.071252,"362,498,000"
2018. 01. 24.,0.070421,0.074320,0.066939,0.068596,"505,469,000"
2018. 01. 23.,0.068572,0.074035,0.062891,0.071210,"409,592,000"
2018. 01. 22.,0.071412,0.082809,0.063831,0.071947,"623,767,000"
2018. 01. 21.,0.071186,0.085698,0.068421,0.084868,"561,259,000"
2018. 01. 20.,0.085201,0.088724,0.080608,0.081158,"626,439,000"
2018. 01. 19.,0.080499,0.088133,0.072995,0.082408,"706,522,000"
2018. 01. 18.,0.083179,0.110867,0.073540,0.076432,"1,392,330,000"
2018. 01. 17.,0.075623,0.084310,0.044651,0.053796,"1,326,570,000"
2018. 01. 16.,0.054488,0.076371,0.040550,0.076045,"695,309,000"
2018. 01. 15.,0.075694,0.097897,0.067721,0.084890,"1,013,430,000"
2018. 01. 14.,0.084782,0.103169,0.084271,0.102634,"714,279,000"
2018. 01. 13.,0.103035,0.119219,0.100102,0.108694,"819,091,000"
2018. 01. 12.,0.108858,0.112919,0.104891,0.109802,"679,499,000"
2018. 01. 11.,0.109080,0.130827,0.097425,0.130827,"1,074,580,000"
2018. 01. 10.,0.129553,0.136777,0.097435,0.127020,"1,729,920,000"
2018. 01. 09.,0.124782,0.156468,0.105963,0.154165,"1,262,110,000"
2018. 01. 08.,0.151993,0.205195,0.131582,0.205195,"1,532,320,000"
2018. 01. 07.,0.199655,0.199655,0.145697,0.173678,"1,750,350,000"
2018. 01. 06.,0.174797,0.232172,0.143149,0.224499,"2,437,350,000"
2018. 01. 05.,0.220555,0.300363,0.176712,0.209579,"3,864,400,000"
2018. 01. 04.,0.207974,0.217114,0.094920,0.094920,"4,089,410,000"
2018. 01. 03.,0.094703,0.094703,0.068306,0.078648,"1,136,850,000"
2018. 01. 02.,0.078682,0.086989,0.052070,0.052070,"1,604,040,000"
2018. 01. 01.,0.051695,0.052813,0.043400,0.044682,"516,798,000"
2017. 12. 31.,0.044752,0.045258,0.034681,0.036129,"375,152,000"
2017. 12. 30.,0.036413,0.038796,0.031116,0.036357,"256,698,000"
2017. 12. 29.,0.036348,0.043161,0.034757,0.042007,"246,897,000"
2017. 12. 28.,0.041973,0.041973,0.032258,0.036722,"261,941,000"
2017. 12. 27.,0.036831,0.041325,0.035362,0.037830,"173,156,000"
