,close,high,low,open,volume
2018. 03. 21.,3.67,3.89,3.58,3.73,"73,672,800"
2018. 03. 20.,3.70,3.89,3.47,3.80,"85,168,900"
2018. 03. 19.,3.76,3.89,3.55,3.68,"79,043,900"
2018. 03. 18.,3.71,3.76,2.95,3.71,"84,708,700"
2018. 03. 17.,3.69,4.07,3.56,3.91,"74,617,800"
2018. 03. 16.,3.90,4.06,3.61,3.78,"76,375,000"
2018. 03. 15.,3.78,3.97,3.42,3.82,"82,232,600"
2018. 03. 14.,3.85,4.59,3.79,4.31,"96,115,800"
2018. 03. 13.,4.27,4.38,3.96,4.00,"112,069,000"
2018. 03. 12.,4.02,4.26,3.75,3.87,"118,397,000"
2018. 03. 11.,3.88,3.93,3.32,3.47,"68,766,600"
2018. 03. 10.,3.50,3.89,3.45,3.71,"65,018,300"
2018. 03. 09.,3.71,3.74,3.11,3.70,"83,895,100"
2018. 03. 08.,3.72,4.23,3.56,4.09,"74,630,900"
2018. 03. 07.,4.10,4.91,3.74,4.76,"91,903,400"
2018. 03. 06.,4.78,5.11,4.24,4.71,"108,928,000"
2018. 03. 05.,4.69,4.81,4.56,4.56,"43,447,100"
2018. 03. 04.,4.56,4.86,4.39,4.42,"59,067,800"
2018. 03. 03.,4.44,4.71,4.36,4.50,"57,747,400"
2018. 03. 02.,4.51,5.03,4.50,4.95,"61,330,700"
2018. 03. 01.,4.95,5.32,4.51,4.54,"79,097,200"
2018. 02. 28.,4.54,5.55,4.54,5.23,"73,839,500"
2018. 02. 27.,5.23,5.69,5.16,5.58,"80,397,100"
2018. 02. 26.,5.60,5.85,5.28,5.85,"144,727,000"
2018. 02. 25.,5.87,5.94,5.42,5.57,"67,857,100"
2018. 02. 24.,5.56,6.20,5.39,5.96,"62,538,800"
2018. 02. 23.,5.99,6.20,5.25,5.46,"74,050,200"
2018. 02. 22.,5.47,6.33,5.32,5.93,"75,031,300"
2018. 02. 21.,5.95,6.49,5.69,6.23,"83,844,800"
2018. 02. 20.,6.24,7.17,6.19,6.49,"156,506,000"
2018. 02. 19.,6.46,6.49,5.33,5.34,"97,820,400"
2018. 02. 18.,5.35,6.01,5.27,6.00,"49,595,600"
2018. 02. 17.,5.99,6.08,5.64,5.73,"64,632,700"
2018. 02. 16.,5.69,6.06,5.45,5.96,"83,310,300"
2018. 02. 15.,5.98,6.03,4.82,5.01,"124,499,000"
2018. 02. 14.,5.00,5.00,4.18,4.18,"56,104,500"
2018. 02. 13.,4.20,4.36,3.96,4.31,"37,546,900"
2018. 02. 12.,4.31,4.46,4.00,4.00,"29,326,600"
2018. 02. 11.,3.97,4.38,3.74,4.38,"44,862,300"
2018. 02. 10.,4.40,5.04,4.15,4.66,"51,292,400"
2018. 02. 09.,4.66,4.69,4.06,4.27,"24,856,800"
2018. 02. 08.,4.28,4.47,3.84,3.84,"72,426,300"
2018. 02. 07.,3.87,4.65,3.67,4.14,"77,747,300"
2018. 02. 06.,4.19,4.46,2.63,3.58,"111,053,000"
2018. 02. 05.,3.51,4.58,2.94,4.50,"84,120,300"
2018. 02. 04.,4.54,5.57,4.26,5.51,"69,855,900"
2018. 02. 03.,5.52,5.91,4.44,4.93,"84,763,400"
2018. 02. 02.,4.90,5.33,3.57,5.27,"96,082,900"
2018. 02. 01.,5.27,6.43,4.80,6.33,"103,601,000"
2018. 01. 31.,6.33,6.46,5.63,5.87,"120,768,000"
2018. 01. 30.,5.83,6.89,5.42,6.44,"132,171,000"
2018. 01. 29.,6.43,6.85,6.36,6.76,"103,079,000"
2018. 01. 28.,6.80,7.31,6.64,7.00,"128,359,000"
2018. 01. 27.,6.92,7.53,6.81,7.29,"115,057,000"
2018. 01. 26.,7.30,7.75,6.04,6.94,"188,134,000"
2018. 01. 25.,6.93,8.01,6.87,7.52,"161,326,000"
2018. 01. 24.,7.44,8.64,7.31,7.69,"230,986,000"
2018. 01. 23.,7.69,8.46,6.70,8.28,"214,146,000"
2018. 01. 22.,8.27,9.55,7.61,8.05,"393,081,000"
2018. 01. 21.,7.88,8.51,6.99,8.17,"207,469,000"
2018. 01. 20.,8.14,8.16,5.97,5.98,"252,285,000"
2018. 01. 19.,5.92,6.17,5.25,5.44,"114,293,000"
2018. 01. 18.,5.50,6.28,4.54,4.83,"167,536,000"
2018. 01. 17.,4.79,5.14,3.44,4.88,"127,252,000"
2018. 01. 16.,4.92,6.17,3.74,6.10,"173,975,000"
2018. 01. 15.,6.06,6.26,5.57,6.06,"134,816,000"
2018. 01. 14.,6.06,6.92,5.82,5.89,"211,935,000"
2018. 01. 13.,5.86,6.63,5.21,6.24,"194,477,000"
2018. 01. 12.,6.26,6.75,5.74,6.49,"158,992,000"
2018. 01. 11.,6.44,7.31,4.97,6.36,"288,487,000"
