,close,high,low,open,volume
2018. 03. 21.,0.033628,0.036593,0.032496,0.034894,"10,398,000"
2018. 03. 20.,0.034810,0.035473,0.030078,0.031634,"11,984,800"
2018. 03. 19.,0.031449,0.031761,0.028708,0.029721,"9,011,470"
2018. 03. 18.,0.029510,0.030319,0.023956,0.028406,"9,843,710"
2018. 03. 17.,0.028408,0.033080,0.028070,0.033076,"6,718,990"
2018. 03. 16.,0.032892,0.034847,0.030283,0.031614,"14,059,300"
2018. 03. 15.,0.031201,0.031776,0.027721,0.031363,"9,724,440"
2018. 03. 14.,0.031378,0.037727,0.030236,0.036160,"8,475,110"
2018. 03. 13.,0.036173,0.038808,0.035825,0.037394,"6,449,030"
2018. 03. 12.,0.037688,0.040894,0.035862,0.039078,"8,081,210"
2018. 03. 11.,0.039274,0.039858,0.034626,0.036216,"7,920,510"
2018. 03. 10.,0.036487,0.042399,0.035577,0.039218,"11,953,300"
2018. 03. 09.,0.039227,0.039392,0.032264,0.038541,"13,440,500"
2018. 03. 08.,0.038908,0.043716,0.038421,0.043104,"10,226,700"
2018. 03. 07.,0.043275,0.051381,0.038953,0.049088,"23,510,800"
2018. 03. 06.,0.049115,0.054755,0.048673,0.054755,"12,829,900"
2018. 03. 05.,0.054430,0.057071,0.054316,0.056107,"14,381,500"
2018. 03. 04.,0.056533,0.057338,0.053960,0.055704,"13,547,200"
2018. 03. 03.,0.055918,0.059868,0.055483,0.059608,"18,436,600"
2018. 03. 02.,0.059960,0.064675,0.058359,0.058890,"52,483,700"
2018. 03. 01.,0.058374,0.065946,0.052975,0.053702,"72,097,200"
2018. 02. 28.,0.053547,0.062274,0.053547,0.060107,"18,267,000"
2018. 02. 27.,0.060123,0.062182,0.058398,0.061082,"17,610,400"
2018. 02. 26.,0.060978,0.062961,0.056356,0.058429,"16,848,800"
2018. 02. 25.,0.058436,0.060230,0.055531,0.057265,"20,605,800"
2018. 02. 24.,0.057184,0.066668,0.055592,0.061316,"15,957,400"
2018. 02. 23.,0.061565,0.065071,0.056150,0.059073,"26,140,000"
2018. 02. 22.,0.059129,0.069385,0.057828,0.064739,"28,040,700"
2018. 02. 21.,0.065142,0.075561,0.062879,0.069946,"40,620,700"
2018. 02. 20.,0.069615,0.083053,0.068712,0.082414,"58,246,300"
2018. 02. 19.,0.082269,0.085902,0.075448,0.075448,"86,298,800"
2018. 02. 18.,0.075660,0.089199,0.074366,0.089199,"111,774,000"
2018. 02. 17.,0.089996,0.091904,0.066564,0.068229,"349,131,000"
2018. 02. 16.,0.069060,0.071386,0.058913,0.059213,"48,604,700"
